ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
112,35.798,584463.741,567095.965,17502.787,0.000,584463.741,0.000,565956.187,2779.761,0.000,118.571,29.242
113,36.176,535738.288,521790.689,18177.266,0.000,535738.288,0.000,520544.677,2338.785,0.000,124.912,30.457
114,36.553,489899.224,478510.806,18861.347,0.000,489899.224,0.000,477587.637,1984.368,0.000,131.604,31.687
115,36.931,447000.669,437865.480,19551.280,0.000,447000.669,0.000,437390.023,1703.316,0.000,138.669,32.926
116,37.309,408174.025,400036.209,20243.084,0.000,408174.025,0.000,400156.000,1483.750,0.000,146.133,34.167
117,37.687,371745.321,366543.003,20932.388,0.000,371745.321,0.000,365997.643,1315.103,0.000,154.027,35.402
118,38.064,340384.160,335726.230,21613.532,0.000,340384.160,0.000,334930.599,1188.062,0.000,162.384,36.621
119,38.442,311599.792,307626.484,22281.063,0.000,311599.792,0.000,306908.602,1094.565,0.000,171.251,37.816
120,38.820,286095.367,282498.839,22930.000,0.000,286095.367,0.000,281837.611,1027.729,0.000,180.688,38.976
121,39.198,263639.677,260209.934,23555.521,0.000,263639.677,0.000,259583.899,981.748,0.000,190.769,40.095
122,39.576,241709.728,240586.464,24153.270,0.000,241709.728,0.000,239978.926,951.796,0.000,201.563,41.165
123,39.954,223624.431,223435.181,24719.422,0.000,223624.431,0.000,222824.336,933.916,0.000,213.108,42.178
124,40.331,208946.109,208541.904,25250.775,0.000,208946.109,0.000,207912.070,924.916,0.000,225.463,43.131
125,40.709,196015.096,195677.122,25744.991,0.000,196015.096,0.000,195035.966,922.261,0.000,238.727,44.019
126,41.087,184409.871,184771.680,26200.723,0.000,184409.871,0.000,183992.100,923.979,0.000,253.015,44.839
127,41.465,174479.155,175576.170,26617.729,0.000,174479.155,0.000,174578.129,928.571,0.000,268.444,45.591
128,41.843,165659.884,167611.374,26996.956,0.000,165659.884,0.000,166589.694,934.933,0.000,285.108,46.278
129,42.221,159054.497,160889.483,27340.624,0.000,159054.497,0.000,159841.867,942.283,0.000,303.141,46.902
130,42.599,152377.303,155243.197,27652.375,0.000,152377.303,0.000,154167.685,950.110,0.000,322.714,47.471
131,42.977,147347.032,150521.655,27937.248,0.000,147347.032,0.000,149416.378,958.118,0.000,344.021,47.994
132,43.355,143934.232,146274.962,27892.426,0.000,143934.232,0.000,145151.033,955.629,0.000,365.278,47.948
133,43.732,139749.723,142678.308,27835.154,0.000,139749.723,0.000,141533.783,953.224,0.000,388.417,47.880
134,44.110,137101.485,139622.758,27774.836,0.000,137101.485,0.000,138455.368,951.057,0.000,413.593,47.806
135,44.488,134932.265,137015.560,27722.322,0.000,134932.265,0.000,135822.582,949.383,0.000,440.985,47.745
136,44.866,133395.388,134791.674,27689.899,0.000,133395.388,0.000,133556.660,948.544,0.000,470.786,47.717
137,45.244,130940.091,132855.146,27691.282,0.000,130940.091,0.000,131584.148,948.957,0.000,503.031,47.747
138,45.622,130361.858,131150.754,27741.620,0.000,130361.858,0.000,129842.848,951.107,0.000,537.738,47.861
139,46.000,129331.091,129635.213,27857.510,0.000,129331.091,0.000,128285.437,955.543,0.000,575.008,48.088
140,46.378,128145.188,128273.542,28057.053,0.000,128145.188,0.000,126876.162,962.874,0.000,614.973,48.459
141,46.756,127920.137,127038.546,28357.988,0.000,127920.137,0.000,125587.085,973.703,0.000,657.740,49.006
142,47.134,127459.188,125904.200,28772.015,0.000,127459.188,0.000,124391.803,988.432,0.000,703.267,49.748
143,47.513,126797.065,124848.924,29308.769,0.000,126797.065,0.000,123268.483,1007.393,0.000,751.456,50.703
144,47.891,126787.510,123862.743,29983.537,0.000,126787.510,0.000,122206.565,1031.115,0.000,802.338,51.897
145,48.269,126379.104,122945.864,30812.291,0.000,126379.104,0.000,121201.436,1060.153,0.000,855.961,53.359
146,48.647,125195.452,122102.194,31809.172,0.000,125195.452,0.000,120251.438,1094.999,0.000,912.353,55.113
147,49.025,126298.032,121300.759,32976.901,0.000,126298.032,0.000,119348.262,1135.754,0.000,971.343,57.164
148,49.403,125431.807,120550.893,34318.585,0.000,125431.807,0.000,118487.866,1182.531,0.000,1032.797,59.518
149,49.781,124743.019,119856.624,35841.853,0.000,124743.019,0.000,117674.011,1235.599,0.000,1096.697,62.189
150,50.159,125320.897,119233.692,37553.564,0.000,125320.897,0.000,116912.928,1295.201,0.000,1163.058,65.189
151,50.537,124929.464,118670.269,39456.862,0.000,124929.464,0.000,116210.297,1361.451,0.000,1231.868,68.524
152,50.915,124399.684,118167.392,41540.034,0.000,124399.684,0.000,115560.224,1433.950,0.000,1302.894,72.173
153,51.294,125322.109,117727.215,43796.703,0.000,125322.109,0.000,114964.367,1512.482,0.000,1376.068,76.125
154,51.672,124913.303,117354.627,46221.727,0.000,124913.303,0.000,114427.773,1596.873,0.000,1451.413,80.373
