ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
51,12.775,170429.944,107028.251,0.000,50691.936,170429.944,0.000,59026.034,474.768,47898.829,0.001,0.000
52,13.152,164346.642,109003.773,0.000,43616.441,164346.642,0.000,66146.913,583.489,42645.986,0.001,0.000
53,13.530,157553.255,110756.030,0.000,36835.018,157553.255,0.000,72988.857,717.118,37423.871,0.002,0.000
54,13.907,152296.631,112265.992,0.000,30512.677,152296.631,0.000,79387.371,881.365,32372.240,0.002,0.000
55,14.284,145633.622,113540.817,0.000,24779.553,145633.622,0.000,85230.902,1083.247,27602.789,0.003,0.000
56,14.661,141468.052,114600.695,0.000,19723.449,141468.052,0.000,90447.871,1331.391,23198.660,0.003,0.000
57,15.038,136571.799,115499.708,0.000,15387.345,136571.799,0.000,94988.601,1636.405,19215.572,0.004,0.000
58,15.415,133562.209,116279.365,0.000,11771.926,133562.209,0.000,98857.015,2011.326,15684.054,0.004,0.000
59,15.793,131553.955,116941.706,0.000,8841.823,131553.955,0.000,102130.842,2472.184,12612.449,0.005,0.000
60,16.170,129794.582,117689.745,0.000,6534.208,129794.582,0.000,104935.064,3038.683,9990.488,0.006,0.000
61,16.547,128433.348,118658.631,0.000,4768.588,128433.348,0.000,107405.554,3735.051,7793.221,0.007,0.000
62,16.924,128139.823,119949.901,0.000,3456.259,128139.823,0.000,109649.631,4591.072,5985.084,0.009,0.000
63,17.301,128115.684,121715.872,0.000,2508.891,128115.684,0.000,111825.250,5643.361,4523.820,0.010,0.000
64,17.679,129348.910,124356.537,228.929,1844.915,129348.910,0.000,114322.945,6945.264,3364.019,1.209,0.331
65,18.056,130699.416,127828.184,457.859,1393.446,130699.416,0.000,117099.179,8543.799,2460.012,2.410,0.663
66,18.433,131059.159,132215.293,686.788,1095.720,131059.159,0.000,120279.076,10506.634,1768.184,3.612,0.996
67,18.810,133481.554,137711.933,915.718,905.782,133481.554,0.000,123996.891,12854.683,1248.518,4.816,1.328
