ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Pb-212,Ra-224,continuum
226,79.465,364.012,233.467,143.772,0.000,364.012,0.000,224.140,9.327,0.000
227,79.844,273.325,233.852,144.377,0.000,273.325,0.000,224.346,9.506,0.000
228,80.224,238.475,233.859,144.983,0.000,238.475,0.000,224.171,9.688,0.000
229,80.604,291.785,233.506,145.589,0.000,291.785,0.000,223.633,9.873,0.000
230,80.983,257.701,232.813,146.195,0.000,257.701,0.000,222.752,10.060,0.000
231,81.363,275.630,231.806,146.801,0.000,275.630,0.000,221.558,10.248,0.000
232,81.743,301.563,230.518,147.407,0.000,301.563,0.000,220.082,10.436,0.000
233,82.122,232.748,228.983,148.013,0.000,232.748,0.000,218.360,10.622,0.000
234,82.502,334.408,227.239,148.618,0.000,334.408,0.000,216.433,10.806,0.000
235,82.882,283.847,225.327,149.224,0.000,283.847,0.000,214.341,10.986,0.000
236,83.262,250.025,223.288,149.830,0.000,250.025,0.000,212.126,11.162,0.000
237,83.641,234.588,221.163,150.436,0.000,234.588,0.000,209.831,11.332,0.000
238,84.021,230.832,218.992,151.042,0.000,230.832,0.000,207.496,11.495,0.000
239,84.401,302.032,216.813,151.648,0.000,302.032,0.000,205.161,11.652,0.000
240,84.781,241.059,214.662,152.254,0.000,241.059,0.000,202.862,11.800,0.000
241,85.161,181.701,212.570,152.859,0.000,181.701,0.000,200.630,11.940,0.000
242,85.541,208.319,208.674,151.575,0.000,208.319,0.000,196.735,11.939,0.000
243,85.920,174.967,204.887,150.290,0.000,174.967,0.000,192.959,11.927,0.000
244,86.300,189.113,201.226,149.006,0.000,189.113,0.000,189.321,11.905,0.000
245,86.680,116.059,197.705,147.721,0.000,116.059,0.000,185.832,11.873,0.000
246,87.060,111.704,194.330,146.437,0.000,111.704,0.000,182.499,11.831,0.000
247,87.440,209.312,191.104,145.152,0.000,209.312,0.000,179.323,11.781,0.000
248,87.820,154.318,188.024,143.868,0.000,154.318,0.000,176.302,11.722,0.000
249,88.200,154.360,185.085,142.583,0.000,154.360,0.000,173.429,11.655,0.000
250,88.580,141.253,182.276,141.299,0.000,141.253,0.000,170.693,11.583,0.000
