ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Th-232,Rn-220,continuum
209,73.014,177.895,166.872,162.609,0.000,177.895,0.000,0.487,0.567,3.028,0.053,0.026,0.028,0.075,0.000,162.609
210,73.393,283.551,167.722,163.165,0.000,283.551,0.000,0.483,0.597,3.298,0.055,0.026,0.029,0.070,0.000,163.165
211,73.772,281.088,168.594,163.721,0.000,281.088,0.000,0.480,0.627,3.588,0.056,0.027,0.030,0.065,0.000,163.721
212,74.152,294.375,169.486,164.277,0.000,294.375,0.000,0.477,0.658,3.898,0.058,0.027,0.032,0.060,0.000,164.277
213,74.531,290.300,170.399,164.833,0.000,290.300,0.000,0.474,0.689,4.227,0.059,0.028,0.033,0.055,0.000,164.833
214,74.911,340.173,171.329,165.389,0.000,340.173,0.000,0.473,0.719,4.574,0.061,0.029,0.035,0.050,0.000,165.389
215,75.290,292.247,172.275,165.945,0.000,292.247,0.000,0.471,0.749,4.937,0.062,0.029,0.037,0.045,0.000,165.945
216,75.669,355.490,173.235,166.501,0.000,355.490,0.000,0.470,0.777,5.314,0.063,0.030,0.039,0.041,0.000,166.501
217,76.049,393.137,174.204,167.057,0.000,393.137,0.000,0.470,0.803,5.701,0.064,0.031,0.041,0.036,0.000,167.057
218,76.428,324.902,175.179,167.613,0.000,324.902,0.000,0.470,0.828,6.096,0.065,0.032,0.044,0.032,0.000,167.613
219,76.808,293.707,176.158,168.170,0.000,293.707,0.000,0.470,0.849,6.495,0.065,0.033,0.047,0.028,0.000,168.170
220,77.187,301.551,177.134,168.726,0.000,301.551,0.000,0.470,0.868,6.895,0.065,0.034,0.051,0.024,0.000,168.726
221,77.567,284.302,178.104,169.282,0.000,284.302,0.000,0.471,0.884,7.290,0.065,0.036,0.055,0.021,0.000,169.282
222,77.946,306.642,179.064,169.838,0.000,306.642,0.000,0.472,0.896,7.677,0.065,0.038,0.060,0.018,0.000,169.838
223,78.326,255.049,180.009,170.394,0.000,255.049,0.000,0.474,0.904,8.052,0.065,0.040,0.065,0.016,0.000,170.394
224,78.706,336.056,180.934,170.950,0.000,336.056,0.000,0.475,0.909,8.408,0.064,0.042,0.072,0.013,0.000,170.950
225,79.085,292.207,181.834,171.506,0.000,292.207,0.000,0.477,0.909,8.743,0.063,0.045,0.079,0.011,0.000,171.506
226,79.465,364.012,182.706,172.062,0.000,364.012,0.000,0.479,0.906,9.052,0.062,0.047,0.087,0.009,0.000,172.062
227,79.844,273.325,183.545,172.618,0.000,273.325,0.000,0.482,0.900,9.330,0.061,0.051,0.096,0.008,0.000,172.618
228,80.224,238.475,184.348,173.174,0.000,238.475,0.000,0.484,0.890,9.574,0.060,0.054,0.105,0.006,0.000,173.174
229,80.604,291.785,185.113,173.730,0.000,291.785,0.000,0.487,0.876,9.781,0.058,0.058,0.116,0.005,0.000,173.730
230,80.983,257.701,185.836,174.286,0.000,257.701,0.000,0.491,0.860,9.948,0.057,0.062,0.128,0.004,0.000,174.286
231,81.363,275.630,186.516,174.843,0.000,275.630,0.000,0.495,0.841,10.072,0.055,0.066,0.141,0.003,0.000,174.843
232,81.743,301.563,187.152,175.399,0.000,301.563,0.000,0.499,0.819,10.152,0.054,0.071,0.156,0.003,0.000,175.399
233,82.122,232.748,187.743,175.955,0.000,232.748,0.000,0.505,0.796,10.188,0.052,0.075,0.171,0.002,0.000,175.955
234,82.502,334.408,188.291,176.511,0.000,334.408,0.000,0.511,0.772,10.178,0.050,0.080,0.187,0.002,0.000,176.511
235,82.882,283.847,188.796,177.067,0.000,283.847,0.000,0.518,0.747,10.125,0.048,0.086,0.204,0.001,0.000,177.067
236,83.262,250.025,189.260,177.623,0.000,250.025,0.000,0.526,0.721,10.030,0.047,0.091,0.222,0.001,0.000,177.623
237,83.641,234.588,189.686,178.179,0.000,234.588,0.000,0.535,0.695,9.894,0.045,0.097,0.241,0.001,0.000,178.179
238,84.021,230.832,190.076,178.735,0.000,230.832,0.000,0.545,0.669,9.721,0.043,0.102,0.260,0.001,0.000,178.735
239,84.401,302.032,190.435,179.291,0.000,302.032,0.000,0.558,0.644,9.513,0.042,0.108,0.280,0.001,0.000,179.291
240,84.781,241.059,190.767,179.847,0.000,241.059,0.000,0.572,0.619,9.276,0.040,0.113,0.299,0.000,0.000,179.847
241,85.161,181.701,191.075,180.403,0.000,181.701,0.000,0.588,0.596,9.012,0.039,0.118,0.319,0.000,0.000,180.403
242,85.541,208.319,189.293,178.887,0.000,208.319,0.000,0.606,0.574,8.727,0.038,0.123,0.338,0.000,0.000,178.887
243,85.920,174.967,187.498,177.371,0.000,174.967,0.000,0.626,0.553,8.425,0.037,0.128,0.357,0.000,0.000,177.371
244,86.300,189.113,185.693,175.855,0.000,189.113,0.000,0.649,0.534,8.112,0.036,0.132,0.374,0.000,0.000,175.855
245,86.680,116.059,183.885,174.339,0.000,116.059,0.000,0.675,0.517,7.791,0.035,0.136,0.391,0.000,0.000,174.339
246,87.060,111.704,182.076,172.823,0.000,111.704,0.000,0.704,0.501,7.468,0.034,0.140,0.406,0.000,0.000,172.823
247,87.440,209.312,180.271,171.307,0.000,209.312,0.000,0.736,0.486,7.147,0.033,0.143,0.420,0.000,0.000,171.307
248,87.820,154.318,178.475,169.791,0.000,154.318,0.000,0.771,0.473,6.831,0.032,0.145,0.431,0.000,0.000,169.791
249,88.200,154.360,176.689,168.275,0.000,154.360,0.000,0.810,0.460,6.524,0.032,0.147,0.441,0.000,0.000,168.275
250,88.580,141.253,174.917,166.759,0.000,141.253,0.000,0.852,0.449,6.229,0.031,0.148,0.448,0.000,0.000,166.759
251,88.960,121.687,173.160,165.243,0.000,121.687,0.000,0.898,0.439,5.948,0.031,0.148,0.453,0.000,0.000,165.243
252,89.340,127.533,171.420,163.727,0.000,127.533,0.000,0.947,0.430,5.682,0.030,0.148,0.455,0.000,0.000,163.727
253,89.720,104.306,169.698,162.211,0.000,104.306,0.000,1.000,0.421,5.434,0.030,0.147,0.455,0.000,0.000,162.211
254,90.100,173.343,167.994,160.695,0.000,173.343,0.000,1.056,0.413,5.203,0.030,0.146,0.452,0.000,0.000,160.695
255,90.480,197.451,166.308,159.179,0.000,197.451,0.000,1.115,0.405,4.989,0.029,0.144,0.446,0.000,0.000,159.179
256,90.860,140.765,164.639,157.664,0.000,140.765,0.000,1.177,0.397,4.793,0.029,0.141,0.438,0.000,0.000,157.664
257,91.241,77.759,162.985,156.148,0.000,77.759,0.000,1.241,0.389,4.612,0.029,0.138,0.428,0.000,0.000,156.148
258,91.621,137.026,161.346,154.632,0.000,137.026,0.000,1.308,0.382,4.445,0.028,0.135,0.416,0.000,0.000,154.632
259,92.001,169.878,159.718,153.116,0.000,169.878,0.000,1.377,0.374,4.291,0.028,0.131,0.401,0.000,0.000,153.116
260,92.381,49.650,158.101,151.600,0.000,49.650,0.000,1.446,0.366,4.149,0.028,0.127,0.385,0.000,0.000,151.600
261,92.761,101.668,156.493,150.084,0.000,101.668,0.000,1.517,0.358,4.015,0.028,0.123,0.368,0.000,0.000,150.084
262,93.141,66.735,154.889,148.568,0.000,66.735,0.000,1.588,0.350,3.889,0.027,0.119,0.349,0.000,0.000,148.568
263,93.521,113.365,153.290,147.052,0.000,113.365,0.000,1.658,0.342,3.768,0.027,0.115,0.329,0.000,0.000,147.052
264,93.902,117.882,151.692,145.536,0.000,117.882,0.000,1.727,0.334,3.650,0.027,0.110,0.308,0.000,0.000,145.536
265,94.282,59.032,150.093,144.020,0.000,59.032,0.000,1.795,0.325,3.534,0.026,0.106,0.288,0.000,0.000,144.020
266,94.662,73.758,148.493,142.504,0.000,73.758,0.000,1.860,0.317,3.418,0.026,0.102,0.267,0.000,0.000,142.504
267,95.042,95.384,146.888,140.988,0.000,95.384,0.000,1.922,0.308,3.301,0.026,0.098,0.246,0.000,0.000,140.988
268,95.423,70.452,145.279,139.472,0.000,70.452,0.000,1.980,0.300,3.182,0.025,0.094,0.225,0.000,0.000,139.472
269,95.803,127.648,143.663,137.956,0.000,127.648,0.000,2.034,0.292,3.061,0.025,0.090,0.205,0.000,0.000,137.956
270,96.183,36.464,142.041,136.440,0.000,36.464,0.000,2.084,0.284,2.937,0.025,0.086,0.186,0.000,0.000,136.440
271,96.564,76.312,140.412,134.924,0.000,76.312,0.000,2.128,0.276,2.810,0.024,0.083,0.168,0.000,0.000,134.924
272,96.944,24.383,138.776,133.408,0.000,24.383,0.000,2.166,0.268,2.680,0.024,0.080,0.150,0.000,0.000,133.408
273,97.324,32.825,137.133,131.892,0.000,32.825,0.000,2.198,0.261,2.548,0.024,0.077,0.134,0.000,0.000,131.892
274,97.705,52.695,135.484,130.376,0.000,52.695,0.000,2.224,0.254,2.414,0.023,0.075,0.119,0.000,0.000,130.376
275,98.085,70.301,133.829,128.860,0.000,70.301,0.000,2.243,0.247,2.279,0.023,0.073,0.105,0.000,0.000,128.860
276,98.466,11.501,132.169,127.344,0.000,11.501,0.000,2.256,0.241,2.144,0.022,0.070,0.092,0.000,0.000,127.344
277,98.846,50.208,130.505,125.828,0.000,50.208,0.000,2.262,0.235,2.009,0.022,0.068,0.080,0.000,0.000,125.828
278,99.226,0.000,128.837,124.312,0.000,-27.113,0.000,2.262,0.229,1.876,0.022,0.067,0.070,0.000,0.000,124.312
279,99.607,74.383,127.167,122.796,0.000,74.383,0.000,2.255,0.224,1.746,0.021,0.065,0.060,0.000,0.000,122.796
280,99.987,7.279,125.496,121.280,0.000,7.279,0.000,2.243,0.219,1.618,0.021,0.063,0.052,0.000,0.000,121.280
281,100.368,26.874,123.826,119.764,0.000,26.874,0.000,49.744,27.902,38.212,4.166,3.224,0.508,0.021,0.047,0.000
282,100.748,44.211,122.156,118.248,0.000,44.211,0.000,49.076,27.599,37.611,4.122,3.186,0.494,0.021,0.046,0.000
283,101.129,38.146,120.488,116.732,0.000,38.146,0.000,48.400,27.294,37.022,4.078,3.147,0.481,0.021,0.046,0.000
284,101.509,55.051,118.824,115.216,0.000,55.051,0.000,47.720,26.985,36.443,4.032,3.109,0.469,0.020,0.045,0.000
285,101.890,36.002,117.163,113.700,0.000,36.002,0.000,47.034,26.673,35.875,3.987,3.070,0.458,0.020,0.045,0.000
286,102.271,46.748,115.507,112.184,0.000,46.748,0.000,46.346,26.359,35.318,3.941,3.031,0.448,0.020,0.044,0.000
287,102.651,41.932,113.856,110.668,0.000,41.932,0.000,45.654,26.042,34.771,3.894,2.991,0.439,0.020,0.044,0.000
288,103.032,9.342,112.211,109.152,0.000,9.342,0.000,44.962,25.723,34.234,3.847,2.951,0.430,0.020,0.043,0.000
289,103.412,38.251,110.572,107.636,0.000,38.251,0.000,44.268,25.401,33.706,3.800,2.912,0.422,0.019,0.043,0.000
290,103.793,40.509,108.939,106.120,0.000,40.509,0.000,43.575,25.076,33.188,3.752,2.872,0.415,0.019,0.042,0.000
291,104.174,44.025,107.313,104.604,0.000,44.025,0.000,42.882,24.750,32.677,3.704,2.831,0.408,0.019,0.042,0.000
292,104.554,42.507,105.694,103.088,0.000,42.507,0.000,42.191,24.421,32.174,3.656,2.791,0.401,0.019,0.041,0.000
293,104.935,10.050,104.081,101.572,0.000,10.050,0.000,41.501,24.090,31.679,3.607,2.751,0.394,0.018,0.040,0.000
294,105.316,40.283,102.475,100.056,0.000,40.283,0.000,40.815,23.757,31.189,3.558,2.710,0.388,0.018,0.040,0.000
295,105.696,0.000,100.876,98.540,0.000,-12.625,0.000,40.131,23.423,30.705,3.509,2.670,0.382,0.018,0.039,0.000
296,106.077,23.241,99.283,97.024,0.000,23.241,0.000,39.451,23.086,30.226,3.459,2.629,0.375,0.018,0.039,0.000
297,106.458,55.669,97.696,95.508,0.000,55.669,0.000,38.773,22.749,29.751,3.409,2.588,0.369,0.017,0.038,0.000
298,106.839,20.131,96.114,93.992,0.000,20.131,0.000,38.100,22.409,29.280,3.359,2.548,0.363,0.017,0.038,0.000
299,107.219,0.000,94.538,92.476,0.000,-16.294,0.000,37.430,22.069,28.812,3.308,2.507,0.358,0.017,0.037,0.000
300,107.600,0.000,92.967,90.960,0.000,-47.446,0.000,36.764,21.727,28.347,3.258,2.466,0.352,0.017,0.037,0.000
301,107.981,0.000,91.400,89.444,0.000,-13.534,0.000,36.101,21.384,27.884,3.207,2.425,0.346,0.016,0.036,0.000
302,108.362,24.341,89.837,87.928,0.000,24.341,0.000,35.442,21.040,27.423,3.156,2.385,0.340,0.016,0.035,0.000
303,108.743,0.000,88.278,86.412,0.000,-19.490,0.000,34.786,20.694,26.963,3.105,2.344,0.334,0.016,0.035,0.000
304,109.123,39.611,86.722,84.896,0.000,39.611,0.000,34.133,20.348,26.504,3.053,2.303,0.329,0.016,0.034,0.000
305,109.504,16.288,85.169,83.380,0.000,16.288,0.000,33.484,20.001,26.047,3.002,2.263,0.323,0.015,0.034,0.000
306,109.885,3.199,83.618,81.864,0.000,3.199,0.000,32.837,19.653,25.589,2.950,2.222,0.317,0.015,0.033,0.000
307,110.266,0.000,82.069,80.348,0.000,-35.098,0.000,32.193,19.304,25.133,2.898,2.182,0.312,0.015,0.033,0.000
308,110.647,21.931,80.522,78.832,0.000,21.931,0.000,31.551,18.955,24.676,2.846,2.141,0.306,0.015,0.032,0.000
309,111.028,67.678,78.976,77.316,0.000,67.678,0.000,30.911,18.605,24.220,2.794,2.101,0.300,0.014,0.031,0.000
310,111.409,0.000,77.432,75.800,0.000,-11.456,0.000,30.274,18.253,23.764,2.741,2.061,0.294,0.014,0.031,0.000
311,111.790,0.000,75.889,74.284,0.000,-51.188,0.000,29.638,17.902,23.307,2.689,2.020,0.288,0.014,0.030,0.000
312,112.171,0.000,74.346,72.768,0.000,-21.033,0.000,29.004,17.549,22.850,2.636,1.980,0.283,0.014,0.030,0.000
313,112.552,0.000,72.804,71.252,0.000,-86.369,0.000,28.372,17.196,22.393,2.583,1.939,0.277,0.013,0.029,0.000
314,112.933,0.000,71.262,69.736,0.000,-31.285,0.000,27.741,16.843,21.936,2.530,1.899,0.271,0.013,0.028,0.000
315,113.314,0.000,69.721,68.220,0.000,-4.421,0.000,27.112,16.488,21.478,2.477,1.859,0.265,0.013,0.028,0.000
316,113.695,0.000,68.180,66.704,0.000,-12.108,0.000,26.485,16.134,21.020,2.424,1.818,0.260,0.012,0.027,0.000
317,114.076,0.000,66.639,65.188,0.000,-6.385,0.000,25.859,15.778,20.561,2.371,1.778,0.254,0.012,0.027,0.000
318,114.457,0.000,65.099,63.672,0.000,-15.419,0.000,25.234,15.422,20.102,2.317,1.737,0.248,0.012,0.026,0.000
319,114.838,17.543,63.559,62.156,0.000,17.543,0.000,24.611,15.066,19.642,2.264,1.697,0.242,0.012,0.025,0.000
320,115.219,25.088,62.019,60.640,0.000,25.088,0.000,23.990,14.709,19.181,2.210,1.656,0.237,0.011,0.025,0.000
321,115.600,15.116,60.480,59.124,0.000,15.116,0.000,23.370,14.351,18.720,2.157,1.616,0.231,0.011,0.024,0.000
322,115.982,13.182,58.941,57.608,0.000,13.182,0.000,22.752,13.993,18.258,2.103,1.575,0.225,0.011,0.024,0.000
323,116.363,0.000,57.403,56.092,0.000,-63.928,0.000,22.135,13.635,17.795,2.049,1.535,0.219,0.010,0.023,0.000
324,116.744,0.000,55.865,54.576,0.000,-18.563,0.000,21.521,13.276,17.332,1.995,1.494,0.213,0.010,0.022,0.000
325,117.125,0.000,54.328,53.060,0.000,-2.660,0.000,20.909,12.917,16.868,1.941,1.454,0.208,0.010,0.022,0.000
326,117.506,3.179,52.791,51.544,0.000,3.179,0.000,20.298,12.557,16.403,1.887,1.413,0.202,0.010,0.021,0.000
327,117.888,17.421,51.256,50.028,0.000,17.421,0.000,19.690,12.197,15.937,1.833,1.372,0.196,0.009,0.021,0.000
328,118.269,0.000,49.721,48.512,0.000,-39.750,0.000,19.084,11.836,15.471,1.779,1.331,0.190,0.009,0.020,0.000
329,118.650,0.000,48.187,46.996,0.000,-25.840,0.000,18.480,11.475,15.003,1.725,1.291,0.185,0.009,0.019,0.000
330,119.031,30.218,46.654,45.480,0.000,30.218,0.000,17.878,11.114,14.535,1.671,1.250,0.179,0.009,0.019,0.000
331,119.413,0.000,45.122,43.964,0.000,-31.415,0.000,17.279,10.753,14.065,1.616,1.209,0.173,0.008,0.018,0.000
332,119.794,2.131,43.591,42.448,0.000,2.131,0.000,16.681,10.391,13.595,1.562,1.168,0.167,0.008,0.018,0.000
