ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Pb-212,Ac-228,Tl-208,Bi-212,Ra-224,Th-228,Th-232,Rn-220
58,15.920,358.071,322.636,1.042,0.000,358.071,321.593,107.746,103.181,62.169,40.107,7.714,1.352,0.222,0.144
59,16.297,351.056,321.274,0.833,0.000,351.056,320.440,107.795,103.100,62.086,38.866,7.696,1.362,0.224,0.144
60,16.674,346.802,319.641,0.625,0.000,346.802,319.015,107.824,103.006,61.992,37.399,7.678,1.371,0.226,0.144
61,17.051,320.640,317.787,0.417,0.000,320.640,317.368,107.834,102.906,61.890,35.744,7.661,1.380,0.227,0.144
62,17.427,321.609,315.750,0.208,0.000,321.609,315.539,107.820,102.801,61.780,33.943,7.644,1.387,0.228,0.144
63,17.804,311.864,313.561,0.000,0.000,311.864,313.556,107.776,102.690,61.661,32.038,7.627,1.394,0.230,0.144
64,18.181,281.150,313.030,1.587,0.000,281.150,311.438,108.351,103.194,61.890,30.153,7.652,1.410,0.233,0.145
65,18.558,269.900,312.368,3.173,0.000,269.900,309.187,108.870,103.678,62.100,28.236,7.674,1.425,0.237,0.145
66,18.935,241.875,311.567,4.760,0.000,241.875,306.796,109.312,104.129,62.282,26.322,7.693,1.439,0.242,0.146
67,19.312,223.932,310.602,6.347,0.000,223.932,304.242,109.654,104.529,62.425,24.442,7.707,1.452,0.246,0.146
68,19.689,239.478,309.441,7.934,0.000,239.478,301.489,109.870,104.858,62.518,22.621,7.713,1.463,0.251,0.146
69,20.066,170.094,308.034,9.520,0.000,170.094,298.491,109.932,105.092,62.547,20.878,7.709,1.471,0.257,0.147
70,20.443,175.780,306.325,11.107,0.000,175.780,295.188,109.810,105.205,62.498,19.230,7.694,1.477,0.263,0.147
71,20.820,172.729,304.246,12.694,0.000,172.729,291.514,109.475,105.169,62.356,17.684,7.666,1.480,0.270,0.146
72,21.198,128.035,301.725,14.280,0.000,128.035,287.397,108.898,104.955,62.104,16.245,7.621,1.480,0.277,0.146
73,21.575,108.002,298.687,15.867,0.000,108.002,282.760,108.050,104.532,61.728,14.914,7.557,1.475,0.285,0.145
74,21.952,100.691,295.055,17.454,0.000,100.691,277.528,106.909,103.871,61.211,13.686,7.474,1.467,0.293,0.143
75,22.329,79.518,290.760,19.041,0.000,79.518,271.630,105.454,102.944,60.538,12.557,7.369,1.453,0.301,0.141
76,22.706,66.217,285.739,20.627,0.000,66.217,265.003,103.670,101.725,59.698,11.519,7.241,1.435,0.310,0.139
77,23.083,79.009,279.943,22.214,0.000,79.009,257.600,101.550,100.195,58.678,10.563,7.088,1.412,0.319,0.137
78,23.460,64.778,273.340,23.801,0.000,64.778,249.385,99.092,98.336,57.473,9.682,6.911,1.384,0.328,0.133
79,23.838,40.841,265.917,25.388,0.000,40.841,240.349,96.304,96.141,56.077,8.868,6.709,1.350,0.337,0.130
80,24.215,34.252,257.684,26.974,0.000,34.252,230.500,93.202,93.608,54.492,8.114,6.484,1.312,0.345,0.126
81,24.592,40.687,248.678,28.561,0.000,40.687,219.875,89.813,90.744,52.722,7.417,6.237,1.269,0.353,0.121
82,24.969,76.108,238.958,30.148,0.000,76.108,208.534,86.169,87.568,50.777,6.774,5.971,1.223,0.360,0.116
83,25.346,40.490,228.610,31.734,0.000,40.490,196.564,82.312,84.104,48.673,6.184,5.686,1.174,0.365,0.111
84,25.724,40.753,217.743,33.321,0.000,40.753,184.072,78.292,80.387,46.431,5.647,5.388,1.122,0.369,0.105
85,26.101,54.990,206.485,34.908,0.000,54.990,171.188,74.161,76.461,44.075,5.165,5.080,1.069,0.372,0.099
86,26.478,40.579,194.979,36.495,0.000,40.579,158.055,69.978,72.377,41.635,4.739,4.766,1.016,0.374,0.093
87,26.856,37.904,183.379,38.081,0.000,37.904,144.827,65.800,68.190,39.144,4.370,4.451,0.964,0.374,0.087
88,27.233,33.382,171.843,39.668,0.000,33.382,131.663,61.686,63.959,36.635,4.059,4.138,0.913,0.372,0.080
89,27.610,46.118,160.528,41.255,0.000,46.118,118.721,57.691,59.747,34.144,3.806,3.832,0.865,0.368,0.074
90,27.988,28.477,149.583,42.841,0.000,28.477,106.150,53.867,55.613,31.706,3.607,3.538,0.820,0.363,0.068
91,28.365,10.752,139.146,44.428,0.000,10.752,94.088,50.258,51.616,29.355,3.461,3.258,0.779,0.356,0.062
92,28.743,16.365,129.335,46.015,0.000,16.365,82.653,46.902,47.808,27.120,3.361,2.996,0.743,0.347,0.056
93,29.120,46.001,120.249,47.602,0.000,46.001,71.946,43.829,44.235,25.028,3.304,2.755,0.710,0.337,0.051
94,29.497,19.043,111.965,49.188,0.000,19.043,62.042,41.058,40.935,23.099,3.281,2.536,0.683,0.326,0.046
95,29.875,28.126,104.532,50.775,0.000,28.126,52.993,38.603,37.936,21.349,3.287,2.340,0.661,0.313,0.042
96,30.252,28.990,97.978,52.362,0.000,28.990,44.825,36.466,35.259,19.788,3.316,2.168,0.643,0.299,0.038
97,30.630,10.806,92.308,53.949,0.000,10.806,37.542,34.644,32.912,18.421,3.361,2.020,0.629,0.284,0.034
98,31.007,37.180,87.504,55.535,0.000,37.180,31.128,33.127,30.897,17.246,3.418,1.895,0.620,0.269,0.031
99,31.385,17.282,83.531,57.122,0.000,17.282,25.548,31.899,29.205,16.258,3.480,1.792,0.614,0.254,0.029
100,31.763,6.828,80.341,58.709,0.000,6.828,20.753,30.940,27.822,15.447,3.546,1.709,0.612,0.239,0.027
