ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb,Xray-Pb-L,pile-up,continuum
227,79.306,149482.457,141444.261,7851.360,0.000,149482.457,116894.103,118778.364,0.000,15076.684,0.000,0.000,7851.360
228,79.684,149606.618,140700.227,7770.987,0.000,149606.618,116657.287,118745.002,0.000,14453.394,0.000,0.000,7770.987
229,80.063,147955.380,139977.424,7690.613,0.000,147955.380,116397.249,118710.366,0.000,13845.549,0.000,0.000,7690.613
230,80.442,147143.385,139269.198,7610.240,0.000,147143.385,116108.446,118671.301,0.000,13256.711,0.000,0.000,7610.240
231,80.821,145727.385,138576.076,7529.867,0.000,145727.385,115785.865,118625.432,0.000,12689.736,0.000,0.000,7529.867
232,81.200,144293.488,137902.135,7449.493,0.000,144293.488,115427.079,118573.250,0.000,12146.778,0.000,0.000,7449.493
233,81.579,142354.687,137247.335,7369.120,0.000,142354.687,115030.346,118516.240,0.000,11629.304,0.000,0.000,7369.120
234,81.958,141918.644,136614.878,7288.747,0.000,141918.644,114592.961,118455.276,0.000,11138.127,0.000,0.000,7288.747
235,82.337,141019.396,136002.450,7208.373,0.000,141019.396,114108.439,118387.840,0.000,10673.452,0.000,0.000,7208.373
236,82.716,140223.931,135406.578,7128.000,0.000,140223.931,113569.259,118310.805,0.000,10234.932,0.000,0.000,7128.000
237,83.095,139292.002,134835.487,7047.627,0.000,139292.002,112971.314,118224.983,0.000,9821.736,0.000,0.000,7047.627
238,83.474,139121.757,134316.007,6967.253,0.000,139121.757,112310.612,118131.678,0.000,9432.619,0.000,0.000,6967.253
239,83.853,138400.951,133769.562,6886.880,0.000,138400.951,111583.196,118032.181,0.000,9066.000,0.000,0.000,6886.880
240,84.232,137757.511,133436.650,7008.809,0.000,137757.511,110785.181,117923.257,0.000,8720.039,0.000,0.000,7008.809
241,84.611,137127.911,133110.613,7130.738,0.000,137127.911,109912.791,117802.569,0.000,8392.716,0.000,0.000,7130.738
242,84.991,136518.834,132790.155,7252.667,0.000,136518.834,108962.405,117670.949,0.000,8081.905,0.000,0.000,7252.667
243,85.370,135493.755,132474.416,7374.596,0.000,135493.755,107930.601,117529.699,0.000,7785.443,0.000,0.000,7374.596
244,85.749,134915.742,132162.294,7496.525,0.000,134915.742,106814.207,117379.849,0.000,7501.198,0.000,0.000,7496.525
245,86.128,134311.916,131848.007,7618.454,0.000,134311.916,105610.349,117217.664,0.000,7227.124,0.000,0.000,7618.454
246,86.507,134082.916,131528.616,7740.383,0.000,134082.916,104316.507,117042.115,0.000,6961.309,0.000,0.000,7740.383
247,86.886,133246.277,131203.157,7862.312,0.000,133246.277,102930.564,116853.976,0.000,6702.017,0.000,0.000,7862.312
248,87.265,132296.044,130862.805,7984.241,0.000,132296.044,101450.867,116654.587,0.000,6447.721,0.000,0.000,7984.241
249,87.644,132015.594,130519.064,8106.170,0.000,132015.594,99876.269,116444.127,0.000,6197.121,0.000,0.000,8106.170
250,88.023,131722.154,130168.596,8228.099,0.000,131722.154,98206.185,116219.645,0.000,5949.161,0.000,0.000,8228.099
251,88.403,131393.431,129804.464,8350.028,0.000,131393.431,96440.635,115979.669,0.000,5703.031,0.000,0.000,8350.028
252,88.782,130060.502,129426.871,8471.957,0.000,130060.502,94580.282,115724.964,0.000,5458.169,0.000,0.000,8471.957
253,89.161,130345.507,129036.785,8593.886,0.000,130345.507,92626.472,115456.825,0.000,5214.249,0.000,0.000,8593.886
254,89.540,128932.249,128634.095,8715.815,0.000,128932.249,90581.252,115175.247,0.000,4971.164,0.000,0.000,8715.815
255,89.919,128449.817,128216.550,8837.744,0.000,128449.817,88447.395,114877.882,0.000,4729.010,0.000,0.000,8837.744
256,90.299,128536.218,127783.476,8959.673,0.000,128536.218,86228.407,114563.785,0.000,4488.061,0.000,0.000,8959.673
257,90.678,127602.681,127336.381,9081.603,0.000,127602.681,83928.524,114234.038,0.000,4248.740,0.000,0.000,9081.603
258,91.057,127033.876,126882.820,9203.532,0.000,127033.876,81552.700,113890.210,0.000,4011.596,0.000,0.000,9203.532
259,91.436,125826.978,126455.492,9325.461,0.000,125826.978,79106.587,113534.432,0.000,3777.270,0.000,0.000,9325.461
260,91.816,125275.152,125981.706,9447.390,0.000,125275.152,76596.499,113169.482,0.000,3546.471,0.000,0.000,9447.390
261,92.195,124755.365,125505.873,9569.319,0.000,124755.365,74029.367,112798.210,0.000,3319.946,0.000,0.000,9569.319
262,92.574,123798.912,125026.427,9691.248,0.000,123798.912,71412.687,112418.293,0.000,3098.454,0.000,0.000,9691.248
263,92.953,123150.648,124539.689,9813.177,0.000,123150.648,68754.454,112025.304,0.000,2882.743,0.000,0.000,9813.177
264,93.333,122968.674,124046.447,9935.106,0.000,122968.674,66063.089,111619.314,0.000,2673.529,0.000,0.000,9935.106
265,93.712,122157.196,123548.754,10057.035,0.000,122157.196,63347.360,111201.710,0.000,2471.476,0.000,0.000,10057.035
266,94.091,121947.209,123048.930,10178.964,0.000,121947.209,60616.295,110774.214,0.000,2277.186,0.000,0.000,10178.964
267,94.471,121011.751,122549.599,10300.893,0.000,121011.751,57879.089,110338.926,0.000,2091.181,0.000,0.000,10300.893
268,94.850,119988.086,122053.726,10422.822,0.000,119988.086,55145.013,109898.374,0.000,1913.898,0.000,0.000,10422.822
269,95.229,119615.782,121558.717,10544.751,0.000,119615.782,52423.318,109455.602,0.000,1745.681,0.000,0.000,10544.751
270,95.609,119408.672,121075.612,10666.680,0.000,119408.672,49723.136,109014.052,0.000,1586.782,0.000,0.000,10666.680
271,95.988,118950.388,120611.992,10788.609,0.000,118950.388,47053.391,108577.892,0.000,1437.357,0.000,0.000,10788.609
272,96.367,117910.762,120162.749,10910.538,0.000,117910.762,44422.706,108146.573,0.000,1297.471,0.000,0.000,10910.538
273,96.747,117891.234,119724.445,11032.467,0.000,117891.234,41839.321,107716.678,0.000,1167.098,0.000,0.000,11032.467
274,97.126,117742.910,119297.154,11154.396,0.000,117742.910,39311.011,107288.390,0.000,1046.133,0.000,0.000,11154.396
275,97.506,117537.079,118882.638,11276.325,0.000,117537.079,36845.020,106863.650,0.000,934.394,0.000,0.000,11276.325
276,97.885,116452.181,118482.801,11398.254,0.000,116452.181,34447.996,106444.611,0.000,831.632,0.000,0.000,11398.254
277,98.265,117169.427,118099.761,11520.183,0.000,117169.427,32125.938,106033.699,0.000,737.542,0.000,0.000,11520.183
278,98.644,116574.677,117735.829,11642.112,0.000,116574.677,29884.159,105633.580,0.000,651.766,0.000,0.000,11642.112
279,99.023,115514.478,117393.626,11764.041,0.000,115514.478,27727.248,105247.271,0.000,573.910,0.000,0.000,11764.041
280,99.403,115882.606,117086.821,11885.970,0.000,115882.606,25659.057,104878.232,0.000,503.547,0.000,0.000,11885.970
281,99.782,115583.923,116796.329,12007.899,0.000,115583.923,23682.686,104528.998,0.000,440.229,0.000,0.000,12007.899
282,100.162,115664.941,116528.293,12129.828,0.000,115664.941,21800.485,115877.391,427.486,383.667,0.000,21.516,0.000
283,100.541,115776.361,116280.805,12251.757,0.000,115776.361,20014.068,115675.825,432.034,333.020,0.000,21.745,0.000
284,100.921,115769.928,116053.144,12373.686,0.000,115769.928,18324.328,115488.355,436.587,288.020,0.000,21.974,0.000
285,101.300,115476.851,115845.876,12495.615,0.000,115476.851,16731.470,115316.089,441.144,248.206,0.000,22.203,0.000
286,101.680,115756.025,115659.737,12617.544,0.000,115756.025,15235.048,115160.211,445.705,213.127,0.000,22.433,0.000
287,102.059,114822.877,115495.640,12739.473,0.000,114822.877,13834.004,115022.071,450.271,182.347,0.000,22.663,0.000
288,102.439,115265.432,115354.798,12861.402,0.000,115265.432,12526.718,114903.298,454.842,155.452,0.000,22.893,0.000
289,102.819,115176.289,115238.711,12983.331,0.000,115176.289,11311.064,114805.785,459.417,132.047,0.000,23.123,0.000
290,103.198,115163.908,115163.453,13105.260,0.000,115163.908,10184.460,114731.784,463.997,111.762,0.000,23.354,0.000
291,103.578,114780.141,115120.052,13227.189,0.000,114780.141,9143.934,114683.652,468.581,94.253,0.000,23.584,0.000
292,103.957,114816.534,115082.300,13349.118,0.000,114816.534,8186.173,114656.111,473.171,79.202,0.000,23.815,0.000
293,104.337,114982.205,115063.133,13471.047,0.000,114982.205,7307.589,114644.984,477.765,66.315,0.000,24.047,0.000
294,104.717,115464.077,115061.593,13592.976,0.000,115464.077,6504.376,114649.583,482.364,55.325,0.000,24.278,0.000
295,105.096,114674.908,115077.277,13714.905,0.000,114674.908,5772.563,114669.745,486.967,45.990,0.000,24.510,0.000
296,105.476,115353.806,115110.066,13836.834,0.000,115353.806,5108.066,114705.568,491.576,38.093,0.000,24.742,0.000
297,105.855,115630.128,115160.024,13958.763,0.000,115630.128,4506.744,114757.314,496.190,31.439,0.000,24.974,0.000
298,106.235,115640.773,115227.485,14080.693,0.000,115640.773,3964.438,114825.488,500.809,25.854,0.000,25.206,0.000
299,106.615,115112.780,115313.110,14202.622,0.000,115112.780,3477.018,114910.905,505.433,21.185,0.000,25.439,0.000
300,106.994,115351.463,115417.954,14324.551,0.000,115351.463,3040.416,115014.754,510.062,17.297,0.000,25.672,0.000
301,107.374,115849.972,115518.959,14446.480,0.000,115849.972,2650.663,115136.581,514.701,14.072,0.000,25.905,0.000
302,107.754,115816.476,115653.919,14568.409,0.000,115816.476,2303.913,115271.698,519.341,11.407,0.000,26.139,0.000
303,108.133,116073.921,115800.873,14690.338,0.000,116073.921,1996.469,115415.935,523.994,9.214,0.000,26.373,0.000
304,108.513,116273.857,115956.515,14812.267,0.000,116273.857,1724.801,115568.467,528.645,7.416,0.000,26.607,0.000
305,108.893,116476.282,116120.344,14934.196,0.000,116476.282,1485.562,115728.841,533.310,5.947,0.000,26.841,0.000
306,109.273,115922.824,116292.014,15056.125,0.000,115922.824,1275.596,115896.785,537.973,4.752,0.000,27.076,0.000
307,109.652,116338.624,116471.486,15178.054,0.000,116338.624,1091.948,116072.292,542.648,3.784,0.000,27.310,0.000
308,110.032,116536.412,116659.025,15299.983,0.000,116536.412,931.865,116255.680,547.323,3.002,0.000,27.546,0.000
309,110.412,116523.928,116855.307,15421.912,0.000,116523.928,792.796,116447.645,552.010,2.373,0.000,27.781,0.000
310,110.792,116332.366,117061.360,15543.841,0.000,116332.366,672.394,116649.255,556.697,1.870,0.000,28.017,0.000
311,111.171,116787.476,117285.461,15665.770,0.000,116787.476,568.507,116860.523,561.396,1.468,0.000,28.253,0.000
312,111.551,116890.760,117519.002,15787.699,0.000,116890.760,479.175,117073.607,566.095,1.148,0.000,28.489,0.000
313,111.931,117546.959,117736.121,15909.628,0.000,117546.959,402.620,117286.012,570.807,0.895,0.000,28.726,0.000
314,112.311,117567.437,117951.925,16031.557,0.000,117567.437,337.237,117497.047,575.519,0.695,0.000,28.963,0.000
315,112.691,116882.785,118165.919,16153.486,0.000,116882.785,281.586,117706.224,580.237,0.538,0.000,29.200,0.000
316,113.071,117569.456,118377.847,16275.415,0.000,117569.456,234.380,117913.286,584.969,0.415,0.000,29.437,0.000
317,113.450,118244.230,118587.710,16397.344,0.000,118244.230,194.472,118118.256,589.701,0.319,0.000,29.675,0.000
318,113.830,118239.256,118795.857,16519.273,0.000,118239.256,160.850,118321.477,594.445,0.244,0.000,29.913,0.000
319,114.210,117416.218,119002.996,16641.202,0.000,117416.218,132.620,118523.672,599.189,0.186,0.000,30.151,0.000
320,114.590,117819.044,119210.290,16763.131,0.000,117819.044,108.997,118725.995,603.947,0.141,0.000,30.390,0.000
321,114.970,118882.599,119416.613,16885.060,0.000,118882.599,89.298,118927.336,608.705,0.107,0.000,30.629,0.000
322,115.350,118156.972,119593.826,17006.989,0.000,118156.972,72.926,119123.257,613.477,0.081,0.000,30.868,0.000
323,115.730,118610.179,119779.165,17128.918,0.000,118610.179,59.366,119310.731,618.249,0.061,0.000,31.107,0.000
324,116.110,118635.353,119962.905,17250.847,0.000,118635.353,48.172,119489.438,623.036,0.046,0.000,31.347,0.000
325,116.490,119438.108,120137.769,17372.776,0.000,119438.108,38.964,119659.263,627.823,0.034,0.000,31.587,0.000
326,116.869,119372.870,120303.888,17494.705,0.000,119372.870,31.416,119820.330,632.622,0.026,0.000,31.828,0.000
327,117.249,119362.870,120461.650,17616.634,0.000,119362.870,25.248,119973.033,637.424,0.019,0.000,32.068,0.000
328,117.629,119415.553,120611.820,17738.563,0.000,119415.553,20.226,120118.128,642.240,0.014,0.000,32.309,0.000
329,118.009,120424.908,120755.323,17860.492,0.000,120424.908,16.150,120256.554,647.057,0.011,0.000,32.550,0.000
330,118.389,120291.688,120893.631,17982.421,0.000,120291.688,12.855,120389.771,651.886,0.008,0.000,32.792,0.000
331,118.769,119647.696,121027.161,18104.350,0.000,119647.696,10.199,120518.207,656.719,0.006,0.000,33.034,0.000
332,119.149,119899.773,121154.007,18226.279,0.000,119899.773,8.065,120636.034,661.565,0.004,0.000,33.276,0.000
333,119.529,120509.921,121283.226,18348.208,0.000,120509.921,6.357,120742.213,666.414,0.003,0.000,33.518,0.000
334,119.909,119846.644,121383.079,18470.137,0.000,119846.644,4.995,120836.942,671.277,0.002,0.000,33.761,0.000
