spectrum,peak_kev,peak_counts,snr,fwhm_ch,fwhm_kev,nuclide,line_kev,intensity_pct,miss_kev,miss_fwhm,tol_pct,range_min_kev,range_max_kev,candidates,label_text,label_token
AS80_Th232_v2,339.418,4.0,121.729,82.220,30.310,Ac-228,338.000,11.27,1.418,0.0468,10,30.100,2799.918,Ac-228,Ac-228,Ac-228
AS80_Th232_v2,463.706,0.0,15.537,62.138,22.927,Ac-228,463.000,4.4,0.706,0.0308,10,30.100,2799.918,Ac-228,Ac-228,Ac-228
AS80_Th232_v2,509.466,0.0,26.226,64.190,23.692,Tl-208,510.000,8.1224,0.534,0.0226,10,30.100,2799.918,Tl-208|Annihilation,Tl-208 / Annihilation,Tl-208
AS80_Th232_v2,587.365,2.0,172.004,122.892,45.383,Tl-208,583.000,30.549,4.365,0.0962,10,30.100,2799.918,Tl-208,Tl-208,Tl-208
AS80_Th232_v2,730.724,0.0,35.871,117.678,43.502,Bi-212,727.330,6.67,3.394,0.0780,10,30.100,2799.918,Bi-212|Ac-228,Bi-212 / Ac-228,Bi-212
AS80_Th232_v2,910.497,0.0,91.383,157.664,58.358,Ac-228,911.000,25.8,0.503,0.0086,10,30.100,2799.918,Ac-228,Ac-228,Ac-228
AS80_Th232_v2,965.288,0.0,36.640,140.873,52.163,Ac-228,964.000,4.99,1.288,0.0247,10,30.100,2799.918,Ac-228,Ac-228,Ac-228
AS80_Th232_v2,1113.108,0.0,35.863,177.090,65.642,Eu-152,1111.000,13.67,2.108,0.0321,10,30.100,2799.918,Eu-152|Bi-214,Eu-152 / Bi-214,Eu-152
AS80_Th232_v2,1444.130,0.0,54.698,210.995,78.392,K-40,1460.000,10.66,15.870,0.2025,10,30.100,2799.918,K-40,K-40,K-40
AS80_Th232_v2,1598.399,0.0,34.165,188.119,69.968,Ac-228,1588.000,3.22,10.399,0.1486,10,30.100,2799.918,Ac-228,Ac-228,Ac-228
AS80_Th232_v2,1755.069,0.0,22.554,188.915,70.341,Bi-214,1764.000,15.29,8.931,0.1270,10,30.100,2799.918,Bi-214,Bi-214,Bi-214
AS80_Th232_v2,2114.829,0.0,35.674,270.874,101.111,Tl-208 SE,2103.000,0,11.829,0.1170,10,30.100,2799.918,Tl-208 SE,Tl-208 SE,Tl-208
AS80_Th232_v2,2612.890,0.0,124.314,326.286,122.215,Tl-208,2614.000,35.8516,1.110,0.0091,10,30.100,2799.918,Tl-208,Tl-208,Tl-208
