file	print	parse	print_NUM	parse_NUM	total
BecquerelMonitor/IntegerTextBox.cs	0	2	0	2	2
BecquerelMonitor/MeasurementController.cs	2	0	0	0	2
BecquerelMonitor/NuclideSetForm.cs	2	0	0	0	2
BecquerelMonitor/ObsidianDeviceController.cs	2	0	0	0	2
BecquerelMonitor/PowerFwhmCalibration.cs	2	0	0	0	2
BecquerelMonitor/RadiaCodeDeviceController.cs	2	0	0	0	2
BecquerelMonitor/SimpleSqrtFwhmCalibration.cs	2	0	0	0	2
BecquerelMonitor/SpectrumCutOffDialog.cs	0	2	0	2	2
BecquerelMonitor/SqrtFwhmCalibration.cs	2	0	0	0	2
BecquerelMonitor/EfficiencyMaker/GeometryModel.cs	2	0	2	0	2
BecquerelMonitor/FullSpectrumAnalysis/FsaCascadeSummer.cs	2	0	0	0	2
BecquerelMonitor/FullSpectrumAnalysis/FsaCompositionInference.cs	2	0	0	0	2
BecquerelMonitor/NucBase/NucBaseFramework.cs	0	2	0	2	2
BecquerelMonitor/XPTable/Models/CellPos.cs	2	0	2	0	2
BecquerelMonitor/XPTable/Renderers/DoubleCellRenderer.cs	0	2	0	2	2
BecquerelMonitor/XPTable/Renderers/NumberCellRenderer.cs	0	2	0	2	2
BecquerelMonitor/AppLog.cs	1	0	0	0	1
BecquerelMonitor/ChanNumberChangeDialog.cs	0	1	0	1	1
BecquerelMonitor/EnergySpectrum.cs	1	0	1	0	1
BecquerelMonitor/GeometryMaterialEditorForm.cs	1	0	1	0	1
BecquerelMonitor/NuclideDefinition.cs	1	0	0	0	1
BecquerelMonitor/Package.cs	1	0	0	0	1
BecquerelMonitor/Program.cs	1	0	0	0	1
BecquerelMonitor/SelectDeviceDialog.cs	1	0	0	0	1
BecquerelMonitor/CoreAudioApi/PropVariant.cs	1	0	0	0	1
BecquerelMonitor/EfficiencyMaker/BremsstrahlungData.cs	1	0	0	0	1
BecquerelMonitor/EfficiencyMaker/EfficiencyCalculation.cs	1	0	0	0	1
BecquerelMonitor/EfficiencyMaker/EfficiencyCurveGraph.cs	1	0	1	0	1
BecquerelMonitor/EfficiencyMaker/GeometryMaterialLibrary.cs	1	0	0	0	1
BecquerelMonitor/FullSpectrumAnalysis/FsaCalculationOptions.cs	1	0	0	0	1
BecquerelMonitor/N42/RadInstrumentData.cs	1	0	0	0	1
BecquerelMonitor/NucBase/DataBase.cs	1	0	0	0	1
BecquerelMonitor/NucBase/Decay.cs	1	0	1	0	1
BecquerelMonitor/NucBase/DecayRad.cs	1	0	1	0	1
BecquerelMonitor/XPTable/Editors/ComboBoxCellEditor.cs	1	0	0	0	1
BecquerelMonitor/XPTable/Editors/DateTimeCellEditor.cs	1	0	1	0	1
BecquerelMonitor/XPTable/Models/DataSourceColumnBinder.cs	1	0	0	0	1
BecquerelMonitor/XPTable/Models/DateTimeColumn.cs	1	0	0	0	1
BecquerelMonitor/XPTable/Renderers/DateTimeCellRenderer.cs	1	0	1	0	1
BecquerelMonitor/XPTable/Renderers/ProgressBarCellRenderer.cs	1	0	0	0	1
ИТОГО	923	174	217	164	1097
