ch,keV,net,model,continuum_raw,Tl-208,Ac-228,Ra-224,Pb-212,Bi-212,Th-228,Rn-220,Xray-Pb,Xray-Th,Xray-Ba
1338,452.878,201.025,222.836,133.823,133.084,74.916,0.000,0.004,12.086,0.000,2.745,0.000,0.000,0.000
1339,453.225,250.729,222.971,133.597,132.946,75.206,0.000,0.004,12.072,0.000,2.742,0.000,0.000,0.000
1340,453.572,224.765,223.103,133.371,132.811,75.493,0.000,0.004,12.056,0.000,2.739,0.000,0.000,0.000
1341,453.918,244.506,223.231,133.146,132.678,75.775,0.000,0.003,12.039,0.000,2.736,0.000,0.000,0.000
1342,454.265,253.357,223.357,132.920,132.548,76.053,0.000,0.003,12.020,0.000,2.733,0.000,0.000,0.000
1343,454.612,205.320,223.478,132.694,132.420,76.325,0.000,0.003,11.999,0.000,2.730,0.000,0.000,0.000
1344,454.958,204.173,223.595,132.469,132.296,76.592,0.000,0.003,11.977,0.000,2.727,0.000,0.000,0.000
1345,455.305,244.098,223.708,132.243,132.175,76.854,0.000,0.003,11.953,0.000,2.724,0.000,0.000,0.000
1346,455.651,231.987,223.817,132.017,132.057,77.108,0.000,0.002,11.928,0.000,2.721,0.000,0.000,0.000
1347,455.998,249.801,223.920,131.792,131.943,77.356,0.000,0.002,11.901,0.000,2.719,0.000,0.000,0.000
1348,456.345,247.763,224.019,131.566,131.833,77.596,0.000,0.002,11.872,0.000,2.716,0.000,0.000,0.000
1349,456.691,261.914,224.113,131.341,131.727,77.829,0.000,0.002,11.842,0.000,2.713,0.000,0.000,0.000
1350,457.038,256.616,224.201,131.115,131.625,78.053,0.000,0.002,11.811,0.000,2.710,0.000,0.000,0.000
1351,457.384,240.803,224.283,130.889,131.527,78.268,0.000,0.002,11.778,0.000,2.708,0.000,0.000,0.000
1352,457.731,223.506,224.356,130.664,131.433,78.473,0.000,0.002,11.743,0.000,2.705,0.000,0.000,0.000
1353,458.077,262.468,224.420,130.438,131.341,78.668,0.000,0.001,11.708,0.000,2.702,0.000,0.000,0.000
1354,458.424,251.764,224.474,130.212,131.252,78.850,0.000,0.001,11.670,0.000,2.700,0.000,0.000,0.000
1355,458.771,217.876,224.519,129.987,131.167,79.022,0.000,0.001,11.632,0.000,2.697,0.000,0.000,0.000
1356,459.117,275.949,224.554,129.761,131.085,79.181,0.000,0.001,11.592,0.000,2.695,0.000,0.000,0.000
1357,459.464,216.840,224.578,129.535,131.006,79.328,0.000,0.001,11.551,0.000,2.692,0.000,0.000,0.000
1358,459.810,264.394,224.592,129.310,130.931,79.462,0.000,0.001,11.508,0.000,2.689,0.000,0.000,0.000
1359,460.157,261.838,224.596,129.084,130.860,79.583,0.000,0.001,11.465,0.000,2.687,0.000,0.000,0.000
1360,460.503,251.987,224.588,128.858,130.793,79.690,0.000,0.001,11.420,0.000,2.685,0.000,0.000,0.000
1361,460.850,258.506,224.570,128.633,130.729,79.783,0.000,0.001,11.375,0.000,2.682,0.000,0.000,0.000
1362,461.196,273.729,224.541,128.407,130.670,79.863,0.000,0.001,11.328,0.000,2.680,0.000,0.000,0.000
1363,461.543,276.394,224.502,128.181,130.615,79.928,0.000,0.001,11.281,0.000,2.677,0.000,0.000,0.000
1364,461.889,256.395,224.451,127.956,130.565,79.978,0.000,0.001,11.232,0.000,2.675,0.000,0.000,0.000
1365,462.236,243.874,224.390,127.730,130.520,80.014,0.000,0.001,11.183,0.000,2.673,0.000,0.000,0.000
1366,462.582,228.543,224.319,127.504,130.479,80.035,0.000,0.001,11.134,0.000,2.670,0.000,0.000,0.000
1367,462.929,249.468,224.237,127.279,130.444,80.041,0.000,0.001,11.083,0.000,2.668,0.000,0.000,0.000
1368,463.275,247.098,224.145,127.053,130.415,80.032,0.000,0.001,11.033,0.000,2.666,0.000,0.000,0.000
1369,463.622,241.394,224.044,126.827,130.391,80.008,0.000,0.000,10.981,0.000,2.664,0.000,0.000,0.000
1370,463.968,216.542,223.933,126.602,130.373,79.968,0.000,0.000,10.930,0.000,2.662,0.000,0.000,0.000
1371,464.315,255.135,223.813,126.376,130.361,79.914,0.000,0.000,10.878,0.000,2.660,0.000,0.000,0.000
1372,464.661,243.506,223.685,126.150,130.356,79.845,0.000,0.000,10.826,0.000,2.658,0.000,0.000,0.000
1373,465.008,256.319,223.549,125.925,130.358,79.761,0.000,0.000,10.774,0.000,2.656,0.000,0.000,0.000
1374,465.354,272.246,223.401,125.699,130.364,79.661,0.000,0.000,10.721,0.000,2.654,0.000,0.000,0.000
1375,465.701,262.060,223.243,125.473,130.377,79.545,0.000,0.000,10.669,0.000,2.652,0.000,0.000,0.000
1376,466.047,240.802,223.075,125.248,130.394,79.414,0.000,0.000,10.616,0.000,2.650,0.000,0.000,0.000
1377,466.394,255.394,222.896,125.022,130.417,79.266,0.000,0.000,10.563,0.000,2.649,0.000,0.000,0.000
1378,466.740,275.802,222.707,124.796,130.446,79.103,0.000,0.000,10.511,0.000,2.647,0.000,0.000,0.000
1379,467.087,243.171,222.509,124.571,130.481,78.924,0.000,0.000,10.458,0.000,2.645,0.000,0.000,0.000
1380,467.433,206.321,222.301,124.345,130.522,78.730,0.000,0.000,10.405,0.000,2.644,0.000,0.000,0.000
1381,467.780,260.505,222.085,124.119,130.569,78.521,0.000,0.000,10.353,0.000,2.642,0.000,0.000,0.000
1382,468.126,242.802,221.861,123.894,130.622,78.297,0.000,0.000,10.300,0.000,2.641,0.000,0.000,0.000
1383,468.472,260.431,221.629,123.668,130.682,78.059,0.000,0.000,10.248,0.000,2.639,0.000,0.000,0.000
1384,468.819,242.394,221.390,123.442,130.749,77.807,0.000,0.000,10.196,0.000,2.638,0.000,0.000,0.000
1385,469.165,279.506,221.145,123.217,130.824,77.540,0.000,0.000,10.145,0.000,2.637,0.000,0.000,0.000
1386,469.512,287.911,220.895,122.991,130.905,77.260,0.000,0.000,10.093,0.000,2.635,0.000,0.000,0.000
1387,469.858,236.245,220.639,122.765,130.994,76.968,0.000,0.000,10.043,0.000,2.634,0.000,0.000,0.000
1388,470.205,251.949,220.380,122.540,131.092,76.662,0.000,0.000,9.993,0.000,2.633,0.000,0.000,0.000
1389,470.551,231.913,220.117,122.314,131.197,76.345,0.000,0.000,9.943,0.000,2.632,0.000,0.000,0.000
1390,470.897,240.282,219.852,122.088,131.311,76.016,0.000,0.000,9.894,0.000,2.631,0.000,0.000,0.000
1391,471.244,225.468,219.586,121.863,131.434,75.676,0.000,0.000,9.846,0.000,2.630,0.000,0.000,0.000
1392,471.590,275.135,219.319,121.637,131.567,75.325,0.000,0.000,9.798,0.000,2.630,0.000,0.000,0.000
1393,471.937,245.506,219.053,121.411,131.709,74.964,0.000,0.000,9.751,0.000,2.629,0.000,0.000,0.000
1394,472.283,213.060,218.788,121.186,131.860,74.594,0.000,0.000,9.705,0.000,2.628,0.000,0.000,0.000
1395,472.629,258.950,218.526,120.960,132.023,74.215,0.000,0.000,9.660,0.000,2.628,0.000,0.000,0.000
1396,472.976,207.727,218.266,120.735,132.195,73.828,0.000,0.000,9.615,0.000,2.628,0.000,0.000,0.000
1397,473.322,244.135,218.007,120.509,132.377,73.431,0.000,0.000,9.572,0.000,2.627,0.000,0.000,0.000
1398,473.668,243.691,217.750,120.283,132.568,73.027,0.000,0.000,9.528,0.000,2.627,0.000,0.000,0.000
1399,474.015,244.431,217.496,120.058,132.768,72.614,0.000,0.000,9.486,0.000,2.627,0.000,0.000,0.000
1400,474.361,277.096,217.245,119.832,132.979,72.194,0.000,0.000,9.444,0.000,2.627,0.000,0.000,0.000
1401,474.707,231.541,216.999,119.606,133.200,71.768,0.000,0.000,9.403,0.000,2.627,0.000,0.000,0.000
1402,475.054,243.913,216.757,119.381,133.432,71.335,0.000,0.000,9.363,0.000,2.627,0.000,0.000,0.000
1403,475.400,224.801,216.522,119.155,133.674,70.897,0.000,0.000,9.324,0.000,2.628,0.000,0.000,0.000
1404,475.747,220.541,216.295,118.929,133.928,70.454,0.000,0.000,9.285,0.000,2.628,0.000,0.000,0.000
1405,476.093,249.023,216.075,118.704,134.193,70.007,0.000,0.000,9.247,0.000,2.628,0.000,0.000,0.000
1406,476.439,280.133,215.864,118.478,134.470,69.555,0.000,0.000,9.210,0.000,2.629,0.000,0.000,0.000
1407,476.785,272.207,215.663,118.252,134.759,69.101,0.000,0.000,9.173,0.000,2.630,0.000,0.000,0.000
1408,477.132,273.208,215.474,118.027,135.062,68.644,0.000,0.000,9.138,0.000,2.631,0.000,0.000,0.000
1409,477.478,219.688,215.296,117.801,135.377,68.185,0.000,0.000,9.103,0.000,2.632,0.000,0.000,0.000
1410,477.824,229.135,215.131,117.575,135.706,67.724,0.000,0.000,9.069,0.000,2.633,0.000,0.000,0.000
1411,478.171,219.985,214.981,117.350,136.049,67.263,0.000,0.000,9.036,0.000,2.634,0.000,0.000,0.000
1412,478.517,277.394,214.847,117.124,136.407,66.801,0.000,0.000,9.003,0.000,2.635,0.000,0.000,0.000
1413,478.863,231.986,214.728,116.898,136.780,66.340,0.000,0.000,8.972,0.000,2.637,0.000,0.000,0.000
1414,479.210,261.505,214.628,116.673,137.169,65.879,0.000,0.000,8.941,0.000,2.638,0.000,0.000,0.000
1415,479.556,193.764,214.546,116.447,137.573,65.421,0.000,0.000,8.912,0.000,2.640,0.000,0.000,0.000
1416,479.902,236.356,214.483,116.221,137.995,64.964,0.000,0.000,8.883,0.000,2.642,0.000,0.000,0.000
1417,480.248,233.283,214.442,115.996,138.433,64.509,0.000,0.000,8.855,0.000,2.644,0.000,0.000,0.000
1418,480.595,203.319,214.422,115.770,138.890,64.058,0.000,0.000,8.828,0.000,2.647,0.000,0.000,0.000
1419,480.941,211.245,214.424,115.544,139.363,63.610,0.000,0.000,8.801,0.000,2.649,0.000,0.000,0.000
1420,481.287,213.576,214.447,115.319,139.854,63.165,0.000,0.000,8.776,0.000,2.652,0.000,0.000,0.000
1421,481.633,246.726,214.491,115.093,140.362,62.724,0.000,0.000,8.751,0.000,2.655,0.000,0.000,0.000
1422,481.980,258.208,214.558,114.867,140.889,62.286,0.000,0.000,8.726,0.000,2.658,0.000,0.000,0.000
1423,482.326,222.245,214.649,114.642,141.434,61.852,0.000,0.000,8.702,0.000,2.661,0.000,0.000,0.000
1424,482.672,246.911,214.764,114.416,141.998,61.422,0.000,0.000,8.679,0.000,2.664,0.000,0.000,0.000
1425,483.018,214.096,214.904,114.190,142.582,60.998,0.000,0.000,8.657,0.000,2.668,0.000,0.000,0.000
1426,483.365,234.985,215.071,113.965,143.187,60.578,0.000,0.000,8.635,0.000,2.672,0.000,0.000,0.000
1427,483.711,243.912,215.265,113.739,143.812,60.164,0.000,0.000,8.613,0.000,2.676,0.000,0.000,0.000
1428,484.057,248.060,215.488,113.513,144.460,59.756,0.000,0.000,8.592,0.000,2.680,0.000,0.000,0.000
1429,484.403,230.615,215.740,113.288,145.129,59.354,0.000,0.000,8.572,0.000,2.684,0.000,0.000,0.000
1430,484.749,242.244,216.021,113.062,145.822,58.959,0.000,0.000,8.552,0.000,2.689,0.000,0.000,0.000
1431,485.096,203.540,216.335,112.836,146.538,58.570,0.000,0.000,8.533,0.000,2.694,0.000,0.000,0.000
1432,485.442,209.874,216.680,112.611,147.279,58.188,0.000,0.000,8.514,0.000,2.699,0.000,0.000,0.000
1433,485.788,200.799,217.059,112.385,148.045,57.813,0.000,0.000,8.496,0.000,2.704,0.000,0.000,0.000
1434,486.134,242.392,217.472,112.159,148.838,57.446,0.000,0.000,8.478,0.000,2.710,0.000,0.000,0.000
1435,486.480,225.504,217.920,111.934,149.657,57.087,0.000,0.000,8.461,0.000,2.716,0.000,0.000,0.000
1436,486.827,229.578,218.405,111.708,150.504,56.735,0.000,0.000,8.445,0.000,2.722,0.000,0.000,0.000
1437,487.173,212.504,218.928,111.482,151.380,56.392,0.000,0.000,8.428,0.000,2.728,0.000,0.000,0.000
1438,487.519,232.355,219.490,111.257,152.286,56.057,0.000,0.000,8.413,0.000,2.735,0.000,0.000,0.000
1439,487.865,204.800,220.092,111.031,153.222,55.731,0.000,0.000,8.398,0.000,2.742,0.000,0.000,0.000
1440,488.211,244.505,220.735,110.805,154.190,55.413,0.000,0.000,8.383,0.000,2.749,0.000,0.000,0.000
1441,488.557,238.912,221.420,110.580,155.190,55.104,0.000,0.000,8.369,0.000,2.757,0.000,0.000,0.000
1442,488.904,219.467,222.149,110.354,156.224,54.804,0.000,0.000,8.356,0.000,2.765,0.000,0.000,0.000
1443,489.250,204.467,222.922,110.128,157.293,54.514,0.000,0.000,8.343,0.000,2.773,0.000,0.000,0.000
1444,489.596,228.615,223.740,109.903,158.397,54.232,0.000,0.000,8.330,0.000,2.781,0.000,0.000,0.000
1445,489.942,217.171,224.604,109.677,159.538,53.958,0.000,0.000,8.317,0.000,2.790,0.000,0.000,0.000
1446,490.288,229.319,225.513,109.452,160.718,53.691,0.000,0.000,8.305,0.000,2.800,0.000,0.000,0.000
1447,490.634,236.318,226.471,109.226,161.936,53.432,0.000,0.000,8.293,0.000,2.809,0.000,0.000,0.000
1448,490.980,263.431,227.476,109.000,163.195,53.181,0.000,0.000,8.281,0.000,2.819,0.000,0.000,0.000
1449,491.326,242.171,228.529,108.775,164.493,52.937,0.000,0.000,8.269,0.000,2.829,0.000,0.000,0.000
1450,491.672,244.985,229.623,108.549,165.825,52.700,0.000,0.000,8.258,0.000,2.840,0.000,0.000,0.000
1451,492.019,232.504,230.755,108.323,167.186,52.471,0.000,0.000,8.246,0.000,2.851,0.000,0.000,0.000
1452,492.365,236.688,231.925,108.098,168.578,52.249,0.000,0.000,8.235,0.000,2.863,0.000,0.000,0.000
1453,492.711,253.948,233.135,107.872,170.001,52.035,0.000,0.000,8.225,0.000,2.875,0.000,0.000,0.000
1454,493.057,253.169,234.383,107.646,171.455,51.827,0.000,0.000,8.214,0.000,2.887,0.000,0.000,0.000
1455,493.403,247.911,235.670,107.421,172.940,51.626,0.000,0.000,8.204,0.000,2.900,0.000,0.000,0.000
1456,493.749,261.133,236.994,107.195,174.455,51.433,0.000,0.000,8.193,0.000,2.913,0.000,0.000,0.000
1457,494.095,251.984,238.342,106.969,175.986,51.246,0.000,0.000,8.183,0.000,2.927,0.000,0.000,0.000
1458,494.441,216.873,239.706,106.744,177.525,51.066,0.000,0.000,8.173,0.000,2.941,0.000,0.000,0.000
1459,494.787,220.689,241.083,106.518,179.071,50.892,0.000,0.000,8.164,0.000,2.956,0.000,0.000,0.000
1460,495.133,264.874,242.473,106.292,180.622,50.725,0.000,0.000,8.154,0.000,2.971,0.000,0.000,0.000
1461,495.479,239.652,244.075,106.269,182.320,50.613,0.000,0.000,8.153,0.000,2.990,0.000,0.000,0.000
1462,495.825,276.614,245.686,106.247,184.019,50.507,0.000,0.000,8.151,0.000,3.009,0.000,0.000,0.000
1463,496.171,247.800,247.304,106.224,185.717,50.408,0.000,0.000,8.150,0.000,3.029,0.000,0.000,0.000
1464,496.517,252.578,248.926,106.201,187.413,50.314,0.000,0.000,8.149,0.000,3.050,0.000,0.000,0.000
1465,496.863,224.541,250.549,106.178,189.105,50.226,0.000,0.000,8.148,0.000,3.071,0.000,0.000,0.000
1466,497.209,262.133,252.172,106.155,190.790,50.142,0.000,0.000,8.147,0.000,3.092,0.000,0.000,0.000
1467,497.555,225.170,253.792,106.132,192.468,50.064,0.000,0.000,8.146,0.000,3.114,0.000,0.000,0.000
1468,497.901,240.429,255.407,106.109,194.135,49.989,0.000,0.000,8.146,0.000,3.137,0.000,0.000,0.000
1469,498.247,256.095,257.015,106.087,195.790,49.919,0.000,0.000,8.145,0.000,3.161,0.000,0.000,0.000
1470,498.593,253.911,258.613,106.064,197.432,49.853,0.000,0.000,8.144,0.000,3.185,0.000,0.000,0.000
1471,498.939,288.762,260.201,106.041,199.057,49.791,0.000,0.000,8.143,0.000,3.210,0.000,0.000,0.000
1472,499.285,248.356,261.774,106.018,200.665,49.732,0.000,0.000,8.142,0.000,3.235,0.000,0.000,0.000
1473,499.631,257.799,263.332,105.995,202.252,49.677,0.000,0.000,8.141,0.000,3.261,0.000,0.000,0.000
1474,499.977,243.059,264.873,105.972,203.818,49.626,0.000,0.000,8.141,0.000,3.288,0.000,0.000,0.000
1475,500.323,259.984,266.393,105.949,205.360,49.578,0.000,0.000,8.140,0.000,3.316,0.000,0.000,0.000
1476,500.669,265.651,267.891,105.927,206.876,49.533,0.000,0.000,8.139,0.000,3.344,0.000,0.000,0.000
1477,501.015,288.392,269.366,105.904,208.364,49.491,0.000,0.000,8.138,0.000,3.373,0.000,0.000,0.000
1478,501.361,238.059,270.814,105.881,209.822,49.452,0.000,0.000,8.137,0.000,3.403,0.000,0.000,0.000
1479,501.707,242.541,272.234,105.858,211.248,49.415,0.000,0.000,8.137,0.000,3.434,0.000,0.000,0.000
1480,502.053,241.058,273.624,105.835,212.641,49.382,0.000,0.000,8.136,0.000,3.465,0.000,0.000,0.000
1481,502.399,262.465,274.982,105.812,213.999,49.351,0.000,0.000,8.135,0.000,3.498,0.000,0.000,0.000
1482,502.745,286.614,276.307,105.789,215.319,49.323,0.000,0.000,8.135,0.000,3.531,0.000,0.000,0.000
1483,503.091,236.800,277.596,105.766,216.600,49.297,0.000,0.000,8.134,0.000,3.565,0.000,0.000,0.000
1484,503.436,259.873,278.848,105.744,217.840,49.275,0.000,0.000,8.133,0.000,3.600,0.000,0.000,0.000
1485,503.782,262.318,280.061,105.721,219.038,49.254,0.000,0.000,8.133,0.000,3.636,0.000,0.000,0.000
1486,504.128,266.355,281.234,105.698,220.192,49.236,0.000,0.000,8.133,0.000,3.673,0.000,0.000,0.000
1487,504.474,252.428,282.363,105.675,221.300,49.220,0.000,0.000,8.132,0.000,3.711,0.000,0.000,0.000
1488,504.820,281.874,283.446,105.652,222.359,49.205,0.000,0.000,8.132,0.000,3.750,0.000,0.000,0.000
1489,505.166,299.392,284.481,105.629,223.369,49.190,0.000,0.000,8.132,0.000,3.790,0.000,0.000,0.000
1490,505.512,239.207,285.466,105.606,224.327,49.177,0.000,0.000,8.131,0.000,3.830,0.000,0.000,0.000
1491,505.858,268.540,286.399,105.584,225.233,49.164,0.000,0.000,8.131,0.000,3.872,0.000,0.000,0.000
1492,506.203,255.095,287.280,105.561,226.084,49.151,0.000,0.000,8.130,0.000,3.915,0.000,0.000,0.000
1493,506.549,264.355,288.106,105.538,226.879,49.139,0.000,0.000,8.129,0.000,3.959,0.000,0.000,0.000
1494,506.895,244.911,288.877,105.515,227.618,49.126,0.000,0.000,8.128,0.000,4.005,0.000,0.000,0.000
1495,507.241,311.984,289.592,105.492,228.299,49.114,0.000,0.000,8.127,0.000,4.051,0.000,0.000,0.000
1496,507.587,238.726,290.248,105.469,228.922,49.102,0.000,0.000,8.126,0.000,4.099,0.000,0.000,0.000
1497,507.933,302.948,290.847,105.446,229.485,49.090,0.000,0.000,8.124,0.000,4.148,0.000,0.000,0.000
1498,508.279,297.428,291.386,105.424,229.987,49.078,0.000,0.000,8.123,0.000,4.198,0.000,0.000,0.000
1499,508.624,293.318,291.865,105.401,230.429,49.065,0.000,0.000,8.121,0.000,4.249,0.000,0.000,0.000
1500,508.970,275.762,292.283,105.378,230.809,49.053,0.000,0.000,8.120,0.000,4.302,0.000,0.000,0.000
1501,509.316,270.465,292.640,105.355,231.127,49.040,0.000,0.000,8.118,0.000,4.356,0.000,0.000,0.000
1502,509.662,292.354,292.936,105.332,231.382,49.027,0.000,0.000,8.116,0.000,4.411,0.000,0.000,0.000
1503,510.008,274.948,293.170,105.309,231.575,49.014,0.000,0.000,8.114,0.000,4.468,0.000,0.000,0.000
1504,510.353,266.726,293.342,105.286,231.704,49.001,0.000,0.000,8.112,0.000,4.526,0.000,0.000,0.000
1505,510.699,285.687,293.453,105.264,231.771,48.987,0.000,0.000,8.109,0.000,4.586,0.000,0.000,0.000
1506,511.045,255.244,293.502,105.241,231.774,48.973,0.000,0.000,8.107,0.000,4.647,0.000,0.000,0.000
1507,511.391,274.725,293.490,105.218,231.715,48.960,0.000,0.000,8.104,0.000,4.710,0.000,0.000,0.000
1508,511.736,236.947,293.417,105.195,231.594,48.946,0.000,0.000,8.102,0.000,4.775,0.000,0.000,0.000
1509,512.082,259.243,293.283,105.172,231.410,48.933,0.000,0.000,8.099,0.000,4.841,0.000,0.000,0.000
1510,512.428,285.947,293.089,105.149,231.164,48.919,0.000,0.000,8.097,0.000,4.909,0.000,0.000,0.000
1511,512.774,299.243,292.833,105.126,230.856,48.904,0.000,0.000,8.094,0.000,4.979,0.000,0.000,0.000
1512,513.119,264.132,292.516,105.104,230.487,48.888,0.000,0.000,8.091,0.000,5.050,0.000,0.000,0.000
1513,513.465,288.726,292.139,105.081,230.056,48.872,0.000,0.000,8.087,0.000,5.124,0.000,0.000,0.000
1514,513.811,290.687,291.702,105.058,229.566,48.854,0.000,0.000,8.084,0.000,5.199,0.000,0.000,0.000
1515,514.157,323.208,291.207,105.035,229.016,48.836,0.000,0.000,8.080,0.000,5.276,0.000,0.000,0.000
1516,514.502,287.612,290.655,105.012,228.407,48.817,0.000,0.000,8.075,0.000,5.355,0.000,0.000,0.000
1517,514.848,280.539,290.046,104.989,227.742,48.797,0.000,0.000,8.071,0.000,5.436,0.000,0.000,0.000
1518,515.194,259.540,289.382,104.966,227.021,48.776,0.000,0.000,8.066,0.000,5.519,0.000,0.000,0.000
1519,515.539,248.428,288.665,104.944,226.245,48.754,0.000,0.000,8.061,0.000,5.605,0.000,0.000,0.000
1520,515.885,273.428,287.895,104.921,225.415,48.732,0.000,0.000,8.056,0.000,5.692,0.000,0.000,0.000
1521,516.231,280.946,287.076,104.898,224.534,48.709,0.000,0.000,8.051,0.000,5.782,0.000,0.000,0.000
1522,516.576,268.799,286.207,104.875,223.603,48.685,0.000,0.000,8.045,0.000,5.874,0.000,0.000,0.000
1523,516.922,259.280,285.291,104.852,222.623,48.661,0.000,0.000,8.039,0.000,5.969,0.000,0.000,0.000
1524,517.268,271.539,284.330,104.829,221.596,48.636,0.000,0.000,8.033,0.000,6.066,0.000,0.000,0.000
1525,517.613,250.947,283.326,104.806,220.524,48.611,0.000,0.000,8.026,0.000,6.165,0.000,0.000,0.000
1526,517.959,230.280,282.280,104.783,219.408,48.585,0.000,0.000,8.019,0.000,6.267,0.000,0.000,0.000
1527,518.305,258.873,281.195,104.761,218.251,48.559,0.000,0.000,8.012,0.000,6.372,0.000,0.000,0.000
1528,518.650,284.835,280.074,104.738,217.055,48.534,0.000,0.000,8.005,0.000,6.480,0.000,0.000,0.000
1529,518.996,251.539,278.917,104.715,215.821,48.508,0.000,0.000,7.998,0.000,6.590,0.000,0.000,0.000
1530,519.342,250.204,277.727,104.692,214.552,48.482,0.000,0.000,7.990,0.000,6.703,0.000,0.000,0.000
1531,519.687,256.355,276.507,104.669,213.250,48.456,0.000,0.000,7.982,0.000,6.819,0.000,0.000,0.000
1532,520.033,213.280,275.259,104.646,211.917,48.430,0.000,0.000,7.974,0.000,6.939,0.000,0.000,0.000
1533,520.378,266.020,273.985,104.623,210.554,48.405,0.000,0.000,7.966,0.000,7.061,0.000,0.000,0.000
1534,520.724,278.984,272.686,104.601,209.164,48.379,0.000,0.000,7.957,0.000,7.186,0.000,0.000,0.000
1535,521.070,243.651,271.363,104.578,207.748,48.352,0.000,0.000,7.948,0.000,7.315,0.000,0.000,0.000
1536,521.415,236.798,270.020,104.555,206.308,48.325,0.000,0.000,7.939,0.000,7.447,0.000,0.000,0.000
1537,521.761,257.946,268.658,104.532,204.848,48.298,0.000,0.000,7.929,0.000,7.583,0.000,0.000,0.000
1538,522.106,233.946,267.281,104.509,203.369,48.271,0.000,0.000,7.919,0.000,7.722,0.000,0.000,0.000
1539,522.452,235.279,265.890,104.486,201.872,48.243,0.000,0.000,7.909,0.000,7.865,0.000,0.000,0.000
1540,522.797,217.798,264.487,104.463,200.362,48.215,0.000,0.000,7.899,0.000,8.011,0.000,0.000,0.000
1541,523.143,250.168,263.076,104.441,198.839,48.187,0.000,0.000,7.888,0.000,8.162,0.000,0.000,0.000
1542,523.489,224.021,261.658,104.418,197.306,48.160,0.000,0.000,7.877,0.000,8.316,0.000,0.000,0.000
1543,523.834,230.982,260.237,104.395,195.765,48.132,0.000,0.000,7.865,0.000,8.475,0.000,0.000,0.000
1544,524.180,227.724,258.814,104.372,194.219,48.104,0.000,0.000,7.854,0.000,8.637,0.000,0.000,0.000
1545,524.525,222.797,257.392,104.349,192.669,48.076,0.000,0.000,7.842,0.000,8.804,0.000,0.000,0.000
1546,524.871,205.168,255.973,104.326,191.119,48.049,0.000,0.000,7.830,0.000,8.975,0.000,0.000,0.000
1547,525.216,254.353,254.559,104.303,189.569,48.022,0.000,0.000,7.817,0.000,9.151,0.000,0.000,0.000
1548,525.562,238.686,253.154,104.281,188.022,47.995,0.000,0.000,7.805,0.000,9.332,0.000,0.000,0.000
1549,525.907,211.390,251.759,104.258,186.481,47.969,0.000,0.000,7.792,0.000,9.517,0.000,0.000,0.000
1550,526.253,232.983,250.377,104.235,184.947,47.944,0.000,0.000,7.779,0.000,9.707,0.000,0.000,0.000
1551,526.598,248.686,249.010,104.212,183.423,47.919,0.000,0.000,7.765,0.000,9.902,0.000,0.000,0.000
1552,526.944,207.538,247.660,104.189,181.910,47.895,0.000,0.000,7.752,0.000,10.103,0.000,0.000,0.000
1553,527.289,234.909,246.330,104.166,180.410,47.873,0.000,0.000,7.738,0.000,10.309,0.000,0.000,0.000
1554,527.635,230.019,245.021,104.143,178.926,47.851,0.000,0.000,7.724,0.000,10.520,0.000,0.000,0.000
1555,527.980,239.947,243.736,104.121,177.459,47.830,0.000,0.000,7.710,0.000,10.737,0.000,0.000,0.000
1556,528.325,212.205,242.477,104.098,176.012,47.810,0.000,0.000,7.696,0.000,10.959,0.000,0.000,0.000
1557,528.671,196.020,241.244,104.075,174.584,47.790,0.000,0.000,7.681,0.000,11.188,0.000,0.000,0.000
1558,529.016,214.946,240.038,104.052,173.178,47.771,0.000,0.000,7.666,0.000,11.423,0.000,0.000,0.000
1559,529.362,230.093,238.863,104.029,171.796,47.753,0.000,0.000,7.651,0.000,11.664,0.000,0.000,0.000
1560,529.707,200.094,237.719,104.006,170.437,47.735,0.000,0.000,7.636,0.000,11.911,0.000,0.000,0.000
1561,530.053,233.502,236.609,103.983,169.106,47.717,0.000,0.000,7.621,0.000,12.165,0.000,0.000,0.000
1562,530.398,213.426,235.533,103.960,167.801,47.701,0.000,0.000,7.605,0.000,12.426,0.000,0.000,0.000
1563,530.743,229.724,234.494,103.938,166.526,47.685,0.000,0.000,7.589,0.000,12.693,0.000,0.000,0.000
1564,531.089,193.057,233.492,103.915,165.282,47.669,0.000,0.000,7.573,0.000,12.968,0.000,0.000,0.000
1565,531.434,212.686,232.528,103.892,164.069,47.655,0.000,0.000,7.557,0.000,13.247,0.000,0.000,0.000
1566,531.780,210.945,231.602,103.869,162.888,47.642,0.000,0.000,7.541,0.000,13.531,0.000,0.000,0.000
1567,532.125,208.982,230.715,103.846,161.742,47.629,0.000,0.000,7.524,0.000,13.819,0.000,0.000,0.000
1568,532.470,172.686,229.868,103.823,160.632,47.618,0.000,0.000,7.508,0.000,14.111,0.000,0.000,0.000
1569,532.816,244.908,229.063,103.800,159.557,47.607,0.000,0.000,7.491,0.000,14.407,0.000,0.000,0.000
1570,533.161,191.316,228.298,103.778,158.520,47.598,0.000,0.000,7.474,0.000,14.706,0.000,0.000,0.000
1571,533.506,218.352,227.574,103.755,157.521,47.590,0.000,0.000,7.457,0.000,15.006,0.000,0.000,0.000
1572,533.852,185.242,226.892,103.732,156.561,47.583,0.000,0.000,7.440,0.000,15.308,0.000,0.000,0.000
