spectrum,peak_kev,fwhm_kev,label,line_kev,intensity_pct,verdict,rivals,rival_factor,real_rivals,real_factor,best_rival,best_rival_i,matcher_alts,matcher_factor,near_miss,near_factor
AS80_Lu176,2686.554,313.737,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,1,23.205
ASN16_Lu176,123.081,33.398,Eu-152,125.000,28.53,ПОКАЗАНО,2,135.857,1,11.789,Ac-228,2.42,0,1.000,2,2.603
ASN16_Lu176,152.240,61.472,U-235,145.000,10.96,ПОКАЗАНО,3,12177.778,2,4.529,Ac-228,2.42,0,1.000,6,7.114
ASN16_Lu176,201.412,58.742,Lu-176,202.000,77.9688,ПОКАЗАНО,5,21.420,5,21.420,Ra-226,3.64,0,1.000,4,10.737
ASN16_Lu176,304.315,74.472,Lu-176,307.000,93.6,ПОКАЗАНО,6,58.500,6,58.500,Np-239,1.6,0,1.000,7,12.890
ASN16_Lu176,370.330,51.511,I-131,364.000,81.5,ПОКАЗАНО,4,50937.500,3,3.065,Eu-152,26.59,2,42.448,3,42.448
ASN16_Lu176,601.908,66.558,Bi-214,609.000,45.44,ПОКАЗАНО,2,1.976,2,1.976,Ag-108m,89.8,2,6.350,2,6.350
ASN16_Lu176,1461.409,162.759,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,3,9.379
ASN16_Lu176,2709.870,205.160,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
ASN16_Lu176_P0,202.236,56.485,Lu-176,202.000,77.9688,ПОКАЗАНО,5,21.420,5,21.420,Ra-226,3.64,0,1.000,3,10.737
ASN16_Lu176_P0,306.202,71.653,Lu-176,307.000,93.6,ПОКАЗАНО,6,58.500,6,58.500,Np-239,1.6,0,1.000,7,12.890
G1S16_Am241_P25,60.691,3.736,Am-241,59.541,35.9,ПОКАЗАНО,1,2.786,0,1.000,,,0,1.000,0,1.000
G1S16_Am241_P25,1438.873,28.992,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Am241_P5,96.970,4.470,Np-239,106.000,25.34,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Am241_P5,123.210,4.136,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,0,1.000
G1S16_Ba133_P25,48.227,2.855,Pb-210,46.539,4.25,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Ba133_P25,158.156,6.122,U-235,145.000,10.96,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Ba133_P25,301.512,7.242,Lu-176,307.000,93.6,ПОКАЗАНО,0,1.000,0,1.000,,,5,58.500,1,5.068
G1S16_Ba133_P25,354.589,10.440,Pb-214,353.000,35.7166,ПОКАЗАНО,1,1.737,1,1.737,Ba-133,62.05,4,12.107,2,2.282
G1S16_Ba133_P25,613.849,16.546,Ag-108m,614.000,89.8,ПОКАЗАНО,1,1.976,1,1.976,Bi-214,45.44,3,12.549,0,1.000
G1S16_Ba133_P25,1466.779,25.798,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000
G1S16_Ba133_P25,1788.099,26.418,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Ba133_P25,2627.011,30.577,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Ba133_P5,47.498,2.791,Pb-210,46.539,4.25,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Ba133_P5,155.154,8.084,U-235,145.000,10.96,ПОКАЗАНО,1,12177.778,0,1.000,,,0,1.000,0,1.000
G1S16_Ba133_P5,302.074,7.456,Lu-176,307.000,93.6,ПОКАЗАНО,0,1.000,0,1.000,,,5,58.500,1,5.068
G1S16_Ba133_P5,358.302,10.661,Ba-133,358.000,62.05,ПОКАЗАНО,1,1.737,1,1.737,Pb-214,35.7166,4,21.034,1,1.313
G1S16_Ba133_P5,453.454,7.233,Ac-228,463.000,4.4,ПОКАЗАНО,0,1.000,0,1.000,,,1,20.568,0,1.000
G1S16_Ba133_P5,1471.334,21.062,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000
G1S16_Cd109_P25,345.626,10.963,Eu-152,345.000,26.59,ПОКАЗАНО,0,1.000,0,1.000,,,6,16.619,2,2.359
G1S16_Cd109_P25,610.664,15.828,Bi-214,609.000,45.44,ПОКАЗАНО,1,1.976,1,1.976,Ag-108m,89.8,3,6.350,0,1.000
G1S16_Cd109_P25,1472.472,25.453,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000
G1S16_Cd109_P25,2614.562,30.462,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Cd109_P5,1468.490,22.022,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000
G1S16_Ce139_P25,343.106,9.448,Eu-152,345.000,26.59,ПОКАЗАНО,0,1.000,0,1.000,,,6,16.619,1,2.359
G1S16_Ce139_P25,606.212,13.101,Bi-214,609.000,45.44,ПОКАЗАНО,0,1.000,0,1.000,,,4,6.350,1,1.976
G1S16_Ce139_P25,1452.611,25.376,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Ce139_P25,1762.419,25.183,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Ce139_P25,2609.978,31.008,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Ce139_P5,105.730,5.372,Np-239,106.000,25.34,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Ce139_P5,205.235,3.667,U-237,208.005,21.2,ПОКАЗАНО,0,1.000,0,1.000,,,3,5.450,1,3.678
G1S16_Ce139_P5,1467.391,23.385,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000
G1S16_Co57_P5,120.292,5.215,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,0,1.000
G1S16_Co57_P5,1464.057,29.126,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Co60_P25,237.362,11.126,Pb-212,238.000,43.6,ПОКАЗАНО,1,6.004,1,6.004,Pb-214,7.2615,2,5.775,2,5.775
G1S16_Co60_P25,848.893,13.536,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,4,53.081,0,1.000
G1S16_Co60_P25,908.705,18.600,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000
G1S16_Co60_P25,1170.069,22.156,Co-60,1173.000,99.85,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.127,0,1.000
G1S16_Co60_P25,1329.878,24.232,Co-60,1332.000,99.9826,ПОКАЗАНО,0,1.000,0,1.000,,,3,25.090,0,1.000
G1S16_Co60_P5,229.424,13.680,Np-239,228.000,10.73,ПОКАЗАНО,0,1.000,0,1.000,,,4,4.063,2,4.063
G1S16_Co60_P5,508.906,12.132,Tl-208,510.000,8.1224,ПОКАЗАНО,0,1.000,0,1.000,,,1,1.846,0,1.000
G1S16_Co60_P5,846.830,16.145,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,4,53.081,0,1.000
G1S16_Co60_P5,916.155,19.873,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000
G1S16_Co60_P5,1173.432,21.729,Co-60,1173.000,99.85,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.127,0,1.000
G1S16_Co60_P5,1334.406,24.118,Co-60,1332.000,99.9826,ПОКАЗАНО,0,1.000,0,1.000,,,3,25.090,0,1.000
G1S16_Co60_P5,1589.746,24.228,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,2,4.748,0,1.000
G1S16_Co60_P5,2268.506,35.940,Bi-214,2204.000,4.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000
G1S16_Co60_P5,2546.728,35.726,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Cs137_Mar,198.469,10.924,Lu-176,202.000,77.9688,ПОКАЗАНО,0,1.000,0,1.000,,,4,21.420,1,3.678
G1S16_Cs137_Mar,439.368,12.469,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,0,1.000
G1S16_Cs137_Mar,663.134,15.994,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S16_Cs137_Mar,1453.210,24.135,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Cs137_Mar_2,189.499,8.456,Ra-226,186.211,3.64,ПОКАЗАНО,1,15.659,1,15.659,U-235,57,2,21.420,0,1.000
G1S16_Cs137_Mar_2,441.878,13.447,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,0,1.000
G1S16_Cs137_Mar_2,667.217,15.757,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S16_Cs137_Mar_2,1460.408,26.450,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Cs137_P25,185.850,9.066,U-235,185.715,57,ПОКАЗАНО,1,15.659,1,15.659,Ra-226,3.64,1,1.368,0,1.000
G1S16_Cs137_P25,440.141,12.798,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,0,1.000
G1S16_Cs137_P25,656.937,15.957,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S16_Cs137_P25,1458.695,25.968,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Cs137_P25,1756.360,26.089,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Cs137_P25,2607.084,36.401,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Cs137_P5,186.535,10.066,Ra-226,186.211,3.64,ПОКАЗАНО,1,15.659,1,15.659,U-235,57,1,21.420,0,1.000
G1S16_Cs137_P5,440.311,13.490,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,0,1.000
G1S16_Cs137_P5,661.291,15.587,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S16_Cs137_P5,872.155,15.814,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,5,16.025,0,1.000
G1S16_Cs137_P5,1344.004,30.096,Co-60,1332.000,99.9826,ПОКАЗАНО,0,1.000,0,1.000,,,3,25.090,0,1.000
G1S16_Cs137_P5,1480.188,15.646,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000
G1S16_Eu152_P25,120.326,5.129,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,0,1.000
G1S16_Eu152_P25,242.602,7.941,Eu-152,244.000,7.55,ПОКАЗАНО,1,1.040,1,1.040,Pb-214,7.2615,2,5.775,1,5.775
G1S16_Eu152_P25,342.507,10.501,Eu-152,345.000,26.59,ПОКАЗАНО,1,2.359,1,2.359,Ac-228,11.27,5,16.619,1,1.343
G1S16_Eu152_P25,419.412,9.472,Ac-228,409.000,1.92,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,0,1.000
G1S16_Eu152_P25,685.519,10.919,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,3,48.117,0,1.000
G1S16_Eu152_P25,782.106,15.695,Eu-152,780.000,12.93,ПОКАЗАНО,0,1.000,0,1.000,,,6,8.031,2,3.042
G1S16_Eu152_P25,869.972,7.807,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,4,53.081,0,1.000
G1S16_Eu152_P25,967.240,17.943,Ac-228,968.000,15.8,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,4.99,1,1.633,0,1.000
G1S16_Eu152_P25,1104.468,22.642,Eu-152,1111.000,13.67,ПОКАЗАНО,0,1.000,0,1.000,,,2,7.304,1,1.090
G1S16_Eu152_P25,1422.746,25.147,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,9.379,0,1.000
G1S16_Eu152_P25,1771.448,26.234,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Eu152_P25,2622.037,35.697,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Eu152_P5,120.292,5.210,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,0,1.000
G1S16_Eu152_P5,243.437,8.014,Eu-152,244.000,7.55,ПОКАЗАНО,1,1.040,1,1.040,Pb-214,7.2615,2,5.775,1,5.775
G1S16_Eu152_P5,346.903,10.525,Eu-152,345.000,26.59,ПОКАЗАНО,0,1.000,0,1.000,,,5,9.014,2,2.359
G1S16_Eu152_P5,442.110,12.048,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,0,1.000
G1S16_Eu152_P5,573.876,13.827,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,0,1.000
G1S16_Eu152_P5,685.359,11.486,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,3,48.117,0,1.000
G1S16_Eu152_P5,785.244,16.087,Eu-152,780.000,12.93,ПОКАЗАНО,0,1.000,0,1.000,,,6,8.031,2,6.609
G1S16_Eu152_P5,876.372,7.952,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,4,16.025,0,1.000
G1S16_Eu152_P5,970.815,18.071,Ac-228,968.000,15.8,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,4.99,1,1.633,0,1.000
G1S16_Eu152_P5,1111.377,22.273,Eu-152,1111.000,13.67,ПОКАЗАНО,1,1.090,1,1.090,Bi-214,14.9,1,7.304,0,1.000
G1S16_Eu152_P5,1421.079,24.669,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,9.379,0,1.000
G1S16_K40_Mar,1179.052,25.914,Co-60,1173.000,99.85,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.127,0,1.000
G1S16_K40_Mar,1452.043,25.153,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_K40_Mar,2608.934,33.691,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_K40_Mar_2,241.629,7.634,Pb-214,241.000,7.2615,ПОКАЗАНО,2,6.004,2,6.004,Pb-212,43.6,1,1.478,0,1.000
G1S16_K40_Mar_2,1209.763,24.682,Bi-214,1238.000,5.83,ПОКАЗАНО,0,1.000,0,1.000,,,4,17.150,0,1.000
G1S16_K40_Mar_2,1490.336,25.342,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000
G1S16_Mix_Denta100,120.633,5.035,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,0,1.000
G1S16_Mix_Denta100,150.128,4.341,U-235,145.000,10.96,ПОКАЗАНО,1,12177.778,0,1.000,,,0,1.000,0,1.000
G1S16_Mix_Denta100,241.666,7.541,Pb-214,241.000,7.2615,ПОКАЗАНО,2,6.004,2,6.004,Pb-212,43.6,1,1.478,0,1.000
G1S16_Mix_Denta100,345.210,10.065,Eu-152,345.000,26.59,ПОКАЗАНО,0,1.000,0,1.000,,,6,16.619,2,2.359
G1S16_Mix_Denta100,660.053,15.461,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S16_Mix_Denta100,779.351,15.618,Eu-152,780.000,12.93,ПОКАЗАНО,0,1.000,0,1.000,,,6,8.031,2,3.042
G1S16_Mix_Denta100,964.794,16.636,Ac-228,964.000,4.99,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,15.8,1,5.170,0,1.000
G1S16_Mix_Denta100,1159.902,21.643,Co-60,1173.000,99.85,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.127,0,1.000
G1S16_Mix_Denta100,1410.070,25.438,Bi-214,1377.000,3.985,ПОКАЗАНО,0,1.000,0,1.000,,,2,25.090,0,1.000
G1S16_Mix_Denta100,1694.787,25.964,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,1,4.748,0,1.000
G1S16_Mix_Mar,146.974,3.500,U-235,145.000,10.96,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Mix_Mar,185.617,7.869,U-235,185.715,57,ПОКАЗАНО,1,15.659,1,15.659,Ra-226,3.64,1,1.368,0,1.000
G1S16_Mix_Mar,242.134,7.573,Pb-214,241.000,7.2615,ПОКАЗАНО,1,1.040,1,1.040,Eu-152,7.55,2,6.004,1,6.004
G1S16_Mix_Mar,343.377,9.821,Eu-152,345.000,26.59,ПОКАЗАНО,0,1.000,0,1.000,,,6,16.619,2,2.359
G1S16_Mix_Mar,665.910,15.459,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S16_Mix_Mar,779.731,15.085,Eu-152,780.000,12.93,ПОКАЗАНО,0,1.000,0,1.000,,,6,8.031,2,3.042
G1S16_Mix_Mar,866.713,9.796,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,3,53.081,0,1.000
G1S16_Mix_Mar,965.817,16.756,Ac-228,964.000,4.99,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,15.8,1,5.170,0,1.000
G1S16_Mix_Mar,1155.384,22.002,Co-60,1173.000,99.85,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.127,0,1.000
G1S16_Mix_Mar,1414.938,24.298,Bi-214,1377.000,3.985,ПОКАЗАНО,0,1.000,0,1.000,,,2,25.090,0,1.000
G1S16_Mix_Mar,1693.598,26.842,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,1,4.748,0,1.000
G1S16_Mix_Mar,2640.147,57.257,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Mix_Petri,120.479,5.011,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,0,1.000
G1S16_Mix_Petri,149.985,4.465,U-235,145.000,10.96,ПОКАЗАНО,1,12177.778,0,1.000,,,0,1.000,0,1.000
G1S16_Mix_Petri,244.503,7.607,Eu-152,244.000,7.55,ПОКАЗАНО,1,1.040,1,1.040,Pb-214,7.2615,2,5.775,1,5.775
G1S16_Mix_Petri,339.170,10.024,Ac-228,338.000,11.27,ПОКАЗАНО,0,1.000,0,1.000,,,6,7.232,1,2.359
G1S16_Mix_Petri,662.743,15.480,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S16_Mix_Petri,778.937,15.151,Eu-152,780.000,12.93,ПОКАЗАНО,0,1.000,0,1.000,,,6,8.031,2,3.042
G1S16_Mix_Petri,958.127,17.290,Ac-228,964.000,4.99,ПОКАЗАНО,0,1.000,0,1.000,,,2,5.170,1,3.166
G1S16_Mix_Petri,1152.840,21.363,Co-60,1173.000,99.85,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.127,0,1.000
G1S16_Mix_Petri,1408.391,25.027,Bi-214,1377.000,3.985,ПОКАЗАНО,0,1.000,0,1.000,,,2,25.090,0,1.000
G1S16_Mix_Petri,1704.329,26.907,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,1,4.748,0,1.000
G1S16_Mix_Petri,2609.721,32.116,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Mn54_P25,352.954,7.772,Pb-214,353.000,35.7166,ПОКАЗАНО,0,1.000,0,1.000,,,5,12.107,1,1.737
G1S16_Mn54_P25,596.078,15.720,Bi-214,609.000,45.44,ПОКАЗАНО,0,1.000,0,1.000,,,4,6.350,1,1.487
G1S16_Mn54_P25,836.424,18.281,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,5,53.081,0,1.000
G1S16_Mn54_P25,1456.964,25.256,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Mn54_P25,1770.740,24.074,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Mn54_P25,2623.604,34.784,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Mn54_P5,97.046,4.871,Np-239,106.000,25.34,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Mn54_P5,187.853,10.135,Ra-226,186.211,3.64,ПОКАЗАНО,1,15.659,1,15.659,U-235,57,2,21.420,0,1.000
G1S16_Mn54_P5,584.557,16.632,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,0,1.000
G1S16_Mn54_P5,837.726,17.733,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,5,53.081,0,1.000
G1S16_Mn54_P5,1476.455,23.687,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000
G1S16_Na22_P25,74.560,3.264,Am-243,74.660,67.2,ПОКАЗАНО,1,1.488,0,1.000,,,0,1.000,0,1.000
G1S16_Na22_P25,186.613,9.943,Ra-226,186.211,3.64,ПОКАЗАНО,1,15.659,1,15.659,U-235,57,1,21.420,0,1.000
G1S16_Na22_P25,311.453,10.840,Np-239,315.000,1.6,ПОКАЗАНО,1,58.500,1,58.500,Lu-176,93.6,5,16.619,0,1.000
G1S16_Na22_P25,1275.121,23.830,Bi-214,1238.000,5.83,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.150,0,1.000
G1S16_Na22_P25,1460.400,20.626,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Na22_P25,1812.028,31.091,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Na22_P25,2601.252,30.605,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Na22_P5,43.015,4.741,Pb-210,46.539,4.25,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Na22_P5,194.093,9.386,Lu-176,202.000,77.9688,ПОКАЗАНО,0,1.000,0,1.000,,,4,21.420,2,21.420
G1S16_Na22_P5,244.872,6.440,Eu-152,244.000,7.55,ПОКАЗАНО,0,1.000,0,1.000,,,3,5.775,1,1.040
G1S16_Na22_P5,318.562,11.541,Np-239,315.000,1.6,ПОКАЗАНО,0,1.000,0,1.000,,,6,58.500,1,1.844
G1S16_Na22_P5,698.003,15.969,I-131,722.000,1.7686,ПОКАЗАНО,0,1.000,0,1.000,,,4,48.117,0,1.000
G1S16_Na22_P5,779.426,12.202,Eu-152,780.000,12.93,ПОКАЗАНО,0,1.000,0,1.000,,,6,8.031,1,2.644
G1S16_Na22_P5,1254.473,24.079,Bi-214,1238.000,5.83,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.150,0,1.000
G1S16_Na22_P5,1460.773,27.731,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Na22_P5,1793.338,29.119,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Ra226_Mar,147.049,5.998,U-235,145.000,10.96,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Ra226_Mar,182.573,6.052,U-235,185.715,57,ПОКАЗАНО,0,1.000,0,1.000,,,2,15.659,1,15.659
