node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
27,17.323,6000000,56.591,26.246,703,11,98.459,11,1.541,0.99350888124580461,0.978479333821398,5.4947427449298195E-06,1.8156491419550947E-05,0.99350222651524878,0.97845739868163628,5.4926531690187607E-06,1.8149316667566232E-05,0.00011686621130052675,0.00011765058585095824,6000000
28,18.138,6000000,45.779,25.336,1025,9,99.130,37,3.578,0.99349560968747919,0.97843564340621592,5.4115347550122665E-06,1.7881963692464388E-05,0.99348595173596754,0.978403805594734,5.4105515089530232E-06,1.7878365141713815E-05,0.00016861134355162228,0.00016981598801737557,6000000
29,18.993,6000000,49.548,25.366,1482,7,99.530,53,3.559,0.99349060398053723,0.97841920486467637,5.3444995739384383E-06,1.7660698317502568E-05,0.99347715894696453,0.97837489190234461,5.3439898617387512E-06,1.7658607545531949E-05,0.00023313590516575426,0.00023489656696187679,6000000
30,19.887,6000000,46.982,28.389,1831,24,98.706,59,3.181,0.993483204786507,0.97839499252774187,5.3077378004142329E-06,1.7539351346907351E-05,0.99346436891501211,0.97833291354347018,5.3090788966049715E-06,1.7543266623686014E-05,0.00030837071863865149,0.00031090176766036695,6000000
31,20.824,6000000,33.424,24.390,2328,21,99.106,94,4.002,0.99348553229112146,0.97840272694877439,5.27089971823611E-06,1.7417945748356937E-05,0.99346175192485242,0.97832435036321452,5.2714043444641348E-06,1.7419023519581485E-05,0.00038753161916514915,0.00039097462111708093,6000000
32,21.804,6000000,27.386,27.239,2963,53,98.243,86,2.851,0.99348284425970979,0.97839400757986827,5.2429295047957516E-06,1.7325517862065904E-05,0.99345329937930071,0.97829664475922118,5.2419594768102225E-06,1.7321672584023024E-05,0.00047473455439662695,0.00047945902790294385,6000000
33,22.831,6000000,30.946,27.726,3474,27,99.229,166,4.742,0.99346228335779607,0.97832614189135769,5.2324053138607627E-06,1.72905397159955E-05,0.99342404300577725,0.978200135175075,5.2320926178879591E-06,1.7288716282655606E-05,0.00056528130919087142,0.00057166214306067172,6000000
34,23.907,6000000,30.955,26.328,4002,83,97.968,140,3.427,0.993455967787959,0.97830535598672175,5.21936649091532E-06,1.7247558609145539E-05,0.99340808217881216,0.9781475932431668,5.2182541029730285E-06,1.7242967737227151E-05,0.00066100418881901834,0.00066964861248971846,6000000
35,25.033,6000000,22.239,27.518,4418,290,93.840,4,0.085,0.99345640208241637,0.97830685148229879,5.2003342329656164E-06,1.7184671535758218E-05,0.99339775960865306,0.97811369116346347,5.1980233412849037E-06,1.717597042997282E-05,0.00075863591449649526,0.0007702177101808923,6000000
36,26.211,6000000,26.857,29.428,5201,104,98.040,226,4.260,0.993449044858683,0.97828264944878163,5.1999230676817166E-06,1.7183293100665244E-05,0.99337633161396266,0.97804317432464383,5.1972579778962207E-06,1.7173199340890193E-05,0.00085496219308486842,0.00087019446837751225,6000000
