спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
G1S16_Am241_P25              known        1.6038     1.5559   -2.987  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Ba133_P5               known       17.5028    17.3493   -0.877  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Bi207_P5               known       23.2399    23.1362   -0.446  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Cd109_P5               known        3.2089     3.2303   +0.667  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Co60_P5                known       12.1252    11.7635   -2.983  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_P25              known        3.2893     3.0871   -6.147  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Cs137_P5               known       13.7566    13.6792   -0.563  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Eu152_P5               known       30.5093    30.1324   -1.235  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S24_Na22_P25               known        6.4012     6.5902   +2.953  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Na22_P5                known       36.5433    36.3200   -0.611  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Th228_P25              known        4.3853     4.3943   +0.205  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Bi-212 7.99→7.94
G1S24_Th228_P5               known       20.9496    21.0577   +0.516  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Pb-212 50.86→50.63; Tl-208 37.42→37.67
G1S24_Y88_P25                known        2.0768     2.1714   +4.555  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Y88_P5                 known        8.1510     8.2220   +0.871  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s; Ann-511 1.35→1.12; Y-88 98.64→98.88
G1S24_Zn65_P5                known        1.0752     1.0670   -0.763  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s; Ann-511 7.71→7.82; Zn-65 92.07→91.97

known: разобранных 43, Σχ²/ndf 310.0310 -> 308.7957 (-0.3984 %)
сдвинулось 38, побитово 5
побитово: AS80_Cs137_0cm, AS80_Lu176, AS80_Th232Medal, ASN16_Lu176, ASN16_Lu176_P0
