key,e,ch
G1S16_Th228_P25,2204.1000,754.8658
G1S16_Th228_P25,2614.5110,878.6690
G1S16_Th228_P5,238.7413,86.1184
G1S16_Th228_P5,291.7437,108.8118
G1S16_Th228_P5,510.8154,178.5447
G1S16_Th228_P5,584.8740,203.4939
G1S16_Th228_P5,731.7047,251.5891
G1S16_Th228_P5,863.1066,296.5932
G1S16_Th228_P5,1768.8629,620.9823
G1S16_Th228_P5,2614.5110,878.7568
G1S16_Th232_Denta100,238.8582,85.8846
G1S16_Th232_Denta100,337.7977,119.5322
G1S16_Th232_Denta100,510.7364,179.1593
G1S16_Th232_Denta100,584.2982,203.1663
G1S16_Th232_Denta100,911.1443,310.5505
G1S16_Th232_Denta100,967.4683,332.8895
G1S16_Th232_Denta100,1472.3221,494.8898
G1S16_Th232_Denta100,2204.1000,763.5544
G1S16_Th232_Denta100,2614.5110,874.6618
G1S16_Th232_Mar,238.8582,85.3402
G1S16_Th232_Mar,291.0894,93.3569
G1S16_Th232_Mar,273.9658,105.4472
G1S16_Th232_Mar,337.7977,119.0003
G1S16_Th232_Mar,462.2400,160.9512
G1S16_Th232_Mar,510.7364,178.6396
G1S16_Th232_Mar,584.2982,202.3496
G1S16_Th232_Mar,733.0083,249.4928
G1S16_Th232_Mar,911.1443,310.9873
G1S16_Th232_Mar,967.4683,333.0329
G1S16_Th232_Mar,2204.1000,767.1463
G1S16_Th232_Mar,2614.5110,876.9811
G1S16_Th232_Mar_2,238.8582,85.5387
G1S16_Th232_Mar_2,291.0894,95.8056
G1S16_Th232_Mar_2,337.7977,119.2887
G1S16_Th232_Mar_2,462.2400,160.4558
G1S16_Th232_Mar_2,510.7364,178.5601
G1S16_Th232_Mar_2,584.4152,202.8469
G1S16_Th232_Mar_2,733.0083,250.6252
G1S16_Th232_Mar_2,910.8873,311.6052
G1S16_Th232_Mar_2,967.4683,333.4073
G1S16_Th232_Mar_2,1103.8172,374.2784
G1S16_Th232_Mar_2,2614.5110,879.7417
G1S16_Th232_Mar_3,238.8582,85.4842
G1S16_Th232_Mar_3,337.7977,119.0861
G1S16_Th232_Mar_3,462.2400,161.7436
G1S16_Th232_Mar_3,510.7364,178.4634
G1S16_Th232_Mar_3,584.2982,202.6007
G1S16_Th232_Mar_3,733.0083,250.4458
G1S16_Th232_Mar_3,911.1443,311.7332
G1S16_Th232_Mar_3,967.4683,332.6724
G1S16_Th232_Mar_3,1472.3221,496.4289
G1S16_Th232_Mar_3,2204.1000,766.0173
G1S16_Th232_Mar_3,2614.5110,877.0224
G1S16_Th232_Petri,238.7413,85.6859
G1S16_Th232_Petri,337.7977,119.6975
G1S16_Th232_Petri,510.7364,176.7061
G1S16_Th232_Petri,584.2982,202.7969
G1S16_Th232_Petri,733.0083,252.3059
G1S16_Th232_Petri,852.7154,280.6573
G1S16_Th232_Petri,911.1443,311.8195
G1S16_Th232_Petri,967.4683,332.1130
G1S16_Th232_Petri,2614.5110,879.1660
G1S16_Y88_P25,239.2519,86.6037
G1S16_Y88_P25,348.6671,123.6888
G1S16_Y88_P25,598.8146,211.5056
G1S16_Y88_P25,898.1902,308.0588
G1S16_Y88_P25,1120.2940,379.9661
G1S16_Y88_P25,1238.1220,398.2646
G1S16_Y88_P25,1460.8200,494.3495
G1S16_Y88_P25,1835.5159,619.2592
G1S16_Y88_P25,2614.5110,878.1403
G1S16_Y88_P5,292.4343,112.6774
G1S16_Y88_P5,510.9612,177.6641
G1S16_Y88_P5,898.1902,308.3244
G1S16_Y88_P5,1460.8200,489.5862
G1S16_Y88_P5,1835.5159,619.0710
G1S24_Am241_P5,59.5409,23.7767
G1S24_Am241_P5,292.4343,94.5863
G1S24_Am241_P5,348.6671,119.2317
G1S24_Am241_P5,1120.2940,361.1766
G1S24_Am241_P5,1460.8200,494.1328
G1S24_Ba133_P5,80.8949,31.7449
G1S24_Ba133_P5,295.4440,108.4346
G1S24_Ba133_P5,359.1712,127.0522
G1S24_Ba133_P5,744.6861,242.9674
G1S24_Ba133_P5,1460.8200,493.1845
G1S24_Bi207_P5,198.1145,69.2803
G1S24_Bi207_P5,570.7874,199.4661
G1S24_Bi207_P5,1064.2168,364.0220
G1S24_Bi207_P5,1238.1220,436.7144
G1S24_Bi207_P5,1460.5336,497.2675
G1S24_Bi207_P5,1769.6535,599.4957
G1S24_Cd109_P5,88.0336,34.3967
G1S24_Cd109_P5,510.9612,175.2637
G1S24_Cd109_P5,1238.1220,403.5484
G1S24_Cd109_P5,1588.2000,543.0370
G1S24_Co60_P5,239.2519,83.6085
G1S24_Co60_P5,510.9612,178.9412
G1S24_Co60_P5,914.0820,316.8750
G1S24_Co60_P5,1172.8360,400.3934
G1S24_Co60_P5,1332.5819,453.2198
G1S24_Co60_P5,1588.2000,537.5626
G1S24_Co60_P5,2204.1000,754.3275
G1S24_Cs137_Denta120,198.1145,67.6258
G1S24_Cs137_Denta120,348.6671,137.1617
G1S24_Cs137_Denta120,661.6570,229.7654
G1S24_Cs137_Denta120,1460.8200,489.8678
G1S24_Cs137_Denta120_2,198.1145,70.7304
G1S24_Cs137_Denta120_2,660.2961,229.7834
G1S24_Cs137_Denta120_2,1460.8200,489.1461
G1S24_Cs137_Denta120_2,2204.1000,718.6810
G1S24_Cs137_Denta120_2,2614.5110,874.8528
G1S24_Cs137_Mar,660.2961,228.2839
G1S24_Cs137_Mar,1455.6413,488.9721
G1S24_Cs137_Mar_2,186.2110,70.5772
G1S24_Cs137_Mar_2,348.6671,135.1370
G1S24_Cs137_Mar_2,661.6570,228.7738
G1S24_Cs137_Mar_2,963.5695,309.3689
G1S24_Cs137_Mar_2,1460.8200,487.7034
G1S24_Cs137_Mar_2,2614.5110,875.5746
G1S24_Cs137_P25,198.1145,70.8712
G1S24_Cs137_P25,661.6570,229.7011
G1S24_Cs137_P25,1460.8200,493.7814
G1S24_Cs137_P25,1588.2000,562.4160
G1S24_Cs137_P25,1764.4910,588.8331
G1S24_Cs137_P25,2614.5110,876.8711
G1S24_Cs137_P5,186.2110,72.2018
G1S24_Cs137_P5,661.6570,231.3396
G1S24_Cs137_P5,1460.8200,501.8402
G1S24_Cs137_Petri,348.6671,111.5078
G1S24_Cs137_Petri,661.6570,230.0530
G1S24_Cs137_Petri,1238.1220,439.9754
G1S24_Cs137_Petri,1460.8200,491.8144
G1S24_Cs137_Petri,2614.5110,864.3727
G1S24_Cs137_Petri_2,198.1145,68.5429
G1S24_Cs137_Petri_2,292.4343,92.2411
G1S24_Cs137_Petri_2,660.2961,230.1090
G1S24_Cs137_Petri_2,1238.1220,440.3250
G1S24_Cs137_Petri_2,1460.8200,489.9930
G1S24_Cs137_Petri_2,2614.5110,876.3590
G1S24_Eu152_P5,121.7817,46.4909
G1S24_Eu152_P5,243.6904,88.8728
G1S24_Eu152_P5,345.3022,123.3858
G1S24_Eu152_P5,510.9612,176.0259
G1S24_Eu152_P5,598.8146,196.9749
G1S24_Eu152_P5,778.9666,270.3296
G1S24_Eu152_P5,876.9542,299.1679
G1S24_Eu152_P5,961.7003,332.3110
G1S24_Eu152_P5,1100.7317,377.5644
G1S24_Eu152_P5,1414.3437,480.3351
G1S24_Eu152_P5,1588.2000,512.0328
G1S24_K40_Denta120,239.2519,84.8649
G1S24_K40_Denta120,348.6671,122.1337
G1S24_K40_Denta120,510.9612,176.7424
G1S24_K40_Denta120,963.5695,337.0955
G1S24_K40_Denta120,1120.2940,383.6438
G1S24_K40_Denta120,1460.8200,494.0450
G1S24_K40_Denta120,2614.5110,872.7514
G1S24_K40_Denta120_2,239.1001,83.7267
G1S24_K40_Denta120_2,306.6032,90.8478
G1S24_K40_Denta120_2,506.9436,177.1546
G1S24_K40_Denta120_2,1238.1220,383.3836
G1S24_K40_Denta120_2,1459.6246,493.9923
G1S24_K40_Denta120_2,1764.4910,588.1280
G1S24_K40_Denta120_2,2614.5110,872.5361
G1S24_K40_Mar,237.2690,84.5244
G1S24_K40_Mar,510.9612,172.2259
G1S24_K40_Mar,744.6861,238.7313
G1S24_K40_Mar,1120.2940,357.1710
G1S24_K40_Mar,1460.8200,492.5621
G1S24_K40_Mar,2204.1000,751.3919
G1S24_K40_Mar,2614.5110,879.7495
G1S24_K40_Mar_2,1238.1220,398.4216
G1S24_K40_Mar_2,1460.8200,492.5350
G1S24_K40_Mar_2,2614.5110,875.3117
G1S24_K40_Petri,239.2519,84.2192
G1S24_K40_Petri,348.6671,122.8301
G1S24_K40_Petri,510.9612,177.9997
G1S24_K40_Petri,598.8146,211.7802
G1S24_K40_Petri,1238.1220,407.7120
G1S24_K40_Petri,1460.8200,493.3966
G1S24_K40_Petri,2204.1000,707.8441
G1S24_K40_Petri,2614.5110,874.2711
G1S24_K40_Petri_2,239.1001,84.7662
G1S24_K40_Petri_2,744.6861,246.7939
G1S24_K40_Petri_2,1120.2940,354.3296
G1S24_K40_Petri_2,1460.8200,494.1052
G1S24_K40_Petri_2,2614.5110,875.4774
G1S24_Na22_P25,510.9612,179.1719
G1S24_Na22_P25,1274.4311,432.8100
G1S24_Na22_P25,1460.8200,496.2102
