detector,min_snr,roi_radius_fwhm,max_extra_per_roi,recall_pct,gain_over_finder_pp,extra_peaks,unexplained_loose,unexplained_strict,ms
ASN16,6,2.0,2,50.5,2.1,0.8,0.00,0.00,2341
ASN16,6,2.0,3,49.5,1.0,0.5,0.25,0.25,3040
ASN16,6,2.0,4,48.5,0.0,0.0,0.00,0.00,3026
ASN16,6,2.0,5,49.5,1.0,0.2,0.00,0.00,3245
ASN16,6,3.0,1,51.5,3.1,1.0,0.00,0.00,4159
ASN16,6,3.0,2,52.6,4.1,2.0,0.00,0.00,4857
ASN16,6,3.0,3,51.5,3.1,1.5,0.00,0.00,5430
ASN16,6,3.0,4,52.6,4.1,1.8,0.00,0.00,5456
ASN16,6,3.0,5,54.6,6.2,2.2,0.00,0.00,3889
ASN16,6,4.0,1,50.5,2.1,1.2,0.00,0.00,7608
ASN16,6,4.0,2,54.6,6.2,2.5,0.00,0.00,5135
ASN16,6,4.0,3,51.5,3.1,1.5,0.00,0.00,5781
ASN16,6,4.0,4,53.6,5.2,2.8,0.00,0.00,7888
ASN16,6,4.0,5,56.7,8.2,2.5,0.00,0.00,7747
ASN16,6,5.0,1,53.6,5.2,2.5,0.00,0.25,6450
ASN16,6,5.0,2,54.6,6.2,3.0,0.00,0.25,6899
ASN16,6,5.0,3,56.7,8.2,3.8,0.00,0.25,8244
ASN16,6,5.0,4,53.6,5.2,2.0,0.00,0.00,7378
ASN16,6,5.0,5,53.6,5.2,2.5,0.00,0.00,10881
ASN16,8,2.0,1,46.4,1.0,0.8,0.00,0.00,2164
ASN16,8,2.0,2,47.4,2.1,0.8,0.00,0.00,1696
ASN16,8,2.0,3,46.4,1.0,0.5,0.25,0.25,2409
ASN16,8,2.0,4,45.4,0.0,0.0,0.00,0.00,2310
ASN16,8,2.0,5,46.4,1.0,0.2,0.00,0.00,2125
ASN16,8,3.0,1,48.5,3.1,1.2,0.00,0.00,4067
ASN16,8,3.0,2,49.5,4.1,2.0,0.00,0.00,4115
ASN16,8,3.0,3,49.5,4.1,1.8,0.00,0.00,3824
ASN16,8,3.0,4,48.5,3.1,1.8,0.00,0.00,3192
ASN16,8,3.0,5,50.5,5.2,2.0,0.00,0.00,4277
ASN16,8,4.0,1,47.4,2.1,1.0,0.00,0.00,4058
ASN16,8,4.0,2,51.5,6.2,2.5,0.00,0.00,7444
ASN16,8,4.0,3,48.5,3.1,2.2,0.50,0.50,4070
ASN16,8,4.0,4,50.5,5.2,3.0,0.00,0.00,5683
ASN16,8,4.0,5,50.5,5.2,2.2,0.00,0.00,6111
ASN16,8,5.0,1,51.5,6.2,2.2,0.00,0.00,5214
ASN16,8,5.0,2,52.6,7.2,2.8,0.00,0.00,7025
ASN16,8,5.0,3,55.7,10.3,3.5,0.00,0.00,7990
ASN16,8,5.0,4,50.5,5.2,2.0,0.00,0.00,8601
ASN16,8,5.0,5,55.7,10.3,3.5,0.00,0.00,9548
AS80x80,3,2.0,1,50.0,3.8,0.8,0.00,0.00,3323
AS80x80,3,2.0,2,48.7,2.6,0.5,0.00,0.00,2744
AS80x80,3,2.0,3,46.2,0.0,0.0,0.00,0.00,2638
AS80x80,3,2.0,4,46.2,0.0,0.0,0.00,0.00,3055
AS80x80,3,2.0,5,46.2,0.0,0.0,0.00,0.00,3839
AS80x80,3,3.0,1,51.3,5.1,2.2,0.00,0.25,6038
AS80x80,3,3.0,2,50.0,3.8,1.5,0.00,0.25,6343
AS80x80,3,3.0,3,48.7,2.6,1.0,0.00,0.00,6962
AS80x80,3,3.0,4,47.4,1.3,0.8,0.00,0.00,8126
AS80x80,3,3.0,5,46.2,0.0,0.2,0.00,0.00,8650
AS80x80,3,4.0,1,53.8,7.7,3.0,0.00,0.25,11886
AS80x80,3,4.0,2,56.4,10.3,3.5,0.00,0.25,12024
AS80x80,3,4.0,3,57.7,11.5,3.5,0.00,0.00,13234
AS80x80,3,4.0,4,51.3,5.1,1.8,0.00,0.00,12084
AS80x80,3,4.0,5,50.0,3.8,1.0,0.00,0.00,14750
AS80x80,3,5.0,1,51.3,5.1,2.8,0.00,0.25,13558
AS80x80,3,5.0,2,55.1,9.0,3.0,0.00,0.25,15878
AS80x80,3,5.0,3,51.3,5.1,2.8,0.00,0.00,18266
AS80x80,3,5.0,4,53.8,7.7,2.8,0.00,0.00,16265
AS80x80,3,5.0,5,51.3,5.1,1.5,0.00,0.00,18815
AS80x80,4,2.0,1,50.0,3.8,0.8,0.00,0.00,2950
AS80x80,4,2.0,2,48.7,2.6,0.5,0.00,0.00,3701
AS80x80,4,2.0,3,46.2,0.0,0.0,0.00,0.00,4696
AS80x80,4,2.0,4,46.2,0.0,0.0,0.00,0.00,5428
AS80x80,4,2.0,5,46.2,0.0,0.0,0.00,0.00,3133
AS80x80,4,3.0,1,51.3,5.1,2.2,0.00,0.25,6049
AS80x80,4,3.0,2,50.0,3.8,1.5,0.00,0.25,6565
AS80x80,4,3.0,3,48.7,2.6,1.0,0.00,0.00,10242
AS80x80,4,3.0,4,47.4,1.3,0.8,0.00,0.00,6518
AS80x80,4,3.0,5,46.2,0.0,0.2,0.00,0.00,9570
AS80x80,4,4.0,1,53.8,7.7,3.0,0.00,0.25,11754
AS80x80,4,4.0,2,56.4,10.3,3.5,0.00,0.25,10460
AS80x80,4,4.0,3,57.7,11.5,3.5,0.00,0.00,11362
AS80x80,4,4.0,4,51.3,5.1,1.8,0.00,0.00,13752
AS80x80,4,4.0,5,50.0,3.8,1.0,0.00,0.00,14819
AS80x80,4,5.0,1,51.3,5.1,2.8,0.00,0.25,15051
AS80x80,4,5.0,2,55.1,9.0,3.0,0.00,0.25,15161
AS80x80,4,5.0,3,51.3,5.1,2.8,0.00,0.00,15810
AS80x80,4,5.0,4,53.8,7.7,2.8,0.00,0.00,15446
AS80x80,4,5.0,5,51.3,5.1,1.5,0.00,0.00,18612
AS80x80,5,2.0,1,48.7,3.8,0.8,0.00,0.00,3407
AS80x80,5,2.0,2,47.4,2.6,0.5,0.00,0.00,2387
AS80x80,5,2.0,3,44.9,0.0,0.0,0.00,0.00,3426
AS80x80,5,2.0,4,44.9,0.0,0.0,0.00,0.00,3340
AS80x80,5,2.0,5,44.9,0.0,0.0,0.00,0.00,4043
AS80x80,5,3.0,1,50.0,5.1,2.2,0.00,0.25,6978
AS80x80,5,3.0,2,48.7,3.8,1.5,0.00,0.25,6075
AS80x80,5,3.0,3,47.4,2.6,1.0,0.00,0.00,6168
AS80x80,5,3.0,4,46.2,1.3,0.8,0.00,0.00,6938
AS80x80,5,3.0,5,44.9,0.0,0.2,0.00,0.00,7109
AS80x80,5,4.0,1,52.6,7.7,3.0,0.00,0.25,9193
AS80x80,5,4.0,2,55.1,10.3,3.5,0.00,0.25,9054
AS80x80,5,4.0,3,56.4,11.5,3.5,0.00,0.00,9778
AS80x80,5,4.0,4,50.0,5.1,1.8,0.00,0.00,10478
AS80x80,5,4.0,5,48.7,3.8,1.0,0.00,0.00,13104
AS80x80,5,5.0,1,50.0,5.1,2.8,0.00,0.25,11324
AS80x80,5,5.0,2,53.8,9.0,2.8,0.00,0.25,12457
AS80x80,5,5.0,3,50.0,5.1,2.8,0.00,0.00,13915
AS80x80,5,5.0,4,52.6,7.7,2.8,0.00,0.00,13859
AS80x80,5,5.0,5,50.0,5.1,1.5,0.00,0.00,16743
AS80x80,6,2.0,1,44.9,3.8,0.8,0.00,0.00,3193
AS80x80,6,2.0,2,43.6,2.6,0.5,0.00,0.00,2505
AS80x80,6,2.0,3,41.0,0.0,0.0,0.00,0.00,2775
AS80x80,6,2.0,4,41.0,0.0,0.0,0.00,0.00,2724
AS80x80,6,2.0,5,41.0,0.0,0.0,0.00,0.00,3460
AS80x80,6,3.0,1,46.2,5.1,2.2,0.00,0.25,4508
AS80x80,6,3.0,2,44.9,3.8,1.8,0.00,0.25,5592
AS80x80,6,3.0,3,43.6,2.6,1.0,0.00,0.00,5703
AS80x80,6,3.0,4,42.3,1.3,0.5,0.00,0.00,5950
AS80x80,6,3.0,5,42.3,1.3,0.5,0.00,0.00,6638
AS80x80,6,4.0,1,47.4,6.4,2.8,0.00,0.25,8608
AS80x80,6,4.0,2,50.0,9.0,3.0,0.25,0.25,7067
AS80x80,6,4.0,3,51.3,10.3,3.2,0.00,0.25,8954
AS80x80,6,4.0,4,44.9,3.8,1.5,0.00,0.00,9878
AS80x80,6,4.0,5,42.3,1.3,0.8,0.25,0.25,10744
AS80x80,6,5.0,1,46.2,5.1,2.5,0.00,0.25,8252
AS80x80,6,5.0,2,50.0,9.0,3.2,0.00,0.25,9158
AS80x80,6,5.0,3,48.7,7.7,3.8,0.00,0.25,11724
AS80x80,6,5.0,4,48.7,7.7,2.8,0.00,0.00,11648
AS80x80,6,5.0,5,47.4,6.4,2.2,0.25,0.25,12574
AS80x80,8,2.0,1,44.9,3.8,0.8,0.00,0.00,2320
AS80x80,8,2.0,2,43.6,2.6,0.5,0.00,0.00,2234
AS80x80,8,2.0,3,41.0,0.0,0.0,0.00,0.00,2245
AS80x80,8,2.0,4,41.0,0.0,0.0,0.00,0.00,2308
AS80x80,8,2.0,5,41.0,0.0,0.0,0.00,0.00,2838
AS80x80,8,3.0,1,46.2,5.1,2.2,0.00,0.25,3875
AS80x80,8,3.0,2,44.9,3.8,1.8,0.00,0.25,3537
AS80x80,8,3.0,3,43.6,2.6,1.0,0.00,0.00,4746
AS80x80,8,3.0,4,42.3,1.3,0.5,0.00,0.00,3835
AS80x80,8,3.0,5,42.3,1.3,0.5,0.00,0.00,5136
AS80x80,8,4.0,1,47.4,6.4,2.8,0.00,0.25,6738
AS80x80,8,4.0,2,50.0,9.0,3.0,0.25,0.25,6730
AS80x80,8,4.0,3,51.3,10.3,3.2,0.00,0.25,6494
AS80x80,8,4.0,4,44.9,3.8,1.5,0.00,0.00,7782
AS80x80,8,4.0,5,42.3,1.3,0.8,0.25,0.25,6564
AS80x80,8,5.0,1,46.2,5.1,2.5,0.00,0.25,8350
AS80x80,8,5.0,2,50.0,9.0,3.5,0.00,0.25,8958
AS80x80,8,5.0,3,48.7,7.7,3.8,0.00,0.25,7634
AS80x80,8,5.0,4,48.7,7.7,2.8,0.00,0.00,9267
AS80x80,8,5.0,5,47.4,6.4,2.2,0.25,0.25,10000
RC103,3,2.0,1,55.0,10.0,4.0,0.00,1.00,372
RC103,3,2.0,2,60.0,15.0,6.0,0.00,0.00,329
RC103,3,2.0,3,55.0,10.0,3.0,0.00,0.00,393
RC103,3,2.0,4,50.0,5.0,1.0,0.00,0.00,402
RC103,3,2.0,5,45.0,0.0,0.0,0.00,0.00,506
RC103,3,3.0,1,50.0,5.0,2.0,0.00,0.00,312
RC103,3,3.0,2,50.0,5.0,3.0,1.00,1.00,589
RC103,3,3.0,3,50.0,5.0,2.0,0.00,0.00,503
RC103,3,3.0,4,45.0,0.0,1.0,0.00,0.00,597
RC103,3,3.0,5,45.0,0.0,1.0,0.00,0.00,737
RC103,3,4.0,1,45.0,0.0,1.0,0.00,0.00,552
RC103,3,4.0,2,45.0,0.0,1.0,0.00,0.00,524
RC103,3,4.0,3,45.0,0.0,2.0,1.00,1.00,824
RC103,3,4.0,4,45.0,0.0,1.0,1.00,1.00,595
RC103,3,4.0,5,50.0,5.0,1.0,0.00,0.00,953
RC103,3,5.0,1,45.0,0.0,1.0,0.00,0.00,641
RC103,3,5.0,2,45.0,0.0,3.0,1.00,1.00,929
RC103,3,5.0,3,45.0,0.0,1.0,0.00,0.00,718
RC103,3,5.0,4,50.0,5.0,2.0,0.00,0.00,1236
RC103,3,5.0,5,50.0,5.0,3.0,1.00,1.00,1454
RC103,4,2.0,1,55.0,10.0,4.0,0.00,1.00,268
RC103,4,2.0,2,60.0,15.0,6.0,0.00,0.00,327
RC103,4,2.0,3,55.0,10.0,3.0,0.00,0.00,409
RC103,4,2.0,4,50.0,5.0,1.0,0.00,0.00,716
RC103,4,2.0,5,45.0,0.0,0.0,0.00,0.00,879
RC103,4,3.0,1,50.0,5.0,2.0,0.00,0.00,450
RC103,4,3.0,2,50.0,5.0,3.0,1.00,1.00,619
RC103,4,3.0,3,50.0,5.0,2.0,0.00,0.00,851
RC103,4,3.0,4,45.0,0.0,1.0,0.00,0.00,566
RC103,4,3.0,5,45.0,0.0,1.0,0.00,0.00,960
RC103,4,4.0,1,45.0,0.0,1.0,0.00,0.00,428
RC103,4,4.0,2,45.0,0.0,1.0,0.00,0.00,653
RC103,4,4.0,3,45.0,0.0,2.0,1.00,1.00,1178
RC103,4,4.0,4,45.0,0.0,1.0,1.00,1.00,1234
RC103,4,4.0,5,50.0,5.0,1.0,0.00,0.00,1649
RC103,4,5.0,1,45.0,0.0,1.0,0.00,0.00,666
RC103,4,5.0,2,45.0,0.0,3.0,1.00,1.00,874
RC103,4,5.0,3,45.0,0.0,1.0,0.00,0.00,1260
RC103,4,5.0,4,50.0,5.0,2.0,0.00,0.00,1206
RC103,4,5.0,5,50.0,5.0,3.0,1.00,1.00,1352
RC103,5,2.0,1,55.0,10.0,4.0,0.00,1.00,269
RC103,5,2.0,2,60.0,15.0,5.0,0.00,0.00,810
RC103,5,2.0,3,55.0,10.0,3.0,0.00,0.00,1286
RC103,5,2.0,4,50.0,5.0,2.0,0.00,0.00,1204
RC103,5,2.0,5,45.0,0.0,0.0,0.00,0.00,1004
RC103,5,3.0,1,50.0,5.0,2.0,0.00,0.00,347
RC103,5,3.0,2,50.0,5.0,2.0,0.00,0.00,387
RC103,5,3.0,3,55.0,10.0,3.0,0.00,0.00,414
RC103,5,3.0,4,45.0,0.0,1.0,0.00,0.00,525
RC103,5,3.0,5,45.0,0.0,1.0,0.00,0.00,1001
RC103,5,4.0,1,45.0,0.0,1.0,0.00,0.00,469
RC103,5,4.0,2,45.0,0.0,1.0,0.00,0.00,1005
RC103,5,4.0,3,45.0,0.0,2.0,1.00,1.00,886
RC103,5,4.0,4,45.0,0.0,1.0,1.00,1.00,1241
RC103,5,4.0,5,50.0,5.0,1.0,0.00,0.00,1390
RC103,5,5.0,1,45.0,0.0,1.0,0.00,0.00,853
RC103,5,5.0,2,45.0,0.0,2.0,1.00,1.00,1016
RC103,5,5.0,3,45.0,0.0,2.0,1.00,1.00,849
RC103,5,5.0,4,50.0,5.0,3.0,0.00,0.00,1003
RC103,5,5.0,5,50.0,5.0,2.0,1.00,1.00,1586
RC103,6,2.0,1,55.0,10.0,4.0,0.00,1.00,282
RC103,6,2.0,2,60.0,15.0,5.0,0.00,0.00,416
RC103,6,2.0,3,55.0,10.0,3.0,0.00,0.00,428
RC103,6,2.0,4,50.0,5.0,2.0,0.00,0.00,615
RC103,6,2.0,5,45.0,0.0,0.0,0.00,0.00,915
RC103,6,3.0,1,50.0,5.0,2.0,0.00,0.00,1075
RC103,6,3.0,2,50.0,5.0,2.0,0.00,0.00,1054
RC103,6,3.0,3,55.0,10.0,3.0,0.00,0.00,988
RC103,6,3.0,4,45.0,0.0,1.0,0.00,0.00,1068
RC103,6,3.0,5,45.0,0.0,1.0,0.00,0.00,905
RC103,6,4.0,1,45.0,0.0,1.0,0.00,0.00,808
RC103,6,4.0,2,45.0,0.0,1.0,0.00,0.00,1143
RC103,6,4.0,3,45.0,0.0,2.0,1.00,1.00,1004
RC103,6,4.0,4,45.0,0.0,1.0,1.00,1.00,802
RC103,6,4.0,5,50.0,5.0,1.0,0.00,0.00,984
RC103,6,5.0,1,45.0,0.0,1.0,0.00,0.00,585
RC103,6,5.0,2,45.0,0.0,2.0,1.00,1.00,1122
