detector,k_fwhm,i_min_pct,set_lines,recall_pct,finder_only_recall_pct,library_peaks,finder_peaks_lost,phantom_lines,phantom_rate_pct,ms
AS80x80,0.85,2.00,15.0,74.7,46.8,3.19,0.50,3.62,38.2,200
AS80x80,1.00,0.00,21.5,78.5,46.8,5.44,0.81,8.75,34.0,178
AS80x80,1.00,0.05,19.8,78.5,46.8,4.94,0.75,7.56,35.6,180
AS80x80,1.00,0.10,19.5,78.5,46.8,4.81,0.69,7.25,35.4,176
AS80x80,1.00,0.20,19.2,78.5,46.8,4.75,0.69,7.12,36.1,186
AS80x80,1.00,0.50,18.0,78.5,46.8,4.31,0.62,6.00,36.9,179
AS80x80,1.00,1.00,16.2,78.5,46.8,3.75,0.56,5.00,37.0,169
AS80x80,1.00,2.00,13.5,67.1,46.8,2.56,0.50,3.62,38.2,153
AS80x80,1.30,0.00,18.2,73.4,46.8,4.44,0.94,7.12,34.3,204
AS80x80,1.30,0.05,16.0,73.4,46.8,3.69,0.75,6.06,34.6,196
AS80x80,1.30,0.10,15.8,73.4,46.8,3.56,0.69,6.06,34.6,185
AS80x80,1.30,0.20,15.5,73.4,46.8,3.50,0.69,5.94,34.9,194
AS80x80,1.30,0.50,13.8,68.4,46.8,2.81,0.56,5.19,35.8,181
AS80x80,1.30,1.00,12.8,65.8,46.8,2.62,0.50,4.38,36.5,168
AS80x80,1.30,2.00,11.5,57.0,46.8,2.00,0.50,3.25,36.1,159
AS80x80,1.60,0.00,16.0,62.0,46.8,3.50,0.75,6.12,36.0,190
AS80x80,1.60,0.05,14.8,62.0,46.8,3.12,0.69,5.31,36.6,185
AS80x80,1.60,0.10,14.5,62.0,46.8,3.00,0.62,5.25,36.8,184
AS80x80,1.60,0.20,14.2,62.0,46.8,2.94,0.62,5.12,37.3,185
AS80x80,1.60,0.50,13.2,62.0,46.8,2.56,0.56,4.44,36.2,167
AS80x80,1.60,1.00,12.5,62.0,46.8,2.44,0.50,3.81,36.3,158
AS80x80,1.60,2.00,11.2,55.7,46.8,1.94,0.50,3.00,36.4,152
AS80x80,2.00,0.00,13.8,58.2,46.8,2.94,0.44,4.94,34.6,120
AS80x80,2.00,0.05,12.8,58.2,46.8,2.50,0.38,4.50,36.0,118
AS80x80,2.00,0.10,12.5,58.2,46.8,2.38,0.31,4.44,37.0,123
AS80x80,2.00,0.20,12.2,58.2,46.8,2.31,0.31,4.19,37.2,119
AS80x80,2.00,0.50,11.5,58.2,46.8,2.06,0.31,3.75,36.6,115
AS80x80,2.00,1.00,10.5,58.2,46.8,1.69,0.19,3.19,35.4,108
AS80x80,2.00,2.00,9.2,53.2,46.8,1.25,0.19,2.44,36.1,105
RC103,0.00,0.00,82.8,95.0,45.0,11.75,2.00,7.25,17.4,48
RC103,0.00,0.05,57.5,95.0,45.0,11.75,2.00,7.50,24.8,28
RC103,0.00,0.10,55.2,95.0,45.0,11.50,2.00,7.25,25.0,30
RC103,0.00,0.20,49.5,95.0,45.0,11.25,2.00,7.25,27.4,43
RC103,0.00,0.50,38.8,95.0,45.0,9.50,2.00,5.00,25.0,70
RC103,0.00,1.00,31.0,95.0,45.0,6.00,1.50,3.25,20.6,64
RC103,0.00,2.00,20.2,85.0,45.0,3.50,1.00,1.75,17.5,31
RC103,0.30,0.00,42.8,95.0,45.0,7.25,1.50,7.25,17.4,75
RC103,0.30,0.05,35.2,95.0,45.0,7.25,1.50,7.50,24.8,96
RC103,0.30,0.10,34.0,95.0,45.0,7.00,1.50,7.25,25.0,95
RC103,0.30,0.20,33.0,95.0,45.0,6.75,1.50,7.25,27.4,86
RC103,0.30,0.50,28.2,95.0,45.0,6.25,1.50,5.00,25.0,62
RC103,0.30,1.00,24.5,95.0,45.0,4.25,1.00,3.25,20.6,54
RC103,0.30,2.00,17.5,85.0,45.0,2.50,0.50,1.75,17.5,37
RC103,0.50,0.00,31.5,100.0,45.0,5.50,1.25,7.25,17.6,48
RC103,0.50,0.05,27.0,100.0,45.0,5.50,1.25,7.50,25.0,42
RC103,0.50,0.10,26.8,100.0,45.0,5.25,1.25,7.25,25.2,41
RC103,0.50,0.20,26.2,95.0,45.0,5.25,1.50,7.25,27.6,66
RC103,0.50,0.50,23.0,95.0,45.0,4.50,1.00,5.00,25.0,74
RC103,0.50,1.00,20.2,95.0,45.0,3.00,0.50,3.25,20.6,44
RC103,0.50,2.00,15.8,85.0,45.0,2.50,0.50,1.75,17.5,40
RC103,0.70,0.00,27.0,95.0,45.0,4.25,0.75,6.25,18.7,68
RC103,0.70,0.05,23.2,95.0,45.0,4.25,0.75,6.50,25.5,59
RC103,0.70,0.10,23.0,95.0,45.0,4.00,0.75,6.50,26.5,59
RC103,0.70,0.20,22.5,95.0,45.0,4.00,0.75,6.25,28.1,63
RC103,0.70,0.50,21.0,95.0,45.0,3.75,0.50,5.00,27.8,66
RC103,0.70,1.00,18.8,95.0,45.0,3.00,0.50,3.25,22.8,46
RC103,0.70,2.00,15.2,85.0,45.0,2.50,0.50,1.75,18.9,38
RC103,0.85,0.00,23.0,75.0,45.0,3.00,0.50,5.50,20.4,33
RC103,0.85,0.05,21.8,75.0,45.0,3.00,0.50,5.50,24.7,29
RC103,0.85,0.10,21.2,75.0,45.0,2.75,0.50,5.50,25.9,24
RC103,0.85,0.20,21.0,75.0,45.0,2.75,0.50,5.50,27.5,33
RC103,0.85,0.50,19.5,75.0,45.0,2.50,0.25,4.50,27.3,22
RC103,0.85,1.00,17.2,75.0,45.0,1.75,0.25,3.00,23.1,20
RC103,0.85,2.00,14.2,70.0,45.0,1.50,0.25,1.75,19.4,25
RC103,1.00,0.00,20.5,70.0,45.0,2.75,0.50,5.25,22.1,31
RC103,1.00,0.05,19.0,70.0,45.0,2.75,0.50,5.25,26.2,24
RC103,1.00,0.10,18.8,70.0,45.0,2.50,0.50,5.25,27.3,24
RC103,1.00,0.20,18.2,70.0,45.0,2.25,0.50,4.75,25.7,29
RC103,1.00,0.50,15.8,65.0,45.0,1.75,0.25,4.25,27.0,22
RC103,1.00,1.00,14.2,65.0,45.0,1.25,0.25,3.00,23.5,19
RC103,1.00,2.00,12.5,60.0,45.0,1.00,0.25,1.75,19.4,24
RC103,1.30,0.00,17.0,60.0,45.0,2.25,0.50,4.00,21.9,28
RC103,1.30,0.05,15.2,60.0,45.0,2.25,0.50,4.00,25.0,21
RC103,1.30,0.10,15.0,60.0,45.0,2.00,0.50,4.00,25.8,20
