SETUP correlatedGamma=0 twoJmax=10 vacuum=0 seed=7 killesc=0 killcarry=0 fullcarry=0 histbin=0.000 histbins=0 iontag=1
RESULT decays=5000000
RESULT any=0 eps_total=0.000000e+00
EMITBEGIN events=5000000 bin_kev=0.01
EMIT 523.14 786
EMIT 526.85 562
EMIT 527.06 7
EMIT 534.21 2092
EMIT 535.27 79
EMIT 538.31 224
EMIT 556.46 890
EMIT 557.81 139
EMIT 561.28 63
EMIT 562.97 1049
EMIT 563.02 12
EMIT 563.99 24749
EMIT 566.44 6658
EMIT 571.78 226
EMIT 586.26 22517
EMIT 588.17 30
EMIT 589.93 68
EMIT 608.02 9
EMIT 608.71 63
EMIT 616.07 441
EMIT 644.36 330
EMIT 656.49 7358
EMIT 664.81 476
EMIT 671.16 1221
EMIT 674.64 8370
EMIT 675.06 1082
EMIT 678.62 23501
EMIT 683.29 205
EMIT 686.47 1001
EMIT 688.67 42339
EMIT 699.23 9
EMIT 703.03 182
EMIT 703.52 133
EMIT 707.23 81
EMIT 712.87 4775
EMIT 719.35 4811
EMIT 719.36 12426
EMIT 728.01 505
EMIT 734.03 45
EMIT 735.44 232
EMIT 738.00 45
EMIT 756.15 208
EMIT 764.92 9860
EMIT 766.84 31
EMIT 768.97 4188
EMIT 778.90 645110
EMIT 780.91 29
EMIT 794.76 1215
EMIT 802.44 19
EMIT 805.77 711
EMIT 810.45 15451
EMIT 813.20 211
EMIT 839.38 914
EMIT 841.57 8301
EMIT 850.21 48
EMIT 855.16 99
EMIT 867.38 208954
EMIT 901.19 4255
EMIT 905.97 422
EMIT 919.34 21006
EMIT 919.75 319
EMIT 926.29 13623
EMIT 930.54 3557
EMIT 937.02 156
EMIT 946.54 55
EMIT 958.68 892
EMIT 961.06 365
EMIT 963.35 6929
EMIT 964.06 724209
EMIT 968.66 345
EMIT 970.33 70
EMIT 974.13 711
EMIT 990.22 1446
EMIT 1005.25 32378
EMIT 1050.07 45
EMIT 1084.38 503
EMIT 1085.84 503753
EMIT 1089.74 85572
EMIT 1109.20 9145
EMIT 1112.08 672489
EMIT 1170.99 1813
EMIT 1205.88 760
EMIT 1212.94 71219
EMIT 1246.42 54
EMIT 1249.95 9274
EMIT 1261.32 1776
EMIT 1292.77 5022
EMIT 1299.13 81681
EMIT 1314.61 113
EMIT 1315.58 165
EMIT 1318.41 54
EMIT 1348.13 844
EMIT 1363.72 1250
EMIT 1390.51 197
EMIT 1408.01 1040594
EMIT 1455.54 166
EMIT 1457.64 25318
EMIT 1491.11 24
EMIT 1528.04 14008
EMIT 1605.60 447
EMIT 1608.41 273
EMIT 1635.21 10
EMIT 1647.34 327
EMIT 1769.12 421
EMITEND
EMITPAIR 244.697 121.781 n1=376207 n12=174429 P=0.463652
EMITPAIR 295.939 121.781 n1=21993 n12=10194 P=0.463511
EMITPAIR 295.939 244.697 n1=21993 n12=4690 P=0.213250
EMITPAIR 295.939 867.378 n1=21993 n12=5191 P=0.236030
EMITPAIR 295.939 1112.069 n1=21993 n12=16708 P=0.759696
EMITPAIR 329.425 121.781 n1=6013 n12=1579 P=0.262598
EMITPAIR 329.425 841.570 n1=6013 n12=3304 P=0.549476
EMITPAIR 329.425 963.390 n1=6013 n12=2701 P=0.449193
EMITPAIR 367.789 344.278 n1=42961 n12=41218 P=0.959428
EMITPAIR 367.789 411.116 n1=42961 n12=41980 P=0.977165
EMITPAIR 411.116 344.278 n1=112640 n12=108239 P=0.960929
EMITPAIR 416.048 121.781 n1=5365 n12=2507 P=0.467288
EMITPAIR 416.048 244.697 n1=5365 n12=1154 P=0.215098
EMITPAIR 416.048 867.378 n1=5365 n12=1290 P=0.240447
EMITPAIR 416.048 1112.069 n1=5365 n12=4055 P=0.755825
EMITPAIR 443.960 121.781 n1=155395 n12=45879 P=0.295241
EMITPAIR 443.960 244.697 n1=155395 n12=14284 P=0.091921
EMITPAIR 443.965 121.781 n1=155395 n12=45879 P=0.295241
EMITPAIR 443.965 244.697 n1=155395 n12=14284 P=0.091921
EMITPAIR 443.965 719.349 n1=155395 n12=2336 P=0.015033
EMITPAIR 443.965 964.079 n1=155395 n12=82116 P=0.528434
EMITPAIR 443.965 1085.860 n1=155395 n12=56875 P=0.366003
EMITPAIR 488.679 121.781 n1=20655 n12=9622 P=0.465844
EMITPAIR 488.679 244.697 n1=20655 n12=5298 P=0.256500
EMITPAIR 488.679 674.675 n1=20655 n12=5845 P=0.282982
EMITPAIR 488.679 919.330 n1=20655 n12=14787 P=0.715904
EMITPAIR 503.474 344.278 n1=7747 n12=6540 P=0.844198
EMITPAIR 503.474 586.265 n1=7747 n12=6026 P=0.777849
EMITPAIR 563.990 121.781 n1=24749 n12=6759 P=0.273102
EMITPAIR 563.990 244.697 n1=24749 n12=239 P=0.009657
EMITPAIR 563.990 719.349 n1=24749 n12=250 P=0.010101
EMITPAIR 563.990 964.079 n1=24749 n12=14258 P=0.576104
EMITPAIR 563.990 1085.860 n1=24749 n12=10125 P=0.409107
EMITPAIR 566.430 121.781 n1=6658 n12=1709 P=0.256684
EMITPAIR 566.430 841.570 n1=6658 n12=3642 P=0.547011
EMITPAIR 566.430 963.390 n1=6658 n12=3000 P=0.450586
EMITPAIR 586.265 344.278 n1=22517 n12=21689 P=0.963228
EMITPAIR 656.487 121.781 n1=7358 n12=3398 P=0.461810
EMITPAIR 656.487 244.697 n1=7358 n12=6619 P=0.899565
EMITPAIR 674.675 121.781 n1=8370 n12=3838 P=0.458542
EMITPAIR 674.675 244.697 n1=8370 n12=7553 P=0.902389
EMITPAIR 674.675 344.278 n1=8370 n12=0 P=0.000000
EMITPAIR 674.675 586.265 n1=8370 n12=0 P=0.000000
EMITPAIR 678.623 344.278 n1=23501 n12=22621 P=0.962555
EMITPAIR 678.623 411.116 n1=23501 n12=22966 P=0.977235
EMITPAIR 688.670 121.781 n1=42339 n12=19755 P=0.466591
EMITPAIR 719.349 121.781 n1=17237 n12=7541 P=0.437489
EMITPAIR 719.349 244.697 n1=17237 n12=12091 P=0.701456
EMITPAIR 719.349 443.960 n1=17237 n12=2336 P=0.135522
EMITPAIR 719.349 688.670 n1=17237 n12=2662 P=0.154435
EMITPAIR 719.349 810.451 n1=17237 n12=1035 P=0.060045
EMITPAIR 764.900 344.278 n1=9860 n12=9472 P=0.960649
EMITPAIR 778.904 344.278 n1=645110 n12=620597 P=0.962002
EMITPAIR 841.570 121.781 n1=8301 n12=3896 P=0.469341
EMITPAIR 867.378 121.781 n1=208954 n12=96997 P=0.464203
EMITPAIR 867.378 244.697 n1=208954 n12=188820 P=0.903644
EMITPAIR 919.330 121.781 n1=21006 n12=9850 P=0.468914
