E_keV;icrp74_loglinear;icrp74_spline;old_RToSv_spline;loglin_over_spline_percent;new_over_old_percent
90.8493;1.68011;1.68608;1.68581;-0.3543;-0.3386
91.8352;1.67672;1.68203;1.68089;-0.3155;-0.2483
92.8318;1.67333;1.67789;1.67589;-0.2719;-0.1527
93.8393;1.66995;1.67372;1.67086;-0.2252;-0.0548
94.8576;1.66656;1.66952;1.66586;-0.1775;0.04208
95.887;1.66318;1.66535;1.66094;-0.1306;0.1344
96.9276;1.65979;1.66123;1.65617;-0.08688;0.2184
97.9795;1.6564;1.65721;1.65162;-0.04855;0.2899
99.0428;1.65302;1.65332;1.64734;-0.01818;0.3445
100.118;1.64954;1.6496;1.64343;-0.004119;0.3718
101.204;1.64528;1.64593;1.63966;-0.03983;0.3425
102.302;1.64102;1.6422;1.63588;-0.07178;0.3143
103.413;1.63676;1.6384;1.63208;-0.1;0.2869
104.535;1.6325;1.63454;1.62826;-0.1246;0.2605
105.669;1.62824;1.63061;1.62442;-0.1456;0.235
106.816;1.62398;1.62663;1.62057;-0.163;0.2103
107.975;1.61972;1.62259;1.61671;-0.177;0.1864
109.147;1.61546;1.6185;1.61283;-0.1876;0.1633
110.331;1.6112;1.61435;1.60893;-0.195;0.1411
111.529;1.60694;1.61015;1.60502;-0.1992;0.1195
112.739;1.60268;1.6059;1.6011;-0.2004;0.09872
113.963;1.59842;1.60161;1.59717;-0.1987;0.07859
115.199;1.59417;1.59727;1.59322;-0.1942;0.0591
116.45;1.58991;1.59289;1.58927;-0.1872;0.04022
117.713;1.58565;1.58847;1.5853;-0.1777;0.02191
118.991;1.58139;1.58402;1.58132;-0.1661;0.004122
120.282;1.57713;1.57954;1.57734;-0.1524;-0.01319
121.587;1.57287;1.57503;1.57334;-0.137;-0.03006
122.907;1.56861;1.57049;1.56934;-0.12;-0.04656
124.241;1.56435;1.56594;1.56533;-0.1018;-0.06272
125.589;1.56009;1.56138;1.56132;-0.08266;-0.07861
126.952;1.55583;1.55681;1.5573;-0.06284;-0.09428
128.33;1.55157;1.55224;1.55328;-0.04271;-0.1098
129.722;1.54731;1.54766;1.54925;-0.02262;-0.1252
131.13;1.54305;1.5431;1.54523;-0.00297;-0.1406
132.553;1.53879;1.53855;1.5412;0.01583;-0.1561
133.991;1.53454;1.53402;1.53717;0.03333;-0.1716
135.446;1.53028;1.52953;1.53315;0.04906;-0.1874
136.915;1.52602;1.52506;1.52913;0.06251;-0.2035
138.401;1.52176;1.52065;1.52511;0.07313;-0.2199
139.903;1.5175;1.51628;1.5211;0.08036;-0.2367
141.421;1.51324;1.51198;1.51709;0.08357;-0.2542
142.956;1.50898;1.50774;1.5131;0.08212;-0.2722
144.508;1.50472;1.50359;1.50911;0.07531;-0.291
146.076;1.50046;1.49952;1.50514;0.06243;-0.3107
147.661;1.4962;1.49556;1.50118;0.04268;-0.3313
149.264;1.49194;1.49171;1.49723;0.01528;-0.3531
150.883;1.48816;1.48797;1.49329;0.01285;-0.3431
152.521;1.48479;1.48425;1.4893;0.03612;-0.3033
154.176;1.48141;1.48054;1.48527;0.05883;-0.2601
155.849;1.47803;1.47684;1.4812;0.08087;-0.2139
157.54;1.47466;1.47315;1.47709;0.1021;-0.1649
159.25;1.47128;1.46948;1.47295;0.1224;-0.1136
160.978;1.4679;1.46583;1.46879;0.1416;-0.06029
162.725;1.46453;1.46219;1.4646;0.1595;-0.005334
164.491;1.46115;1.45858;1.46041;0.1761;0.05082
166.276;1.45777;1.45499;1.4562;0.1911;0.1077
168.081;1.4544;1.45143;1.452;0.2044;0.1648
169.905;1.45102;1.4479;1.44781;0.2157;0.2217
171.749;1.44764;1.44439;1.44363;0.225;0.2776
173.612;1.44427;1.44092;1.43949;0.2319;0.332
175.497;1.44089;1.43749;1.43537;0.2363;0.3843
177.401;1.43751;1.4341;1.4313;0.238;0.4337
179.326;1.43413;1.43075;1.42729;0.2368;0.4794
181.272;1.43076;1.42744;1.42335;0.2324;0.5207
183.239;1.42738;1.42418;1.41948;0.2245;0.5567
185.228;1.424;1.42098;1.4157;0.213;0.5864
187.238;1.42063;1.41783;1.41203;0.1975;0.6089
189.27;1.41725;1.41474;1.40847;0.1777;0.6232
191.324;1.41387;1.41171;1.40505;0.1535;0.6281
193.4;1.4105;1.40874;1.40177;0.1244;0.6225
195.499;1.40712;1.40585;1.39866;0.09028;0.6052
197.621;1.40374;1.40303;1.39572;0.05068;0.575
199.765;1.40037;1.40029;1.39298;0.005296;0.5304
201.933;1.39786;1.39761;1.39038;0.01843;0.5383
204.125;1.39547;1.39493;1.38782;0.03838;0.5512
206.34;1.39307;1.39227;1.38529;0.05752;0.5616
208.579;1.39068;1.38962;1.3828;0.0758;0.5694
210.843;1.38828;1.38699;1.38035;0.0932;0.5746
213.131;1.38589;1.38437;1.37793;0.1097;0.5772
215.444;1.38349;1.38176;1.37555;0.1252;0.5773
217.782;1.38109;1.37917;1.3732;0.1397;0.5747
220.145;1.3787;1.37659;1.37089;0.1532;0.5697
222.534;1.3763;1.37403;1.36861;0.1656;0.5621
224.949;1.37391;1.37148;1.36636;0.1769;0.552
227.39;1.37151;1.36895;1.36415;0.1871;0.5396
229.858;1.36911;1.36643;1.36197;0.1961;0.5247
232.353;1.36672;1.36394;1.35982;0.2039;0.5075
234.874;1.36432;1.36146;1.3577;0.2105;0.4881
237.423;1.36193;1.35899;1.3556;0.2159;0.4665
240;1.35953;1.35655;1.35354;0.22;0.4428
242.604;1.35714;1.35412;1.3515;0.2227;0.4171
245.237;1.35474;1.35171;1.34948;0.2242;0.3897
247.898;1.35234;1.34932;1.34749;0.2243;0.3604
250.588;1.34995;1.34694;1.34551;0.223;0.3296
253.308;1.34755;1.34459;1.34356;0.2204;0.2974
256.057;1.34516;1.34225;1.34161;0.2164;0.264
258.836;1.34276;1.33993;1.33969;0.211;0.2294
261.645;1.34036;1.33763;1.33777;0.2042;0.194
264.484;1.33797;1.33535;1.33586;0.196;0.158
267.354;1.33557;1.33309;1.33395;0.1864;0.1215
270.256;1.33318;1.33084;1.33205;0.1753;0.08492
273.188;1.33078;1.32862;1.33014;0.1629;0.04844
276.153;1.32838;1.32641;1.32822;0.1491;0.01238
279.15;1.32599;1.32422;1.32629;0.134;-0.02295
282.179;1.32359;1.32204;1.32435;0.1175;-0.05721
285.242;1.3212;1.31988;1.32239;0.09963;-0.09003
288.337;1.3188;1.31774;1.3204;0.08052;-0.121
291.466;1.31641;1.31561;1.31838;0.06017;-0.1498
294.629;1.31401;1.3135;1.31632;0.03862;-0.1758
297.827;1.31161;1.31141;1.31423;0.01592;-0.1988
301.059;1.30939;1.30932;1.31208;0.005081;-0.2053
304.326;1.30751;1.30725;1.30991;0.0201;-0.1834
307.628;1.30564;1.30519;1.30774;0.03425;-0.1606
310.967;1.30376;1.30314;1.30555;0.0475;-0.1368
314.342;1.30188;1.30111;1.30335;0.0598;-0.1123
317.753;1.30001;1.29908;1.30114;0.07112;-0.08703
321.201;1.29813;1.29708;1.29893;0.0814;-0.06118
324.687;1.29626;1.29508;1.29671;0.09061;-0.03484
328.21;1.29438;1.2931;1.29449;0.0987;-0.008137
331.772;1.2925;1.29114;1.29226;0.1056;0.01881
335.373;1.29063;1.28919;1.29004;0.1114;0.04587
339.012;1.28875;1.28726;1.28781;0.1158;0.07289
342.691;1.28688;1.28535;1.28559;0.119;0.09972
346.41;1.285;1.28345;1.28338;0.1209;0.1262
350.169;1.28312;1.28157;1.28118;0.1214;0.1521
353.97;1.28125;1.27971;1.27898;0.1205;0.1773
357.811;1.27937;1.27786;1.2768;0.1182;0.2016
361.694;1.2775;1.27604;1.27463;0.1143;0.2248
365.619;1.27562;1.27423;1.27248;0.1089;0.2467
369.587;1.27374;1.27245;1.27035;0.102;0.2669
373.598;1.27187;1.27068;1.26825;0.09346;0.2854
377.652;1.26999;1.26894;1.26617;0.08327;0.3017
381.75;1.26812;1.26721;1.26412;0.07141;0.3157
385.893;1.26624;1.26551;1.26211;0.05784;0.3271
390.081;1.26436;1.26383;1.26014;0.04252;0.3355
394.314;1.26249;1.26217;1.2582;0.02544;0.3406
398.593;1.26061;1.26053;1.25631;0.006557;0.3422
402.919;1.25902;1.25891;1.25447;0.008695;0.3627
407.292;1.25757;1.25731;1.25267;0.02055;0.3909
411.712;1.25612;1.25573;1.25092;0.03114;0.4161
416.18;1.25467;1.25416;1.24919;0.04044;0.4383
420.696;1.25322;1.25261;1.24751;0.04844;0.4579
425.261;1.25177;1.25108;1.24585;0.05513;0.475
429.876;1.25032;1.24956;1.24422;0.0605;0.4901
434.542;1.24886;1.24806;1.24261;0.06455;0.5032
439.257;1.24741;1.24657;1.24102;0.06727;0.5149
444.024;1.24596;1.24511;1.23945;0.06867;0.5254
448.843;1.24451;1.24366;1.23789;0.06874;0.5352
453.714;1.24306;1.24222;1.23633;0.06749;0.5446
458.638;1.24161;1.2408;1.23477;0.06494;0.5541
463.615;1.24016;1.2394;1.2332;0.0611;0.5641
468.646;1.23871;1.23801;1.23162;0.05598;0.5753
473.732;1.23726;1.23664;1.23002;0.0496;0.5881
478.873;1.2358;1.23529;1.2284;0.042;0.6032
484.07;1.23435;1.23394;1.22673;0.0332;0.6211
489.323;1.2329;1.23262;1.22503;0.02323;0.6426
494.633;1.23145;1.2313;1.22328;0.01215;0.6683
500.001;1.23;1.23;1.22146;1.593e-06;0.6991
505.427;1.22882;1.2287;1.21956;0.009154;0.7591
510.912;1.22763;1.22741;1.21755;0.0184;0.8278
516.457;1.22645;1.22611;1.21546;0.02754;0.9039
522.061;1.22526;1.22482;1.21329;0.03636;0.9865
527.727;1.22408;1.22353;1.21107;0.04464;1.074
533.454;1.2229;1.22226;1.2088;0.05214;1.166
539.243;1.22171;1.221;1.20651;0.05859;1.26
545.095;1.22053;1.21975;1.20422;0.06373;1.354
551.01;1.21934;1.21852;1.20194;0.06727;1.448
556.99;1.21816;1.21732;1.19969;0.06891;1.539
563.035;1.21698;1.21614;1.19751;0.06831;1.626
569.145;1.21579;1.215;1.1954;0.06514;1.705
575.321;1.21461;1.21389;1.19341;0.05904;1.776
581.565;1.21342;1.21282;1.19155;0.04963;1.836
587.876;1.21224;1.2118;1.18986;0.0365;1.881
594.256;1.21106;1.21082;1.18836;0.01924;1.91
600.705;1.20992;1.2099;1.18709;0.001304;1.923
607.224;1.20917;1.20902;1.18593;0.01228;1.959
613.813;1.20842;1.20816;1.1848;0.02147;1.993
620.474;1.20767;1.20732;1.1837;0.02892;2.025
627.208;1.20692;1.2065;1.18262;0.03471;2.054
634.015;1.20617;1.2057;1.18158;0.0389;2.081
640.895;1.20542;1.20492;1.18056;0.04158;2.106
647.85;1.20467;1.20415;1.17956;0.04283;2.128
654.881;1.20392;1.2034;1.17859;0.04277;2.148
661.988;1.20316;1.20267;1.17765;0.04148;2.166
669.172;1.20241;1.20194;1.17674;0.03911;2.182
676.434;1.20166;1.20123;1.17584;0.03576;2.196
683.774;1.20091;1.20053;1.17498;0.03159;2.208
691.195;1.20016;1.19984;1.17413;0.02674;2.217
698.696;1.19941;1.19916;1.17331;0.02138;2.225
706.278;1.19866;1.19847;1.17251;0.01568;2.231
713.943;1.19791;1.19779;1.17173;0.009834;2.235
721.691;1.19716;1.19711;1.17097;0.004039;2.237
729.522;1.19641;1.19643;1.17022;-0.001487;2.238
737.439;1.19566;1.19574;1.1695;-0.006513;2.237
745.442;1.19491;1.19504;1.16879;-0.01079;2.235
753.532;1.19416;1.19433;1.16809;-0.01406;2.232
761.709;1.19341;1.1936;1.1674;-0.01603;2.228
769.976;1.19266;1.19286;1.16673;-0.01641;2.223
778.332;1.19191;1.19209;1.16606;-0.01488;2.217
786.778;1.19116;1.19129;1.1654;-0.0111;2.21
795.316;1.19041;1.19046;1.16474;-0.004707;2.204
803.947;1.18956;1.1896;1.16409;-0.003651;2.188
812.672;1.18859;1.1887;1.16344;-0.009419;2.161
821.491;1.18762;1.18777;1.16282;-0.01231;2.133
830.406;1.18666;1.18681;1.16221;-0.01259;2.103
839.418;1.18569;1.18581;1.16162;-0.01054;2.072
848.527;1.18472;1.1848;1.16103;-0.006464;2.04
857.736;1.18375;1.18376;1.16047;-0.0006931;2.007
867.044;1.18279;1.18271;1.15991;0.006419;1.972
876.453;1.18182;1.18165;1.15937;0.01449;1.937
885.965;1.18085;1.18058;1.15883;0.02312;1.9
895.579;1.17988;1.17951;1.1583;0.03186;1.863
905.298;1.17892;1.17844;1.15778;0.04024;1.826
915.123;1.17795;1.17739;1.15726;0.04778;1.788
925.054;1.17698;1.17635;1.15675;0.05392;1.749
935.093;1.17601;1.17533;1.15624;0.05811;1.71
945.241;1.17505;1.17435;1.15573;0.05974;1.672
955.499;1.17408;1.1734;1.15521;0.05817;1.633
965.868;1.17311;1.17249;1.15469;0.05271;1.595
976.35;1.17215;1.17165;1.15417;0.04265;1.557
986.945;1.17118;1.17086;1.15364;0.02721;1.521
997.656;1.17021;1.17014;1.15309;0.0056;1.485
1008.48;1.16958;1.16949;1.15253;0.008175;1.48
1019.43;1.16905;1.16884;1.15194;0.01816;1.485
1030.49;1.16852;1.1682;1.15134;0.0276;1.492
1041.67;1.16799;1.16756;1.15071;0.03651;1.501
1052.98;1.16745;1.16693;1.15007;0.04486;1.512
1064.4;1.16692;1.16631;1.14941;0.05264;1.524
1075.96;1.16639;1.16569;1.14873;0.05985;1.537
1087.63;1.16586;1.16508;1.14804;0.06648;1.552
1099.43;1.16532;1.16448;1.14733;0.07253;1.568
1111.37;1.16479;1.16388;1.14661;0.07797;1.586
1123.43;1.16426;1.1633;1.14587;0.08282;1.605
1135.62;1.16373;1.16271;1.14513;0.08705;1.624
1147.94;1.16319;1.16214;1.14437;0.09068;1.645
1160.4;1.16266;1.16157;1.14361;0.09369;1.666
1172.99;1.16213;1.16101;1.14285;0.09608;1.687
1185.72;1.1616;1.16046;1.14208;0.09785;1.709
1198.59;1.16106;1.15992;1.1413;0.09901;1.731
1211.6;1.16053;1.15938;1.14053;0.09955;1.754
1224.75;1.16;1.15885;1.13976;0.09947;1.775
1238.04;1.15947;1.15832;1.139;0.09879;1.797
1251.47;1.15894;1.15781;1.13825;0.0975;1.817
1265.05;1.1584;1.1573;1.13751;0.09561;1.837
1278.78;1.15787;1.15679;1.13678;0.09314;1.856
1292.66;1.15734;1.1563;1.13606;0.09009;1.873
1306.69;1.15681;1.15581;1.13537;0.08647;1.888
1320.87;1.15627;1.15532;1.13471;0.08231;1.901
1335.2;1.15574;1.15484;1.13407;0.07761;1.911
1349.69;1.15521;1.15437;1.13346;0.0724;1.919
1364.34;1.15468;1.15391;1.13288;0.06669;1.924
1379.15;1.15414;1.15345;1.13235;0.06052;1.924
1394.11;1.15361;1.15299;1.13186;0.05391;1.921
1409.24;1.15308;1.15254;1.13143;0.04688;1.914
1424.54;1.15255;1.15209;1.13104;0.03948;1.901
1439.99;1.15201;1.15165;1.13072;0.03173;1.883
1455.62;1.15148;1.15121;1.13046;0.02367;1.86
1471.42;1.15095;1.15077;1.13027;0.01535;1.829
1487.39;1.15042;1.15034;1.13016;0.006804;1.792
1503.53;1.14992;1.14991;1.13014;0.001064;1.75
1519.84;1.14954;1.14948;1.13014;0.005802;1.717
1536.34;1.14917;1.14905;1.13014;0.01028;1.684
1553.01;1.14879;1.14863;1.13014;0.01448;1.651
1569.86;1.14842;1.14821;1.13014;0.0184;1.618
1586.9;1.14804;1.14779;1.13014;0.02201;1.584
1604.12;1.14767;1.14738;1.13014;0.02531;1.551
1621.53;1.14729;1.14697;1.13014;0.02828;1.518
1639.13;1.14692;1.14656;1.13014;0.03091;1.485
1656.92;1.14654;1.14616;1.13014;0.03319;1.452
1674.9;1.14617;1.14576;1.13014;0.03509;1.418
1693.07;1.14579;1.14537;1.13014;0.03661;1.385
1711.45;1.14542;1.14498;1.13014;0.03773;1.352
1730.02;1.14504;1.1446;1.13014;0.03843;1.319
1748.79;1.14467;1.14422;1.13014;0.03871;1.286
1767.77;1.14429;1.14385;1.13014;0.03854;1.252
1786.96;1.14392;1.14348;1.13014;0.03791;1.219
1806.35;1.14354;1.14312;1.13014;0.0368;1.186
1825.95;1.14316;1.14276;1.13014;0.03521;1.153
1845.77;1.14279;1.14241;1.13014;0.0331;1.12
1865.8;1.14241;1.14207;1.13014;0.03048;1.086
1886.05;1.14204;1.14173;1.13014;0.02731;1.053
1906.51;1.14166;1.14139;1.13014;0.0236;1.02
1927.2;1.14129;1.14107;1.13014;0.01931;0.9868
1948.12;1.14091;1.14075;1.13014;0.01443;0.9536
1969.26;1.14054;1.14044;1.13014;0.00895;0.9204
1990.63;1.14016;1.14013;1.13014;0.002851;0.8872
2012.23;1.13985;1.13983;1.13013;0.001565;0.8596
2034.07;1.13958;1.13954;1.13012;0.004069;0.8374
2056.14;1.13932;1.13925;1.13009;0.006233;0.8165
2078.46;1.13905;1.13896;1.13005;0.008063;0.7969
2101.01;1.13878;1.13868;1.12999;0.009564;0.7787
2123.81;1.13852;1.1384;1.12991;0.01074;0.7618
2146.86;1.13825;1.13812;1.12982;0.01161;0.7463
2170.16;1.13799;1.13785;1.12972;0.01217;0.7321
2193.71;1.13772;1.13758;1.12959;0.01243;0.7194
2217.52;1.13745;1.13731;1.12946;0.01241;0.7081
2241.58;1.13719;1.13705;1.1293;0.01212;0.6982
2265.91;1.13692;1.13679;1.12913;0.01157;0.6898
2290.5;1.13666;1.13653;1.12895;0.01078;0.6829
2315.35;1.13639;1.13628;1.12874;0.009771;0.6774
2340.48;1.13612;1.13603;1.12852;0.008552;0.6735
2365.88;1.13586;1.13578;1.12829;0.007149;0.671
2391.56;1.13559;1.13553;1.12803;0.005584;0.6701
2417.51;1.13532;1.13528;1.12776;0.003881;0.6707
2443.74;1.13506;1.13503;1.12747;0.002066;0.6728
2470.26;1.13479;1.13479;1.12717;0.0001686;0.6765
2497.07;1.13453;1.13455;1.12684;-0.001781;0.6817
2524.17;1.13426;1.1343;1.1265;-0.00375;0.6885
2551.56;1.13399;1.13406;1.12615;-0.005702;0.6969
2579.25;1.13373;1.13381;1.12577;-0.007601;0.7068
2607.24;1.13346;1.13357;1.12538;-0.009404;0.7184
2635.54;1.13319;1.13332;1.12497;-0.01107;0.7314
2664.14;1.13293;1.13307;1.12454;-0.01255;0.7461
2693.05;1.13266;1.13282;1.12409;-0.0138;0.7623
2722.28;1.1324;1.13256;1.12363;-0.01475;0.7801
2751.82;1.13213;1.1323;1.12315;-0.01537;0.7994
2781.68;1.13186;1.13204;1.12265;-0.01559;0.8203
2811.87;1.1316;1.13177;1.12214;-0.01533;0.8427
2842.39;1.13133;1.1315;1.12161;-0.01455;0.8666
2873.23;1.13106;1.13121;1.12106;-0.01316;0.892
2904.41;1.1308;1.13092;1.1205;-0.01109;0.9189
2935.93;1.13053;1.13063;1.11992;-0.008269;0.9473
2967.79;1.13027;1.13032;1.11933;-0.004601;0.977
3000;1.13;1.13;1.11872;0;1.008
