
=== СТОРОЖ ОСНАСТКИ (T63) ===
  оснастка : C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\CORPUS\scripts\wd_p23
  сборка   : C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\BecquerelMonitor\bin\Release_P23
  пробы    : C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\effmaker\probes\build_p23
  собрана  : 2026-09-06 20:57:15 из C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\BecquerelMonitor\bin\Release_P23
  наборы   : приложение 185939a11972 (549 файлов), пробы 0eecde73ccac (155)
  сверено  : 396 файлов по sha256 за 2,62 с
  библиотека: 152 записей, sha 7aaa0b01c9bd
  перекладка: клейма склада и оснастки сошлись
  ОСНАСТКА СВЕЖАЯ: 396 файлов сошлись

запуск: CorpusFsaProbe.exe --corpus=C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\CORPUS\corpus --out=C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\pie\out_p23_full2 --lib=sample
BecqMoni: main config: C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\CORPUS\scripts\wd_p23\config\BecquerelMonitor.xml
BecqMoni: device configs: C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\CORPUS\scripts\wd_p23\config\device: 24 loaded
корпус: C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\CORPUS\corpus
спектров под отбор: 121 (часть: all, режим: spline)
библиотека: --lib=sample — состав из manifest.csv, линии из nucdb/matdb; поставочный config\NuclideDefinition.xml в РАЗБОРЕ НЕ УЧАСТВУЕТ: проба его не читает и спектру не предъявляет (правило Amber 01.09.2026)
матрица по спектру, суммирование вкл, наложения вкл, рассеяние вкл, вылеты вкл, фон вычитается, если есть
библиотека: ПО ОБЪЯВЛЕННОЙ ПРОБЕ (S56, manifest.csv + materials.csv); атомные образы вкл, равновесие ряда вкл
AS80_Onyx              AS80x80    unknown  chi2/ndf    4.835  пиков  16  комп. 13  матрица: кривой нет                                              188 мс
AS80_K40               AS80x80    unknown  chi2/ndf    5.404  пиков  15  комп.  5  матрица: кривой нет                                               62 мс
AS80_Th232WT20         AS80x80    unknown  chi2/ndf   21.224  пиков  19  комп. 12  матрица: файла нет                                               142 мс
RC103_K40              RC103      known    chi2/ndf    1.727  пиков   3  комп.  5  матрица: НАЙДЕНА, применена                                       77 мс
AS80_Cs137_0cm         AS80x80    known    chi2/ndf   10.243  пиков  13  комп.  2  матрица: НАЙДЕНА, применена                                       48 мс
RC103_Cs137_0cm        RC103      known    chi2/ndf    2.315  пиков   4  комп.  2  матрица: НАЙДЕНА, применена                                       10 мс
ASN16_Lu176            ASN16      known    chi2/ndf    3.681  пиков  11  комп.  4  матрица: НАЙДЕНА, применена                                       63 мс
ASN16_Lu176_P0         ASN16      known    chi2/ndf    0.337  пиков   5  комп.  4  матрица: НАЙДЕНА, применена                                       54 мс
AS80_Lu176             AS80x80    known    chi2/ndf    5.838  пиков  11  комп.  4  матрица: НАЙДЕНА, применена                                       44 мс
⚠ RC103_K40Village: сборка не знает узлов SpectrumName, Comment, SP2DR_Table — они ПРОПУЩЕНЫ молча (T41: сборка старше исходников?)
RC103_K40Village       RC103      unknown  chi2/ndf    2.705  пиков   3  комп.  5  матрица: кривой нет                                               10 мс
RC103_Th232Village     RC103      unknown  chi2/ndf    9.958  пиков  11  комп. 10  матрица: кривой нет                                               24 мс
RC103_Charoite         RC103      unknown  chi2/ndf    2.577  пиков   7  комп. 12  матрица: кривой нет                                               24 мс
RC103_Lu176            RC103      known    chi2/ndf    1.107  пиков   6  комп.  4  матрица: НАЙДЕНА, применена                                       13 мс
LaBrBril_Th228         LABR_BRIL  unknown  chi2/ndf    4.379  пиков  16  комп.  8  матрица: кривой нет                                               43 мс
LaBrBril_Eu152         LABR_BRIL  unknown  chi2/ndf    5.975  пиков  20  комп. 10  матрица: кривой нет                                               35 мс
G1S16_Th232_Mar        G1S16      unknown  chi2/ndf    8.825  пиков  16  комп. 10  матрица: кривой нет                                               25 мс
G1S16_Mix_Denta100     G1S16      known    chi2/ndf    5.423  пиков  13  комп. 13  матрица: НАЙДЕНА, применена                                      126 мс
G1S16_Th232_Denta100   G1S16      known    chi2/ndf    1.654  пиков  13  комп. 10  матрица: НАЙДЕНА, применена                                      409 мс
G1S16_Mix_Mar          G1S16      known    chi2/ndf   13.982  пиков  16  комп. 13  матрица: НАЙДЕНА, применена                                      102 мс
G1S16_Cs137_Mar        G1S16      known    chi2/ndf    2.768  пиков   4  комп.  2  матрица: НАЙДЕНА, применена                                       11 мс
G1S16_Cs137_Mar_2      G1S16      known    chi2/ndf    2.758  пиков   4  комп.  2  матрица: НАЙДЕНА, применена                                       10 мс
G1S16_K40_Mar          G1S16      known    chi2/ndf    1.509  пиков   4  комп.  5  матрица: НАЙДЕНА, применена                                       18 мс
G1S16_K40_Mar_2        G1S16      known    chi2/ndf    2.828  пиков   4  комп.  5  матрица: НАЙДЕНА, применена                                       16 мс
G1S16_Ra226_Mar        G1S16      known    chi2/ndf    3.067  пиков  16  комп. 10  матрица: НАЙДЕНА, применена                                      249 мс
G1S16_Ra226_Mar_2      G1S16      known    chi2/ndf    4.446  пиков  17  комп. 10  матрица: НАЙДЕНА, применена                                      212 мс
G1S16_Th232_Mar_2      G1S16      known    chi2/ndf    4.395  пиков  17  комп. 10  матрица: НАЙДЕНА, применена                                      358 мс
G1S16_Th232_Mar_3      G1S16      known    chi2/ndf    4.715  пиков  19  комп. 10  матрица: НАЙДЕНА, применена                                      363 мс
G1S16_Mix_Petri        G1S16      known    chi2/ndf    4.904  пиков  14  комп. 13  матрица: НАЙДЕНА, применена                                      105 мс
G1S16_Th232_Petri      G1S16      known    chi2/ndf    1.595  пиков  12  комп. 10  матрица: НАЙДЕНА, применена                                      371 мс
G1S16_Am241_P25        G1S16      known    chi2/ndf    2.458  пиков   2  комп.  3  матрица: НАЙДЕНА, применена                                        9 мс
G1S16_Ba133_P25        G1S16      known    chi2/ndf    9.327  пиков   9  комп.  3  матрица: НАЙДЕНА, применена                                       26 мс
G1S16_Cd109_P25        G1S16      known    chi2/ndf    2.066  пиков   5  комп.  3  матрица: НАЙДЕНА, применена                                       18 мс
G1S16_Ce139_P25        G1S16      known    chi2/ndf    1.936  пиков   6  комп.  3  матрица: НАЙДЕНА, применена                                       21 мс
G1S16_Co60_P25         G1S16      known    chi2/ndf    1.850  пиков   6  комп.  7  матрица: НАЙДЕНА, применена                                       37 мс
G1S16_Cs137_P25        G1S16      known    chi2/ndf    4.638  пиков   7  комп.  2  матрица: НАЙДЕНА, применена                                       13 мс
G1S16_Eu152_P25        G1S16      known    chi2/ndf    8.598  пиков  14  комп. 10  матрица: НАЙДЕНА, применена                                       84 мс
G1S16_Mn54_P25         G1S16      known    chi2/ndf    1.816  пиков   7  комп.  2  матрица: НАЙДЕНА, применена                                       27 мс
G1S16_Na22_P25         G1S16      known    chi2/ndf    4.489  пиков   9  комп.  5  матрица: НАЙДЕНА, применена                                       28 мс
G1S16_Th228_P25        G1S16      known    chi2/ndf    1.273  пиков  12  комп.  8  матрица: НАЙДЕНА, применена                                       43 мс
G1S16_Y88_P25          G1S16      known    chi2/ndf    1.224  пиков   9  комп.  5  матрица: НАЙДЕНА, применена                                       42 мс
G1S16_Am241_P5         G1S16      known    chi2/ndf    8.186  пиков   3  комп.  3  матрица: НАЙДЕНА, применена                                        8 мс
G1S16_Ba133_P5         G1S16      known    chi2/ndf   36.082  пиков   8  комп.  3  матрица: НАЙДЕНА, НЕ ПРИМЕНЕНА (образов под неё в отчёте нет)     17 мс
G1S16_Cd109_P5         G1S16      known    chi2/ndf    6.013  пиков   3  комп.  3  матрица: НАЙДЕНА, применена                                        9 мс
G1S16_Ce139_P5         G1S16      known    chi2/ndf    6.549  пиков   5  комп.  3  матрица: НАЙДЕНА, применена                                       10 мс
G1S16_Co57_P5          G1S16      known    chi2/ndf    1.048  пиков   3  комп.  3  матрица: НАЙДЕНА, применена                                       22 мс
G1S16_Co60_P5          G1S16      known    chi2/ndf    9.768  пиков   9  комп.  7  матрица: НАЙДЕНА, применена                                       25 мс
G1S16_Cs137_P5         G1S16      known    chi2/ndf   22.469  пиков   6  комп.  2  матрица: НАЙДЕНА, применена                                       11 мс
G1S16_Eu152_P5         G1S16      known    chi2/ndf   30.456  пиков  14  комп. 10  матрица: НАЙДЕНА, применена                                       88 мс
G1S16_Mn54_P5          G1S16      known    chi2/ndf    4.157  пиков   6  комп.  2  матрица: НАЙДЕНА, применена                                       12 мс
G1S16_Na22_P5          G1S16      known    chi2/ndf   18.635  пиков  11  комп.  5  матрица: НАЙДЕНА, применена                                       19 мс
G1S16_Th228_P5         G1S16      known    chi2/ndf    4.175  пиков  14  комп.  8  матрица: НАЙДЕНА, применена                                       44 мс
G1S16_Y88_P5           G1S16      known    chi2/ndf    1.317  пиков   6  комп.  5  матрица: НАЙДЕНА, применена                                       31 мс
G1S24_Cs137_Denta120   G1S24      known    chi2/ndf    1.382  пиков   4  комп.  2  матрица: НАЙДЕНА, применена                                       11 мс
G1S24_Cs137_Denta120_2 G1S24      known    chi2/ndf    2.124  пиков   5  комп.  2  матрица: НАЙДЕНА, применена                                       12 мс
G1S24_K40_Denta120     G1S24      known    chi2/ndf    1.119  пиков  10  комп.  5  матрица: НАЙДЕНА, применена                                       17 мс
G1S24_K40_Denta120_2   G1S24      known    chi2/ndf    1.219  пиков   8  комп.  5  матрица: НАЙДЕНА, применена                                       17 мс
G1S24_Ra226_Denta120   G1S24      known    chi2/ndf    1.586  пиков  15  комп. 10  матрица: НАЙДЕНА, применена                                      209 мс
G1S24_Ra226_Denta120_2 G1S24      known    chi2/ndf    3.247  пиков  17  комп. 10  матрица: НАЙДЕНА, применена                                      201 мс
G1S24_Th232_Denta120   G1S24      known    chi2/ndf    1.282  пиков  12  комп. 10  матрица: НАЙДЕНА, применена                                      366 мс
G1S24_Th232_Denta120_2 G1S24      known    chi2/ndf    3.001  пиков  15  комп. 10  матрица: НАЙДЕНА, применена                                      364 мс
G1S24_Cs137_Mar        G1S24      known    chi2/ndf    3.380  пиков   5  комп.  2  матрица: НАЙДЕНА, применена                                       12 мс
G1S24_Cs137_Mar_2      G1S24      known    chi2/ndf    4.307  пиков   6  комп.  2  матрица: НАЙДЕНА, применена                                       11 мс
G1S24_K40_Mar          G1S24      known    chi2/ndf    1.517  пиков   4  комп.  5  матрица: НАЙДЕНА, применена                                       17 мс
G1S24_K40_Mar_2        G1S24      known    chi2/ndf    1.430  пиков   5  комп.  5  матрица: НАЙДЕНА, применена                                       16 мс
G1S24_Ra226_Mar        G1S24      known    chi2/ndf    2.354  пиков  16  комп. 10  матрица: НАЙДЕНА, применена                                      215 мс
G1S24_Ra226_Mar_2      G1S24      known    chi2/ndf    5.070  пиков  17  комп. 10  матрица: НАЙДЕНА, применена                                      215 мс
G1S24_Th232_Mar        G1S24      known    chi2/ndf    2.594  пиков  13  комп. 10  матрица: НАЙДЕНА, применена                                      338 мс
G1S24_Th232_Mar_2      G1S24      known    chi2/ndf    6.763  пиков  17  комп. 10  матрица: НАЙДЕНА, применена                                      367 мс
G1S24_Cs137_Petri      G1S24      known    chi2/ndf    1.422  пиков   3  комп.  2  матрица: НАЙДЕНА, применена                                       10 мс
G1S24_Cs137_Petri_2    G1S24      known    chi2/ndf    2.141  пиков   6  комп.  2  матрица: НАЙДЕНА, применена                                       10 мс
G1S24_K40_Petri        G1S24      known    chi2/ndf    1.321  пиков   6  комп.  5  матрица: НАЙДЕНА, применена                                       17 мс
G1S24_K40_Petri_2      G1S24      known    chi2/ndf    1.204  пиков   4  комп.  5  матрица: НАЙДЕНА, применена                                       18 мс
G1S24_Ra226_Petri      G1S24      known    chi2/ndf    1.679  пиков  15  комп. 10  матрица: НАЙДЕНА, применена                                      202 мс
G1S24_Ra226_Petri_2    G1S24      known    chi2/ndf    3.081  пиков  16  комп. 10  матрица: НАЙДЕНА, применена                                      210 мс
G1S24_Th232_Petri      G1S24      known    chi2/ndf    2.860  пиков  15  комп. 10  матрица: НАЙДЕНА, применена                                      366 мс
G1S24_Th232_Petri_2    G1S24      known    chi2/ndf    7.694  пиков  17  комп. 10  матрица: НАЙДЕНА, применена                                      373 мс
G1S24_Cs137_P25        G1S24      known    chi2/ndf    3.884  пиков   8  комп.  2  матрица: НАЙДЕНА, применена                                       10 мс
G1S24_Na22_P25         G1S24      known    chi2/ndf   18.184  пиков  11  комп.  5  матрица: НАЙДЕНА, применена                                       20 мс
G1S24_Th228_P25        G1S24      known    chi2/ndf    4.728  пиков  15  комп.  8  матрица: НАЙДЕНА, применена                                       49 мс
G1S24_Y88_P25          G1S24      known    chi2/ndf    2.062  пиков  10  комп.  5  матрица: НАЙДЕНА, применена                                       30 мс
G1S24_Am241_P5         G1S24      known    chi2/ndf   11.986  пиков   4  комп.  3  матрица: НАЙДЕНА, применена                                        8 мс
G1S24_Ba133_P5         G1S24      known    chi2/ndf   31.831  пиков   9  комп.  3  матрица: НАЙДЕНА, применена                                       15 мс
G1S24_Bi207_P5         G1S24      known    chi2/ndf   48.039  пиков  13  комп.  8  матрица: НАЙДЕНА, применена                                       42 мс
G1S24_Cd109_P5         G1S24      known    chi2/ndf    3.449  пиков   3  комп.  3  матрица: НАЙДЕНА, применена                                        8 мс
G1S24_Co60_P5          G1S24      known    chi2/ndf   12.680  пиков  12  комп.  7  матрица: НАЙДЕНА, применена                                       25 мс
G1S24_Cs137_P5         G1S24      known    chi2/ndf   15.154  пиков   7  комп.  2  матрица: НАЙДЕНА, применена                                       10 мс
G1S24_Eu152_P5         G1S24      known    chi2/ndf   64.770  пиков  13  комп. 10  матрица: НАЙДЕНА, применена                                       89 мс
G1S24_Na22_P5          G1S24      known    chi2/ndf   57.864  пиков  13  комп.  5  матрица: НАЙДЕНА, применена                                       19 мс
G1S24_Th228_P5         G1S24      known    chi2/ndf   58.863  пиков  17  комп.  8  матрица: НАЙДЕНА, применена                                       45 мс
G1S24_Y88_P5           G1S24      known    chi2/ndf   12.912  пиков  11  комп.  5  матрица: НАЙДЕНА, применена                                       30 мс
G1S24_Zn65_P5          G1S24      known    chi2/ndf    1.080  пиков   5  комп.  3  матрица: НАЙДЕНА, применена                                       32 мс

записано групп: 16 -> C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\pie\out_p23_full2

=== итог по частям корпуса (12 с на часах, 12 с ЦП) ===
часть      спектров  найдена   примен.   sum chi2    медиана   ошибок  кр.усил  кр.ноль
known            82       82        81      679.1       3.31        0        0        0
           ⚠ НАЙДЕНА, НО НЕ ПРИМЕНЕНА: 1 — G1S16_Ba133_P5
             измерено (matrix_images = 0 у всех): в отчётном фите уцелели одни производные образы (обратное рассеяние, наложения), строить матрице было нечего
unknown          39        0         0      497.1       5.98        0        0        0
           ⛔ БЕЗ МАТРИЦЫ (файла нет либо отпечаток не сошёлся): 2 — узел кривой у них ЕСТЬ, а матрицы под него нет, и считались они из одних пиков

отсев по значимости (~~`T240`~~): ПРИМЕНЁН у 119, отключился сам (порог выше значимости ВСЕХ судимых) у 0, выбрасывать было некого у 2, не заказан у 0
  наибольшая значимость первого прохода: от 5.42 до 711.28 — с ней и сличается доля `RefitZRelative`

⚠ числа каждой строки принадлежат ТОЛЬКО своей части корпуса;
  «понятная» считана с матрицей отклика, «непонятная» — из одних пиков.
Фантомы и recall — C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\pie\out_p23_full2\..\score.py по этим же файлам:
  python tools/pie/score.py --mode=spline --out-dir=C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\pie\out_p23_full2 --part=all
