ch,keV,net,fit,model,continuum_raw,Am-241,Esc-NaI,continuum
99,20.604,10998.978,10998.978,9323.638,181.884,7616.041,1707.597,0.000
100,20.950,11086.635,11086.635,9339.160,186.936,7611.417,1727.743,0.000
101,21.296,11687.719,11687.719,9287.598,191.989,7562.117,1725.481,0.000
102,21.641,11780.864,11780.864,9166.829,197.041,7465.798,1701.031,0.000
103,21.987,11780.800,11780.800,8976.603,202.093,7321.133,1655.471,0.000
104,22.333,11657.172,11657.172,8718.711,207.146,7128.053,1590.658,0.000
105,22.679,10757.172,10757.172,8397.030,212.198,6887.923,1509.107,0.000
106,23.025,10046.589,10046.589,8017.447,217.250,6603.623,1413.824,0.000
107,23.371,9353.975,9353.975,7587.643,222.303,6279.520,1308.123,0.000
108,23.717,8351.167,8351.167,7116.776,227.355,5921.336,1195.439,0.000
109,24.063,7297.429,7297.429,6615.080,232.407,5535.931,1079.148,0.000
110,24.409,6136.229,6136.229,6093.403,237.460,5130.994,962.409,0.000
111,24.755,5034.896,5034.896,5562.728,242.512,4714.695,848.033,0.000
112,25.101,4227.709,4227.709,5033.705,247.564,4295.307,738.398,0.000
113,25.447,3372.887,3372.887,4516.230,252.617,3880.837,635.392,0.000
114,25.793,2705.207,2705.207,4019.086,257.669,3478.687,540.399,0.000
115,26.139,2138.579,2138.579,3549.680,262.721,3095.369,454.311,0.000
116,26.486,1671.180,1671.180,3113.870,267.773,2736.298,377.572,0.000
117,26.832,1346.887,1346.887,2715.892,272.826,2405.655,310.237,0.000
118,27.178,1137.364,1137.364,2358.382,277.878,2106.343,252.039,0.000
119,27.524,943.537,943.537,2042.471,282.930,1840.005,202.466,0.000
120,27.870,789.355,789.355,1767.958,287.983,1607.127,160.831,0.000
121,28.217,699.601,699.601,1533.511,293.035,1407.172,126.339,0.000
122,28.563,671.773,671.773,1336.908,298.087,1238.762,98.146,0.000
123,28.909,608.813,608.813,1175.274,303.140,1099.874,75.400,0.000
124,29.256,646.549,646.549,1045.318,308.192,988.034,57.285,0.000
125,29.602,648.352,648.352,943.544,313.244,900.505,43.040,0.000
126,29.948,721.217,721.217,866.430,318.297,834.453,31.978,0.000
127,30.295,707.724,707.724,802.001,314.775,778.508,23.493,0.000
128,30.641,749.761,749.761,755.662,311.253,738.596,17.066,0.000
129,30.987,772.172,772.172,724.548,307.732,712.290,12.258,0.000
130,31.334,794.012,794.012,706.144,304.210,697.440,8.705,0.000
131,31.680,848.212,848.212,698.297,300.688,692.187,6.111,0.000
132,32.027,887.864,887.864,699.216,297.167,694.976,4.240,0.000
133,32.373,976.212,976.212,707.451,293.645,704.542,2.908,0.000
134,32.720,986.537,986.537,721.862,290.123,719.891,1.971,0.000
135,33.066,1127.138,1127.138,741.590,286.602,740.270,1.320,0.000
136,33.413,1152.128,1152.128,766.015,283.080,765.141,0.874,0.000
137,33.760,1193.392,1193.392,794.725,279.558,794.153,0.572,0.000
138,34.106,1290.296,1290.296,827.480,276.037,827.111,0.369,0.000
139,34.453,1303.810,1303.810,864.189,272.515,863.954,0.236,0.000
140,34.799,1377.901,1377.901,904.880,268.993,904.732,0.149,0.000
141,35.146,1577.037,1577.037,949.683,265.471,949.591,0.092,0.000
142,35.493,1585.978,1585.978,998.814,261.950,998.757,0.057,0.000
143,35.839,1656.424,1656.424,1052.561,258.428,1052.527,0.035,0.000
144,36.186,1773.438,1773.438,1111.279,254.906,1111.258,0.021,0.000
145,36.533,1800.810,1800.810,1175.380,251.385,1175.367,0.012,0.000
146,36.880,1937.318,1937.318,1245.333,247.863,1245.326,0.007,0.000
147,37.227,2043.564,2043.564,1321.665,244.341,1321.661,0.004,0.000
148,37.573,2061.175,2061.175,1404.963,240.820,1404.960,0.002,0.000
149,37.920,2263.224,2263.224,1495.880,237.298,1495.878,0.001,0.000
150,38.267,2342.054,2342.054,1595.145,233.776,1595.145,0.001,0.000
151,38.614,2461.084,2461.084,1703.578,230.255,1703.578,0.000,0.000
152,38.961,2485.246,2485.246,1822.103,226.733,1822.103,0.000,0.000
153,39.308,2593.034,2593.034,1951.772,223.211,1951.772,0.000,0.000
154,39.655,2774.172,2774.172,2093.789,219.690,2093.789,0.000,0.000
155,40.002,2838.335,2838.335,2249.537,216.168,2249.537,0.000,0.000
156,40.349,3021.414,3021.414,2420.611,212.646,2420.611,0.000,0.000
157,40.696,3143.884,3143.884,2608.852,209.124,2608.852,0.000,0.000
158,41.043,3305.800,3305.800,2816.380,205.603,2816.380,0.000,0.000
159,41.390,3483.529,3483.529,3045.634,202.081,3045.634,0.000,0.000
160,41.737,3656.722,3656.722,3299.403,198.559,3299.403,0.000,0.000
161,42.084,3785.094,3785.094,3580.853,195.038,3580.853,0.000,0.000
162,42.431,3958.369,3958.369,3893.552,191.516,3893.552,0.000,0.000
163,42.778,4065.108,4065.108,4241.481,187.994,4241.481,0.000,0.000
164,43.125,4282.879,4282.879,4629.031,184.473,4629.031,0.000,0.000
165,43.472,4618.227,4618.227,5060.989,180.951,5060.989,0.000,0.000
166,43.819,4751.007,4751.007,5542.491,177.429,5542.491,0.000,0.000
167,44.166,5012.591,5012.591,6078.968,173.908,6078.968,0.000,0.000
168,44.514,5474.332,5474.332,6676.053,170.386,6676.053,0.000,0.000
169,44.861,5820.470,5820.470,7339.467,166.864,7339.467,0.000,0.000
170,45.208,6249.473,6249.473,8074.869,163.342,8074.869,0.000,0.000
171,45.555,6768.788,6768.788,8887.687,159.821,8887.687,0.000,0.000
172,45.903,7392.298,7392.298,9782.911,156.299,9782.911,0.000,0.000
173,46.250,7885.842,7885.842,10764.865,152.777,10764.865,0.000,0.000
174,46.597,8960.586,8960.586,11836.966,149.256,11836.966,0.000,0.000
175,46.945,9809.318,9809.318,13001.455,145.734,13001.455,0.000,0.000
176,47.292,11034.941,11034.941,14259.140,142.212,14259.140,0.000,0.000
177,47.639,12228.953,12228.953,15609.134,138.691,15609.134,0.000,0.000
178,47.987,13580.330,13580.330,17048.606,135.169,17048.606,0.000,0.000
179,48.334,15493.150,15493.150,18572.576,131.647,18572.576,0.000,0.000
180,48.682,17349.310,17349.310,20173.730,128.126,20173.730,0.000,0.000
181,49.029,19346.783,19346.783,21842.308,124.604,21842.308,0.000,0.000
182,49.377,21759.517,21759.517,23566.043,121.082,23566.043,0.000,0.000
183,49.724,24322.549,24322.549,25330.180,117.561,25330.180,0.000,0.000
184,50.072,27771.992,27771.992,27117.578,114.039,27117.578,0.000,0.000
185,50.419,30555.258,30555.258,28908.902,110.517,28908.902,0.000,0.000
186,50.767,34430.803,34430.803,30682.894,106.995,30682.894,0.000,0.000
187,51.114,37847.736,37847.736,32416.747,103.474,32416.747,0.000,0.000
188,51.462,41586.222,41586.222,34086.545,99.952,34086.545,0.000,0.000
189,51.810,45840.382,45840.382,35667.778,96.430,35667.778,0.000,0.000
190,52.157,49255.399,49255.399,37135.920,92.909,37135.920,0.000,0.000
191,52.505,53967.529,53967.529,38467.033,89.387,38467.033,0.000,0.000
192,52.853,57446.074,57446.074,39638.401,85.865,39638.401,0.000,0.000
193,53.200,61673.554,61673.554,40629.147,82.344,40629.147,0.000,0.000
194,53.548,64608.943,64608.943,41420.832,78.822,41420.832,0.000,0.000
195,53.896,67573.561,67573.561,41997.996,75.300,41997.996,0.000,0.000
196,54.243,69860.468,69860.468,42348.633,71.779,42348.633,0.000,0.000
197,54.591,72138.180,72138.180,42464.561,68.257,42464.561,0.000,0.000
198,54.939,73019.515,73019.515,42341.696,64.735,42341.696,0.000,0.000
199,55.287,72553.286,72553.286,41980.198,61.214,41980.198,0.000,0.000
200,55.635,72254.803,72254.803,41384.492,57.692,41384.492,0.000,0.000
201,55.982,71277.820,71277.820,40563.158,54.170,40563.158,0.000,0.000
202,56.330,68886.505,68886.505,39528.700,50.648,39528.700,0.000,0.000
203,56.678,65705.382,65705.382,38297.198,47.127,38297.198,0.000,0.000
204,57.026,61446.682,61446.682,36887.857,43.605,36887.857,0.000,0.000
205,57.374,57866.286,57866.286,35322.477,40.083,35322.477,0.000,0.000
206,57.722,52641.465,52641.465,33624.855,36.562,33624.855,0.000,0.000
207,58.070,47627.118,47627.118,31820.154,33.040,31820.154,0.000,0.000
208,58.418,42666.879,42666.879,29934.254,29.518,29934.254,0.000,0.000
209,58.766,37679.675,37679.675,27993.113,25.997,27993.113,0.000,0.000
210,59.114,32508.369,32508.369,26022.154,22.475,26022.154,0.000,0.000
211,59.462,28127.175,28127.175,24045.710,18.953,24045.710,0.000,0.000
212,59.810,23708.975,23708.975,22086.531,15.432,22086.531,0.000,0.000
213,60.158,19682.194,19682.194,20165.370,11.910,20165.370,0.000,0.000
214,60.506,16137.175,16137.175,18300.664,8.388,18300.664,0.000,0.000
215,60.854,13084.862,13084.862,16508.300,4.866,16508.300,0.000,0.000
216,61.202,10595.204,10595.204,14801.476,1.345,14801.476,0.000,0.000
217,61.550,8233.391,8233.391,13194.727,1.893,13194.727,0.000,0.000
