ch,keV,net,fit,model,continuum_raw,Lu-176,Esc-NaI
53,8.755,0.422,0.422,0.000,0.000,0.000,0.000
54,9.097,0.000,-2.420,0.000,0.000,0.000,0.000
55,9.439,0.054,0.054,0.000,0.000,0.000,0.000
56,9.782,1.268,1.268,0.000,0.000,0.000,0.000
57,10.124,14.800,14.800,0.000,0.000,0.000,0.000
58,10.466,40.968,40.968,0.000,0.000,0.000,0.000
59,10.808,69.244,69.244,0.000,0.000,0.000,0.000
60,11.151,137.420,137.420,0.000,0.000,0.000,0.000
61,11.493,232.128,232.128,0.000,0.000,0.000,0.000
62,11.835,241.629,241.629,0.000,0.000,0.000,0.000
63,12.177,328.648,328.648,0.000,0.000,0.000,0.000
64,12.520,405.563,405.563,0.000,0.000,0.000,0.000
65,12.862,479.791,479.791,0.000,0.000,0.000,0.000
66,13.204,544.016,544.016,0.000,0.000,0.000,0.000
67,13.547,612.494,612.494,0.000,0.000,0.000,0.000
68,13.889,675.295,675.295,0.000,0.000,0.000,0.000
69,14.231,684.821,684.821,0.000,0.000,0.000,0.000
70,14.574,707.992,707.992,842.206,836.313,826.957,15.249
71,14.916,741.512,741.512,878.261,871.428,861.682,16.578
72,15.258,791.891,791.891,914.528,906.723,896.586,17.941
73,15.601,824.200,824.200,950.400,941.606,931.084,19.316
74,15.943,749.693,749.693,985.106,975.321,964.427,20.678
75,16.285,924.265,924.265,1017.733,1006.967,995.726,22.008
76,16.628,835.905,835.905,1047.273,1035.544,1023.990,23.284
77,16.970,892.219,892.219,1072.682,1060.013,1048.193,24.489
78,17.312,871.013,871.013,1092.957,1079.374,1067.346,25.611
79,17.655,1005.119,1005.119,1107.208,1092.735,1080.567,26.641
80,17.997,920.867,920.867,1114.735,1099.389,1087.156,27.578
81,18.339,1079.800,1079.800,1115.079,1098.871,1086.654,28.426
82,18.682,1148.926,1148.926,1108.070,1090.996,1078.877,29.194
83,19.024,1076.347,1076.347,1093.841,1075.883,1063.943,29.898
84,19.366,1094.314,1094.314,1072.827,1053.952,1042.267,30.560
85,19.709,1121.366,1121.366,1045.746,1025.902,1014.540,31.206
86,20.051,1101.800,1101.800,1013.549,992.668,981.686,31.863
87,20.394,939.127,939.127,977.371,955.365,944.809,32.562
88,20.736,974.653,974.653,938.458,915.222,905.125,33.333
89,21.078,938.458,938.458,898.092,873.509,863.889,34.203
90,21.421,927.138,927.138,857.526,831.467,822.330,35.196
91,21.763,942.834,942.834,817.911,790.241,781.582,36.328
92,22.106,866.106,866.106,780.243,750.828,742.633,37.610
93,22.448,794.105,794.105,745.325,714.034,706.285,39.040
94,22.791,825.632,825.632,713.738,680.455,673.131,40.607
95,23.133,700.055,700.055,685.838,650.466,643.549,42.288
96,23.475,768.217,768.217,661.761,624.229,617.711,44.050
97,23.818,657.208,657.208,641.446,601.713,595.598,45.848
98,24.160,679.051,679.051,624.660,582.720,577.033,47.627
99,24.503,661.891,661.891,611.040,566.919,561.713,49.327
100,24.845,633.216,633.216,600.127,553.880,549.245,50.882
101,25.188,617.366,617.366,591.404,543.107,539.178,52.226
102,25.530,595.832,595.832,584.333,534.072,531.038,53.295
103,25.873,657.826,657.826,578.385,526.235,524.353,54.032
104,26.215,630.409,630.409,573.068,519.074,518.679,54.389
105,26.558,635.409,635.409,567.947,512.098,513.618,54.329
106,26.900,609.662,609.662,562.660,504.862,508.828,53.832
107,27.243,618.200,618.200,556.927,496.980,504.035,52.892
108,27.585,628.027,628.027,550.558,488.124,499.040,51.519
109,27.928,668.242,668.242,543.451,478.035,493.711,49.740
110,28.270,650.342,650.342,535.584,466.521,487.988,47.596
111,28.613,594.239,594.239,527.014,453.455,481.875,45.139
112,28.955,640.602,640.602,517.858,438.775,475.428,42.430
113,29.298,602.667,602.667,508.285,422.477,468.749,39.536
114,29.640,557.507,557.507,498.500,404.616,461.973,36.527
115,29.983,592.090,592.090,488.727,385.297,455.257,33.470
116,30.325,474.290,474.290,479.198,364.671,448.770,30.429
117,30.668,505.667,505.667,470.140,342.931,442.678,27.461
118,31.010,617.236,617.236,461.761,320.301,437.144,24.617
119,31.353,570.919,570.919,454.249,297.033,432.313,21.936
120,31.695,581.664,581.664,447.761,273.399,428.312,19.449
121,32.038,551.926,551.926,442.423,249.681,425.247,17.176
122,32.381,502.609,502.609,438.331,226.162,423.203,15.128
123,32.723,430.089,430.089,435.552,203.121,422.242,13.310
124,33.066,519.182,519.182,434.131,180.818,422.412,11.719
125,33.408,470.973,470.973,434.095,159.492,423.749,10.346
126,33.751,469.079,469.079,435.461,139.350,426.282,9.179
127,34.094,523.556,523.556,438.245,120.561,430.041,8.204
128,34.436,503.345,503.345,442.465,103.255,435.060,7.405
129,34.779,533.409,533.409,448.155,87.517,441.390,6.765
130,35.121,443.989,443.989,455.365,73.389,449.098,6.267
131,35.464,532.889,532.889,464.174,60.870,458.278,5.896
132,35.807,530.832,530.832,474.690,49.924,469.052,5.638
133,36.149,536.889,536.889,487.058,40.480,481.578,5.480
134,36.492,505.111,505.111,501.465,32.442,496.053,5.411
135,36.834,589.311,589.311,518.139,25.692,512.716,5.423
136,37.177,551.738,551.738,537.358,20.103,531.849,5.509
137,37.520,588.645,588.645,559.446,15.537,553.782,5.664
138,37.862,499.231,499.231,584.778,11.860,578.894,5.884
139,38.205,572.590,572.590,613.777,8.940,607.609,6.168
140,38.548,550.813,550.813,646.914,6.653,640.398,6.517
141,38.890,637.707,637.707,684.704,4.888,677.773,6.931
142,39.233,639.082,639.082,727.700,3.545,720.286,7.414
143,39.576,586.244,586.244,776.485,2.537,768.516,7.969
144,39.918,634.198,634.198,831.662,1.792,823.060,8.602
145,40.261,678.781,678.781,893.841,1.249,884.523,9.317
146,40.604,630.258,630.258,963.621,0.859,953.499,10.122
147,40.946,772.520,772.520,1041.576,0.583,1030.554,11.022
148,41.289,696.483,696.483,1128.224,0.390,1116.202,12.022
149,41.632,699.536,699.536,1224.015,0.257,1210.885,13.130
150,41.975,694.544,694.544,1329.296,0.168,1314.946,14.350
151,42.317,788.452,788.452,1444.292,0.108,1428.604,15.688
152,42.660,799.563,799.563,1569.076,0.068,1551.930,17.146
153,43.003,848.399,848.399,1703.546,0.043,1684.817,18.729
154,43.345,876.984,876.984,1847.404,0.026,1826.965,20.439
155,43.688,889.095,889.095,2000.134,0.016,1977.856,22.278
156,44.031,861.055,861.055,2160.992,0.010,2136.746,24.246
157,44.374,979.743,979.743,2328.993,0.006,2302.648,26.345
158,44.716,1173.593,1173.593,2502.914,0.003,2474.338,28.576
159,45.059,1108.805,1108.805,2681.296,0.002,2650.356,30.940
160,45.402,1063.824,1063.824,2862.461,0.001,2829.021,33.441
161,45.745,1191.407,1191.407,3044.533,0.001,3008.453,36.081
162,46.087,1342.577,1342.577,3225.469,0.000,3186.602,38.867
163,46.430,1528.361,1528.361,3403.099,0.000,3361.291,41.808
164,46.773,1684.745,1684.745,3575.168,0.000,3530.255,44.914
165,47.116,1793.802,1793.802,3739.396,0.000,3691.198,48.198
166,47.458,1892.758,1892.758,3893.526,0.000,3841.848,51.678
167,47.801,2091.504,2091.504,4035.388,0.000,3980.018,55.370
168,48.144,2381.979,2381.979,4162.959,0.000,4103.665,59.294
169,48.487,2438.564,2438.564,4274.421,0.000,4210.951,63.471
170,48.830,2876.255,2876.255,4368.213,0.000,4300.296,67.917
171,49.172,3055.905,3055.905,4443.080,0.000,4370.429,72.651
172,49.515,3145.073,3145.073,4498.113,0.000,4420.429,77.684
173,49.858,3272.339,3272.339,4532.776,0.000,4449.756,83.020
174,50.201,3729.506,3729.506,4546.926,0.000,4458.267,88.659
175,50.544,3703.409,3703.409,4540.811,0.000,4446.224,94.587
176,50.887,4051.635,4051.635,4515.065,0.000,4414.286,100.779
177,51.229,4242.899,4242.899,4470.683,0.000,4363.484,107.199
178,51.572,4281.864,4281.864,4408.986,0.000,4295.192,113.794
179,51.915,4295.300,4295.300,4331.575,0.000,4211.076,120.499
180,52.258,4481.719,4481.719,4240.275,0.000,4113.042,127.233
181,52.601,4701.098,4701.098,4137.073,0.000,4003.170,133.903
182,52.944,4402.693,4402.693,4024.055,0.000,3883.649,140.406
183,53.287,4400.292,4400.292,3903.336,0.000,3756.708,146.628
184,53.629,4359.762,4359.762,3776.995,0.000,3624.546,152.450
185,53.972,4219.360,4219.360,3647.022,0.000,3489.271,157.751
186,54.315,4106.626,4106.626,3515.254,0.000,3352.842,162.412
187,54.658,3840.120,3840.120,3383.342,0.000,3217.021,166.321
188,55.001,3712.762,3712.762,3252.711,0.000,3083.337,169.374
189,55.344,3642.182,3642.182,3124.541,0.000,2953.057,171.484
190,55.687,3396.827,3396.827,2999.754,0.000,2827.175,172.579
191,56.030,3130.531,3130.531,2879.019,0.000,2706.409,172.611
192,56.373,2952.797,2952.797,2762.761,0.000,2591.208,171.552
193,56.715,2802.057,2802.057,2651.178,0.000,2481.777,169.401
194,57.058,2682.285,2682.285,2544.276,0.000,2378.096,166.179
195,57.401,2523.130,2523.130,2441.895,0.000,2279.960,161.935
196,57.744,2459.407,2459.407,2343.750,0.000,2187.014,156.736
197,58.087,2349.166,2349.166,2249.467,0.000,2098.793,150.673
198,58.430,2131.960,2131.960,2158.616,0.000,2014.764,143.853
199,58.773,2105.344,2105.344,2070.755,0.000,1934.360,136.395
200,59.116,2132.393,2132.393,1985.450,0.000,1857.021,128.429
201,59.459,2021.038,2021.038,1902.309,0.000,1782.219,120.091
202,59.802,1957.580,1957.580,1821.000,0.000,1709.486,111.514
203,60.145,1909.949,1909.949,1741.264,0.000,1638.431,102.833
204,60.488,1940.645,1940.645,1662.926,0.000,1568.753,94.173
205,60.831,1858.727,1858.727,1585.896,0.000,1500.246,85.650
206,61.174,1851.292,1851.292,1510.168,0.000,1432.802,77.366
207,61.517,1783.426,1783.426,1435.815,0.000,1366.403,69.412
208,61.860,1837.046,1837.046,1367.203,4.228,1305.309,61.894
209,62.203,1714.956,1714.956,1300.297,8.457,1245.460,54.836
210,62.546,1616.070,1616.070,1235.330,12.685,1187.049,48.281
211,62.889,1691.551,1691.551,1172.561,16.913,1130.307,42.254
212,63.232,1513.651,1513.651,1112.259,21.141,1075.490,36.768
213,63.575,1462.887,1462.887,1054.687,25.370,1022.863,31.824
214,63.918,1292.743,1292.743,1000.093,29.598,972.684,27.409
215,64.261,1385.784,1385.784,948.699,33.826,925.194,23.505
216,64.604,1244.651,1244.651,900.689,38.055,880.606,20.083
217,64.947,1075.288,1075.288,856.205,42.283,839.094,17.111
218,65.290,999.021,999.021,815.343,46.511,800.791,14.552
219,65.633,920.667,920.667,778.153,50.740,765.785,12.368
220,65.976,852.639,852.639,744.637,54.968,734.116,10.521
221,66.319,916.670,916.670,714.752,59.196,705.780,8.972
222,66.662,756.558,756.558,688.413,63.424,680.730,7.683
223,67.005,649.127,649.127,665.501,67.653,658.880,6.620
224,67.348,757.008,757.008,645.865,71.881,640.114,5.751
225,67.691,620.658,620.658,629.331,76.109,624.285,5.046
226,68.034,583.086,583.086,615.707,80.338,611.229,4.478
227,68.378,590.173,590.173,604.789,84.566,600.764,4.025
228,68.721,595.694,595.694,596.368,88.794,592.702,3.666
229,69.064,537.073,537.073,590.235,93.023,586.852,3.383
230,69.407,549.071,549.071,586.186,97.251,583.024,3.162
231,69.750,482.333,482.333,584.025,101.479,581.035,2.991
232,70.093,639.225,639.225,583.569,105.707,580.711,2.858
233,70.436,499.363,499.363,584.649,109.936,581.894,2.755
234,70.779,566.295,566.295,587.114,114.164,584.438,2.676
235,71.122,536.838,536.838,590.828,118.392,588.215,2.614
236,71.466,534.203,534.203,595.677,122.621,593.112,2.565
237,71.809,674.791,674.791,601.561,126.849,599.035,2.526
238,72.152,621.919,621.919,608.400,131.077,605.907,2.493
239,72.495,528.017,528.017,616.131,135.306,613.666,2.465
240,72.838,618.347,618.347,624.704,139.534,622.263,2.440
241,73.181,553.388,553.388,634.083,143.762,631.666,2.417
242,73.524,575.295,575.295,644.247,147.990,641.852,2.395
243,73.868,635.084,635.084,655.179,152.219,652.806,2.374
244,74.211,597.250,597.250,666.875,156.447,664.523,2.352
245,74.554,490.407,490.407,679.332,160.675,677.001,2.331
246,74.897,569.517,569.517,692.553,164.904,690.243,2.310
247,75.240,670.247,670.247,706.540,169.132,704.252,2.288
248,75.583,591.738,591.738,721.293,173.360,719.026,2.267
249,75.927,590.426,590.426,736.809,177.589,734.563,2.245
250,76.270,673.685,673.685,753.079,181.817,750.854,2.225
251,76.613,614.212,614.212,770.085,186.045,767.880,2.205
252,76.956,584.165,584.165,787.800,190.273,785.614,2.186
253,77.299,541.418,541.418,806.183,194.502,804.015,2.168
254,77.643,543.065,543.065,825.183,198.730,823.032,2.152
255,77.986,663.854,663.854,844.733,202.958,842.596,2.137
256,78.329,739.496,739.496,864.750,207.187,862.625,2.125
257,78.672,767.131,767.131,885.137,211.415,883.021,2.115
258,79.016,682.967,682.967,905.780,215.643,903.673,2.108
259,79.359,606.559,606.559,926.553,219.872,924.450,2.103
260,79.702,626.084,626.084,947.314,224.100,945.212,2.102
261,80.045,771.738,771.738,967.907,228.328,965.804,2.103
262,80.389,712.171,712.171,988.168,232.556,986.061,2.108
263,80.732,724.330,724.330,1007.925,236.785,1005.809,2.116
264,81.075,683.347,683.347,1026.998,241.013,1024.871,2.127
265,81.418,794.550,794.550,1045.207,245.241,1043.065,2.142
266,81.762,754.607,754.607,1062.372,249.470,1060.211,2.160
267,82.105,814.816,814.816,1078.316,253.698,1076.134,2.182
268,82.448,922.819,922.819,1092.874,257.926,1090.666,2.208
269,82.792,887.171,887.171,1105.889,262.155,1103.651,2.238
270,83.135,911.135,911.135,1117.220,266.383,1114.949,2.271
271,83.478,997.100,997.100,1126.747,270.611,1124.439,2.308
272,83.821,1069.349,1069.349,1134.368,274.839,1132.020,2.349
273,84.165,999.040,999.040,1140.007,279.068,1137.614,2.393
274,84.508,938.884,938.884,1143.614,283.296,1141.173,2.441
275,84.851,1120.780,1120.780,1145.165,287.524,1142.672,2.494
276,85.195,1061.759,1061.759,1144.665,291.753,1142.116,2.549
277,85.538,1075.409,1075.409,1142.148,295.981,1139.539,2.609
278,85.881,1103.580,1103.580,1137.674,300.209,1135.001,2.673
279,86.225,1215.092,1215.092,1131.332,304.438,1128.592,2.741
280,86.568,1120.878,1120.878,1123.234,308.666,1120.422,2.812
281,86.911,1048.095,1048.095,1113.516,312.894,1110.628,2.887
282,87.255,1159.461,1159.461,1102.331,317.122,1099.365,2.966
283,87.598,1343.306,1343.306,1089.853,321.351,1086.804,3.049
284,87.941,1314.249,1314.249,1076.265,325.579,1073.129,3.136
285,88.285,1249.956,1249.956,1061.762,329.807,1058.535,3.226
286,88.628,1114.046,1114.046,1046.541,334.036,1043.221,3.320
287,88.972,1216.678,1216.678,1030.806,338.264,1027.388,3.418
288,89.315,1235.835,1235.835,1014.754,342.492,1011.235,3.519
289,89.658,1232.461,1232.461,998.579,346.721,994.956,3.623
290,90.002,1344.853,1344.853,982.466,350.949,978.736,3.730
291,90.345,1150.881,1150.881,966.589,355.177,962.749,3.840
292,90.689,1224.550,1224.550,951.109,359.405,947.155,3.953
293,91.032,1235.304,1235.304,936.168,363.634,932.100,4.069
294,91.375,1093.989,1093.989,921.896,367.862,917.709,4.187
295,91.719,1153.076,1153.076,908.401,372.090,904.095,4.307
296,92.062,1057.152,1057.152,895.775,376.319,891.347,4.428
297,92.406,1038.618,1038.618,884.091,380.547,879.539,4.552
298,92.749,911.569,911.569,873.402,384.775,868.725,4.677
299,93.092,840.090,840.090,863.747,389.004,858.945,4.803
300,93.436,941.908,941.908,855.148,393.232,850.218,4.930
301,93.779,872.277,872.277,847.610,397.460,842.553,5.057
302,94.123,834.872,834.872,841.127,401.688,835.942,5.185
303,94.466,845.078,845.078,835.681,405.917,830.367,5.314
304,94.810,804.540,804.540,831.242,410.145,825.800,5.442
305,95.153,719.827,719.827,827.774,414.373,822.204,5.570
306,95.497,681.659,681.659,825.234,418.602,819.536,5.698
307,95.840,696.897,696.897,823.573,422.830,817.747,5.826
308,96.184,613.499,613.499,822.739,427.058,816.786,5.952
309,96.527,720.439,720.439,822.678,431.287,816.600,6.078
310,96.871,642.177,642.177,823.337,435.515,817.133,6.204
311,97.214,682.472,682.472,824.660,439.743,818.332,6.328
312,97.558,789.580,789.580,826.595,443.971,820.144,6.452
313,97.901,697.634,697.634,829.091,448.200,822.516,6.574
314,98.245,674.780,674.780,832.098,452.428,825.402,6.696
315,98.588,680.997,680.997,835.572,456.656,828.756,6.816
316,98.932,742.654,742.654,839.470,460.885,832.534,6.936
317,99.275,769.946,769.946,843.754,465.113,836.700,7.054
318,99.619,829.783,829.783,848.388,469.341,841.217,7.171
319,99.962,599.433,599.433,853.342,473.570,846.054,7.288
320,100.306,762.144,762.144,852.510,471.721,845.155,7.356
321,100.649,661.564,661.564,851.945,469.873,844.522,7.423
322,100.993,803.680,803.680,851.624,468.024,844.136,7.489
323,101.336,835.878,835.878,851.529,466.176,843.975,7.554
324,101.680,752.979,752.979,851.644,464.328,844.026,7.618
325,102.024,690.727,690.727,851.955,462.479,844.273,7.682
326,102.367,685.895,685.895,852.449,460.631,844.705,7.745
327,102.711,642.089,642.089,853.118,458.783,845.311,7.807
328,103.054,846.954,846.954,853.951,456.934,846.083,7.868
329,103.398,675.664,675.664,854.942,455.086,847.014,7.928
330,103.741,634.713,634.713,856.084,453.237,848.096,7.988
331,104.085,676.799,676.799,857.372,451.389,849.325,8.047
332,104.429,736.540,736.540,858.801,449.541,850.696,8.105
333,104.772,790.383,790.383,860.365,447.692,852.203,8.162
334,105.116,805.011,805.011,862.062,445.844,853.843,8.219
335,105.459,816.331,816.331,863.886,443.996,855.611,8.275
336,105.803,772.540,772.540,865.833,442.147,857.504,8.329
337,106.147,847.794,847.794,867.900,440.299,859.517,8.383
338,106.490,927.314,927.314,870.083,438.450,861.646,8.436
339,106.834,749.585,749.585,872.375,436.602,863.887,8.488
340,107.178,871.117,871.117,874.774,434.754,866.235,8.539
341,107.521,936.792,936.792,877.274,432.905,868.684,8.590
342,107.865,923.049,923.049,879.869,431.057,871.230,8.639
343,108.209,836.735,836.735,882.554,429.209,873.868,8.687
344,108.552,785.328,785.328,885.323,427.360,876.590,8.733
345,108.896,879.274,879.274,888.171,425.512,879.392,8.779
346,109.240,983.517,983.517,891.090,423.663,882.266,8.824
347,109.583,1016.235,1016.235,894.073,421.815,885.206,8.867
348,109.927,937.708,937.708,897.115,419.967,888.206,8.909
349,110.271,917.466,917.466,900.208,418.118,891.258,8.950
350,110.614,933.929,933.929,903.344,416.270,894.354,8.990
351,110.958,953.983,953.983,906.517,414.422,897.488,9.028
352,111.302,1062.707,1062.707,909.718,412.573,900.653,9.066
353,111.645,962.883,962.883,912.942,410.725,903.840,9.102
354,111.989,1077.897,1077.897,916.180,408.876,907.043,9.136
355,112.333,1006.539,1006.539,919.425,407.028,910.255,9.170
356,112.676,1024.805,1024.805,922.671,405.180,913.468,9.202
357,113.020,1008.973,1008.973,925.910,403.331,916.676,9.234
358,113.364,1098.588,1098.588,929.136,401.483,919.872,9.264
359,113.708,1004.382,1004.382,932.343,399.635,923.050,9.293
360,114.051,900.643,900.643,935.524,397.786,926.204,9.321
361,114.395,933.428,933.428,938.676,395.938,929.328,9.347
362,114.739,1074.219,1074.219,941.791,394.089,932.418,9.373
363,115.083,987.326,987.326,944.867,392.241,935.468,9.398
364,115.426,998.410,998.410,947.898,390.393,938.475,9.423
365,115.770,1170.597,1170.597,950.881,388.544,941.435,9.446
366,116.114,1042.586,1042.586,953.814,386.696,944.345,9.469
367,116.458,1067.616,1067.616,956.693,384.848,947.202,9.491
368,116.801,1133.025,1133.025,959.516,382.999,950.003,9.513
369,117.145,1089.420,1089.420,962.282,381.151,952.749,9.534
370,117.489,1009.884,1009.884,964.991,379.302,955.436,9.555
371,117.833,965.995,965.995,967.641,377.454,958.065,9.576
372,118.177,970.875,970.875,970.233,375.606,960.637,9.596
373,118.520,853.407,853.407,972.767,373.757,963.150,9.617
374,118.864,1042.285,1042.285,975.245,371.909,965.607,9.638
375,119.208,1046.713,1046.713,977.667,370.061,968.008,9.659
376,119.552,1188.160,1188.160,980.036,368.212,970.356,9.680
377,119.896,1048.117,1048.117,982.354,366.364,972.652,9.702
378,120.239,885.867,885.867,984.624,364.515,974.899,9.725
379,120.583,1033.967,1033.967,986.848,362.667,977.100,9.748
380,120.927,1039.648,1039.648,989.030,360.819,979.258,9.772
381,121.271,998.217,998.217,991.173,358.970,981.375,9.797
382,121.615,1147.697,1147.697,993.280,357.122,983.456,9.824
383,121.959,1021.537,1021.537,995.356,355.274,985.505,9.851
384,122.302,1059.683,1059.683,997.404,353.425,987.524,9.880
385,122.646,968.307,968.307,999.429,351.577,989.519,9.910
386,122.990,976.144,976.144,1001.434,349.728,991.492,9.942
387,123.334,975.206,975.206,1003.423,347.880,993.448,9.976
388,123.678,920.385,920.385,1005.402,346.032,995.391,10.011
389,124.022,1096.092,1096.092,1007.373,344.183,997.325,10.048
390,124.366,944.609,944.609,1009.340,342.335,999.253,10.087
391,124.710,1004.770,1004.770,1011.308,340.487,1001.181,10.127
392,125.053,966.666,966.666,1013.281,338.638,1003.111,10.170
393,125.397,1124.960,1124.960,1015.263,336.790,1005.048,10.215
394,125.741,1036.613,1036.613,1017.256,334.941,1006.995,10.261
395,126.085,1117.383,1117.383,1019.264,333.093,1008.955,10.309
396,126.429,1000.230,1000.230,1021.292,331.245,1010.932,10.360
397,126.773,1107.230,1107.230,1023.341,329.396,1012.930,10.412
398,127.117,1218.428,1218.428,1025.416,327.548,1014.950,10.466
399,127.461,1121.265,1121.265,1027.517,325.700,1016.996,10.521
400,127.805,1000.415,1000.415,1029.649,323.851,1019.071,10.579
401,128.149,984.815,984.815,1031.814,322.003,1021.176,10.637
402,128.493,1104.837,1104.837,1034.012,320.154,1023.315,10.697
403,128.837,1002.415,1002.415,1036.247,318.306,1025.489,10.758
404,129.181,1201.415,1201.415,1038.520,316.458,1027.699,10.821
405,129.525,1140.781,1140.781,1040.832,314.609,1029.948,10.884
406,129.868,1133.303,1133.303,1043.183,312.761,1032.236,10.947
407,130.212,1097.569,1097.569,1045.575,310.913,1034.564,11.011
408,130.556,1063.794,1063.794,1048.009,309.064,1036.934,11.075
409,130.900,1169.867,1169.867,1050.484,307.216,1039.344,11.139
410,131.244,1282.975,1282.975,1052.999,305.367,1041.797,11.203
411,131.588,1145.453,1145.453,1055.556,303.519,1044.290,11.265
412,131.932,1215.667,1215.667,1058.152,301.671,1046.825,11.327
413,132.276,1089.246,1089.246,1060.788,299.822,1049.400,11.388
414,132.620,1059.826,1059.826,1063.462,297.974,1052.015,11.447
415,132.964,1061.387,1061.387,1066.172,296.126,1054.668,11.504
416,133.308,1205.746,1205.746,1068.918,294.277,1057.358,11.559
417,133.652,1187.650,1187.650,1071.696,292.429,1060.084,11.612
418,133.996,1182.531,1182.531,1074.506,290.580,1062.843,11.662
419,134.340,1186.177,1186.177,1077.344,288.732,1065.635,11.710
420,134.684,1226.217,1226.217,1080.210,286.884,1068.456,11.754
421,135.029,1114.696,1114.696,1083.100,285.035,1071.305,11.794
422,135.373,1368.532,1368.532,1086.011,283.187,1074.180,11.831
423,135.717,1291.052,1291.052,1088.942,281.339,1077.077,11.865
424,136.061,1262.631,1262.631,1091.890,279.490,1079.995,11.894
425,136.405,1255.101,1255.101,1094.851,277.642,1082.931,11.920
426,136.749,1200.162,1200.162,1097.824,275.793,1085.883,11.941
427,137.093,1217.203,1217.203,1100.806,273.945,1088.848,11.958
428,137.437,1404.458,1404.458,1103.794,272.097,1091.823,11.971
429,137.781,1320.456,1320.456,1106.785,270.248,1094.805,11.980
430,138.125,1162.144,1162.144,1109.777,268.400,1097.793,11.984
431,138.469,1297.292,1297.292,1112.768,266.552,1100.784,11.985
432,138.813,1355.881,1355.881,1115.755,264.703,1103.774,11.981
433,139.157,1321.970,1321.970,1118.737,262.855,1106.763,11.974
434,139.501,1403.558,1403.558,1121.710,261.006,1109.747,11.963
435,139.846,1559.482,1559.482,1124.672,259.158,1112.724,11.948
436,140.190,1327.556,1327.556,1127.623,257.310,1115.692,11.931
437,140.534,1402.539,1402.539,1130.559,255.461,1118.648,11.910
438,140.878,1419.526,1419.526,1133.478,253.613,1121.590,11.888
439,141.222,1351.065,1351.065,1136.380,251.765,1124.517,11.863
440,141.566,1327.276,1327.276,1139.261,249.916,1127.425,11.836
