ch,keV,net,fit,model,continuum_raw,Eu-152,Cs-137,Am-241,Ti-44
295,859.736,195.333,195.333,199.361,128.663,199.361,0.000,0.000,0.000
296,862.745,214.800,214.800,199.655,127.927,199.655,0.000,0.000,0.000
297,865.755,199.600,199.600,199.395,127.190,199.395,0.000,0.000,0.000
298,868.765,215.333,215.333,198.524,126.454,198.524,0.000,0.000,0.000
299,871.775,193.867,193.867,197.024,125.718,197.024,0.000,0.000,0.000
300,874.785,217.467,217.467,194.914,124.981,194.914,0.000,0.000,0.000
301,877.796,199.600,199.600,192.252,124.245,192.252,0.000,0.000,0.000
302,880.806,211.667,211.667,189.128,123.509,189.128,0.000,0.000,0.000
303,883.817,180.400,180.400,185.657,122.772,185.657,0.000,0.000,0.000
304,886.828,211.667,211.667,181.968,122.036,181.968,0.000,0.000,0.000
305,889.839,224.400,224.400,178.198,121.300,178.198,0.000,0.000,0.000
306,892.850,189.533,189.533,174.480,120.563,174.480,0.000,0.000,0.000
307,895.862,199.000,199.000,170.938,119.827,170.938,0.000,0.000,0.000
308,898.874,183.067,183.067,167.684,119.091,167.684,0.000,0.000,0.000
309,901.885,186.667,186.667,164.784,118.327,164.784,0.000,0.000,0.000
310,904.897,197.533,197.533,162.350,117.563,162.350,0.000,0.000,0.000
311,907.909,159.133,159.133,160.453,116.798,160.453,0.000,0.000,0.000
312,910.922,162.067,162.067,159.155,116.034,159.155,0.000,0.000,0.000
313,913.934,174.800,174.800,158.513,115.270,158.513,0.000,0.000,0.000
314,916.947,180.600,180.600,158.579,114.506,158.579,0.000,0.000,0.000
315,919.960,157.533,157.533,159.398,113.742,159.398,0.000,0.000,0.000
316,922.973,167.133,167.133,161.008,112.978,161.008,0.000,0.000,0.000
317,925.986,176.400,176.400,163.429,112.214,163.429,0.000,0.000,0.000
318,928.999,177.733,177.733,166.658,111.450,166.658,0.000,0.000,0.000
319,932.013,187.200,187.200,170.660,110.686,170.660,0.000,0.000,0.000
320,935.026,206.933,206.933,175.360,109.921,175.360,0.000,0.000,0.000
321,938.040,188.400,188.400,180.634,109.157,180.634,0.000,0.000,0.000
322,941.054,192.000,192.000,186.313,108.393,186.313,0.000,0.000,0.000
323,944.068,201.467,201.467,192.177,107.629,192.177,0.000,0.000,0.000
324,947.082,215.733,215.733,197.971,106.865,197.971,0.000,0.000,0.000
325,950.097,195.933,195.933,203.410,106.101,203.410,0.000,0.000,0.000
326,953.112,210.267,210.267,208.205,105.337,208.205,0.000,0.000,0.000
327,956.126,211.000,211.000,212.076,104.573,212.076,0.000,0.000,0.000
328,959.141,208.533,208.533,214.780,103.808,214.780,0.000,0.000,0.000
329,962.157,205.067,205.067,216.128,103.044,216.128,0.000,0.000,0.000
330,965.172,215.467,215.467,216.003,102.280,216.003,0.000,0.000,0.000
331,968.187,201.000,201.000,214.369,101.516,214.369,0.000,0.000,0.000
332,971.203,193.200,193.200,211.273,100.752,211.273,0.000,0.000,0.000
333,974.219,210.200,210.200,206.844,99.988,206.844,0.000,0.000,0.000
334,977.235,198.333,198.333,201.275,99.224,201.275,0.000,0.000,0.000
335,980.251,186.067,186.067,194.810,98.460,194.810,0.000,0.000,0.000
336,983.268,167.533,167.533,187.723,97.696,187.723,0.000,0.000,0.000
337,986.284,135.200,135.200,180.291,96.931,180.291,0.000,0.000,0.000
338,989.301,123.467,123.467,172.778,96.167,172.778,0.000,0.000,0.000
339,992.318,122.867,122.867,165.417,95.403,165.417,0.000,0.000,0.000
340,995.335,120.133,120.133,158.398,94.639,158.398,0.000,0.000,0.000
341,998.352,120.800,120.800,151.860,93.875,151.860,0.000,0.000,0.000
342,1001.369,111.267,111.267,145.896,93.111,145.896,0.000,0.000,0.000
343,1004.387,123.933,123.933,140.550,92.347,140.550,0.000,0.000,0.000
344,1007.404,112.733,112.733,135.830,91.583,135.830,0.000,0.000,0.000
345,1010.422,112.333,112.333,131.718,90.819,131.718,0.000,0.000,0.000
346,1013.440,78.533,78.533,128.177,90.054,128.177,0.000,0.000,0.000
347,1016.459,88.000,88.000,125.167,89.290,125.167,0.000,0.000,0.000
348,1019.477,67.333,67.333,122.649,88.526,122.649,0.000,0.000,0.000
349,1022.495,88.533,88.533,120.595,87.762,120.595,0.000,0.000,0.000
