spectrum,peak_kev,peak_counts,fwhm_kev,has_curve,nuclide,line_kev,intensity_pct,is_xray,low_yield,rivals,rival_factor,coeff_ok,bq_coeff,verdict
AS80_Onyx,346.793,6.0,76.795,0,Eu-152,345.000,26.59,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,501.026,0.0,67.338,0,Tl-208,510.000,8.1224,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,594.511,2.0,128.899,0,Tl-208,583.000,30.549,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,763.433,0.0,123.590,0,Pa-234m,766.000,0.317,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,909.490,0.0,207.628,0,Ac-228,911.000,25.8,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,1109.364,0.0,194.789,0,Eu-152,1111.000,13.67,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,1470.309,1.0,251.069,0,K-40,1460.000,10.66,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,1808.027,0.0,274.196,0,Bi-214,1764.000,15.29,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,2233.275,0.0,513.120,0,Bi-214,2204.000,4.92,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,2625.190,0.0,392.587,0,Tl-208,2614.000,35.8516,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,39.343,148.0,18.144,0,,,,0,0,0,1.000,0,0,нет подписи
AS80_Th232Medal,73.001,1252.0,24.916,0,Pb x-ray,72.804,59.5,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,86.691,208.0,21.840,0,Pb x-ray,87.300,8,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,129.016,36.0,31.628,0,Ac-228,129.065,2.42,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,151.541,5.0,26.587,0,Pu-238,152.000,0.0009,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,239.327,187.0,58.681,0,Pb-212,238.000,43.6,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,291.681,2.0,34.284,0,Pb-214,295.000,18.4672,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,341.983,19.0,79.864,0,Eu-152,345.000,26.59,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,458.797,1.0,61.531,0,Ac-228,463.000,4.4,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,507.184,1.0,59.367,0,Tl-208,510.000,8.1224,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,582.220,7.0,122.311,0,Tl-208,583.000,30.549,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,721.539,1.0,122.181,0,I-131,722.000,1.7686,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,906.772,1.0,176.952,0,Ac-228,911.000,25.8,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,1115.766,0.0,173.294,0,Bi-214,1120.000,14.9,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,1258.867,0.0,80.000,0,Bi-214,1238.000,5.83,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,1470.903,0.0,232.259,0,K-40,1460.000,10.66,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,1643.308,0.0,182.600,0,Ac-228,1588.000,3.22,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,1823.473,0.0,194.432,0,Bi-214,1764.000,15.29,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,2210.083,0.0,316.211,0,Bi-214,2204.000,4.92,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,2402.537,0.0,167.259,0,Bi-214,2447.000,1.545,0,0,0,1.000,0,0,кривой нет
AS80_Th232Medal,2654.933,0.0,385.715,0,Tl-208,2614.000,35.8516,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,59.529,503.0,28.293,0,Am-241,59.541,35.9,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,93.525,25.0,35.330,0,Pb x-ray,87.300,8,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,129.037,16.0,39.728,0,Ac-228,129.065,2.42,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,240.249,145.0,62.000,0,Pb-214,241.000,7.2615,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,340.271,34.0,79.685,0,Ac-228,338.000,11.27,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,406.609,1.0,36.396,0,Ac-228,409.000,1.92,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,464.099,2.0,62.782,0,Ac-228,463.000,4.4,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,513.446,4.0,67.690,0,Annihilation,511.000,0,0,0,0,1.000,0,0,у подписи нет выхода
AS80_Th232WT20,584.963,17.0,111.820,0,Tl-208,583.000,30.549,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,726.882,2.0,115.246,0,Ac-228,726.863,0.62,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,781.454,0.0,53.988,0,Eu-152,780.000,12.93,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,909.694,5.0,159.772,0,Ac-228,911.000,25.8,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,1108.069,0.0,147.910,0,Eu-152,1111.000,13.67,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,1243.708,0.0,135.285,0,Bi-214,1238.000,5.83,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,1447.293,0.0,177.772,0,K-40,1460.000,10.66,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,1590.731,0.0,219.627,0,Ac-228,1588.000,3.22,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,2113.482,0.0,262.751,0,Tl-208 SE,2103.000,0,0,0,0,1.000,0,0,у подписи нет выхода
AS80_Th232WT20,2309.163,0.0,249.832,0,Bi-214,2204.000,4.92,0,0,0,1.000,0,0,кривой нет
AS80_Th232WT20,2617.190,0.0,319.032,0,Tl-208,2614.000,35.8516,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,35.985,14.0,20.200,0,,,,0,0,0,1.000,0,0,нет подписи
AS80_Th232_v2,70.199,203.0,29.468,0,W x-ray,69.067,8,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,86.021,20.0,19.721,0,Pb x-ray,84.936,23,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,125.032,6.0,33.422,0,Eu-152,125.000,28.53,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,236.605,40.0,63.188,0,Pb-212,238.000,43.6,0,0,0,1.000,0,0,кривой нет
