run,line,keV,window_keV,sum_net,sum_model,model_minus_net,in_sigma
radon1_front_singles,Pb-212 239,238.63,±52.9,22181,25113,2932,19.7
radon1_front_singles,Pb-214 295,295.22,±58.9,33912,35165,1254,6.8
radon1_front_singles,Ac-228 338,338.32,±63.0,33957,34414,457,2.5
radon1_front_singles,Pb-214 352,351.93,±64.3,31642,31792,149,0.8
radon1_front_singles,Tl-208 583,583.19,±82.8,15860,15639,-221,-1.8
radon1_front_singles,Bi-214 609,609.32,±84.6,15768,15528,-240,-1.9
radon1_front_singles,Bi-212 727,727.33,±92.4,7279,7490,210,2.5
radon1_front_singles,Ac-228 911,911.20,±103.5,5359,5268,-91,-1.2
radon1_front_singles,Ac-228 969,968.97,±106.7,4640,4732,91,1.3
radon1_front_singles,Bi-214 1120,1120.29,±114.7,5377,5354,-22,-0.3
radon1_front_singles,Bi-214 1764,1764.49,±144.0,2287,2273,-15,-0.3
radon1_front_singles,Tl-208 2614,2614.51,±175.2,237,107,-129,-8.4
radon1_side_b0906_noeq,Pb-210 46.5,46.54,±23.4,48996,50892,1896,8.6
radon1_side_b0906_noeq,Ra-226 186,186.21,±46.8,23378,23958,580,3.8
radon1_side_b0906_noeq,Pb-212 239,238.63,±52.9,28790,29876,1086,6.4
radon1_side_b0906_noeq,Pb-214 295,295.22,±58.9,38128,37671,-457,-2.3
radon1_side_b0906_noeq,Ac-228 338,338.32,±63.0,36874,36908,33,0.2
radon1_side_b0906_noeq,Pb-214 352,351.93,±64.3,34293,34265,-27,-0.1
radon1_side_b0906_noeq,Tl-208 583,583.19,±82.8,16893,16897,4,0.0
radon1_side_b0906_noeq,Bi-214 609,609.32,±84.6,16715,16680,-35,-0.3
radon1_side_b0906_noeq,Bi-212 727,727.33,±92.4,7904,8053,149,1.7
radon1_side_b0906_noeq,Ac-228 911,911.20,±103.5,5850,5757,-93,-1.2
radon1_side_b0906_noeq,Ac-228 969,968.97,±106.7,5092,5177,84,1.2
radon1_side_b0906_noeq,Bi-214 1120,1120.29,±114.7,5742,5721,-21,-0.3
radon1_side_b0906_noeq,Bi-214 1764,1764.49,±144.0,2379,2398,19,0.4
radon1_side_b0906_noeq,Tl-208 2614,2614.51,±175.2,251,161,-90,-5.7
radon1_side_b092_noeq,Pb-210 46.5,46.54,±23.4,48278,50190,1911,8.7
radon1_side_b092_noeq,Ra-226 186,186.21,±46.8,21918,22553,635,4.3
radon1_side_b092_noeq,Pb-212 239,238.63,±52.9,27805,29089,1284,7.7
radon1_side_b092_noeq,Pb-214 295,295.22,±58.9,37500,37123,-377,-1.9
radon1_side_b092_noeq,Ac-228 338,338.32,±63.0,36440,36470,30,0.2
radon1_side_b092_noeq,Pb-214 352,351.93,±64.3,33898,33836,-62,-0.3
radon1_side_b092_noeq,Tl-208 583,583.19,±82.8,16739,16734,-5,-0.0
radon1_side_b092_noeq,Bi-214 609,609.32,±84.6,16574,16530,-45,-0.3
radon1_side_b092_noeq,Bi-212 727,727.33,±92.4,7811,7966,155,1.8
radon1_side_b092_noeq,Ac-228 911,911.20,±103.5,5777,5683,-94,-1.2
radon1_side_b092_noeq,Ac-228 969,968.97,±106.7,5025,5111,86,1.2
radon1_side_b092_noeq,Bi-214 1120,1120.29,±114.7,5688,5666,-21,-0.3
radon1_side_b092_noeq,Bi-214 1764,1764.49,±144.0,2365,2381,16,0.3
radon1_side_b092_noeq,Tl-208 2614,2614.51,±175.2,249,157,-92,-5.8
radon1_side_eq,Pb-210 46.5,46.54,±23.4,44178,44698,520,2.5
radon1_side_eq,Ra-226 186,186.21,±46.8,13587,18826,5239,44.9
radon1_side_eq,Pb-212 239,238.63,±52.9,22181,24850,2669,17.9
radon1_side_eq,Pb-214 295,295.22,±58.9,33912,34550,638,3.5
radon1_side_eq,Ac-228 338,338.32,±63.0,33957,34180,223,1.2
radon1_side_eq,Pb-214 352,351.93,±64.3,31642,31559,-83,-0.5
radon1_side_eq,Tl-208 583,583.19,±82.8,15860,15495,-365,-2.9
radon1_side_eq,Bi-214 609,609.32,±84.6,15768,15409,-359,-2.9
radon1_side_eq,Bi-212 727,727.33,±92.4,7279,7581,301,3.5
radon1_side_eq,Ac-228 911,911.20,±103.5,5359,5244,-115,-1.6
radon1_side_eq,Ac-228 969,968.97,±106.7,4640,4797,157,2.3
radon1_side_eq,Bi-214 1120,1120.29,±114.7,5377,5331,-46,-0.6
radon1_side_eq,Bi-214 1764,1764.49,±144.0,2287,2259,-28,-0.6
radon1_side_eq,Tl-208 2614,2614.51,±175.2,237,86,-151,-9.8
radon1_side_noeq,Pb-210 46.5,46.54,±23.4,44178,45839,1661,7.9
radon1_side_noeq,Ra-226 186,186.21,±46.8,13587,18186,4599,39.5
radon1_side_noeq,Pb-212 239,238.63,±52.9,22181,24754,2573,17.3
radon1_side_noeq,Pb-214 295,295.22,±58.9,33912,33898,-14,-0.1
radon1_side_noeq,Ac-228 338,338.32,±63.0,33957,33956,-1,-0.0
radon1_side_noeq,Pb-214 352,351.93,±64.3,31642,31441,-201,-1.1
radon1_side_noeq,Tl-208 583,583.19,±82.8,15860,15677,-183,-1.5
radon1_side_noeq,Bi-214 609,609.32,±84.6,15768,15572,-196,-1.6
radon1_side_noeq,Bi-212 727,727.33,±92.4,7279,7494,214,2.5
radon1_side_noeq,Ac-228 911,911.20,±103.5,5359,5254,-105,-1.4
radon1_side_noeq,Ac-228 969,968.97,±106.7,4640,4753,112,1.7
radon1_side_noeq,Bi-214 1120,1120.29,±114.7,5377,5352,-25,-0.3
radon1_side_noeq,Bi-214 1764,1764.49,±144.0,2287,2283,-4,-0.1
radon1_side_noeq,Tl-208 2614,2614.51,±175.2,237,111,-126,-8.2
radon1_side_r010_noeq,Pb-210 46.5,46.54,±23.4,44178,45826,1648,7.8
radon1_side_r010_noeq,Ra-226 186,186.21,±46.8,13587,17946,4359,37.4
radon1_side_r010_noeq,Pb-212 239,238.63,±52.9,22181,24637,2456,16.5
radon1_side_r010_noeq,Pb-214 295,295.22,±58.9,33912,33869,-42,-0.2
radon1_side_r010_noeq,Ac-228 338,338.32,±63.0,33957,33974,18,0.1
radon1_side_r010_noeq,Pb-214 352,351.93,±64.3,31642,31465,-177,-1.0
radon1_side_r010_noeq,Tl-208 583,583.19,±82.8,15860,15691,-169,-1.3
radon1_side_r010_noeq,Bi-214 609,609.32,±84.6,15768,15585,-183,-1.5
radon1_side_r010_noeq,Bi-212 727,727.33,±92.4,7279,7487,208,2.4
radon1_side_r010_noeq,Ac-228 911,911.20,±103.5,5359,5257,-102,-1.4
radon1_side_r010_noeq,Ac-228 969,968.97,±106.7,4640,4748,108,1.6
radon1_side_r010_noeq,Bi-214 1120,1120.29,±114.7,5377,5352,-25,-0.3
radon1_side_r010_noeq,Bi-214 1764,1764.49,±144.0,2287,2283,-4,-0.1
radon1_side_r010_noeq,Tl-208 2614,2614.51,±175.2,237,112,-124,-8.1
radon1_side_r025_noeq,Pb-210 46.5,46.54,±23.4,44178,45809,1631,7.8
