spectrum,peak_kev,fwhm_kev,nuclide,line_kev,intensity_pct,one_line_nuclide,image_within_window,image_name,image_kev
AS80_Cs137_0cm,904.298,76.269,Ac-228,911.000,25.800,0,0,,
AS80_Cs137_0cm,1104.800,74.127,Eu-152,1111.000,13.670,0,0,,
AS80_Cs137_0cm,1456.909,100.263,K-40,1460.000,10.660,1,0,,
AS80_Cs137_0cm,1793.108,110.087,Bi-214,1764.000,15.290,0,0,,
AS80_Cs137_0cm,2224.638,185.754,Bi-214,2204.000,4.920,0,0,,
AS80_Cs137_0cm,2618.201,104.200,Tl-208,2614.000,35.852,0,0,,
AS80_K40,84.350,12.638,Pb x-ray,84.936,23.000,0,1,Pb x-ray,84.936
AS80_K40,115.778,19.513,Th-234,112.810,0.210,1,1,Pb x-ray,87.300
AS80_K40,241.494,20.293,Pb-214,241.000,7.262,0,0,,
AS80_K40,295.347,13.706,Pb-214,295.000,18.467,0,0,,
AS80_K40,349.110,26.387,Pb-214,353.000,35.717,0,0,,
AS80_K40,504.826,21.994,Tl-208,510.000,8.122,0,1,Annihilation,511.000
AS80_K40,594.036,47.180,Tl-208,583.000,30.549,0,0,,
AS80_K40,939.519,95.398,Ac-228,964.000,4.990,0,0,,
AS80_K40,1117.786,92.361,Bi-214,1120.000,14.900,0,0,,
AS80_K40,1483.641,105.927,K-40,1460.000,10.660,1,0,,
AS80_K40,1805.829,114.233,Bi-214,1764.000,15.290,0,0,,
AS80_K40,2231.948,182.071,Bi-214,2204.000,4.920,0,0,,
AS80_K40,2614.120,97.086,Tl-208,2614.000,35.852,0,0,,
AS80_Lu176,86.819,12.368,Pb x-ray,87.300,8.000,0,1,Pb x-ray,87.300
AS80_Lu176,200.486,21.083,Lu-176,202.000,77.969,0,0,,
AS80_Lu176,304.486,29.133,Lu-176,307.000,93.600,0,0,,
AS80_Lu176,519.436,36.616,Annihilation,511.000,0.000,0,1,Annihilation,511.000
AS80_Lu176,598.126,37.352,Bi-214,609.000,45.440,0,0,,
AS80_Lu176,901.945,54.908,Ac-228,911.000,25.800,0,0,,
AS80_Lu176,1108.092,73.630,Eu-152,1111.000,13.670,0,0,,
AS80_Lu176,1454.857,82.996,K-40,1460.000,10.660,1,0,,
AS80_Lu176,1772.757,91.046,Bi-214,1764.000,15.290,0,0,,
AS80_Lu176,2686.554,129.733,Tl-208,2614.000,35.852,0,0,,
AS80_Onyx,75.057,12.197,Pb x-ray,74.969,100.000,0,1,Pb x-ray,74.969
AS80_Onyx,89.093,14.603,Pb x-ray,87.300,8.000,0,1,Pb x-ray,87.300
AS80_Onyx,107.126,14.663,Np-239,106.000,25.340,0,1,Pb x-ray,87.300
AS80_Onyx,121.793,16.417,Eu-152,125.000,28.530,0,0,,
AS80_Onyx,234.514,19.517,Pb-212,238.000,43.600,1,0,,
AS80_Onyx,291.848,16.744,Pb-214,295.000,18.467,0,0,,
AS80_Onyx,346.793,27.362,Eu-152,345.000,26.590,0,0,,
AS80_Onyx,501.026,24.038,Tl-208,510.000,8.122,0,1,Annihilation,511.000
AS80_Onyx,594.511,46.359,Tl-208,583.000,30.549,0,0,,
AS80_Onyx,909.490,78.076,Ac-228,911.000,25.800,0,0,,
AS80_Onyx,1109.364,75.634,Eu-152,1111.000,13.670,0,0,,
AS80_Onyx,1470.309,101.664,K-40,1460.000,10.660,1,0,,
AS80_Onyx,1808.027,111.178,Bi-214,1764.000,15.290,0,0,,
AS80_Onyx,2233.275,188.528,Bi-214,2204.000,4.920,0,0,,
AS80_Onyx,2625.190,95.876,Tl-208,2614.000,35.852,0,0,,
AS80_Th232Medal,73.001,9.490,Pb x-ray,72.804,59.500,0,1,Pb x-ray,72.804
AS80_Th232Medal,86.691,8.292,Pb x-ray,87.300,8.000,0,1,Pb x-ray,87.300
AS80_Th232Medal,129.016,11.900,Ac-228,129.065,2.420,0,0,,
AS80_Th232Medal,239.327,21.695,Pb-212,238.000,43.600,1,0,,
AS80_Th232Medal,291.681,12.610,Pb-214,295.000,18.467,0,0,,
AS80_Th232Medal,341.983,29.281,Eu-152,345.000,26.590,0,0,,
AS80_Th232Medal,458.797,22.536,Ac-228,463.000,4.400,0,0,,
AS80_Th232Medal,507.184,21.785,Tl-208,510.000,8.122,0,1,Annihilation,511.000
AS80_Th232Medal,582.220,45.118,Tl-208,583.000,30.549,0,0,,
AS80_Th232Medal,906.772,68.122,Ac-228,911.000,25.800,0,0,,
AS80_Th232Medal,1115.766,68.940,Bi-214,1120.000,14.900,0,0,,
AS80_Th232Medal,1258.867,32.477,Bi-214,1238.000,5.830,0,0,,
AS80_Th232Medal,1470.903,96.429,K-40,1460.000,10.660,1,0,,
AS80_Th232Medal,1643.308,76.503,Ac-228,1588.000,3.220,0,0,,
AS80_Th232Medal,1823.473,81.266,Bi-214,1764.000,15.290,0,0,,
AS80_Th232Medal,2210.083,123.608,Bi-214,2204.000,4.920,0,0,,
AS80_Th232Medal,2402.537,59.898,Bi-214,2447.000,1.545,0,0,,
AS80_Th232Medal,2654.933,106.029,Tl-208,2614.000,35.852,0,0,,
AS80_Th232WT20,59.529,10.450,Am-241,59.541,35.900,0,1,W x-ray,59.318
AS80_Th232WT20,93.525,13.062,Pb x-ray,87.300,8.000,0,1,Pb x-ray,87.300
AS80_Th232WT20,129.037,14.704,Ac-228,129.065,2.420,0,0,,
AS80_Th232WT20,240.249,23.021,Pb-214,241.000,7.262,0,0,,
AS80_Th232WT20,340.271,29.670,Ac-228,338.000,11.270,0,0,,
AS80_Th232WT20,406.609,13.577,Ac-228,409.000,1.920,0,0,,
AS80_Th232WT20,464.099,23.455,Ac-228,463.000,4.400,0,0,,
AS80_Th232WT20,513.446,25.322,Annihilation,511.000,0.000,0,1,Annihilation,511.000
AS80_Th232WT20,584.963,41.908,Tl-208,583.000,30.549,0,0,,
AS80_Th232WT20,726.882,43.345,Ac-228,726.863,0.620,0,0,,
AS80_Th232WT20,781.454,20.332,Eu-152,780.000,12.930,0,0,,
AS80_Th232WT20,909.694,60.352,Ac-228,911.000,25.800,0,0,,
AS80_Th232WT20,1108.069,56.117,Eu-152,1111.000,13.670,0,0,,
AS80_Th232WT20,1243.708,51.473,Bi-214,1238.000,5.830,0,0,,
AS80_Th232WT20,1447.293,67.908,K-40,1460.000,10.660,1,0,,
AS80_Th232WT20,1590.731,84.117,Ac-228,1588.000,3.220,0,0,,
AS80_Th232WT20,2113.482,101.475,Tl-208 SE,2103.000,0.000,1,0,,
AS80_Th232WT20,2309.163,96.740,Bi-214,2204.000,4.920,0,0,,
AS80_Th232WT20,2617.190,123.984,Tl-208,2614.000,35.852,0,0,,
AS80_Th232_v2,70.199,10.842,W x-ray,69.067,8.000,0,1,W x-ray,69.067
AS80_Th232_v2,86.021,7.257,Pb x-ray,84.936,23.000,0,1,Pb x-ray,84.936
AS80_Th232_v2,125.032,12.302,Eu-152,125.000,28.530,0,0,,
AS80_Th232_v2,236.605,23.277,Pb-212,238.000,43.600,1,0,,
AS80_Th232_v2,293.346,9.300,Pb-214,295.000,18.467,0,0,,
AS80_Th232_v2,339.418,30.310,Ac-228,338.000,11.270,0,0,,
AS80_Th232_v2,463.706,22.927,Ac-228,463.000,4.400,0,0,,
AS80_Th232_v2,509.466,23.692,Tl-208,510.000,8.122,0,1,Annihilation,511.000
AS80_Th232_v2,587.365,45.383,Tl-208,583.000,30.549,0,0,,
AS80_Th232_v2,730.724,43.502,Bi-212,727.330,6.670,1,0,,
AS80_Th232_v2,910.497,58.358,Ac-228,911.000,25.800,0,0,,
AS80_Th232_v2,965.288,52.163,Ac-228,964.000,4.990,0,0,,
AS80_Th232_v2,1113.108,65.642,Eu-152,1111.000,13.670,0,0,,
AS80_Th232_v2,1245.127,37.857,Bi-214,1238.000,5.830,0,0,,
AS80_Th232_v2,1444.130,78.392,K-40,1460.000,10.660,1,0,,
AS80_Th232_v2,1598.399,69.968,Ac-228,1588.000,3.220,0,0,,
AS80_Th232_v2,1755.069,70.341,Bi-214,1764.000,15.290,0,0,,
AS80_Th232_v2,2114.829,101.111,Tl-208 SE,2103.000,0.000,1,0,,
AS80_Th232_v2,2323.267,81.885,Bi-214,2204.000,4.920,0,0,,
AS80_Th232_v2,2612.890,122.215,Tl-208,2614.000,35.852,0,0,,
AS80_UGlass,61.653,10.268,Am-241,59.541,35.900,0,1,W x-ray,59.318
AS80_UGlass,93.075,12.571,Pb x-ray,87.300,8.000,0,1,Pb x-ray,87.300
AS80_UGlass,144.289,12.491,U-235,145.000,10.960,0,0,,
AS80_UGlass,186.048,18.563,Ra-226,186.211,3.640,1,0,,
AS80_UGlass,237.766,14.376,Pb-212,238.000,43.600,1,0,,
AS80_UGlass,347.694,27.172,Eu-152,345.000,26.590,0,0,,
AS80_UGlass,600.100,47.865,Bi-214,609.000,45.440,0,0,,
AS80_UGlass,770.743,54.000,Bi-214,768.360,4.890,0,0,,
AS80_UGlass,1002.538,57.971,Pa-234m,1001.000,0.842,0,0,,
AS80_UGlass,1131.413,50.800,Bi-214,1120.000,14.900,0,0,,
AS80_UGlass,1462.623,83.077,K-40,1460.000,10.660,1,0,,
AS80_UGlass,1770.761,89.694,Bi-214,1764.000,15.290,0,0,,
AS80_UGlass,2223.763,174.537,Bi-214,2204.000,4.920,0,0,,
ASN16_Am241,59.491,11.918,Am-241,59.541,35.900,0,1,W x-ray,59.318
ASN16_Am241,127.697,8.344,Ac-228,129.065,2.420,0,0,,
ASN16_Am241,211.315,15.124,Ac-228,211.000,3.890,0,0,,
ASN16_Am241,238.591,17.536,Pb-212,238.000,43.600,1,0,,
ASN16_Am241,337.407,35.976,Ac-228,338.000,11.270,0,0,,
ASN16_Am241,505.972,34.714,Tl-208,510.000,8.122,0,1,Annihilation,511.000
ASN16_Am241,609.018,37.805,Bi-214,609.000,45.440,0,0,,
ASN16_Am241,1112.370,52.886,Eu-152,1111.000,13.670,0,0,,
ASN16_Am241,1207.872,47.638,Bi-214,1238.000,5.830,0,0,,
ASN16_Am241,1463.852,64.670,K-40,1460.000,10.660,1,0,,
ASN16_Am241,1757.250,69.280,Bi-214,1764.000,15.290,0,0,,
ASN16_Am241,2619.876,102.006,Tl-208,2614.000,35.852,0,0,,
ASN16_BrazilNuts,47.752,8.073,Pb-210,46.539,4.250,1,1,W x-ray,57.981
ASN16_BrazilNuts,80.265,14.275,Pb x-ray,84.936,23.000,0,1,Pb x-ray,84.936
ASN16_BrazilNuts,134.605,14.690,Ac-228,129.065,2.420,0,0,,
ASN16_BrazilNuts,241.928,23.574,Pb-214,241.000,7.262,0,0,,
ASN16_BrazilNuts,295.202,20.080,Pb-214,295.000,18.467,0,0,,
ASN16_BrazilNuts,348.029,28.582,Eu-152,345.000,26.590,0,0,,
ASN16_BrazilNuts,510.329,30.595,Tl-208,510.000,8.122,0,1,Annihilation,511.000
ASN16_BrazilNuts,600.929,43.931,Bi-214,609.000,45.440,0,0,,
ASN16_BrazilNuts,915.397,42.177,Ac-228,911.000,25.800,0,0,,
ASN16_BrazilNuts,1124.904,56.579,Bi-214,1120.000,14.900,0,0,,
ASN16_BrazilNuts,1460.747,66.113,K-40,1460.000,10.660,1,0,,
ASN16_BrazilNuts,1593.719,37.805,Ac-228,1588.000,3.220,0,0,,
ASN16_BrazilNuts,1758.950,66.528,Bi-214,1764.000,15.290,0,0,,
ASN16_BrazilNuts,2621.212,97.643,Tl-208,2614.000,35.852,0,0,,
ASN16_Charoite,72.021,14.400,Pb x-ray,72.804,59.500,0,1,Pb x-ray,72.804
ASN16_Charoite,144.102,18.496,U-235,145.000,10.960,0,0,,
ASN16_Charoite,184.529,19.369,U-235,185.715,57.000,0,0,,
ASN16_Charoite,240.352,22.533,Pb-214,241.000,7.262,0,0,,
ASN16_Charoite,296.674,24.096,Pb-214,295.000,18.467,0,0,,
ASN16_Charoite,352.707,29.036,Pb-214,353.000,35.717,0,0,,
ASN16_Charoite,510.709,29.817,Annihilation,511.000,0.000,0,1,Annihilation,511.000
ASN16_Charoite,612.118,41.671,Ag-108m,614.000,89.800,0,0,,
ASN16_Charoite,773.471,44.868,Bi-214,768.360,4.890,0,0,,
ASN16_Charoite,936.071,61.588,Ac-228,911.000,25.800,0,0,,
ASN16_Charoite,1126.639,56.932,Bi-214,1120.000,14.900,0,0,,
ASN16_Charoite,1247.549,50.857,Bi-214,1238.000,5.830,0,0,,
ASN16_Charoite,1462.087,67.726,K-40,1460.000,10.660,1,0,,
ASN16_Charoite,1756.832,76.014,Bi-214,1764.000,15.290,0,0,,
ASN16_Charoite,2201.212,87.878,Bi-214,2204.000,4.920,0,0,,
ASN16_Charoite,2450.689,51.631,Bi-214,2447.000,1.545,0,0,,
ASN16_Charoite,2618.021,89.567,Tl-208,2614.000,35.852,0,0,,
ASN16_Charoite_v2,72.916,14.700,Pb x-ray,72.804,59.500,0,1,Pb x-ray,72.804
ASN16_Charoite_v2,182.786,17.038,U-235,185.715,57.000,0,0,,
ASN16_Charoite_v2,234.942,21.964,Pb-212,238.000,43.600,1,0,,
ASN16_Charoite_v2,291.172,22.001,Pb-214,295.000,18.467,0,0,,
ASN16_Charoite_v2,346.838,27.938,Eu-152,345.000,26.590,0,0,,
ASN16_Charoite_v2,509.165,21.754,Tl-208,510.000,8.122,0,1,Annihilation,511.000
ASN16_Charoite_v2,603.255,41.633,Bi-214,609.000,45.440,0,0,,
ASN16_Charoite_v2,910.136,55.914,Ac-228,911.000,25.800,0,0,,
ASN16_Charoite_v2,1121.968,57.391,Bi-214,1120.000,14.900,0,0,,
ASN16_Charoite_v2,1227.067,47.900,Bi-214,1238.000,5.830,0,0,,
ASN16_Charoite_v2,1458.144,68.122,K-40,1460.000,10.660,1,0,,
ASN16_Charoite_v2,1761.702,75.283,Bi-214,1764.000,15.290,0,0,,
ASN16_Charoite_v2,2124.329,83.978,Tl-208 SE,2103.000,0.000,1,0,,
ASN16_Charoite_v2,2205.074,96.487,Bi-214,2204.000,4.920,0,0,,
ASN16_Charoite_v2,2614.393,98.675,Tl-208,2614.000,35.852,0,0,,
ASN16_Cs137,69.692,13.050,W x-ray,69.067,8.000,0,1,W x-ray,69.067
ASN16_Cs137,125.585,20.746,Eu-152,125.000,28.530,0,0,,
ASN16_Cs137,191.007,25.592,Ra-226,186.211,3.640,1,0,,
ASN16_Cs137,657.963,45.327,Cs-137,662.000,85.100,1,0,,
ASN16_Cs137,869.639,46.212,Ac-228,835.000,1.610,0,0,,
ASN16_Cs137,1114.924,60.514,Eu-152,1111.000,13.670,0,0,,
ASN16_Cs137,1339.906,65.864,Co-60,1332.000,99.983,0,0,,
ASN16_Cs137,1464.839,50.283,K-40,1460.000,10.660,1,0,,
ASN16_Cs137,1759.568,69.508,Bi-214,1764.000,15.290,0,0,,
ASN16_Cs137,2129.191,77.490,Tl-208 SE,2103.000,0.000,1,0,,
ASN16_Cs137,2614.769,93.162,Tl-208,2614.000,35.852,0,0,,
ASN16_Cs137_10cm,83.528,16.126,Pb x-ray,84.936,23.000,0,1,Pb x-ray,84.936
ASN16_Cs137_10cm,198.432,25.961,Lu-176,202.000,77.969,0,0,,
ASN16_Cs137_10cm,663.600,43.935,Cs-137,662.000,85.100,1,0,,
ASN16_Cs137_10cm,1456.520,68.009,K-40,1460.000,10.660,1,0,,
ASN16_Granite,128.857,18.522,Ac-228,129.065,2.420,0,0,,
ASN16_Granite,187.687,16.264,Ra-226,186.211,3.640,1,0,,
ASN16_Granite,242.823,21.115,Eu-152,244.000,7.550,0,0,,
ASN16_Granite,293.857,19.253,Pb-214,295.000,18.467,0,0,,
ASN16_Granite,352.693,27.489,Pb-214,353.000,35.717,0,0,,
ASN16_Granite,509.489,25.139,Tl-208,510.000,8.122,0,1,Annihilation,511.000
ASN16_Granite,606.911,45.700,Bi-214,609.000,45.440,0,0,,
ASN16_Granite,911.632,45.225,Ac-228,911.000,25.800,0,0,,
ASN16_Granite,968.353,46.426,Ac-228,968.000,15.800,0,0,,
ASN16_Granite,1123.377,60.092,Bi-214,1120.000,14.900,0,0,,
ASN16_Granite,1462.639,68.397,K-40,1460.000,10.660,1,0,,
ASN16_Granite,1603.573,39.564,Ac-228,1588.000,3.220,0,0,,
ASN16_Granite,1763.494,71.681,Bi-214,1764.000,15.290,0,0,,
ASN16_Granite,2106.638,91.348,Tl-208 SE,2103.000,0.000,1,0,,
ASN16_Granite,2620.367,97.528,Tl-208,2614.000,35.852,0,0,,
ASN16_Lu176,55.392,12.433,W x-ray,57.981,57.600,0,1,W x-ray,57.981
ASN16_Lu176,89.176,12.049,Pb x-ray,87.300,8.000,0,1,Pb x-ray,87.300
ASN16_Lu176,123.081,12.466,Eu-152,125.000,28.530,0,0,,
ASN16_Lu176,201.412,22.106,Lu-176,202.000,77.969,0,0,,
ASN16_Lu176,304.315,28.323,Lu-176,307.000,93.600,0,0,,
ASN16_Lu176,511.053,36.916,Annihilation,511.000,0.000,0,1,Annihilation,511.000
ASN16_Lu176,1461.409,68.792,K-40,1460.000,10.660,1,0,,
ASN16_Lu176,2709.870,95.201,Tl-208,2614.000,35.852,0,0,,
ASN16_Lu176_P0,55.076,12.378,W x-ray,57.981,57.600,0,1,W x-ray,57.981
ASN16_Lu176_P0,88.403,12.992,Pb x-ray,87.300,8.000,0,1,Pb x-ray,87.300
ASN16_Lu176_P0,202.236,21.591,Lu-176,202.000,77.969,0,0,,
ASN16_Lu176_P0,306.202,27.588,Lu-176,307.000,93.600,0,0,,
ASN16_Lu176_P0,510.893,38.796,Annihilation,511.000,0.000,0,1,Annihilation,511.000
ASN16_Th232,55.254,13.142,W x-ray,57.981,57.600,0,1,W x-ray,57.981
ASN16_Th232,124.119,15.290,Eu-152,125.000,28.530,0,0,,
ASN16_Th232,238.058,23.308,Pb-212,238.000,43.600,1,0,,
ASN16_Th232,337.174,28.836,Ac-228,338.000,11.270,0,0,,
ASN16_Th232,405.529,15.898,Ac-228,409.000,1.920,0,0,,
ASN16_Th232,462.001,22.918,Ac-228,463.000,4.400,0,0,,
ASN16_Th232,510.262,27.011,Tl-208,510.000,8.122,0,1,Annihilation,511.000
ASN16_Th232,583.650,39.282,Tl-208,583.000,30.549,0,0,,
ASN16_Th232,727.661,38.627,Bi-212,727.330,6.670,1,0,,
ASN16_Th232,786.907,18.624,Eu-152,780.000,12.930,0,0,,
ASN16_Th232,912.540,46.312,Ac-228,911.000,25.800,0,0,,
ASN16_Th232,973.028,37.705,Ac-228,968.000,15.800,0,0,,
ASN16_Th232,1103.329,47.833,Eu-152,1111.000,13.670,0,0,,
ASN16_Th232,1247.911,63.273,Bi-214,1238.000,5.830,0,0,,
ASN16_Th232,1465.514,24.816,K-40,1460.000,10.660,1,0,,
ASN16_Th232,1586.393,70.993,Ac-228,1588.000,3.220,0,0,,
ASN16_Th232,2113.200,79.089,Tl-208 SE,2103.000,0.000,1,0,,
ASN16_Th232,2316.420,104.926,Bi-214,2204.000,4.920,0,0,,
ASN16_Th232,2614.386,97.895,Tl-208,2614.000,35.852,0,0,,
ASN16_Th232_Am241,57.485,11.316,W x-ray,57.981,57.600,0,1,W x-ray,57.981
ASN16_Th232_Am241,78.982,11.853,Pb x-ray,74.969,100.000,0,1,Pb x-ray,74.969
ASN16_Th232_Am241,133.183,13.196,Ac-228,129.065,2.420,0,0,,
ASN16_Th232_Am241,240.075,22.783,Pb-214,241.000,7.262,0,0,,
ASN16_Th232_Am241,290.443,7.620,Pb-214,295.000,18.467,0,0,,
ASN16_Th232_Am241,340.312,29.488,Ac-228,338.000,11.270,0,0,,
ASN16_Th232_Am241,404.764,12.935,Ac-228,409.000,1.920,0,0,,
ASN16_Th232_Am241,459.688,21.604,Ac-228,463.000,4.400,0,0,,
ASN16_Th232_Am241,512.174,26.611,Annihilation,511.000,0.000,0,1,Annihilation,511.000
ASN16_Th232_Am241,580.923,40.802,Tl-208,583.000,30.549,0,0,,
ASN16_Th232_Am241,726.229,39.747,Ac-228,726.863,0.620,0,0,,
ASN16_Th232_Am241,786.906,14.533,Eu-152,780.000,12.930,0,0,,
ASN16_Th232_Am241,907.575,45.515,Ac-228,911.000,25.800,0,0,,
ASN16_Th232_Am241,971.045,37.657,Ac-228,968.000,15.800,0,0,,
ASN16_Th232_Am241,1111.694,60.923,Eu-152,1111.000,13.670,0,0,,
ASN16_Th232_Am241,1246.622,50.788,Bi-214,1238.000,5.830,0,0,,
ASN16_Th232_Am241,1382.399,48.738,Bi-214,1377.000,3.985,0,0,,
ASN16_Th232_Am241,1589.453,70.929,Ac-228,1588.000,3.220,0,0,,
ASN16_Th232_Am241,1760.152,60.615,Bi-214,1764.000,15.290,0,0,,
ASN16_Th232_Am241,2109.515,78.832,Tl-208 SE,2103.000,0.000,1,0,,
ASN16_Th232_Am241,2324.990,93.136,Bi-214,2447.000,1.545,0,0,,
ASN16_Th232_Am241,2612.915,97.217,Tl-208,2614.000,35.852,0,0,,
ASN16_UGlass,62.386,12.286,Am-241,59.541,35.900,0,1,W x-ray,59.318
ASN16_UGlass,93.003,13.917,Pb x-ray,87.300,8.000,0,1,Pb x-ray,87.300
ASN16_UGlass,145.378,13.220,U-235,145.000,10.960,0,0,,
ASN16_UGlass,187.748,19.865,Ra-226,186.211,3.640,1,0,,
ASN16_UGlass,243.747,15.780,Eu-152,244.000,7.550,0,0,,
ASN16_UGlass,766.369,50.288,Pa-234m,766.000,0.317,0,0,,
ASN16_UGlass,1005.889,53.616,Pa-234m,1001.000,0.842,0,0,,
ASN16_UGlass,1461.577,65.624,K-40,1460.000,10.660,1,0,,
ASN16_UGlass,1763.509,66.528,Bi-214,1764.000,15.290,0,0,,
ASN16_UGlass,2621.703,109.213,Tl-208,2614.000,35.852,0,0,,
ASN3_Tile,75.289,14.426,Pb x-ray,74.969,100.000,0,1,Pb x-ray,74.969
ASN3_Tile,128.970,20.362,Ac-228,129.065,2.420,0,0,,
ASN3_Tile,184.078,15.704,U-235,185.715,57.000,0,0,,
ASN3_Tile,238.217,18.832,Pb-212,238.000,43.600,1,0,,
ASN3_Tile,293.794,20.167,Pb-214,295.000,18.467,0,0,,
ASN3_Tile,349.607,25.058,Pb-214,353.000,35.717,0,0,,
ASN3_Tile,601.221,34.178,Bi-214,609.000,45.440,0,0,,
ASN3_Tile,905.569,31.799,Ac-228,911.000,25.800,0,0,,
ASN3_Tile,1115.992,39.778,Bi-214,1120.000,14.900,0,0,,
ASN3_Tile,1451.126,59.200,K-40,1460.000,10.660,1,0,,
ASN3_Tile,1587.001,45.389,Ac-228,1588.000,3.220,0,0,,
ASN3_Tile,1748.138,62.297,Bi-214,1764.000,15.290,0,0,,
ASN3_Tile,2624.872,75.279,Tl-208,2614.000,35.852,0,0,,
ASN8_Am241,59.122,21.776,W x-ray,59.318,100.000,0,1,W x-ray,59.318
ASN8_Am241,610.266,38.312,Bi-214,609.000,45.440,0,0,,
ASN8_Am241,1461.566,64.645,K-40,1460.000,10.660,1,0,,
ASN8_Th232_1024,72.870,21.611,Pb x-ray,72.804,59.500,0,1,Pb x-ray,72.804
ASN8_Th232_1024,129.144,16.855,Ac-228,129.065,2.420,0,0,,
ASN8_Th232_1024,236.212,27.314,Pb-212,238.000,43.600,1,0,,
ASN8_Th232_1024,337.866,31.480,Ac-228,338.000,11.270,0,0,,
ASN8_Th232_1024,461.139,18.901,Ac-228,463.000,4.400,0,0,,
ASN8_Th232_1024,506.427,27.319,Tl-208,510.000,8.122,0,1,Annihilation,511.000
ASN8_Th232_1024,585.166,44.021,Tl-208,583.000,30.549,0,0,,
ASN8_Th232_1024,725.216,42.224,Ac-228,726.863,0.620,0,0,,
ASN8_Th232_1024,912.399,50.815,Ac-228,911.000,25.800,0,0,,
ASN8_Th232_1024,967.953,42.493,Ac-228,968.000,15.800,0,0,,
ASN8_Th232_1024,1104.362,58.010,Eu-152,1111.000,13.670,0,0,,
ASN8_Th232_1024,1241.639,52.312,Bi-214,1238.000,5.830,0,0,,
ASN8_Th232_1024,1588.634,74.681,Ac-228,1588.000,3.220,0,0,,
ASN8_Th232_1024,1767.371,59.365,Bi-214,1764.000,15.290,0,0,,
ASN8_Th232_1024,2125.812,82.105,Tl-208 SE,2103.000,0.000,1,0,,
ASN8_Th232_1024,2328.429,120.335,Bi-214,2447.000,1.545,0,0,,
ASN8_Th232_1024,2615.654,102.646,Tl-208,2614.000,35.852,0,0,,
ASN8_Th232_2048,73.248,22.956,Pb x-ray,72.804,59.500,0,1,Pb x-ray,72.804
ASN8_Th232_2048,130.830,14.850,Ac-228,129.065,2.420,0,0,,
ASN8_Th232_2048,236.104,29.410,Pb-212,238.000,43.600,1,0,,
ASN8_Th232_2048,340.456,33.211,Ac-228,338.000,11.270,0,0,,
ASN8_Th232_2048,460.398,16.896,Ac-228,463.000,4.400,0,0,,
ASN8_Th232_2048,510.086,25.927,Tl-208,510.000,8.122,0,1,Annihilation,511.000
ASN8_Th232_2048,584.095,46.049,Tl-208,583.000,30.549,0,0,,
ASN8_Th232_2048,725.311,45.933,Ac-228,726.863,0.620,0,0,,
