ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
4601,1536.861,25.557,27.552,9.027,7.803,17.937,0.000,1.812,0.000,0.000,0.000,0.000,0.000,0.000
4602,1537.186,40.224,27.590,9.018,7.826,17.956,0.000,1.808,0.000,0.000,0.000,0.000,0.000,0.000
4603,1537.512,42.779,27.630,9.008,7.850,17.975,0.000,1.805,0.000,0.000,0.000,0.000,0.000,0.000
4604,1537.838,38.557,27.671,8.998,7.876,17.994,0.000,1.801,0.000,0.000,0.000,0.000,0.000,0.000
4605,1538.164,43.779,27.713,8.988,7.902,18.014,0.000,1.797,0.000,0.000,0.000,0.000,0.000,0.000
4606,1538.490,27.186,27.756,8.979,7.929,18.034,0.000,1.794,0.000,0.000,0.000,0.000,0.000,0.000
4607,1538.816,43.631,27.801,8.969,7.957,18.054,0.000,1.790,0.000,0.000,0.000,0.000,0.000,0.000
4608,1539.142,34.112,27.847,8.959,7.987,18.074,0.000,1.786,0.000,0.000,0.000,0.000,0.000,0.000
4609,1539.468,25.779,27.895,8.949,8.017,18.095,0.000,1.783,0.000,0.000,0.000,0.000,0.000,0.000
4610,1539.794,41.038,27.945,8.940,8.049,18.116,0.000,1.780,0.000,0.000,0.000,0.000,0.000,0.000
4611,1540.120,40.853,27.995,8.930,8.082,18.137,0.000,1.776,0.000,0.000,0.000,0.000,0.000,0.000
4612,1540.446,45.483,28.048,8.920,8.115,18.159,0.000,1.773,0.000,0.000,0.000,0.000,0.000,0.000
4613,1540.772,21.519,28.102,8.911,8.150,18.181,0.000,1.770,0.000,0.000,0.000,0.000,0.000,0.000
4614,1541.098,32.149,28.157,8.901,8.186,18.204,0.000,1.767,0.000,0.000,0.000,0.000,0.000,0.000
4615,1541.424,35.335,28.214,8.891,8.224,18.227,0.000,1.764,0.000,0.000,0.000,0.000,0.000,0.000
4616,1541.750,37.520,28.272,8.881,8.262,18.250,0.000,1.761,0.000,0.000,0.000,0.000,0.000,0.000
4617,1542.076,25.742,28.333,8.872,8.301,18.273,0.000,1.758,0.000,0.000,0.000,0.000,0.000,0.000
