ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-CsI,Xray-Pb,continuum
55,14.435,145633.622,145633.622,3170.243,3149.033,2224.410,731.421,170.484,43.927,0.000
56,14.816,141468.052,141468.052,3241.342,3206.288,2266.008,751.756,178.853,44.726,0.000
57,15.197,136571.799,136571.799,3320.729,3263.544,2308.428,776.361,190.415,45.524,0.000
58,15.578,133562.209,133562.209,3412.893,3320.799,2352.203,807.502,206.865,46.323,0.000
59,15.959,131553.955,131553.955,3524.468,3378.054,2398.173,848.494,230.679,47.122,0.000
60,16.340,129794.582,129794.582,3665.117,3435.309,2447.660,904.106,265.430,47.921,0.000
61,16.721,128433.348,128433.348,3848.685,3492.564,2502.700,981.091,316.174,48.719,0.000
62,17.103,128139.823,128139.823,4094.701,3549.819,2566.394,1088.834,389.955,49.518,0.000
63,17.484,128115.684,128115.684,4430.278,3607.074,2643.392,1240.156,496.413,50.317,0.000
64,17.865,129348.910,129348.910,6678.113,5449.998,4001.049,1860.638,740.401,76.026,0.000
65,18.246,130699.416,130699.416,9102.290,7292.922,5388.903,2564.515,1047.136,101.736,0.000
66,18.628,131059.159,131059.159,11768.547,9135.845,6821.305,3380.993,1438.802,127.447,0.000
67,19.009,133481.554,133481.554,14762.290,10978.769,8318.511,4347.012,1943.606,153.160,0.000
68,19.390,136330.268,136330.268,18192.568,12821.692,9908.666,5508.321,2596.704,178.877,0.000
69,19.771,139240.466,139240.466,22196.185,14664.616,11630.253,6920.320,3441.013,204.600,0.000
70,20.153,142673.438,142673.438,26941.658,16507.539,13535.029,8648.516,4527.782,230.331,0.000
71,20.534,147687.068,147687.068,32632.718,18350.463,15691.443,10768.400,5916.802,256.074,0.000
72,20.915,152990.073,152990.073,39510.891,20193.386,18188.454,13364.519,7676.084,281.834,0.000
73,21.296,159698.498,159698.498,47856.700,22036.310,21139.622,16528.584,9880.874,307.619,0.000
74,21.678,167722.013,167722.013,57988.945,23879.234,24687.222,20356.420,12611.864,333.438,0.000
75,22.059,178198.915,178198.915,70261.545,25722.157,29006.056,24943.687,15952.499,359.304,0.000
76,22.440,190166.261,190166.261,85057.444,27565.081,34306.505,30380.370,19985.338,385.231,0.000
77,22.822,204500.410,204500.410,102779.200,29408.004,40836.266,36744.175,24787.518,411.241,0.000
78,23.203,223238.448,223238.448,123836.028,31250.928,48880.135,44093.102,30425.434,437.357,0.000
79,23.584,242827.880,242827.880,148627.288,33093.851,58757.155,52457.639,36948.884,463.611,0.000
80,23.966,267768.479,267768.479,177522.638,34936.775,70814.449,61833.144,44385.007,490.038,0.000
81,24.347,296357.549,296357.549,210839.400,36779.698,85417.185,72173.091,52732.441,516.682,0.000
82,24.729,328870.162,328870.162,248817.975,38622.622,102934.283,83383.926,61956.172,543.594,0.000
83,25.110,367808.252,367808.252,291596.427,40465.546,123719.763,95322.234,71983.600,570.831,0.000
84,25.491,410463.219,410463.219,339185.646,42308.469,148090.062,107794.839,82702.287,598.458,0.000
85,25.873,458032.710,458032.710,391446.664,44151.393,176298.055,120562.261,93959.797,626.550,0.000
86,26.254,509644.677,509644.677,448071.839,45994.316,208505.053,133345.690,105565.910,655.186,0.000
87,26.636,566840.710,566840.710,508571.629,47837.240,244752.540,145837.332,117297.305,684.452,0.000
88,27.017,626480.122,626480.122,572268.546,49680.163,284935.809,157713.648,128904.646,714.442,0.000
89,27.399,687273.541,687273.541,638299.675,51523.087,328781.973,168650.682,140121.768,745.252,0.000
90,27.780,750060.012,750060.012,705628.736,53366.010,375834.854,178340.432,150676.470,776.980,0.000
91,28.162,813929.902,813929.902,773068.190,55208.934,425449.134,186507.032,160302.300,809.725,0.000
92,28.543,875110.334,875110.334,839311.298,57051.858,476795.662,192921.505,168750.547,843.584,0.000
93,28.925,930210.580,930210.580,902973.341,58894.781,528879.121,197413.900,175801.672,878.648,0.000
94,29.306,982165.928,982165.928,962640.534,60737.705,580568.279,199881.853,181275.399,915.003,0.000
95,29.688,1027734.805,1027734.805,1016924.450,62580.628,630638.001,200294.941,185038.788,952.720,0.000
96,30.069,1064757.212,1064757.212,1064519.208,64423.552,677821.019,198694.547,187011.784,991.858,0.000
97,30.451,1093485.992,1093485.992,1104258.181,66266.475,720866.429,195189.399,187169.897,1032.456,0.000
98,30.832,1110327.521,1110327.521,1135166.774,68109.399,758601.041,189947.276,185543.926,1074.532,0.000
99,31.214,1116775.708,1116775.708,1156507.822,69952.323,789989.182,183183.728,182216.832,1118.080,0.000
100,31.596,1110941.140,1110941.140,1167816.456,71795.246,814186.483,175148.823,177318.081,1163.069,0.000
101,31.977,1098859.534,1098859.534,1168921.892,73638.170,830583.467,166113.057,171015.932,1209.436,0.000
102,32.359,1074636.818,1074636.818,1159954.442,75481.093,838835.557,156353.503,163508.289,1257.093,0.000
103,32.740,1045204.941,1045204.941,1141337.069,77324.017,838877.235,146141.161,155012.750,1305.923,0.000
104,33.122,1004441.309,1004441.309,1113761.980,79166.940,830919.421,135730.231,145756.545,1355.783,0.000
105,33.504,957543.933,957543.933,1078153.857,81009.864,815430.599,125349.804,135966.948,1406.507,0.000
106,33.885,908218.495,908218.495,1035622.347,82852.787,793103.573,115198.151,125862.710,1457.913,0.000
107,34.267,854658.462,854658.462,987407.186,84695.711,764810.916,105439.579,115646.885,1509.806,0.000
108,34.649,799123.585,799123.585,934819.827,86538.635,731552.932,96203.593,105501.316,1561.986,0.000
109,35.030,744098.250,744098.250,879185.507,88381.558,694402.396,87585.974,95582.881,1614.256,0.000
110,35.412,688096.444,688096.444,821789.479,90224.482,654450.267,79651.316,86021.472,1666.425,0.000
111,35.794,634879.314,634879.314,763830.501,92067.405,612756.113,72436.514,76919.558,1718.316,0.000
112,36.175,584463.741,584463.741,706383.922,93910.329,570306.252,65954.794,68353.101,1769.774,0.000
113,36.557,535738.288,535738.288,650375.667,95753.252,527981.589,60199.881,60373.532,1820.664,0.000
114,36.939,489899.224,489899.224,596567.491,97596.176,486536.097,55150.038,53010.479,1870.877,0.000
115,37.321,447000.669,447000.669,545552.892,99439.099,446585.856,50771.777,46274.929,1920.329,0.000
116,37.702,408174.025,408174.025,497762.347,101282.023,408607.687,47023.145,40162.552,1968.963,0.000
117,38.084,371745.321,371745.321,453475.986,103124.947,372945.757,43856.527,34656.959,2016.743,0.000
118,38.466,340384.160,340384.160,412841.530,104967.870,339824.177,41220.992,29732.705,2063.656,0.000
119,38.848,311599.792,311599.792,375895.290,106810.794,309363.431,39064.208,25357.943,2109.707,0.000
120,39.230,286095.367,286095.367,342584.192,108653.717,281598.632,37333.991,21496.654,2154.915,0.000
121,39.611,263639.677,263639.677,312787.131,110496.641,256497.854,35979.515,18110.451,2199.312,0.000
122,39.993,241709.728,241709.728,286334.380,112339.564,233979.199,34952.265,15159.978,2242.938,0.000
123,40.375,223624.431,223624.431,263024.256,114182.488,213925.707,34206.745,12605.965,2285.839,0.000
124,40.757,208946.109,208946.109,242636.663,116025.411,196197.628,33700.986,10409.982,2328.067,0.000
125,41.139,196015.096,196015.096,224943.511,117868.335,180641.991,33396.873,8534.972,2369.675,0.000
126,41.521,184409.871,184409.871,209716.286,119711.259,167099.634,33260.315,6945.620,2410.717,0.000
127,41.902,174479.155,174479.155,194937.880,119760.841,154121.080,32793.816,5607.902,2415.081,0.000
128,42.284,165659.884,165659.884,182185.901,119810.423,142837.572,32437.770,4491.658,2418.901,0.000
129,42.666,159054.497,159054.497,171254.590,119860.006,133094.308,32170.138,3567.895,2422.248,0.000
130,43.048,152377.303,152377.303,161949.209,119909.588,124741.675,31972.361,2809.986,2425.187,0.000
131,43.430,147347.032,147347.032,154086.562,119959.171,117636.044,31829.047,2193.694,2427.777,0.000
132,43.812,143934.232,143934.232,147495.264,120008.753,111640.390,31727.624,1697.178,2430.072,0.000
133,44.194,139749.723,139749.723,142015.897,120058.336,106624.834,31657.981,1300.964,2432.118,0.000
134,44.576,137101.485,137101.485,137501.146,120107.918,102467.200,31612.111,987.878,2433.956,0.000
