ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-CsI,Xray-Pb,continuum
3072,1209.628,65.621,65.621,80.764,80.764,0.000,0.000,0.000,0.000,80.764
3073,1210.037,94.388,94.388,80.361,80.361,0.000,0.000,0.000,0.000,80.361
3074,1210.447,94.833,94.833,79.958,79.958,0.000,0.000,0.000,0.000,79.958
3075,1210.857,72.227,72.227,79.555,79.555,0.000,0.000,0.000,0.000,79.555
3076,1211.267,88.562,88.562,79.152,79.152,0.000,0.000,0.000,0.000,79.152
3077,1211.676,81.511,81.511,78.749,78.749,0.000,0.000,0.000,0.000,78.749
3078,1212.086,91.537,91.537,78.346,78.346,0.000,0.000,0.000,0.000,78.346
3079,1212.496,93.833,93.833,77.943,77.943,0.000,0.000,0.000,0.000,77.943
3080,1212.906,83.388,83.388,77.540,77.540,0.000,0.000,0.000,0.000,77.540
3081,1213.315,58.363,58.363,77.137,77.137,0.000,0.000,0.000,0.000,77.137
3082,1213.725,76.550,76.550,76.734,76.734,0.000,0.000,0.000,0.000,76.734
3083,1214.135,92.833,92.833,76.331,76.331,0.000,0.000,0.000,0.000,76.331
3084,1214.545,73.808,73.808,75.928,75.928,0.000,0.000,0.000,0.000,75.928
3085,1214.955,76.240,76.240,75.525,75.525,0.000,0.000,0.000,0.000,75.525
3086,1215.365,77.511,77.511,75.122,75.122,0.000,0.000,0.000,0.000,75.122
3087,1215.774,93.956,93.956,74.719,74.719,0.000,0.000,0.000,0.000,74.719
3088,1216.184,59.931,59.931,74.316,74.316,0.000,0.000,0.000,0.000,74.316
3089,1216.594,88.956,88.956,73.913,73.913,0.000,0.000,0.000,0.000,73.913
3090,1217.004,83.685,83.685,73.510,73.510,0.000,0.000,0.000,0.000,73.510
3091,1217.414,33.511,33.511,73.107,73.107,0.000,0.000,0.000,0.000,73.107
3092,1217.824,82.956,82.956,72.703,72.703,0.000,0.000,0.000,0.000,72.703
3093,1218.234,77.524,77.524,72.300,72.300,0.000,0.000,0.000,0.000,72.300
3094,1218.643,60.821,60.821,71.897,71.897,0.000,0.000,0.000,0.000,71.897
3095,1219.053,76.969,76.969,71.922,71.922,0.000,0.000,0.000,0.000,71.922
3096,1219.463,80.401,80.401,71.947,71.947,0.000,0.000,0.000,0.000,71.947
3097,1219.873,97.982,97.982,71.973,71.973,0.000,0.000,0.000,0.000,71.973
3098,1220.283,83.117,83.117,71.998,71.998,0.000,0.000,0.000,0.000,71.998
3099,1220.693,30.943,30.943,72.023,72.023,0.000,0.000,0.000,0.000,72.023
3100,1221.103,57.227,57.227,72.048,72.048,0.000,0.000,0.000,0.000,72.048
3101,1221.513,102.363,102.363,72.073,72.073,0.000,0.000,0.000,0.000,72.073
3102,1221.923,87.524,87.524,72.098,72.098,0.000,0.000,0.000,0.000,72.098
3103,1222.333,37.363,37.363,72.123,72.123,0.000,0.000,0.000,0.000,72.123
3104,1222.743,55.795,55.795,72.148,72.148,0.000,0.000,0.000,0.000,72.148
3105,1223.153,69.956,69.956,72.173,72.173,0.000,0.000,0.000,0.000,72.173
3106,1223.563,83.117,83.117,72.198,72.198,0.000,0.000,0.000,0.000,72.198
3107,1223.973,64.821,64.821,72.223,72.223,0.000,0.000,0.000,0.000,72.223
3108,1224.383,68.943,68.943,72.248,72.248,0.000,0.000,0.000,0.000,72.248
3109,1224.793,88.253,88.253,72.273,72.273,0.000,0.000,0.000,0.000,72.273
3110,1225.203,74.537,74.537,72.298,72.298,0.000,0.000,0.000,0.000,72.298
3111,1225.613,66.511,66.511,72.323,72.323,0.000,0.000,0.000,0.000,72.323
3112,1226.023,97.672,97.672,72.348,72.348,0.000,0.000,0.000,0.000,72.348
3113,1226.433,75.253,75.253,72.373,72.373,0.000,0.000,0.000,0.000,72.373
3114,1226.843,64.253,64.253,72.398,72.398,0.000,0.000,0.000,0.000,72.398
3115,1227.253,89.253,89.253,72.423,72.423,0.000,0.000,0.000,0.000,72.423
3116,1227.663,73.821,73.821,72.448,72.448,0.000,0.000,0.000,0.000,72.448
3117,1228.073,77.821,77.821,72.473,72.473,0.000,0.000,0.000,0.000,72.473
3118,1228.483,91.969,91.969,72.498,72.498,0.000,0.000,0.000,0.000,72.498
3119,1228.893,64.511,64.511,72.523,72.523,0.000,0.000,0.000,0.000,72.523
3120,1229.303,82.672,82.672,72.548,72.548,0.000,0.000,0.000,0.000,72.548
3121,1229.713,51.672,51.672,72.573,72.573,0.000,0.000,0.000,0.000,72.573
3122,1230.123,70.376,70.376,72.598,72.598,0.000,0.000,0.000,0.000,72.598
3123,1230.533,86.562,86.562,72.623,72.623,0.000,0.000,0.000,0.000,72.623
3124,1230.943,73.969,73.969,72.648,72.648,0.000,0.000,0.000,0.000,72.648
3125,1231.353,63.685,63.685,72.673,72.673,0.000,0.000,0.000,0.000,72.673
3126,1231.764,85.550,85.550,72.698,72.698,0.000,0.000,0.000,0.000,72.698
3127,1232.174,72.956,72.956,72.723,72.723,0.000,0.000,0.000,0.000,72.723
3128,1232.584,98.401,98.401,72.748,72.748,0.000,0.000,0.000,0.000,72.748
3129,1232.994,63.821,63.821,72.773,72.773,0.000,0.000,0.000,0.000,72.773
3130,1233.404,52.685,52.685,72.799,72.799,0.000,0.000,0.000,0.000,72.799
3131,1233.814,43.647,43.647,72.824,72.824,0.000,0.000,0.000,0.000,72.824
3132,1234.224,74.524,74.524,72.849,72.849,0.000,0.000,0.000,0.000,72.849
3133,1234.635,91.117,91.117,72.874,72.874,0.000,0.000,0.000,0.000,72.874
3134,1235.045,70.833,70.833,72.899,72.899,0.000,0.000,0.000,0.000,72.899
3135,1235.455,58.795,58.795,72.924,72.924,0.000,0.000,0.000,0.000,72.924
3136,1235.865,68.291,68.291,72.949,72.949,0.000,0.000,0.000,0.000,72.949
3137,1236.275,70.833,70.833,72.974,72.974,0.000,0.000,0.000,0.000,72.974
3138,1236.686,65.795,65.795,72.999,72.999,0.000,0.000,0.000,0.000,72.999
3139,1237.096,109.846,109.846,73.024,73.024,0.000,0.000,0.000,0.000,73.024
3140,1237.506,78.227,78.227,73.049,73.049,0.000,0.000,0.000,0.000,73.049
3141,1237.916,69.130,69.130,73.074,73.074,0.000,0.000,0.000,0.000,73.074
3142,1238.327,81.698,81.698,73.099,73.099,0.000,0.000,0.000,0.000,73.099
3143,1238.737,77.821,77.821,73.124,73.124,0.000,0.000,0.000,0.000,73.124
3144,1239.147,60.388,60.388,73.149,73.149,0.000,0.000,0.000,0.000,73.149
3145,1239.557,40.659,40.659,73.174,73.174,0.000,0.000,0.000,0.000,73.174
3146,1239.968,68.401,68.401,73.199,73.199,0.000,0.000,0.000,0.000,73.199
3147,1240.378,72.821,72.821,73.224,73.224,0.000,0.000,0.000,0.000,73.224
3148,1240.788,71.537,71.537,73.249,73.249,0.000,0.000,0.000,0.000,73.249
3149,1241.198,62.795,62.795,73.274,73.274,0.000,0.000,0.000,0.000,73.274
3150,1241.609,56.672,56.672,73.299,73.299,0.000,0.000,0.000,0.000,73.299
3151,1242.019,75.117,75.117,73.324,73.324,0.000,0.000,0.000,0.000,73.324
3152,1242.429,64.672,64.672,73.349,73.349,0.000,0.000,0.000,0.000,73.349
3153,1242.840,75.414,75.414,73.374,73.374,0.000,0.000,0.000,0.000,73.374
3154,1243.250,58.401,58.401,73.399,73.399,0.000,0.000,0.000,0.000,73.399
3155,1243.660,93.956,93.956,73.424,73.424,0.000,0.000,0.000,0.000,73.424
3156,1244.071,70.253,70.253,73.449,73.449,0.000,0.000,0.000,0.000,73.449
3157,1244.481,81.982,81.982,73.474,73.474,0.000,0.000,0.000,0.000,73.474
3158,1244.891,66.995,66.995,73.499,73.499,0.000,0.000,0.000,0.000,73.499
3159,1245.302,78.859,78.859,73.524,73.524,0.000,0.000,0.000,0.000,73.524
3160,1245.712,65.266,65.266,73.549,73.549,0.000,0.000,0.000,0.000,73.549
3161,1246.123,77.982,77.982,73.574,73.574,0.000,0.000,0.000,0.000,73.574
3162,1246.533,65.130,65.130,73.599,73.599,0.000,0.000,0.000,0.000,73.599
3163,1246.943,88.562,88.562,73.624,73.624,0.000,0.000,0.000,0.000,73.624
3164,1247.354,83.440,83.440,73.650,73.650,0.000,0.000,0.000,0.000,73.650
3165,1247.764,97.575,97.575,73.675,73.675,0.000,0.000,0.000,0.000,73.675
3166,1248.175,58.685,58.685,73.700,73.700,0.000,0.000,0.000,0.000,73.700
3167,1248.585,59.685,59.685,73.725,73.725,0.000,0.000,0.000,0.000,73.725
3168,1248.995,72.698,72.698,73.750,73.750,0.000,0.000,0.000,0.000,73.750
3169,1249.406,97.711,97.711,73.775,73.775,0.000,0.000,0.000,0.000,73.775
3170,1249.816,73.266,73.266,73.800,73.800,0.000,0.000,0.000,0.000,73.800
3171,1250.227,72.440,72.440,73.825,73.825,0.000,0.000,0.000,0.000,73.825
3172,1250.637,70.808,70.808,73.850,73.850,0.000,0.000,0.000,0.000,73.850
3173,1251.048,56.956,56.956,73.875,73.875,0.000,0.000,0.000,0.000,73.875
3174,1251.458,75.130,75.130,73.900,73.900,0.000,0.000,0.000,0.000,73.900
3175,1251.869,89.414,89.414,73.925,73.925,0.000,0.000,0.000,0.000,73.925
3176,1252.279,82.278,82.278,73.950,73.950,0.000,0.000,0.000,0.000,73.950
3177,1252.690,78.995,78.995,73.975,73.975,0.000,0.000,0.000,0.000,73.975
3178,1253.100,72.969,72.969,74.000,74.000,0.000,0.000,0.000,0.000,74.000
3179,1253.511,87.711,87.711,74.025,74.025,0.000,0.000,0.000,0.000,74.025
3180,1253.921,60.537,60.537,74.050,74.050,0.000,0.000,0.000,0.000,74.050
3181,1254.332,86.711,86.711,74.075,74.075,0.000,0.000,0.000,0.000,74.075
3182,1254.742,76.414,76.414,74.100,74.100,0.000,0.000,0.000,0.000,74.100
3183,1255.153,90.130,90.130,74.125,74.125,0.000,0.000,0.000,0.000,74.125
3184,1255.563,99.291,99.291,74.150,74.150,0.000,0.000,0.000,0.000,74.150
3185,1255.974,97.291,97.291,74.175,74.175,0.000,0.000,0.000,0.000,74.175
3186,1256.384,57.266,57.266,74.200,74.200,0.000,0.000,0.000,0.000,74.200
3187,1256.795,92.304,92.304,74.225,74.225,0.000,0.000,0.000,0.000,74.225
3188,1257.206,76.575,76.575,74.250,74.250,0.000,0.000,0.000,0.000,74.250
3189,1257.616,91.130,91.130,74.275,74.275,0.000,0.000,0.000,0.000,74.275
3190,1258.027,81.724,81.724,74.300,74.300,0.000,0.000,0.000,0.000,74.300
3191,1258.437,83.266,83.266,74.325,74.325,0.000,0.000,0.000,0.000,74.325
3192,1258.848,64.995,64.995,74.350,74.350,0.000,0.000,0.000,0.000,74.350
3193,1259.259,104.872,104.872,74.375,74.375,0.000,0.000,0.000,0.000,74.375
3194,1259.669,78.156,78.156,74.400,74.400,0.000,0.000,0.000,0.000,74.400
3195,1260.080,76.440,76.440,74.425,74.425,0.000,0.000,0.000,0.000,74.425
3196,1260.491,87.698,87.698,74.450,74.450,0.000,0.000,0.000,0.000,74.450
3197,1260.901,97.575,97.575,74.476,74.476,0.000,0.000,0.000,0.000,74.476
3198,1261.312,117.156,117.156,74.501,74.501,0.000,0.000,0.000,0.000,74.501
3199,1261.723,77.575,77.575,74.526,74.526,0.000,0.000,0.000,0.000,74.526
3200,1262.133,84.872,84.872,74.551,74.551,0.000,0.000,0.000,0.000,74.551
3201,1262.544,60.575,60.575,74.576,74.576,0.000,0.000,0.000,0.000,74.576
3202,1262.955,100.575,100.575,74.601,74.601,0.000,0.000,0.000,0.000,74.601
3203,1263.365,92.278,92.278,74.626,74.626,0.000,0.000,0.000,0.000,74.626
3204,1263.776,72.724,72.724,74.651,74.651,0.000,0.000,0.000,0.000,74.651
3205,1264.187,73.995,73.995,74.676,74.676,0.000,0.000,0.000,0.000,74.676
3206,1264.597,85.007,85.007,74.701,74.701,0.000,0.000,0.000,0.000,74.701
3207,1265.008,77.575,77.575,74.726,74.726,0.000,0.000,0.000,0.000,74.726
3208,1265.419,76.711,76.711,74.751,74.751,0.000,0.000,0.000,0.000,74.751
3209,1265.830,81.995,81.995,74.776,74.776,0.000,0.000,0.000,0.000,74.776
3210,1266.240,94.007,94.007,74.801,74.801,0.000,0.000,0.000,0.000,74.801
3211,1266.651,90.982,90.982,74.826,74.826,0.000,0.000,0.000,0.000,74.826
3212,1267.062,92.575,92.575,74.851,74.851,0.000,0.000,0.000,0.000,74.851
3213,1267.473,91.278,91.278,74.876,74.876,0.000,0.000,0.000,0.000,74.876
3214,1267.883,76.414,76.414,74.901,74.901,0.000,0.000,0.000,0.000,74.901
3215,1268.294,100.440,100.440,74.926,74.926,0.000,0.000,0.000,0.000,74.926
3216,1268.705,99.601,99.601,74.951,74.951,0.000,0.000,0.000,0.000,74.951
3217,1269.116,91.291,91.291,74.976,74.976,0.000,0.000,0.000,0.000,74.976
3218,1269.526,74.601,74.601,75.001,75.001,0.000,0.000,0.000,0.000,75.001
3219,1269.937,79.995,79.995,75.026,75.026,0.000,0.000,0.000,0.000,75.026
3220,1270.348,64.833,64.833,75.051,75.051,0.000,0.000,0.000,0.000,75.051
3221,1270.759,81.020,81.020,75.076,75.076,0.000,0.000,0.000,0.000,75.076
3222,1271.170,116.169,116.169,75.101,75.101,0.000,0.000,0.000,0.000,75.101
3223,1271.581,87.156,87.156,75.126,75.126,0.000,0.000,0.000,0.000,75.126
3224,1271.991,105.020,105.020,75.151,75.151,0.000,0.000,0.000,0.000,75.151
3225,1272.402,91.452,91.452,75.176,75.176,0.000,0.000,0.000,0.000,75.176
3226,1272.813,78.859,78.859,75.201,75.201,0.000,0.000,0.000,0.000,75.201
3227,1273.224,67.833,67.833,75.226,75.226,0.000,0.000,0.000,0.000,75.226
3228,1273.635,85.440,85.440,75.251,75.251,0.000,0.000,0.000,0.000,75.251
3229,1274.046,81.156,81.156,75.276,75.276,0.000,0.000,0.000,0.000,75.276
3230,1274.457,101.007,101.007,75.301,75.301,0.000,0.000,0.000,0.000,75.301
3231,1274.867,120.910,120.910,77.058,77.058,0.000,0.000,0.000,0.000,77.058
3232,1275.278,94.452,94.452,78.815,78.815,0.000,0.000,0.000,0.000,78.815
3233,1275.689,96.452,96.452,80.572,80.572,0.000,0.000,0.000,0.000,80.572
3234,1276.100,97.872,97.872,82.329,82.329,0.000,0.000,0.000,0.000,82.329
3235,1276.511,89.982,89.982,84.086,84.086,0.000,0.000,0.000,0.000,84.086
3236,1276.922,101.872,101.872,85.843,85.843,0.000,0.000,0.000,0.000,85.843
3237,1277.333,105.711,105.711,87.600,87.600,0.000,0.000,0.000,0.000,87.600
3238,1277.744,104.304,104.304,89.357,89.357,0.000,0.000,0.000,0.000,89.357
3239,1278.155,121.033,121.033,91.113,91.113,0.000,0.000,0.000,0.000,91.113
3240,1278.566,93.007,93.007,92.870,92.870,0.000,0.000,0.000,0.000,92.870
3241,1278.977,109.872,109.872,94.627,94.627,0.000,0.000,0.000,0.000,94.627
3242,1279.388,116.885,116.885,96.384,96.384,0.000,0.000,0.000,0.000,96.384
3243,1279.799,128.762,128.762,98.141,98.141,0.000,0.000,0.000,0.000,98.141
3244,1280.210,119.317,119.317,99.898,99.898,0.000,0.000,0.000,0.000,99.898
3245,1280.621,118.575,118.575,101.655,101.655,0.000,0.000,0.000,0.000,101.655
3246,1281.032,118.033,118.033,103.412,103.412,0.000,0.000,0.000,0.000,103.412
3247,1281.443,110.020,110.020,105.169,105.169,0.000,0.000,0.000,0.000,105.169
3248,1281.854,107.995,107.995,106.925,106.925,0.000,0.000,0.000,0.000,106.925
3249,1282.265,103.440,103.440,108.682,108.682,0.000,0.000,0.000,0.000,108.682
3250,1282.676,121.007,121.007,110.439,110.439,0.000,0.000,0.000,0.000,110.439
3251,1283.087,113.440,113.440,112.196,112.196,0.000,0.000,0.000,0.000,112.196
3252,1283.498,106.304,106.304,113.953,113.953,0.000,0.000,0.000,0.000,113.953
3253,1283.909,103.897,103.897,115.710,115.710,0.000,0.000,0.000,0.000,115.710
3254,1284.320,116.330,116.330,117.467,117.467,0.000,0.000,0.000,0.000,117.467
3255,1284.731,129.859,129.859,119.224,119.224,0.000,0.000,0.000,0.000,119.224
3256,1285.142,126.169,126.169,120.981,120.981,0.000,0.000,0.000,0.000,120.981
3257,1285.553,133.007,133.007,122.737,122.737,0.000,0.000,0.000,0.000,122.737
3258,1285.964,101.846,101.846,124.494,124.494,0.000,0.000,0.000,0.000,124.494
3259,1286.375,119.156,119.156,126.251,126.251,0.000,0.000,0.000,0.000,126.251
3260,1286.787,133.872,133.872,128.008,128.008,0.000,0.000,0.000,0.000,128.008
3261,1287.198,124.588,124.588,129.765,129.765,0.000,0.000,0.000,0.000,129.765
3262,1287.609,134.588,134.588,131.522,131.522,0.000,0.000,0.000,0.000,131.522
3263,1288.020,115.872,115.872,133.279,133.279,0.000,0.000,0.000,0.000,133.279
3264,1288.431,112.143,112.143,135.036,135.036,0.000,0.000,0.000,0.000,135.036
3265,1288.842,144.885,144.885,136.793,136.793,0.000,0.000,0.000,0.000,136.793
3266,1289.253,128.020,128.020,138.549,138.549,0.000,0.000,0.000,0.000,138.549
3267,1289.664,125.846,125.846,140.306,140.306,0.000,0.000,0.000,0.000,140.306
3268,1290.076,131.317,131.317,142.063,142.063,0.000,0.000,0.000,0.000,142.063
3269,1290.487,134.020,134.020,143.820,143.820,0.000,0.000,0.000,0.000,143.820
3270,1290.898,120.440,120.440,145.577,145.577,0.000,0.000,0.000,0.000,145.577
3271,1291.309,116.859,116.859,147.334,147.334,0.000,0.000,0.000,0.000,147.334
3272,1291.720,112.982,112.982,149.091,149.091,0.000,0.000,0.000,0.000,149.091
3273,1292.132,129.440,129.440,150.848,150.848,0.000,0.000,0.000,0.000,150.848
3274,1292.543,121.995,121.995,152.605,152.605,0.000,0.000,0.000,0.000,152.605
3275,1292.954,110.562,110.562,154.361,154.361,0.000,0.000,0.000,0.000,154.361
3276,1293.365,119.291,119.291,156.118,156.118,0.000,0.000,0.000,0.000,156.118
3277,1293.776,137.588,137.588,157.875,157.875,0.000,0.000,0.000,0.000,157.875
3278,1294.188,129.736,129.736,159.632,159.632,0.000,0.000,0.000,0.000,159.632
3279,1294.599,139.143,139.143,161.389,161.389,0.000,0.000,0.000,0.000,161.389
3280,1295.010,148.614,148.614,163.146,163.146,0.000,0.000,0.000,0.000,163.146
3281,1295.421,147.588,147.588,164.903,164.903,0.000,0.000,0.000,0.000,164.903
3282,1295.833,168.465,168.465,166.660,166.660,0.000,0.000,0.000,0.000,166.660
3283,1296.244,139.169,139.169,168.417,168.417,0.000,0.000,0.000,0.000,168.417
3284,1296.655,136.562,136.562,170.173,170.173,0.000,0.000,0.000,0.000,170.173
3285,1297.066,143.452,143.452,171.930,171.930,0.000,0.000,0.000,0.000,171.930
3286,1297.478,152.440,152.440,173.687,173.687,0.000,0.000,0.000,0.000,173.687
3287,1297.889,168.046,168.046,175.444,175.444,0.000,0.000,0.000,0.000,175.444
3288,1298.300,166.465,166.465,177.201,177.201,0.000,0.000,0.000,0.000,177.201
3289,1298.712,139.440,139.440,178.958,178.958,0.000,0.000,0.000,0.000,178.958
3290,1299.123,146.452,146.452,180.715,180.715,0.000,0.000,0.000,0.000,180.715
3291,1299.534,161.724,161.724,182.472,182.472,0.000,0.000,0.000,0.000,182.472
3292,1299.946,126.846,126.846,184.229,184.229,0.000,0.000,0.000,0.000,184.229
3293,1300.357,190.317,190.317,185.985,185.985,0.000,0.000,0.000,0.000,185.985
3294,1300.768,147.601,147.601,187.742,187.742,0.000,0.000,0.000,0.000,187.742
3295,1301.180,157.885,157.885,189.499,189.499,0.000,0.000,0.000,0.000,189.499
3296,1301.591,161.872,161.872,191.256,191.256,0.000,0.000,0.000,0.000,191.256
3297,1302.002,179.033,179.033,193.013,193.013,0.000,0.000,0.000,0.000,193.013
3298,1302.414,138.872,138.872,194.770,194.770,0.000,0.000,0.000,0.000,194.770
3299,1302.825,176.343,176.343,196.527,196.527,0.000,0.000,0.000,0.000,196.527
3300,1303.237,182.749,182.749,198.284,198.284,0.000,0.000,0.000,0.000,198.284
3301,1303.648,170.452,170.452,200.041,200.041,0.000,0.000,0.000,0.000,200.041
3302,1304.059,158.711,158.711,201.797,201.797,0.000,0.000,0.000,0.000,201.797
3303,1304.471,163.749,163.749,203.554,203.554,0.000,0.000,0.000,0.000,203.554
3304,1304.882,163.181,163.181,205.311,205.311,0.000,0.000,0.000,0.000,205.311
3305,1305.294,199.910,199.910,207.068,207.068,0.000,0.000,0.000,0.000,207.068
3306,1305.705,202.601,202.601,208.825,208.825,0.000,0.000,0.000,0.000,208.825
3307,1306.116,169.033,169.033,210.582,210.582,0.000,0.000,0.000,0.000,210.582
3308,1306.528,201.169,201.169,212.339,212.339,0.000,0.000,0.000,0.000,212.339
3309,1306.939,178.885,178.885,214.096,214.096,0.000,0.000,0.000,0.000,214.096
3310,1307.351,202.181,202.181,215.853,215.853,0.000,0.000,0.000,0.000,215.853
3311,1307.762,198.317,198.317,217.609,217.609,0.000,0.000,0.000,0.000,217.609
3312,1308.174,194.724,194.724,219.366,219.366,0.000,0.000,0.000,0.000,219.366
3313,1308.585,233.169,233.169,221.123,221.123,0.000,0.000,0.000,0.000,221.123
3314,1308.997,180.291,180.291,222.880,222.880,0.000,0.000,0.000,0.000,222.880
3315,1309.408,217.749,217.749,224.637,224.637,0.000,0.000,0.000,0.000,224.637
3316,1309.820,214.452,214.452,226.394,226.394,0.000,0.000,0.000,0.000,226.394
3317,1310.231,222.897,222.897,228.151,228.151,0.000,0.000,0.000,0.000,228.151
3318,1310.643,230.626,230.626,229.908,229.908,0.000,0.000,0.000,0.000,229.908
3319,1311.054,215.601,215.601,231.665,231.665,0.000,0.000,0.000,0.000,231.665
3320,1311.466,204.736,204.736,233.421,233.421,0.000,0.000,0.000,0.000,233.421
3321,1311.877,235.033,235.033,235.178,235.178,0.000,0.000,0.000,0.000,235.178
3322,1312.289,222.169,222.169,236.935,236.935,0.000,0.000,0.000,0.000,236.935
3323,1312.700,217.601,217.601,238.692,238.692,0.000,0.000,0.000,0.000,238.692
3324,1313.112,237.317,237.317,240.449,240.449,0.000,0.000,0.000,0.000,240.449
3325,1313.524,210.465,210.465,242.206,242.206,0.000,0.000,0.000,0.000,242.206
3326,1313.935,201.156,201.156,243.963,243.963,0.000,0.000,0.000,0.000,243.963
3327,1314.347,197.046,197.046,245.720,245.720,0.000,0.000,0.000,0.000,245.720
3328,1314.758,225.588,225.588,247.477,247.477,0.000,0.000,0.000,0.000,247.477
3329,1315.170,254.465,254.465,249.233,249.233,0.000,0.000,0.000,0.000,249.233
3330,1315.581,230.601,230.601,250.990,250.990,0.000,0.000,0.000,0.000,250.990
3331,1315.993,236.614,236.614,252.747,252.747,0.000,0.000,0.000,0.000,252.747
3332,1316.405,207.330,207.330,254.504,254.504,0.000,0.000,0.000,0.000,254.504
3333,1316.816,239.330,239.330,256.261,256.261,0.000,0.000,0.000,0.000,256.261
3334,1317.228,226.614,226.614,258.018,258.018,0.000,0.000,0.000,0.000,258.018
3335,1317.640,239.749,239.749,259.775,259.775,0.000,0.000,0.000,0.000,259.775
3336,1318.051,222.749,222.749,261.532,261.532,0.000,0.000,0.000,0.000,261.532
3337,1318.463,253.343,253.343,263.289,263.289,0.000,0.000,0.000,0.000,263.289
3338,1318.875,239.452,239.452,265.045,265.045,0.000,0.000,0.000,0.000,265.045
3339,1319.286,219.020,219.020,266.802,266.802,0.000,0.000,0.000,0.000,266.802
3340,1319.698,253.478,253.478,268.559,268.559,0.000,0.000,0.000,0.000,268.559
3341,1320.110,230.317,230.317,270.316,270.316,0.000,0.000,0.000,0.000,270.316
3342,1320.521,235.872,235.872,272.073,272.073,0.000,0.000,0.000,0.000,272.073
3343,1320.933,262.181,262.181,273.830,273.830,0.000,0.000,0.000,0.000,273.830
3344,1321.345,287.059,287.059,275.587,275.587,0.000,0.000,0.000,0.000,275.587
3345,1321.756,274.614,274.614,277.344,277.344,0.000,0.000,0.000,0.000,277.344
3346,1322.168,231.304,231.304,279.101,279.101,0.000,0.000,0.000,0.000,279.101
3347,1322.580,232.156,232.156,280.857,280.857,0.000,0.000,0.000,0.000,280.857
3348,1322.991,249.885,249.885,282.614,282.614,0.000,0.000,0.000,0.000,282.614
3349,1323.403,270.452,270.452,284.371,284.371,0.000,0.000,0.000,0.000,284.371
3350,1323.815,256.910,256.910,286.128,286.128,0.000,0.000,0.000,0.000,286.128
3351,1324.227,255.207,255.207,287.885,287.885,0.000,0.000,0.000,0.000,287.885
3352,1324.638,289.910,289.910,289.642,289.642,0.000,0.000,0.000,0.000,289.642
3353,1325.050,287.330,287.330,291.399,291.399,0.000,0.000,0.000,0.000,291.399
3354,1325.462,281.614,281.614,293.156,293.156,0.000,0.000,0.000,0.000,293.156
3355,1325.874,264.465,264.465,294.912,294.912,0.000,0.000,0.000,0.000,294.912
3356,1326.286,274.762,274.762,296.669,296.669,0.000,0.000,0.000,0.000,296.669
3357,1326.697,310.059,310.059,298.426,298.426,0.000,0.000,0.000,0.000,298.426
3358,1327.109,277.762,277.762,300.183,300.183,0.000,0.000,0.000,0.000,300.183
3359,1327.521,274.181,274.181,301.940,301.940,0.000,0.000,0.000,0.000,301.940
3360,1327.933,273.614,273.614,303.697,303.697,0.000,0.000,0.000,0.000,303.697
3361,1328.345,264.194,264.194,305.454,305.454,0.000,0.000,0.000,0.000,305.454
3362,1328.756,239.169,239.169,307.211,307.211,0.000,0.000,0.000,0.000,307.211
3363,1329.168,273.478,273.478,308.968,308.968,0.000,0.000,0.000,0.000,308.968
3364,1329.580,264.626,264.626,310.724,310.724,0.000,0.000,0.000,0.000,310.724
3365,1329.992,269.465,269.465,312.481,312.481,0.000,0.000,0.000,0.000,312.481
3366,1330.404,307.614,307.614,314.238,314.238,0.000,0.000,0.000,0.000,314.238
3367,1330.816,300.897,300.897,315.995,315.995,0.000,0.000,0.000,0.000,315.995
3368,1331.227,257.601,257.601,317.752,317.752,0.000,0.000,0.000,0.000,317.752
3369,1331.639,292.885,292.885,319.509,319.509,0.000,0.000,0.000,0.000,319.509
3370,1332.051,274.317,274.317,321.266,321.266,0.000,0.000,0.000,0.000,321.266
3371,1332.463,276.194,276.194,319.490,319.490,0.000,0.000,0.000,0.000,319.490
3372,1332.875,327.736,327.736,317.715,317.715,0.000,0.000,0.000,0.000,317.715
3373,1333.287,306.614,306.614,315.939,315.939,0.000,0.000,0.000,0.000,315.939
3374,1333.699,316.181,316.181,314.164,314.164,0.000,0.000,0.000,0.000,314.164
3375,1334.111,288.452,288.452,312.388,312.388,0.000,0.000,0.000,0.000,312.388
3376,1334.523,296.601,296.601,310.612,310.612,0.000,0.000,0.000,0.000,310.612
3377,1334.935,279.749,279.749,308.837,308.837,0.000,0.000,0.000,0.000,308.837
3378,1335.347,278.181,278.181,307.061,307.061,0.000,0.000,0.000,0.000,307.061
3379,1335.758,291.330,291.330,305.286,305.286,0.000,0.000,0.000,0.000,305.286
3380,1336.170,319.194,319.194,303.510,303.510,0.000,0.000,0.000,0.000,303.510
3381,1336.582,308.033,308.033,301.735,301.735,0.000,0.000,0.000,0.000,301.735
3382,1336.994,304.910,304.910,299.959,299.959,0.000,0.000,0.000,0.000,299.959
3383,1337.406,311.626,311.626,298.184,298.184,0.000,0.000,0.000,0.000,298.184
3384,1337.818,282.749,282.749,296.408,296.408,0.000,0.000,0.000,0.000,296.408
3385,1338.230,289.033,289.033,294.633,294.633,0.000,0.000,0.000,0.000,294.633
3386,1338.642,305.194,305.194,292.857,292.857,0.000,0.000,0.000,0.000,292.857
3387,1339.054,321.897,321.897,291.081,291.081,0.000,0.000,0.000,0.000,291.081
3388,1339.466,327.059,327.059,289.306,289.306,0.000,0.000,0.000,0.000,289.306
