ch,keV,net,fit,model,continuum_raw,Eu-152
208,599.355,541.400,541.400,543.892,122.320,543.892
209,602.337,512.800,512.800,532.452,120.692,532.452
210,605.319,539.534,539.534,522.235,119.063,522.235
211,608.302,589.200,589.200,513.381,117.435,513.381
212,611.285,500.600,500.600,505.933,115.807,505.933
213,614.269,581.200,581.200,499.847,114.179,499.847
214,617.253,512.534,512.534,495.016,112.551,495.016
215,620.238,488.000,488.000,491.294,110.923,491.294
216,623.223,484.267,484.267,488.528,109.294,488.528
217,626.209,462.667,462.667,486.578,107.666,486.578
218,629.195,484.000,484.000,485.338,106.038,485.338
219,632.182,461.467,461.467,484.746,104.410,484.746
220,635.169,497.000,497.000,484.788,102.782,484.788
221,638.157,481.867,481.867,488.174,103.835,488.174
222,641.145,474.734,474.734,492.288,104.888,492.288
223,644.133,514.267,514.267,497.217,105.941,497.217
224,647.122,501.467,501.467,503.052,106.994,503.052
225,650.111,522.667,522.667,509.870,108.047,509.870
226,653.101,512.133,512.133,517.705,109.100,517.705
227,656.092,498.933,498.933,526.530,110.153,526.530
228,659.082,532.133,532.133,536.229,111.206,536.229
229,662.074,541.867,541.867,546.585,112.259,546.585
230,665.065,567.133,567.133,557.268,113.312,557.268
231,668.057,559.067,559.067,567.851,114.365,567.851
232,671.050,563.800,563.800,577.829,115.418,577.829
233,674.043,579.733,579.733,586.663,116.471,586.663
234,677.036,618.667,618.667,594.611,118.308,594.611
235,680.030,589.400,589.400,600.439,120.146,600.439
236,683.024,587.800,587.800,603.824,121.983,603.824
237,686.019,626.400,626.400,604.608,123.820,604.608
238,689.014,623.200,623.200,602.826,125.658,602.826
239,692.010,626.133,626.133,598.702,127.495,598.702
240,695.006,598.600,598.600,592.627,129.332,592.627
241,698.002,588.733,588.733,585.115,131.170,585.115
242,700.999,568.133,568.133,576.760,133.007,576.760
243,703.996,573.000,573.000,568.179,134.844,568.179
244,706.994,539.267,539.267,559.977,136.682,559.977
245,709.992,571.267,571.267,552.718,138.519,552.718
246,712.991,536.000,536.000,546.921,140.356,546.921
247,715.990,550.267,550.267,543.077,142.193,543.077
248,718.989,515.800,515.800,534.199,136.552,534.199
249,721.989,557.333,557.333,528.297,130.910,528.297
250,724.989,499.067,499.067,525.980,125.269,525.980
251,727.990,531.400,531.400,527.962,119.627,527.962
252,730.991,513.267,513.267,535.066,113.986,535.066
253,733.992,570.267,570.267,548.199,108.344,548.199
254,736.994,627.333,627.333,568.286,102.703,568.286
255,739.996,590.800,590.800,596.171,97.061,596.171
256,742.999,622.133,622.133,632.483,91.420,632.483
257,746.002,648.267,648.267,677.478,85.778,677.478
258,749.005,672.400,672.400,730.881,80.137,730.881
259,752.009,749.800,749.800,791.745,74.496,791.745
260,755.013,870.400,870.400,858.361,68.854,858.361
261,758.018,952.667,952.667,928.249,63.213,928.249
262,761.023,981.733,981.733,1010.265,69.609,1010.265
263,764.028,1082.400,1082.400,1088.678,76.005,1088.678
264,767.034,1164.400,1164.400,1159.544,82.401,1159.544
265,770.040,1117.000,1117.000,1219.016,88.797,1219.016
266,773.047,1313.533,1313.533,1263.709,95.193,1263.709
267,776.053,1309.067,1309.067,1291.044,101.589,1291.044
268,779.061,1398.533,1398.533,1299.525,107.986,1299.525
269,782.068,1329.200,1329.200,1288.909,114.382,1288.909
270,785.076,1392.400,1392.400,1260.227,120.778,1260.227
271,788.085,1267.667,1267.667,1215.681,127.174,1215.681
272,791.094,1214.867,1214.867,1158.403,133.570,1158.403
273,794.103,1172.400,1172.400,1092.134,139.966,1092.134
274,797.112,1097.400,1097.400,1020.862,146.363,1020.862
275,800.122,996.200,996.200,948.469,152.759,948.469
276,803.132,862.533,862.533,878.428,159.155,878.428
277,806.143,773.600,773.600,800.423,152.381,800.423
278,809.154,718.400,718.400,729.739,145.606,729.739
279,812.165,660.533,660.533,667.738,138.832,667.738
280,815.177,559.333,559.333,615.088,132.058,615.088
281,818.189,522.200,522.200,571.882,125.284,571.882
282,821.201,519.867,519.867,537.778,118.510,537.778
283,824.214,455.800,455.800,512.148,111.735,512.148
284,827.227,456.533,456.533,494.194,104.961,494.194
285,830.240,507.867,507.867,483.042,98.187,483.042
286,833.254,459.267,459.267,477.794,91.413,477.794
287,836.268,465.600,465.600,477.545,84.639,477.545
288,839.282,502.067,502.067,481.382,77.864,481.382
289,842.297,484.733,484.733,488.363,71.090,488.363
290,845.312,518.067,518.067,497.504,64.316,497.504
291,848.328,536.733,536.733,507.768,57.542,507.768
292,851.343,553.133,553.133,518.075,50.768,518.075
293,854.360,562.467,562.467,532.290,48.955,532.290
294,857.376,553.533,553.533,544.391,47.142,544.391
295,860.393,588.733,588.733,553.408,45.330,553.408
296,863.410,552.400,552.400,558.527,43.517,558.527
297,866.427,532.667,532.667,559.156,41.705,559.156
298,869.445,551.933,551.933,554.965,39.892,554.965
299,872.463,518.600,518.600,545.922,38.079,545.922
300,875.481,522.400,522.400,532.287,36.267,532.287
301,878.500,503.533,503.533,514.597,34.454,514.597
302,881.519,503.200,503.200,493.620,32.642,493.620
303,884.538,459.867,459.867,470.292,30.829,470.292
304,887.558,441.467,441.467,445.651,29.016,445.651
305,890.578,387.133,387.133,420.769,27.204,420.769
306,893.598,424.067,424.067,396.695,25.391,396.695
307,896.619,363.400,363.400,374.408,23.578,374.408
308,899.640,395.200,395.200,354.791,21.766,354.791
309,902.661,337.733,337.733,344.469,25.799,344.469
310,905.682,321.800,321.800,338.271,29.832,338.271
311,908.704,361.467,361.467,336.781,33.865,336.781
312,911.726,335.400,335.400,340.503,37.898,340.503
313,914.748,362.133,362.133,349.869,41.931,349.869
314,917.771,389.067,389.067,365.232,45.964,365.232
315,920.794,393.600,393.600,386.849,49.998,386.849
316,923.817,401.933,401.933,414.846,54.031,414.846
317,926.841,428.467,428.467,449.168,58.064,449.168
318,929.865,489.933,489.933,489.533,62.097,489.533
319,932.889,544.400,544.400,535.375,66.130,535.375
320,935.913,562.400,562.400,585.807,70.163,585.807
321,938.938,611.467,611.467,639.601,74.196,639.601
322,941.963,731.000,731.000,695.198,78.229,695.198
323,944.988,751.133,751.133,750.757,82.262,750.757
324,948.013,732.933,732.933,804.232,86.296,804.232
325,951.039,842.667,842.667,853.484,90.329,853.484
326,954.065,864.067,864.067,889.012,86.952,889.012
327,957.091,925.267,925.267,916.325,83.575,916.325
328,960.118,955.133,955.133,933.859,80.199,933.859
329,963.145,957.600,957.600,940.507,76.822,940.507
330,966.172,952.867,952.867,935.707,73.446,935.707
331,969.199,964.400,964.400,919.488,70.069,919.488
332,972.227,904.467,904.467,892.466,66.692,892.466
333,975.255,908.400,908.400,855.784,63.316,855.784
334,978.283,805.933,805.933,811.019,59.939,811.019
335,981.311,776.200,776.200,760.049,56.563,760.049
336,984.340,756.200,756.200,704.911,53.186,704.911
337,987.369,620.733,620.733,647.653,49.809,647.653
338,990.398,592.600,592.600,590.201,46.433,590.201
339,993.427,518.400,518.400,534.252,43.056,534.252
340,996.457,511.867,511.867,481.201,39.680,481.201
341,999.487,438.533,438.533,432.105,36.303,432.105
342,1002.517,440.333,440.333,387.677,32.926,387.677
343,1005.547,289.267,289.267,351.055,32.283,351.055
344,1008.578,305.600,305.600,319.645,31.641,319.645
345,1011.609,309.067,309.067,293.390,30.998,293.390
346,1014.640,253.667,253.667,272.107,30.355,272.107
347,1017.671,241.933,241.933,255.553,29.712,255.553
348,1020.703,260.067,260.067,243.482,29.069,243.482
349,1023.735,196.267,196.267,235.693,28.427,235.693
350,1026.767,253.600,253.600,232.061,27.784,232.061
351,1029.799,239.800,239.800,232.551,27.141,232.551
352,1032.831,249.867,249.867,237.220,26.498,237.220
353,1035.864,257.667,257.667,246.204,25.855,246.204
354,1038.897,274.400,274.400,259.694,25.213,259.694
355,1041.930,257.267,257.267,277.908,24.570,277.908
356,1044.963,287.733,287.733,301.050,23.927,301.050
357,1047.997,311.133,311.133,329.270,23.284,329.270
358,1051.031,380.933,380.933,362.629,22.641,362.629
359,1054.065,407.467,407.467,401.053,21.999,401.053
360,1057.099,444.400,444.400,444.307,21.356,444.307
361,1060.133,496.733,496.733,496.364,25.105,496.364
362,1063.168,586.867,586.867,552.209,28.854,552.209
363,1066.203,608.867,608.867,611.020,32.604,611.020
364,1069.238,632.400,632.400,671.787,36.353,671.787
365,1072.273,792.867,792.867,733.333,40.102,733.333
366,1075.308,794.133,794.133,794.350,43.852,794.350
367,1078.344,894.267,894.267,853.451,47.601,853.451
368,1081.380,868.533,868.533,909.214,51.350,909.214
369,1084.416,947.133,947.133,960.246,55.100,960.246
370,1087.452,970.667,970.667,1005.236,58.849,1005.236
371,1090.488,1031.133,1031.133,1043.010,62.598,1043.010
372,1093.525,1077.933,1077.933,1072.582,66.348,1072.582
373,1096.562,1040.933,1040.933,1093.195,70.097,1093.195
374,1099.598,1119.600,1119.600,1104.348,73.846,1104.348
375,1102.636,1126.933,1126.933,1105.822,77.596,1105.822
376,1105.673,1154.933,1154.933,1097.683,81.345,1097.683
377,1108.710,1036.067,1036.067,1080.282,85.094,1080.282
378,1111.748,1090.400,1090.400,1054.236,88.844,1054.236
379,1114.786,1014.000,1014.000,1020.405,92.593,1020.405
380,1117.824,912.133,912.133,971.227,87.720,971.227
381,1120.862,923.533,923.533,916.546,82.846,916.546
382,1123.900,913.000,913.000,857.690,77.973,857.690
383,1126.939,799.067,799.067,796.039,73.100,796.039
384,1129.978,779.600,779.600,732.968,68.226,732.968
385,1133.016,744.133,744.133,669.794,63.353,669.794
386,1136.055,585.667,585.667,607.728,58.480,607.728
387,1139.095,541.267,541.267,547.836,53.606,547.836
388,1142.134,482.067,482.067,491.005,48.733,491.005
389,1145.173,420.467,420.467,437.930,43.860,437.930
390,1148.213,414.800,414.800,389.100,38.986,389.100
391,1151.253,340.733,340.733,344.810,34.113,344.810
392,1154.293,274.400,274.400,305.171,29.240,305.171
393,1157.333,238.533,238.533,270.130,24.367,270.130
394,1160.373,235.467,235.467,239.501,19.493,239.501
395,1163.413,202.933,202.933,212.995,14.620,212.995
396,1166.454,191.533,191.533,190.245,9.747,190.245
397,1169.495,166.933,166.933,170.840,4.873,170.840
398,1172.535,161.333,161.333,154.345,0.000,154.345
399,1175.576,138.733,138.733,145.578,0.381,145.578
400,1178.618,133.467,133.467,138.863,0.762,138.863
401,1181.659,129.267,129.267,133.802,1.143,133.802
402,1184.700,145.067,145.067,130.029,1.524,130.029
403,1187.742,99.600,99.600,127.214,1.905,127.214
404,1190.783,111.400,111.400,125.065,2.286,125.065
405,1193.825,104.533,104.533,123.326,2.667,123.326
406,1196.867,122.267,122.267,121.779,3.048,121.779
407,1199.909,151.200,151.200,120.241,3.429,120.241
408,1202.951,99.733,99.733,118.563,3.810,118.563
409,1205.993,114.400,114.400,116.631,4.191,116.631
410,1209.036,129.800,129.800,114.366,4.572,114.366
411,1212.078,96.933,96.933,111.720,4.953,111.720
412,1215.121,107.000,107.000,108.677,5.334,108.677
413,1218.163,94.400,94.400,105.250,5.716,105.250
414,1221.206,120.933,120.933,101.482,6.097,101.482
415,1224.249,121.400,121.400,97.438,6.478,97.438
416,1227.292,88.133,88.133,93.204,6.859,93.204
417,1230.335,83.267,83.267,88.879,7.240,88.879
418,1233.379,82.533,82.533,84.575,7.621,84.575
419,1236.422,77.533,77.533,80.537,8.136,80.537
420,1239.465,85.333,85.333,76.744,8.651,76.744
421,1242.509,66.800,66.800,73.300,9.166,73.300
422,1245.553,58.867,58.867,70.296,9.681,70.296
423,1248.596,77.733,77.733,67.807,10.196,67.807
424,1251.640,80.733,80.733,65.889,10.711,65.889
425,1254.684,63.000,63.000,64.575,11.226,64.575
426,1257.728,65.333,65.333,63.877,11.742,63.877
427,1260.772,61.667,61.667,63.782,12.257,63.782
428,1263.816,71.067,71.067,64.254,12.772,64.254
429,1266.861,49.933,49.933,65.236,13.287,65.236
430,1269.905,73.733,73.733,66.655,13.802,66.655
431,1272.949,76.867,76.867,68.418,14.317,68.418
432,1275.994,76.200,76.200,70.424,14.832,70.424
433,1279.039,78.400,78.400,72.562,15.347,72.562
434,1282.083,74.067,74.067,74.720,15.862,74.720
435,1285.128,90.467,90.467,76.788,16.378,76.788
436,1288.173,76.733,76.733,78.663,16.893,78.663
437,1291.218,67.000,67.000,80.256,17.408,80.256
438,1294.263,72.400,72.400,81.496,17.923,81.496
439,1297.308,75.133,75.133,82.331,18.438,82.331
440,1300.353,86.600,86.600,81.345,17.560,81.345
441,1303.398,78.400,78.400,79.935,16.682,79.935
442,1306.443,87.867,87.867,78.136,15.804,78.136
443,1309.488,72.533,72.533,76.015,14.926,76.015
444,1312.534,57.800,57.800,73.670,14.048,73.670
445,1315.579,71.000,71.000,71.230,13.170,71.230
