ch,keV,net,fit,model,continuum_raw,Lu-176,Xray-Lu
35,8.079,1765.094,1765.094,353.111,353.111,349.777,3.334
36,8.447,1940.327,1940.327,384.336,384.336,380.708,3.629
37,8.816,2041.973,2041.973,421.091,421.091,417.116,3.976
38,9.185,2170.365,2170.365,464.220,464.220,459.838,4.383
39,9.553,2205.661,2205.661,514.618,514.618,509.760,4.859
40,9.922,2255.257,2255.257,573.220,573.220,567.808,5.412
41,10.291,2352.789,2352.789,640.988,640.988,634.936,6.052
42,10.660,2418.391,2418.391,718.893,718.893,712.106,6.787
43,11.029,2290.879,2290.879,807.895,807.895,800.268,7.627
44,11.397,2257.090,2257.090,908.922,908.922,900.341,8.581
45,11.766,2267.908,2267.908,1022.832,1022.832,1013.175,9.657
46,12.135,2296.127,2296.127,1150.382,1150.382,1139.521,10.861
47,12.504,2193.692,2193.692,1292.176,1292.176,1279.977,12.200
48,12.873,2095.618,2095.618,1448.606,1448.606,1434.930,13.676
49,13.242,2162.883,2162.883,1619.786,1619.785,1604.493,15.293
50,13.611,2083.277,2083.277,1805.469,1805.468,1788.423,17.046
51,13.980,2049.257,2049.257,2004.975,2004.974,1986.045,18.929
52,14.349,2070.149,2070.149,2217.110,2217.109,2196.178,20.932
53,14.718,2005.919,2005.919,2440.111,2440.109,2417.074,23.038
54,15.086,2189.637,2189.637,2671.602,2671.599,2646.379,25.223
55,15.455,2281.024,2281.024,2908.592,2908.587,2881.131,27.461
56,15.824,2367.242,2367.242,3147.507,3147.497,3117.790,29.717
57,16.193,2451.879,2451.879,3384.263,3384.248,3352.310,31.953
58,16.563,2476.031,2476.031,3614.389,3614.367,3580.263,34.127
59,16.932,2662.769,2662.769,3833.181,3833.146,3796.987,36.194
60,17.301,2862.908,2862.908,4035.884,4035.831,3997.775,38.110
61,17.670,2986.712,2986.712,4217.900,4217.819,4178.068,39.832
62,18.039,3171.877,3171.877,4374.990,4374.868,4333.671,41.319
63,18.408,3316.314,3316.314,4503.474,4503.293,4460.935,42.539
64,18.777,3508.914,3508.914,4601.073,4600.807,4557.604,43.469
65,19.146,3683.699,3683.699,4665.036,4664.649,4620.951,44.086
66,19.515,3978.538,3978.538,4694.246,4693.687,4649.868,44.378
67,19.884,3983.380,3983.380,4688.597,4687.796,4644.250,44.347
68,20.254,4220.539,4220.539,4648.989,4647.853,4604.985,44.003
69,20.623,4225.461,4225.461,4577.277,4575.681,4533.911,43.366
70,20.992,4522.739,4522.739,4476.176,4473.954,4433.713,42.462
71,21.361,4521.778,4521.778,4349.126,4346.062,4307.798,41.328
72,21.730,4581.534,4581.534,4200.134,4195.947,4160.130,40.004
73,22.100,4639.996,4639.996,4033.592,4027.923,3995.056,38.536
74,22.469,4710.336,4710.336,3854.088,3846.481,3817.119,36.969
75,22.838,4539.804,4539.804,3666.223,3656.107,3630.870,35.352
76,23.208,4525.901,4525.901,3474.430,3461.099,3440.699,33.731
77,23.577,4505.077,4505.077,3282.823,3265.414,3250.675,32.148
78,23.946,4420.310,4420.310,3095.067,3072.533,3064.425,30.641
79,24.316,4345.428,4345.428,2914.278,2885.371,2885.034,29.244
80,24.685,4290.888,4290.888,2742.965,2706.208,2714.983,27.981
81,25.054,4066.699,4066.699,2582.998,2536.669,2556.125,26.873
82,25.424,3895.470,3895.470,2435.618,2377.733,2409.688,25.930
83,25.793,3896.347,3896.347,2301.475,2229.778,2276.318,25.157
84,26.162,3788.870,3788.870,2180.689,2092.647,2156.138,24.551
85,26.532,3587.286,3587.286,2072.936,1965.743,2048.832,24.105
86,26.901,3494.809,3494.809,1977.542,1848.133,1953.739,23.803
87,27.271,3291.286,3291.286,1893.582,1738.658,1869.954,23.629
88,27.640,3224.338,3224.338,1819.981,1636.045,1796.421,23.560
89,28.010,2938.044,2938.044,1755.605,1539.008,1732.031,23.573
90,28.379,3064.395,3064.395,1699.337,1446.336,1675.692,23.645
91,28.749,2989.451,2989.451,1650.144,1356.969,1626.394,23.750
92,29.118,2837.569,2837.569,1607.119,1270.048,1583.251,23.868
93,29.488,2810.277,2810.277,1569.506,1184.944,1545.529,23.977
94,29.857,2694.273,2694.273,1536.713,1101.276,1512.652,24.061
95,30.227,2665.919,2665.919,1508.302,1018.896,1484.195,24.106
96,30.597,2698.215,2698.215,1483.977,937.872,1459.872,24.105
97,30.966,2619.328,2619.328,1463.553,858.452,1439.501,24.052
98,31.336,2507.978,2507.978,1446.932,781.017,1422.983,23.949
99,31.705,2480.387,2480.387,1434.064,706.043,1410.264,23.801
100,32.075,2399.505,2399.505,1424.930,634.044,1401.312,23.618
101,32.445,2322.389,2322.389,1419.506,565.537,1396.092,23.414
102,32.814,2292.330,2292.330,1417.758,500.995,1394.549,23.209
103,33.184,2266.684,2266.684,1419.622,440.825,1396.598,23.024
104,33.554,2202.747,2202.747,1425.009,385.338,1402.126,22.883
105,33.923,2138.029,2138.029,1433.806,334.740,1410.992,22.815
106,34.293,2059.156,2059.156,1445.888,289.125,1423.041,22.847
107,34.663,2028.679,2028.679,1461.130,248.476,1438.119,23.012
108,35.033,1989.033,1989.033,1479.429,212.678,1456.088,23.341
109,35.403,1958.448,1958.448,1500.716,181.525,1476.847,23.868
110,35.772,2001.512,2001.512,1524.978,154.740,1500.348,24.630
111,36.142,1957.503,1957.503,1552.274,131.992,1526.612,25.661
112,36.512,1881.864,1881.864,1582.746,112.913,1555.744,27.001
113,36.882,1810.681,1810.681,1616.633,97.117,1587.941,28.691
114,37.252,1868.626,1868.626,1654.275,84.212,1623.499,30.775
115,37.621,1913.154,1913.154,1696.118,73.818,1662.819,33.300
116,37.991,1882.806,1882.806,1742.718,65.571,1706.401,36.317
117,38.361,1905.158,1905.158,1794.731,59.134,1754.849,39.882
118,38.731,1973.571,1973.571,1852.917,54.204,1808.859,44.057
119,39.101,1852.508,1852.508,1918.125,50.511,1869.215,48.909
120,39.471,1872.046,1872.046,1991.289,47.819,1936.779,54.510
121,39.841,1866.809,1866.809,2073.417,45.927,2012.478,60.938
122,40.211,1993.453,1993.453,2165.571,44.667,2097.294,68.277
123,40.581,1942.101,1942.101,2268.861,43.899,2192.247,76.614
124,40.951,1924.927,1924.927,2384.419,43.510,2298.378,86.041
125,41.321,2005.516,2005.516,2513.383,43.408,2416.733,96.650
126,41.691,2071.873,2071.873,2656.873,43.522,2548.340,108.533
127,42.061,2065.815,2065.815,2841.929,69.759,2719.910,122.020
128,42.431,2192.284,2192.284,3043.590,96.113,2906.637,136.952
129,42.801,2223.055,2223.055,3262.753,122.552,3109.348,153.405
130,43.171,2300.991,2300.991,3500.181,149.052,3328.741,171.440
131,43.541,2305.461,2305.461,3756.457,175.594,3565.357,191.101
132,43.911,2472.281,2472.281,4031.959,202.166,3819.547,212.412
133,44.282,2656.697,2656.697,4326.815,228.759,4091.442,235.374
134,44.652,2695.644,2695.644,4640.872,255.365,4380.915,259.957
135,45.022,2894.758,2894.758,4973.660,281.982,4687.560,286.100
136,45.392,3083.112,3083.112,5324.368,308.604,5010.658,313.710
137,45.762,3389.760,3389.760,5691.818,335.231,5349.164,342.654
138,46.132,3497.462,3497.462,6074.449,361.860,5701.686,372.763
139,46.503,3907.760,3907.760,6470.312,388.491,6066.482,403.830
140,46.873,4089.292,4089.292,6877.071,415.123,6441.459,435.612
141,47.243,4518.648,4518.648,7292.014,441.756,6824.185,467.829
142,47.613,4890.292,4890.292,7712.084,468.389,7211.911,500.173
143,47.984,5331.938,5331.938,8133.907,495.023,7601.597,532.309
144,48.354,5832.466,5832.466,8553.846,521.657,7989.961,563.884
145,48.724,6405.171,6405.171,8968.054,548.290,8373.523,594.531
146,49.095,6944.167,6944.167,9372.547,574.924,8748.666,623.881
147,49.465,7364.461,7364.461,9763.275,601.558,9111.707,651.568
148,49.835,8231.818,8231.818,10136.208,628.192,9458.966,677.242
149,50.206,8847.050,8847.050,10487.416,654.826,9786.841,700.576
150,50.576,9543.695,9543.695,10813.163,681.460,10091.888,721.275
151,50.946,10160.578,10160.578,11109.986,708.094,10370.900,739.086
152,51.317,10877.464,10877.464,11374.776,734.727,10620.974,753.802
153,51.687,11359.927,11359.927,11604.853,761.361,10839.582,765.271
154,52.058,12118.991,12118.991,11798.027,787.995,11024.629,773.398
155,52.428,12880.459,12880.459,11952.651,814.629,11174.503,778.148
156,52.799,13425.272,13425.272,12067.651,841.263,11288.104,779.547
157,53.169,13958.046,13958.046,12142.554,867.897,11364.873,777.681
158,53.540,14291.637,14291.637,12177.488,894.531,11404.799,772.688
159,53.910,14832.218,14832.218,12173.169,921.165,11408.408,764.761
160,54.281,14887.574,14887.574,12130.876,947.799,11376.743,754.133
161,54.651,15217.455,15217.455,12052.405,974.433,11311.330,741.075
162,55.022,15346.283,15346.283,11940.012,1001.067,11214.132,725.881
163,55.392,15498.283,15498.283,11796.348,1027.701,11087.484,708.864
164,55.763,15296.402,15296.402,11624.380,1054.334,10934.036,690.344
165,56.134,15281.695,15281.695,11427.310,1080.968,10756.672,670.638
166,56.504,15224.279,15224.279,11208.492,1107.602,10558.440,650.052
167,56.875,14807.040,14807.040,10971.346,1134.236,10342.475,628.872
168,57.245,14605.633,14605.633,10719.278,1160.870,10111.922,607.356
169,57.616,14283.631,14283.631,10455.605,1187.504,9869.870,585.735
170,57.987,13724.398,13724.398,10183.490,1214.138,9619.288,564.202
171,58.357,13434.050,13434.050,9905.882,1240.772,9362.969,542.913
172,58.728,13049.281,13049.281,9625.475,1267.406,9103.488,521.987
173,59.099,12444.516,12444.516,9344.672,1294.040,8843.166,501.506
174,59.470,11937.690,11937.690,9065.568,1320.674,8584.048,481.520
175,59.840,11612.750,11612.750,8789.937,1347.307,8327.890,462.046
176,60.211,10974.932,10974.932,8519.238,1373.941,8076.159,443.079
177,60.582,10608.875,10608.875,8254.628,1400.575,7830.038,424.591
178,60.953,10020.875,10020.875,7996.984,1427.209,7590.446,406.539
179,61.324,9693.407,9693.407,7746.930,1453.843,7358.059,388.871
180,61.694,9401.642,9401.642,7504.871,1480.477,7133.337,371.534
181,62.065,8934.701,8934.701,7271.029,1507.111,6916.558,354.471
182,62.436,8442.178,8442.178,7045.482,1533.745,6707.848,337.634
183,62.807,8232.765,8232.765,6828.201,1560.379,6507.219,320.982
184,63.178,7736.347,7736.347,6619.080,1587.013,6314.595,304.485
185,63.549,7406.879,7406.879,6417.975,1613.647,6129.847,288.128
186,63.920,7043.829,7043.829,6224.723,1640.280,5952.816,271.907
187,64.290,6871.714,6871.714,6039.172,1666.914,5783.337,255.835
188,64.661,6481.892,6481.892,5861.189,1693.548,5621.253,239.936
189,65.032,6205.127,6205.127,5690.679,1720.182,5466.434,224.245
190,65.403,6085.661,6085.661,5486.659,1705.889,5277.878,208.781
191,65.774,5632.899,5632.899,5290.044,1691.596,5096.414,193.630
192,66.145,5411.956,5411.956,5100.861,1677.303,4922.012,178.849
193,66.516,5201.899,5201.899,4919.170,1663.010,4754.674,164.496
194,66.887,4841.495,4841.495,4745.061,1648.717,4594.429,150.632
195,67.258,4655.607,4655.607,4578.636,1634.424,4441.324,137.312
196,67.629,4661.734,4661.734,4420.006,1620.131,4295.418,124.588
197,68.001,4267.321,4267.321,4269.275,1605.839,4156.770,112.505
198,68.372,4020.738,4020.738,4126.533,1591.546,4025.433,101.100
199,68.743,3990.035,3990.035,3991.845,1577.253,3901.442,90.402
200,69.114,3695.982,3695.982,3865.246,1562.960,3784.815,80.431
201,69.485,3571.108,3571.108,3746.733,1548.667,3675.538,71.195
202,69.856,3466.807,3466.807,3636.263,1534.374,3573.567,62.696
203,70.227,3262.358,3262.358,3533.748,1520.081,3478.824,54.924
204,70.598,3280.538,3280.538,3439.060,1505.788,3391.197,47.863
205,70.970,3019.062,3019.062,3352.030,1491.495,3310.540,41.490
206,71.341,3110.558,3110.558,3272.450,1477.202,3236.675,35.774
207,71.712,2919.606,2919.606,3200.079,1462.909,3169.398,30.681
208,72.083,2822.380,2822.380,3134.649,1448.616,3108.478,26.171
209,72.455,2796.752,2796.752,3075.870,1434.323,3053.666,22.204
210,72.826,2846.508,2846.508,3023.434,1420.030,3004.698,18.736
211,73.197,2814.628,2814.628,2977.025,1405.737,2961.301,15.724
212,73.568,2677.822,2677.822,2936.321,1391.444,2923.197,13.124
213,73.940,2709.466,2709.466,2901.001,1377.151,2890.107,10.894
214,74.311,2714.123,2714.123,2870.749,1362.858,2861.755,8.994
215,74.682,2653.595,2653.595,2845.257,1348.565,2837.873,7.384
216,75.054,2653.894,2653.894,2824.229,1334.272,2818.199,6.029
217,75.425,2683.189,2683.189,2807.380,1319.979,2802.484,4.896
218,75.796,2645.560,2645.560,2794.442,1305.686,2790.488,3.954
219,76.168,2643.365,2643.365,2785.157,1291.393,2781.981,3.175
220,76.539,2685.677,2685.677,2779.281,1277.100,2776.745,2.536
221,76.911,2524.969,2524.969,2776.583,1262.807,2774.569,2.014
222,77.282,2632.200,2632.200,2776.839,1248.514,2775.248,1.591
223,77.654,2641.440,2641.440,2779.832,1234.221,2778.583,1.250
224,78.025,2583.389,2583.389,2785.350,1219.928,2784.373,0.976
225,78.397,2521.378,2521.378,2793.179,1205.636,2792.420,0.759
226,78.768,2526.193,2526.193,2803.105,1191.343,2802.519,0.586
227,79.140,2495.848,2495.848,2814.908,1177.050,2814.458,0.450
228,79.511,2610.435,2610.435,2828.361,1162.757,2828.017,0.344
229,79.883,2679.382,2679.382,2843.225,1148.464,2842.964,0.261
230,80.254,2657.138,2657.138,2859.252,1134.171,2859.054,0.197
231,80.626,2653.138,2653.138,2876.178,1119.878,2876.030,0.148
232,80.997,2669.426,2669.426,2893.730,1105.585,2893.619,0.111
233,81.369,2705.246,2705.246,2911.616,1091.292,2911.534,0.082
234,81.741,2655.257,2655.257,2929.537,1076.999,2929.476,0.061
235,82.112,2756.650,2756.650,2947.179,1062.706,2947.134,0.045
236,82.484,2848.055,2848.055,2964.222,1048.413,2964.189,0.033
237,82.855,2864.765,2864.765,2980.339,1034.120,2980.315,0.024
238,83.227,2958.057,2958.057,2995.201,1019.827,2995.183,0.017
239,83.599,2961.121,2961.121,3008.480,1005.534,3008.467,0.012
240,83.971,2968.349,2968.349,3019.854,991.241,3019.846,0.009
241,84.342,3091.989,3091.989,3029.014,976.948,3029.007,0.006
242,84.714,3235.523,3235.523,3035.662,962.655,3035.657,0.004
243,85.086,3175.158,3175.158,3039.523,948.362,3039.520,0.003
244,85.457,3360.747,3360.747,3040.347,934.069,3040.345,0.002
245,85.829,3418.745,3418.745,3037.912,919.776,3037.910,0.002
246,86.201,3440.745,3440.745,3032.030,905.483,3032.029,0.001
247,86.573,3500.152,3500.152,3022.550,891.190,3022.550,0.001
248,86.945,3384.855,3384.855,3009.362,876.897,3009.362,0.000
249,87.317,3506.571,3506.571,2992.397,862.604,2992.397,0.000
250,87.688,3620.798,3620.798,2971.631,848.311,2971.631,0.000
251,88.060,3594.084,3594.084,2947.084,834.018,2947.083,0.000
252,88.432,3622.795,3622.795,2918.820,819.725,2918.820,0.000
253,88.804,3662.550,3662.550,2894.007,812.490,2894.007,0.000
254,89.176,3520.431,3520.431,2865.736,805.255,2865.736,0.000
255,89.548,3623.314,3623.314,2834.198,798.020,2834.198,0.000
256,89.920,3618.853,3618.853,2799.618,790.784,2799.618,0.000
257,90.292,3457.549,3457.549,2762.252,783.549,2762.252,0.000
258,90.664,3579.613,3579.613,2722.387,776.314,2722.387,0.000
259,91.036,3529.901,3529.901,2680.329,769.078,2680.329,0.000
260,91.408,3396.899,3396.899,2636.403,761.843,2636.403,0.000
261,91.780,3349.130,3349.130,2590.945,754.608,2590.945,0.000
262,92.152,3301.947,3301.947,2544.298,747.373,2544.298,0.000
263,92.524,3180.072,3180.072,2496.806,740.137,2496.806,0.000
264,92.896,3142.894,3142.894,2448.808,732.902,2448.808,0.000
265,93.268,3076.888,3076.888,2400.635,725.667,2400.635,0.000
266,93.640,2990.299,2990.299,2352.604,718.431,2352.604,0.000
267,94.012,2798.360,2798.360,2305.014,711.196,2305.014,0.000
268,94.384,2681.945,2681.945,2258.145,703.961,2258.145,0.000
269,94.756,2548.938,2548.938,2212.250,696.725,2212.250,0.000
270,95.128,2410.995,2410.995,2167.561,689.490,2167.561,0.000
271,95.501,2403.053,2403.053,2124.278,682.255,2124.278,0.000
272,95.873,2278.872,2278.872,2082.574,675.020,2082.574,0.000
273,96.245,2223.121,2223.121,2042.596,667.784,2042.596,0.000
274,96.617,2045.048,2045.048,2004.460,660.549,2004.460,0.000
275,96.989,2049.290,2049.290,1968.255,653.314,1968.255,0.000
276,97.362,1950.578,1950.578,1934.043,646.078,1934.043,0.000
277,97.734,1909.286,1909.286,1901.864,638.843,1901.864,0.000
278,98.106,1827.750,1827.750,1871.731,631.608,1871.731,0.000
279,98.478,1794.930,1794.930,1843.640,624.373,1843.640,0.000
280,98.851,1681.040,1681.040,1817.567,617.137,1817.567,0.000
281,99.223,1508.459,1508.459,1793.472,609.902,1793.472,0.000
282,99.595,1603.626,1603.626,1771.302,602.667,1771.302,0.000
283,99.968,1592.332,1592.332,1750.991,595.431,1750.991,0.000
284,100.340,1523.215,1523.215,1732.468,588.196,1732.468,0.000
285,100.712,1473.749,1473.749,1715.651,580.961,1715.651,0.000
286,101.085,1354.747,1354.747,1700.457,573.725,1700.457,0.000
287,101.457,1362.571,1362.571,1686.799,566.490,1686.799,0.000
288,101.830,1331.042,1331.042,1674.587,559.255,1674.587,0.000
289,102.202,1362.622,1362.622,1663.735,552.020,1663.735,0.000
290,102.574,1397.149,1397.149,1654.156,544.784,1654.156,0.000
291,102.947,1347.446,1347.446,1645.766,537.549,1645.766,0.000
292,103.319,1378.330,1378.330,1638.484,530.314,1638.484,0.000
293,103.692,1401.501,1401.501,1632.235,523.078,1632.235,0.000
294,104.064,1382.391,1382.391,1626.946,515.843,1626.946,0.000
295,104.437,1375.149,1375.149,1622.549,508.608,1622.549,0.000
296,104.809,1314.861,1314.861,1618.982,501.372,1618.982,0.000
297,105.182,1394.035,1394.035,1616.185,494.137,1616.185,0.000
298,105.554,1351.384,1351.384,1614.104,486.902,1614.104,0.000
299,105.927,1332.039,1332.039,1612.689,479.667,1612.689,0.000
300,106.300,1454.620,1454.620,1611.894,472.431,1611.894,0.000
301,106.672,1413.204,1413.204,1611.677,465.196,1611.677,0.000
302,107.045,1449.031,1449.031,1611.999,457.961,1611.999,0.000
303,107.417,1422.560,1422.560,1612.821,450.725,1612.821,0.000
304,107.790,1409.505,1409.505,1614.112,443.490,1614.112,0.000
305,108.163,1501.967,1501.967,1615.838,436.255,1615.838,0.000
306,108.535,1470.028,1470.028,1617.971,429.020,1617.971,0.000
307,108.908,1471.207,1471.207,1620.481,421.784,1620.481,0.000
308,109.281,1585.976,1585.976,1623.341,414.549,1623.341,0.000
309,109.654,1508.215,1508.215,1626.525,407.314,1626.525,0.000
310,110.026,1657.088,1657.088,1630.008,400.078,1630.008,0.000
311,110.399,1582.031,1582.031,1633.766,392.843,1633.766,0.000
312,110.772,1614.972,1614.972,1637.774,385.608,1637.774,0.000
313,111.145,1627.793,1627.793,1642.009,378.372,1642.009,0.000
314,111.517,1645.798,1645.798,1646.448,371.137,1646.448,0.000
315,111.890,1691.795,1691.795,1651.069,363.902,1651.069,0.000
316,112.263,1674.965,1674.965,1663.507,364.325,1663.507,0.000
317,112.636,1730.323,1730.323,1676.083,364.748,1676.083,0.000
318,113.009,1741.145,1741.145,1688.775,365.171,1688.775,0.000
319,113.381,1795.912,1795.912,1701.563,365.594,1701.563,0.000
320,113.754,1790.914,1790.914,1714.426,366.017,1714.426,0.000
321,114.127,1886.385,1886.385,1727.345,366.440,1727.345,0.000
322,114.500,1858.204,1858.204,1740.302,366.863,1740.302,0.000
323,114.873,1914.679,1914.679,1753.277,367.286,1753.277,0.000
324,115.246,1909.677,1909.677,1766.254,367.709,1766.254,0.000
325,115.619,1962.969,1962.969,1779.216,368.132,1779.216,0.000
326,115.992,1888.916,1888.916,1792.147,368.555,1792.147,0.000
327,116.365,1975.916,1975.916,1805.034,368.977,1805.034,0.000
328,116.738,1993.497,1993.497,1817.861,369.400,1817.861,0.000
329,117.111,2015.149,2015.149,1830.618,369.823,1830.618,0.000
330,117.484,2011.262,2011.262,1843.292,370.246,1843.292,0.000
331,117.857,2005.917,2005.917,1855.872,370.669,1855.872,0.000
332,118.230,2066.384,2066.384,1868.351,371.092,1868.351,0.000
333,118.603,2095.560,2095.560,1880.718,371.515,1880.718,0.000
334,118.976,2004.273,2004.273,1892.968,371.938,1892.968,0.000
335,119.349,2030.158,2030.158,1905.094,372.361,1905.094,0.000
336,119.722,2088.620,2088.620,1917.092,372.784,1917.092,0.000
337,120.096,2197.976,2197.976,1928.958,373.207,1928.958,0.000
338,120.469,2199.029,2199.029,1940.688,373.630,1940.688,0.000
339,120.842,2073.793,2073.793,1952.283,374.053,1952.283,0.000
340,121.215,2107.264,2107.264,1963.742,374.476,1963.742,0.000
341,121.588,2221.859,2221.859,1975.065,374.899,1975.065,0.000
342,121.961,2117.154,2117.154,1986.255,375.322,1986.255,0.000
343,122.335,2156.031,2156.031,1997.314,375.745,1997.314,0.000
344,122.708,2214.914,2214.914,2008.247,376.168,2008.247,0.000
345,123.081,2184.912,2184.912,2019.059,376.591,2019.059,0.000
346,123.454,2225.327,2225.327,2029.756,377.014,2029.756,0.000
347,123.828,2145.037,2145.037,2040.345,377.437,2040.345,0.000
348,124.201,2164.143,2164.143,2050.835,377.860,2050.835,0.000
349,124.574,2124.026,2124.026,2061.234,378.283,2061.234,0.000
350,124.948,2178.971,2178.971,2071.551,378.706,2071.551,0.000
351,125.321,2150.914,2150.914,2081.799,379.129,2081.799,0.000
352,125.694,2150.268,2150.268,2091.988,379.552,2091.988,0.000
353,126.068,2112.376,2112.376,2102.130,379.975,2102.130,0.000
354,126.441,2210.325,2210.325,2112.237,380.398,2112.237,0.000
355,126.814,2163.207,2163.207,2122.322,380.821,2122.322,0.000
356,127.188,2193.739,2193.739,2132.399,381.244,2132.399,0.000
357,127.561,2146.264,2146.264,2142.481,381.667,2142.481,0.000
358,127.935,2194.626,2194.626,2152.582,382.090,2152.582,0.000
359,128.308,2170.510,2170.510,2162.714,382.512,2162.714,0.000
360,128.682,2134.791,2134.791,2172.893,382.935,2172.893,0.000
361,129.055,2089.916,2089.916,2183.129,383.358,2183.129,0.000
362,129.429,2174.321,2174.321,2193.437,383.781,2193.437,0.000
363,129.802,2161.272,2161.272,2203.828,384.204,2203.828,0.000
364,130.176,2223.851,2223.851,2214.315,384.627,2214.315,0.000
365,130.549,2160.323,2160.323,2224.907,385.050,2224.907,0.000
366,130.923,2093.683,2093.683,2235.614,385.473,2235.614,0.000
367,131.296,2208.910,2208.910,2246.446,385.896,2246.446,0.000
368,131.670,2150.088,2150.088,2257.411,386.319,2257.411,0.000
369,132.043,2260.793,2260.793,2268.514,386.742,2268.514,0.000
370,132.417,2170.440,2170.440,2279.761,387.165,2279.761,0.000
371,132.791,2246.385,2246.385,2291.156,387.588,2291.156,0.000
372,133.164,2176.732,2176.732,2302.702,388.011,2302.702,0.000
373,133.538,2216.450,2216.450,2314.400,388.434,2314.400,0.000
374,133.912,2155.673,2155.673,2326.249,388.857,2326.249,0.000
375,134.285,2214.439,2214.439,2338.248,389.280,2338.248,0.000
376,134.659,2148.266,2148.266,2350.394,389.703,2350.394,0.000
377,135.033,2267.969,2267.969,2362.680,390.126,2362.680,0.000
378,135.406,2240.207,2240.207,2375.102,390.549,2375.102,0.000
379,135.780,2246.492,2246.492,2381.029,384.350,2381.029,0.000
380,136.154,2256.321,2256.321,2387.075,378.151,2387.075,0.000
381,136.528,2295.268,2295.268,2393.228,371.951,2393.228,0.000
382,136.902,2335.081,2335.081,2399.478,365.752,2399.478,0.000
383,137.275,2233.444,2233.444,2405.811,359.553,2405.811,0.000
384,137.649,2335.914,2335.914,2412.214,353.354,2412.214,0.000
385,138.023,2391.202,2391.202,2418.672,347.155,2418.672,0.000
386,138.397,2290.628,2290.628,2425.170,340.955,2425.170,0.000
387,138.771,2266.202,2266.202,2431.691,334.756,2431.691,0.000
388,139.145,2322.736,2322.736,2438.219,328.557,2438.219,0.000
389,139.518,2394.385,2394.385,2444.737,322.358,2444.737,0.000
390,139.892,2320.851,2320.851,2451.228,316.159,2451.228,0.000
391,140.266,2388.435,2388.435,2457.674,309.959,2457.674,0.000
392,140.640,2439.673,2439.673,2464.058,303.760,2464.058,0.000
393,141.014,2483.736,2483.736,2470.363,297.561,2470.363,0.000
394,141.388,2458.384,2458.384,2476.572,291.362,2476.572,0.000
395,141.762,2623.972,2623.972,2482.671,285.163,2482.671,0.000
396,142.136,2498.561,2498.561,2488.642,278.963,2488.642,0.000
397,142.510,2437.029,2437.029,2494.473,272.764,2494.473,0.000
398,142.884,2598.022,2598.022,2500.150,266.565,2500.150,0.000
399,143.258,2439.200,2439.200,2505.660,260.366,2505.660,0.000
400,143.632,2591.617,2591.617,2510.993,254.167,2510.993,0.000
401,144.006,2554.084,2554.084,2516.140,247.968,2516.140,0.000
402,144.380,2593.209,2593.209,2521.091,241.768,2521.091,0.000
403,144.754,2564.556,2564.556,2525.841,235.569,2525.841,0.000
404,145.129,2575.784,2575.784,2530.384,229.370,2530.384,0.000
405,145.503,2622.264,2622.264,2534.718,223.171,2534.718,0.000
406,145.877,2591.846,2591.846,2538.841,216.972,2538.841,0.000
407,146.251,2649.732,2649.732,2542.752,210.772,2542.752,0.000
408,146.625,2675.081,2675.081,2546.454,204.573,2546.454,0.000
