ch,keV,net,fit,model,continuum_raw,Mn-54,continuum
31,49.035,2049.867,2049.867,1674.428,1669.915,1674.428,0.000
32,52.040,2058.845,2058.845,1606.987,1581.709,1606.987,0.000
33,55.045,2019.123,2019.123,1590.409,1493.502,1590.409,0.000
34,58.052,1861.679,1861.679,1666.160,1405.296,1666.160,0.000
35,61.059,1815.501,1815.501,1827.174,1317.089,1827.174,0.000
36,64.067,1820.390,1820.390,2009.585,1249.886,2009.585,0.000
37,67.075,1828.278,1828.278,2104.481,1182.683,2104.481,0.000
38,70.084,1819.889,1819.889,2105.725,1115.480,2105.725,0.000
39,73.094,1922.578,1922.578,2062.560,1048.277,2062.560,0.000
40,76.105,1862.156,1862.156,2010.731,981.074,2010.731,0.000
41,79.117,1878.956,1878.956,1957.292,913.871,1957.292,0.000
42,82.129,1935.667,1935.667,1899.760,846.668,1899.760,0.000
43,85.142,2118.145,2118.145,1981.395,923.487,1981.395,0.000
44,88.155,2234.512,2234.512,2057.393,1000.306,2057.393,0.000
45,91.170,2271.345,2271.345,2127.950,1077.125,2127.950,0.000
46,94.185,2320.078,2320.078,2197.464,1153.944,2197.464,0.000
47,97.201,2376.101,2376.101,2270.026,1230.763,2270.026,0.000
48,100.217,2335.167,2335.167,2344.451,1307.582,2344.451,0.000
49,103.234,2344.534,2344.534,2417.198,1384.401,2417.198,0.000
50,106.252,2386.623,2386.623,2427.827,1400.922,2427.827,0.000
51,109.271,2293.434,2293.434,2439.890,1417.443,2439.890,0.000
52,112.290,2379.779,2379.779,2455.272,1433.965,2455.272,0.000
53,115.310,2455.601,2455.601,2472.490,1450.486,2472.490,0.000
54,118.331,2486.145,2486.145,2488.963,1467.007,2488.963,0.000
55,121.352,2520.279,2520.279,2503.361,1483.529,2503.361,0.000
56,124.374,2535.956,2535.956,2515.942,1500.050,2515.942,0.000
57,127.397,2481.756,2481.756,2549.474,1537.835,2549.474,0.000
58,130.420,2649.979,2649.979,2585.053,1575.619,2585.053,0.000
59,133.445,2683.845,2683.845,2624.507,1613.404,2624.507,0.000
60,136.469,2743.512,2743.512,2667.528,1651.189,2667.528,0.000
61,139.495,2740.634,2740.634,2711.769,1688.973,2711.769,0.000
62,142.521,2820.567,2820.567,2754.783,1726.758,2754.783,0.000
63,145.548,2900.656,2900.656,2795.973,1764.543,2795.973,0.000
64,148.576,2884.390,2884.390,2943.458,1908.598,2943.458,0.000
65,151.604,3043.423,3043.423,3094.498,2052.652,3094.498,0.000
66,154.633,3061.845,3061.845,3252.729,2196.707,3252.729,0.000
67,157.663,3306.056,3306.056,3420.052,2340.762,3420.052,0.000
68,160.693,3407.401,3407.401,3595.242,2484.816,3595.242,0.000
69,163.724,3728.056,3728.056,3773.862,2628.871,3773.862,0.000
70,166.756,4029.367,4029.367,3949.869,2772.926,3949.869,0.000
71,169.788,4484.490,4484.490,4297.097,3095.885,4297.097,0.000
72,172.821,4766.212,4766.212,4634.432,3418.844,4634.432,0.000
73,175.855,5032.923,5032.923,4962.685,3741.803,4962.685,0.000
74,178.889,5475.534,5475.534,5284.569,4064.762,5284.569,0.000
75,181.924,5647.956,5647.956,5603.277,4387.721,5603.277,0.000
76,184.960,5821.912,5821.912,5921.216,4710.680,5921.216,0.000
77,187.996,5982.345,5982.345,6239.274,5033.639,6239.274,0.000
78,191.033,5836.379,5836.379,5963.023,4762.520,5963.023,0.000
79,194.071,5674.456,5674.456,5685.994,4491.401,5685.994,0.000
80,197.109,5451.990,5451.990,5408.302,4220.282,5408.302,0.000
81,200.148,5273.212,5273.212,5130.819,3949.163,5130.819,0.000
82,203.188,5012.745,5012.745,4854.659,3678.045,4854.659,0.000
83,206.228,4679.923,4679.923,4580.514,3406.926,4580.514,0.000
84,209.269,4336.579,4336.579,4308.252,3135.807,4308.252,0.000
85,212.311,4025.334,4025.334,4059.448,2887.077,4059.448,0.000
86,215.353,3738.634,3738.634,3810.790,2638.347,3810.790,0.000
87,218.396,3447.334,3447.334,3561.763,2389.618,3561.763,0.000
88,221.439,3231.467,3231.467,3312.353,2140.888,3312.353,0.000
89,224.483,2981.656,2981.656,3062.757,1892.158,3062.757,0.000
90,227.528,2735.967,2735.967,2813.054,1643.429,2813.054,0.000
91,230.574,2737.345,2737.345,2563.138,1394.699,2563.138,0.000
92,233.620,2568.712,2568.712,2482.513,1315.592,2482.513,0.000
93,236.666,2469.478,2469.478,2401.606,1236.486,2401.606,0.000
94,239.714,2228.378,2228.378,2320.578,1157.379,2320.578,0.000
95,242.762,2267.078,2267.078,2239.447,1078.273,2239.447,0.000
96,245.810,2083.478,2083.478,2157.891,999.166,2157.891,0.000
97,248.860,2094.889,2094.889,2075.324,920.060,2075.324,0.000
98,251.910,1989.234,1989.234,1991.188,840.953,1991.188,0.000
99,254.960,2046.867,2046.867,1966.309,822.892,1966.309,0.000
100,258.011,1909.145,1909.145,1939.900,804.831,1939.900,0.000
101,261.063,1998.434,1998.434,1912.636,786.770,1912.636,0.000
102,264.115,1774.689,1774.689,1885.409,768.709,1885.409,0.000
103,267.168,1800.323,1800.323,1859.095,750.648,1859.095,0.000
104,270.222,1912.856,1912.856,1834.360,732.587,1834.360,0.000
105,273.276,1864.456,1864.456,1811.530,714.526,1811.530,0.000
106,276.331,1720.534,1720.534,1785.714,691.631,1785.714,0.000
107,279.387,1782.956,1782.956,1761.386,668.737,1761.386,0.000
108,282.443,1727.023,1727.023,1738.070,645.842,1738.070,0.000
109,285.499,1692.489,1692.489,1715.400,622.948,1715.400,0.000
110,288.557,1758.712,1758.712,1693.232,600.053,1693.232,0.000
111,291.615,1655.034,1655.034,1671.576,577.159,1671.576,0.000
112,294.673,1631.134,1631.134,1650.403,554.264,1650.403,0.000
113,297.732,1647.345,1647.345,1644.095,545.970,1644.095,0.000
114,300.792,1626.367,1626.367,1637.690,537.675,1637.690,0.000
115,303.852,1647.623,1647.623,1630.905,529.381,1630.905,0.000
116,306.913,1662.312,1662.312,1623.787,521.086,1623.787,0.000
117,309.975,1615.245,1615.245,1616.780,512.792,1616.780,0.000
118,313.037,1545.867,1545.867,1610.554,504.497,1610.554,0.000
119,316.100,1596.523,1596.523,1605.662,496.203,1605.662,0.000
120,319.163,1650.278,1650.278,1610.013,495.685,1610.013,0.000
121,322.227,1633.556,1633.556,1615.429,495.167,1615.429,0.000
122,325.292,1685.489,1685.489,1621.092,494.649,1621.092,0.000
123,328.357,1586.723,1586.723,1626.046,494.131,1626.046,0.000
124,331.422,1597.134,1597.134,1629.494,493.613,1629.494,0.000
125,334.489,1587.345,1587.345,1631.006,493.095,1631.006,0.000
126,337.555,1626.167,1626.167,1630.592,492.577,1630.592,0.000
127,340.623,1675.367,1675.367,1628.635,492.059,1628.635,0.000
128,343.691,1585.134,1585.134,1609.379,475.187,1609.379,0.000
129,346.759,1600.889,1600.889,1589.804,458.314,1589.804,0.000
130,349.829,1549.634,1549.634,1570.410,441.442,1570.410,0.000
131,352.898,1624.367,1624.367,1551.506,424.570,1551.506,0.000
132,355.969,1529.034,1529.034,1533.222,407.697,1533.222,0.000
133,359.040,1478.845,1478.845,1515.563,390.825,1515.563,0.000
134,362.111,1514.911,1514.911,1498.467,373.953,1498.467,0.000
135,365.183,1441.800,1441.800,1481.831,357.080,1481.831,0.000
136,368.256,1499.600,1499.600,1471.955,346.655,1471.955,0.000
137,371.329,1464.034,1464.034,1462.200,336.230,1462.200,0.000
138,374.403,1481.711,1481.711,1452.335,325.805,1452.335,0.000
139,377.477,1441.356,1441.356,1442.123,315.380,1442.123,0.000
140,380.552,1369.645,1369.645,1431.368,304.955,1431.368,0.000
141,383.627,1450.134,1450.134,1419.957,294.529,1419.957,0.000
142,386.703,1426.867,1426.867,1407.892,284.104,1407.892,0.000
143,389.780,1410.534,1410.534,1395.295,273.679,1395.295,0.000
144,392.857,1313.756,1313.756,1382.400,263.254,1382.400,0.000
145,395.934,1394.223,1394.223,1383.348,266.653,1383.348,0.000
146,399.013,1413.145,1413.145,1384.668,270.052,1384.668,0.000
147,402.091,1416.989,1416.989,1386.697,273.451,1386.697,0.000
148,405.171,1383.200,1383.200,1389.683,276.850,1389.683,0.000
149,408.250,1418.223,1418.223,1393.726,280.249,1393.726,0.000
150,411.331,1410.645,1410.645,1398.737,283.648,1398.737,0.000
151,414.412,1356.856,1356.856,1404.428,287.047,1404.428,0.000
152,417.493,1382.634,1382.634,1410.357,290.446,1410.357,0.000
153,420.575,1432.011,1432.011,1416.021,293.845,1416.021,0.000
154,423.658,1441.078,1441.078,1418.871,295.147,1418.871,0.000
155,426.741,1412.889,1412.889,1420.724,296.450,1420.724,0.000
156,429.824,1390.278,1390.278,1421.549,297.752,1421.549,0.000
157,432.909,1450.178,1450.178,1421.575,299.054,1421.575,0.000
158,435.993,1393.934,1393.934,1421.237,300.356,1421.237,0.000
159,439.078,1471.634,1471.634,1421.065,301.659,1421.065,0.000
160,442.164,1410.478,1410.478,1421.554,302.961,1421.554,0.000
161,445.250,1448.723,1448.723,1423.061,304.263,1423.061,0.000
162,448.337,1417.911,1417.911,1425.742,305.565,1425.742,0.000
163,451.425,1364.345,1364.345,1422.917,300.221,1422.917,0.000
164,454.512,1464.256,1464.256,1421.054,294.877,1421.054,0.000
165,457.601,1403.000,1403.000,1419.915,289.533,1419.915,0.000
166,460.690,1414.923,1414.923,1419.273,284.189,1419.273,0.000
167,463.779,1430.967,1430.967,1418.966,278.845,1418.966,0.000
168,466.869,1429.200,1429.200,1418.906,273.501,1418.906,0.000
169,469.959,1410.756,1410.756,1419.056,268.157,1419.056,0.000
170,473.050,1434.423,1434.423,1419.377,262.813,1419.377,0.000
171,476.142,1419.889,1419.889,1419.777,257.468,1419.777,0.000
172,479.234,1457.289,1457.289,1420.076,252.124,1420.076,0.000
173,482.326,1433.134,1433.134,1426.719,253.491,1426.719,0.000
174,485.419,1409.978,1409.978,1432.680,254.858,1432.680,0.000
175,488.513,1489.578,1489.578,1437.670,256.224,1437.670,0.000
176,491.607,1385.778,1385.778,1441.499,257.591,1441.499,0.000
177,494.701,1388.311,1388.311,1444.141,258.957,1444.141,0.000
178,497.796,1458.367,1458.367,1445.763,260.324,1445.763,0.000
179,500.892,1420.323,1420.323,1446.699,261.691,1446.699,0.000
180,503.988,1429.511,1429.511,1447.396,263.057,1447.396,0.000
181,507.084,1421.523,1421.523,1448.326,264.424,1448.326,0.000
182,510.181,1547.389,1547.389,1449.909,265.790,1449.909,0.000
183,513.279,1395.511,1395.511,1453.854,268.561,1453.854,0.000
184,516.377,1472.000,1472.000,1458.914,271.332,1458.914,0.000
185,519.475,1553.367,1553.367,1465.109,274.103,1465.109,0.000
186,522.574,1430.111,1430.111,1472.343,276.874,1472.343,0.000
187,525.673,1484.645,1484.645,1480.450,279.645,1480.450,0.000
188,528.773,1478.289,1478.289,1489.231,282.416,1489.231,0.000
189,531.874,1551.078,1551.078,1498.491,285.187,1498.491,0.000
190,534.974,1492.445,1492.445,1508.069,287.958,1508.069,0.000
191,538.076,1528.667,1528.667,1517.851,290.728,1517.851,0.000
192,541.178,1519.245,1519.245,1527.779,293.499,1527.779,0.000
193,544.280,1512.334,1512.334,1537.859,296.270,1537.859,0.000
194,547.383,1580.600,1580.600,1552.572,303.462,1552.572,0.000
195,550.486,1654.356,1654.356,1567.597,310.655,1567.597,0.000
196,553.590,1528.700,1528.700,1583.043,317.847,1583.043,0.000
197,556.694,1606.278,1606.278,1599.006,325.039,1599.006,0.000
198,559.799,1599.500,1599.500,1615.527,332.231,1615.527,0.000
199,562.904,1567.334,1567.334,1632.582,339.423,1632.582,0.000
200,566.009,1685.656,1685.656,1650.062,346.616,1650.062,0.000
201,569.115,1561.122,1561.122,1667.789,353.808,1667.789,0.000
202,572.222,1704.900,1704.900,1685.535,361.000,1685.535,0.000
203,575.329,1696.178,1696.178,1703.041,368.192,1703.041,0.000
204,578.436,1722.611,1722.611,1720.037,375.384,1720.037,0.000
205,581.544,1669.200,1669.200,1697.760,344.102,1697.760,0.000
206,584.652,1744.111,1744.111,1674.358,312.820,1674.358,0.000
207,587.761,1667.145,1667.145,1649.427,281.538,1649.427,0.000
208,590.870,1667.000,1667.000,1622.431,250.256,1622.431,0.000
209,593.980,1639.367,1639.367,1592.673,218.974,1592.673,0.000
210,597.090,1625.034,1625.034,1559.277,187.692,1559.277,0.000
211,600.201,1482.511,1482.511,1521.220,156.410,1521.220,0.000
212,603.312,1447.711,1447.711,1477.400,125.128,1477.400,0.000
213,606.423,1414.589,1414.589,1426.752,93.846,1426.752,0.000
214,609.535,1305.900,1305.900,1368.382,62.564,1368.382,0.000
215,612.648,1315.011,1315.011,1301.711,31.282,1301.711,0.000
216,615.760,1147.378,1147.378,1226.592,0.000,1226.592,0.000
217,618.874,1204.956,1204.956,1174.672,0.000,1174.672,0.000
218,621.987,943.056,943.056,1115.563,0.000,1115.563,0.000
219,625.101,960.667,960.667,1050.638,0.000,1050.638,0.000
220,628.216,860.334,860.334,981.641,0.000,981.641,0.000
221,631.331,797.522,797.522,910.533,0.000,910.533,0.000
222,634.446,775.600,775.600,839.316,0.000,839.316,0.000
223,637.562,654.467,654.467,769.857,0.000,769.857,0.000
224,640.678,643.189,643.189,703.749,0.000,703.749,0.000
225,643.795,561.467,561.467,642.205,0.000,642.205,0.000
226,646.912,543.500,543.500,586.017,0.000,586.017,0.000
227,650.030,525.600,525.600,535.563,0.000,535.563,0.000
228,653.148,478.545,478.545,490.854,0.000,490.854,0.000
229,656.266,450.900,450.900,453.488,1.875,453.488,0.000
230,659.385,447.689,447.689,421.118,3.751,421.118,0.000
231,662.504,419.778,419.778,393.161,5.626,393.161,0.000
232,665.624,400.511,400.511,369.002,7.501,369.002,0.000
233,668.744,390.589,390.589,348.046,9.376,348.046,0.000
234,671.864,324.156,324.156,329.754,11.252,329.754,0.000
235,674.985,323.367,323.367,313.663,13.127,313.663,0.000
236,678.106,348.189,348.189,299.389,15.002,299.389,0.000
237,681.228,293.411,293.411,286.621,16.878,286.621,0.000
238,684.350,283.689,283.689,275.118,18.753,275.118,0.000
239,687.472,262.756,262.756,264.696,20.628,264.696,0.000
240,690.595,277.867,277.867,255.218,22.503,255.218,0.000
241,693.718,226.956,226.956,246.592,24.379,246.592,0.000
242,696.842,217.878,217.878,235.008,22.503,235.008,0.000
243,699.966,191.556,191.556,224.181,20.628,224.181,0.000
244,703.090,182.878,182.878,214.097,18.753,214.097,0.000
245,706.215,213.722,213.722,204.748,16.878,204.748,0.000
246,709.340,212.934,212.934,196.126,15.002,196.126,0.000
247,712.466,192.834,192.834,188.216,13.127,188.216,0.000
248,715.592,179.222,179.222,180.989,11.252,180.989,0.000
249,718.718,189.456,189.456,174.404,9.376,174.404,0.000
250,721.845,178.778,178.778,168.401,7.501,168.401,0.000
251,724.972,152.689,152.689,162.913,5.626,162.913,0.000
252,728.100,166.822,166.822,157.861,3.751,157.861,0.000
253,731.228,183.878,183.878,153.166,1.875,153.166,0.000
254,734.356,144.734,144.734,148.753,0.000,148.753,0.000
255,737.485,167.056,167.056,157.537,11.105,157.537,0.000
256,740.614,175.100,175.100,166.491,22.210,166.491,0.000
257,743.743,170.600,170.600,175.599,33.315,175.599,0.000
258,746.873,175.022,175.022,184.892,44.420,184.892,0.000
259,750.003,170.000,170.000,194.473,55.525,194.473,0.000
260,753.134,180.934,180.934,204.548,66.631,204.548,0.000
261,756.264,181.089,181.089,215.485,77.736,215.485,0.000
262,759.396,180.145,180.145,227.892,88.841,227.892,0.000
263,762.527,219.056,219.056,242.724,99.946,242.724,0.000
264,765.659,237.667,237.667,261.439,111.051,261.439,0.000
265,768.792,295.278,295.278,286.198,122.156,286.198,0.000
266,771.924,336.133,336.133,320.116,133.261,320.116,0.000
267,775.057,372.033,372.033,367.547,144.366,367.547,0.000
268,778.191,547.045,547.045,434.392,155.471,434.392,0.000
269,781.324,699.033,699.033,603.412,241.618,603.412,0.000
270,784.459,843.111,843.111,809.269,327.766,809.269,0.000
271,787.593,1109.045,1109.045,1063.638,413.913,1063.638,0.000
272,790.728,1431.078,1431.078,1379.846,500.060,1379.846,0.000
273,793.863,1829.267,1829.267,1772.165,586.207,1772.165,0.000
274,796.998,2384.089,2384.089,2254.642,672.355,2254.642,0.000
275,800.134,2905.156,2905.156,2839.461,758.502,2839.461,0.000
276,803.270,3567.033,3567.033,3534.899,844.649,3534.899,0.000
277,806.407,4492.267,4492.267,4343.089,930.796,4343.089,0.000
278,809.544,5184.256,5184.256,5257.853,1016.944,5257.853,0.000
279,812.681,6189.067,6189.067,6262.986,1103.091,6262.986,0.000
280,815.819,7361.633,7361.633,7331.390,1189.238,7331.390,0.000
281,818.956,8255.122,8255.122,8425.405,1275.385,8425.405,0.000
282,822.095,9010.500,9010.500,9498.552,1361.533,9498.552,0.000
283,825.233,9988.578,9988.578,10335.645,1284.625,10335.645,0.000
284,828.372,10682.511,10682.511,11046.318,1207.716,11046.318,0.000
285,831.511,10993.367,10993.367,11580.933,1130.808,11580.933,0.000
286,834.651,11764.722,11764.722,11898.768,1053.900,11898.768,0.000
287,837.791,11828.156,11828.156,11972.472,976.992,11972.472,0.000
288,840.931,11950.311,11950.311,11791.167,900.084,11791.167,0.000
289,844.071,11272.211,11272.211,11361.707,823.176,11361.707,0.000
290,847.212,10835.111,10835.111,10707.904,746.268,10707.904,0.000
291,850.353,10117.400,10117.400,9867.822,669.360,9867.822,0.000
292,853.494,9321.667,9321.667,8889.594,592.452,8889.594,0.000
293,856.636,8124.667,8124.667,7826.384,515.544,7826.384,0.000
294,859.778,7344.433,7344.433,6731.227,438.636,6731.227,0.000
295,862.921,6072.389,6072.389,5652.443,361.728,5652.443,0.000
296,866.063,5179.633,5179.633,4630.141,284.819,4630.141,0.000
297,869.206,4181.600,4181.600,3694.115,207.911,3694.115,0.000
298,872.350,3242.056,3242.056,2926.224,194.051,2926.224,0.000
299,875.493,2551.478,2551.478,2271.846,180.190,2271.846,0.000
300,878.637,1948.578,1948.578,1730.559,166.329,1730.559,0.000
301,881.781,1416.600,1416.600,1295.194,152.468,1295.194,0.000
302,884.926,991.445,991.445,954.095,138.608,954.095,0.000
303,888.071,731.733,731.733,693.245,124.747,693.245,0.000
304,891.216,460.445,460.445,498.037,110.886,498.037,0.000
305,894.361,330.900,330.900,354.584,97.025,354.584,0.000
306,897.507,197.756,197.756,250.550,83.165,250.550,0.000
307,900.653,137.833,137.833,175.573,69.304,175.573,0.000
308,903.799,74.678,74.678,121.354,55.443,121.354,0.000
309,906.946,57.778,57.778,81.518,41.582,81.518,0.000
310,910.093,30.422,30.422,51.360,27.722,51.360,0.000
311,913.240,21.522,21.522,27.531,13.861,27.531,0.000
312,916.387,9.678,9.678,7.723,0.000,7.723,0.000
313,919.535,6.633,6.633,4.588,0.325,4.588,0.000
314,922.683,4.600,4.600,2.949,0.651,2.949,0.000
315,925.831,1.256,1.256,2.187,0.976,2.187,0.000
316,928.980,5.689,5.689,1.924,1.301,1.924,0.000
317,932.128,2.567,2.567,1.940,1.627,1.940,0.000
318,935.278,4.456,4.456,2.106,1.952,2.106,0.000
319,938.427,3.367,3.367,2.351,2.277,2.351,0.000
320,941.577,1.656,1.656,2.637,2.603,2.637,0.000
321,944.726,4.733,4.733,2.944,2.928,2.944,0.000
322,947.877,1.667,1.667,3.260,3.253,3.260,0.000
323,951.027,8.911,8.911,3.582,3.579,3.582,0.000
324,954.178,7.456,7.456,3.905,3.904,3.905,0.000
325,957.329,12.156,12.156,4.230,4.229,4.230,0.000
326,960.480,14.878,14.878,4.555,4.555,4.555,0.000
327,963.631,13.000,13.000,4.880,4.880,4.880,0.000
328,966.783,0.756,0.756,5.205,5.205,5.205,0.000
329,969.935,0.178,0.178,5.109,5.109,5.109,0.000
330,973.088,10.745,10.745,5.013,5.013,5.013,0.000
331,976.240,4.500,4.500,4.917,4.917,4.917,0.000
332,979.393,3.700,3.700,4.821,4.821,4.821,0.000
333,982.546,10.200,10.200,4.724,4.724,4.724,0.000
334,985.699,12.056,12.056,4.628,4.628,4.628,0.000
335,988.853,3.345,3.345,4.532,4.532,4.532,0.000
336,992.006,2.589,2.589,4.436,4.436,4.436,0.000
337,995.160,6.867,6.867,4.340,4.340,4.340,0.000
338,998.315,4.911,4.911,4.244,4.244,4.244,0.000
339,1001.469,3.978,3.978,4.147,4.147,4.147,0.000
340,1004.624,1.022,1.022,4.051,4.051,4.051,0.000
341,1007.779,5.967,5.967,3.955,3.955,3.955,0.000
342,1010.934,3.878,3.878,3.859,3.859,0.000,3.859
343,1014.089,6.156,6.156,3.763,3.763,0.000,3.763
344,1017.245,7.122,7.122,3.667,3.667,0.000,3.667
345,1020.401,6.389,6.389,3.569,3.569,0.000,3.569
346,1023.557,2.089,2.089,3.471,3.471,0.000,3.471
347,1026.713,3.167,3.167,3.373,3.373,0.000,3.373
348,1029.870,2.222,2.222,3.275,3.275,0.000,3.275
349,1033.027,0.422,0.422,3.177,3.177,0.000,3.177
350,1036.184,8.467,8.467,3.079,3.079,0.000,3.079
351,1039.341,4.033,4.033,2.981,2.981,0.000,2.981
352,1042.499,9.122,9.122,2.883,2.883,0.000,2.883
353,1045.656,4.322,4.322,2.785,2.785,0.000,2.785
354,1048.814,1.278,1.278,2.687,2.687,0.000,2.687
355,1051.972,4.111,4.111,2.590,2.590,0.000,2.590
356,1055.131,0.478,0.478,2.492,2.492,0.000,2.492
357,1058.289,0.489,0.489,2.394,2.394,0.000,2.394
358,1061.448,4.267,4.267,2.296,2.296,0.000,2.296
359,1064.607,1.222,1.222,2.198,2.198,0.000,2.198
360,1067.766,4.467,4.467,2.100,2.100,0.000,2.100
361,1070.925,2.167,2.167,2.002,2.002,0.000,2.002
362,1074.085,3.222,3.222,2.047,2.047,0.000,2.047
363,1077.245,1.267,1.267,2.092,2.092,0.000,2.092
364,1080.405,2.045,2.045,2.137,2.137,0.000,2.137
365,1083.565,0.711,0.711,2.183,2.183,0.000,2.183
366,1086.725,3.367,3.367,2.228,2.228,0.000,2.228
367,1089.886,6.600,6.600,2.273,2.273,0.000,2.273
368,1093.047,5.322,5.322,2.318,2.318,0.000,2.318
369,1096.208,4.200,4.200,2.363,2.363,0.000,2.363
370,1099.369,9.278,9.278,2.408,2.408,0.000,2.408
371,1102.530,0.000,-0.733,2.453,2.453,0.000,2.453
372,1105.692,5.422,5.422,2.498,2.498,0.000,2.498
373,1108.853,2.333,2.333,2.543,2.543,0.000,2.543
374,1112.015,10.256,10.256,2.589,2.589,0.000,2.589
375,1115.177,7.133,7.133,2.634,2.634,0.000,2.634
376,1118.340,2.222,2.222,2.679,2.679,0.000,2.679
377,1121.502,2.511,2.511,2.724,2.724,0.000,2.724
378,1124.665,2.311,2.311,2.769,2.769,0.000,2.769
379,1127.827,6.211,6.211,2.814,2.814,0.000,2.814
380,1130.990,2.078,2.078,2.688,2.688,0.000,2.688
381,1134.153,2.389,2.389,2.561,2.561,0.000,2.561
382,1137.317,2.056,2.056,2.435,2.435,0.000,2.435
383,1140.480,4.389,4.389,2.308,2.308,0.000,2.308
384,1143.644,3.511,3.511,2.181,2.181,0.000,2.181
385,1146.808,0.611,0.611,2.055,2.055,0.000,2.055
386,1149.972,0.000,-1.055,1.928,1.928,0.000,1.928
387,1153.136,3.256,3.256,1.802,1.802,0.000,1.802
388,1156.300,1.578,1.578,1.675,1.675,0.000,1.675
389,1159.465,0.000,-0.489,1.549,1.549,0.000,1.549
390,1162.629,2.445,2.445,1.422,1.422,0.000,1.422
391,1165.794,4.445,4.445,1.296,1.296,0.000,1.296
392,1168.959,5.500,5.500,1.169,1.169,0.000,1.169
393,1172.124,1.145,1.145,1.043,1.043,0.000,1.043
394,1175.289,2.511,2.511,0.916,0.916,0.000,0.916
395,1178.455,1.378,1.378,0.790,0.790,0.000,0.790
396,1181.620,0.356,0.356,0.663,0.663,0.000,0.663
397,1184.786,0.000,-0.222,0.537,0.537,0.000,0.537
398,1187.952,0.756,0.756,0.547,0.547,0.000,0.547
399,1191.118,1.600,1.600,0.557,0.557,0.000,0.557
400,1194.284,2.689,2.689,0.567,0.567,0.000,0.567
401,1197.450,0.889,0.889,0.577,0.577,0.000,0.577
402,1200.616,0.000,-1.233,0.586,0.586,0.000,0.586
403,1203.783,1.556,1.556,0.596,0.596,0.000,0.596
404,1206.950,7.722,7.722,0.606,0.606,0.000,0.606
405,1210.116,1.622,1.622,0.616,0.616,0.000,0.616
406,1213.283,3.656,3.656,0.626,0.626,0.000,0.626
407,1216.450,2.056,2.056,0.636,0.636,0.000,0.636
408,1219.618,0.878,0.878,0.646,0.646,0.000,0.646
409,1222.785,0.000,-0.355,0.656,0.656,0.000,0.656
410,1225.952,0.667,0.667,0.666,0.666,0.000,0.666
411,1229.120,0.800,0.800,0.676,0.676,0.000,0.676
412,1232.288,2.700,2.700,0.686,0.686,0.000,0.686
413,1235.456,0.000,-0.655,0.696,0.696,0.000,0.696
414,1238.623,0.956,0.956,0.706,0.706,0.000,0.706
415,1241.792,0.000,-0.178,0.716,0.716,0.000,0.716
416,1244.960,0.000,0.000,0.726,0.726,0.000,0.726
417,1248.128,2.956,2.956,0.768,0.768,0.000,0.768
418,1251.296,4.178,4.178,0.811,0.811,0.000,0.811
419,1254.465,0.000,-0.844,0.854,0.854,0.000,0.854
420,1257.634,2.011,2.011,0.897,0.897,0.000,0.897
421,1260.802,1.000,1.000,0.939,0.939,0.000,0.939
422,1263.971,2.078,2.078,0.982,0.982,0.000,0.982
423,1267.140,5.311,5.311,1.025,1.025,0.000,1.025
424,1270.309,3.189,3.189,1.067,1.067,0.000,1.067
425,1273.478,3.311,3.311,1.110,1.110,0.000,1.110
