ch,keV,net,fit,model,continuum_raw,Cd-109,Esc-NaI,continuum
673,2022.718,0.000,-0.188,0.000,0.000,0.000,0.000,0.000
674,2025.727,0.000,-0.219,0.000,0.000,0.000,0.000,0.000
675,2028.735,2.531,2.531,0.000,0.000,0.000,0.000,0.000
676,2031.744,0.000,-1.031,0.000,0.000,0.000,0.000,0.000
677,2034.751,0.000,-0.063,0.000,0.000,0.000,0.000,0.000
678,2037.759,0.281,0.281,0.000,0.000,0.000,0.000,0.000
679,2040.766,0.750,0.750,0.000,0.000,0.000,0.000,0.000
680,2043.773,0.000,-0.500,0.000,0.000,0.000,0.000,0.000
681,2046.779,0.000,-0.313,0.000,0.000,0.000,0.000,0.000
682,2049.786,0.000,-1.406,0.000,0.000,0.000,0.000,0.000
683,2052.792,0.000,-1.156,0.000,0.000,0.000,0.000,0.000
684,2055.797,0.000,-0.281,0.000,0.000,0.000,0.000,0.000
685,2058.803,0.781,0.781,0.000,0.000,0.000,0.000,0.000
686,2061.808,1.781,1.781,0.000,0.000,0.000,0.000,0.000
687,2064.812,0.000,-0.094,0.000,0.000,0.000,0.000,0.000
688,2067.817,0.000,-0.156,0.000,0.000,0.000,0.000,0.000
689,2070.821,0.844,0.844,0.000,0.000,0.000,0.000,0.000
690,2073.825,0.000,-0.250,0.000,0.000,0.000,0.000,0.000
691,2076.829,0.000,-0.594,0.000,0.000,0.000,0.000,0.000
692,2079.832,0.875,0.875,0.000,0.000,0.000,0.000,0.000
693,2082.835,0.000,-0.281,0.000,0.000,0.000,0.000,0.000
694,2085.838,0.031,0.031,0.000,0.000,0.000,0.000,0.000
695,2088.840,0.000,-1.125,0.000,0.000,0.000,0.000,0.000
696,2091.842,0.000,-1.125,0.000,0.000,0.000,0.000,0.000
697,2094.844,2.062,2.062,0.000,0.000,0.000,0.000,0.000
698,2097.846,0.031,0.031,0.000,0.000,0.000,0.000,0.000
699,2100.847,0.000,-1.250,0.000,0.000,0.000,0.000,0.000
700,2103.848,0.000,-0.344,0.000,0.000,0.000,0.000,0.000
701,2106.849,0.656,0.656,0.000,0.000,0.000,0.000,0.000
702,2109.849,0.000,-0.125,0.000,0.000,0.000,0.000,0.000
703,2112.849,0.531,0.531,0.000,0.000,0.000,0.000,0.000
704,2115.849,0.000,-0.906,0.000,0.000,0.000,0.000,0.000
705,2118.848,0.000,-0.406,0.000,0.000,0.000,0.000,0.000
706,2121.848,0.000,-1.625,0.000,0.000,0.000,0.000,0.000
707,2124.847,2.812,2.812,0.000,0.000,0.000,0.000,0.000
708,2127.845,0.875,0.875,0.000,0.000,0.000,0.000,0.000
709,2130.844,0.000,-0.406,0.000,0.000,0.000,0.000,0.000
710,2133.842,1.406,1.406,0.000,0.000,0.000,0.000,0.000
711,2136.839,0.000,-1.438,0.000,0.000,0.000,0.000,0.000
712,2139.837,0.844,0.844,0.000,0.000,0.000,0.000,0.000
713,2142.834,0.000,-0.500,0.000,0.000,0.000,0.000,0.000
714,2145.831,0.656,0.656,0.000,0.000,0.000,0.000,0.000
715,2148.828,0.719,0.719,0.000,0.000,0.000,0.000,0.000
716,2151.824,0.531,0.531,0.000,0.000,0.000,0.000,0.000
717,2154.820,0.000,-0.313,0.000,0.000,0.000,0.000,0.000
718,2157.816,1.750,1.750,0.000,0.000,0.000,0.000,0.000
