ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,continuum
115,332.532,78695.324,78695.324,74894.815,39980.424,29827.082,45067.734,0.000
116,335.335,76708.480,76708.480,72642.134,38290.574,29025.660,43616.474,0.000
117,338.140,72477.292,72477.292,70191.868,36600.725,28219.893,41971.975,0.000
118,340.945,69253.761,69253.761,67541.798,34910.875,27405.562,40136.235,0.000
119,343.751,64036.730,64036.730,64773.212,33288.907,26613.862,38159.350,0.000
120,346.559,60560.355,60560.355,61847.636,31666.939,25808.816,36038.820,0.000
121,349.367,56005.886,56005.886,58808.176,30044.971,24990.601,33817.576,0.000
122,352.176,51943.730,51943.730,55707.020,28423.003,24161.060,31545.961,0.000
123,354.986,48880.386,48880.386,52599.357,26801.035,23323.174,29276.182,0.000
124,357.796,46143.917,46143.917,49537.060,25179.066,22480.332,27056.727,0.000
125,360.608,43980.698,43980.698,46563.315,23557.098,21635.583,24927.732,0.000
126,363.420,41279.167,41279.167,43709.086,21935.130,20791.063,22918.024,0.000
127,366.233,39376.260,39376.260,40991.812,20313.162,19947.718,21044.094,0.000
128,369.048,38393.416,38393.416,38416.229,18691.194,19105.363,19310.866,0.000
129,371.863,37195.260,37195.260,35976.778,17069.225,18263.016,17713.763,0.000
130,374.678,35452.509,35452.509,34968.282,16754.681,18087.256,16881.025,0.000
131,377.495,34797.447,34797.447,34067.020,16440.137,17909.114,16157.906,0.000
132,380.313,33732.540,33732.540,33255.862,16125.593,17728.038,15527.824,0.000
133,383.131,32538.353,32538.353,32518.876,15811.049,17544.324,14974.552,0.000
134,385.950,32704.446,32704.446,31842.452,15496.505,17359.064,14483.389,0.000
135,388.770,31046.196,31046.196,31215.637,15181.961,17173.902,14041.734,0.000
136,391.591,31296.602,31296.602,30629.917,14867.417,16990.673,13639.244,0.000
137,394.412,30771.602,30771.602,30078.735,14552.873,16811.025,13267.711,0.000
138,397.235,29378.852,29378.852,29556.952,14238.329,16636.129,12920.823,0.000
139,400.058,29725.726,29725.726,29060.420,13923.785,16466.523,12593.897,0.000
140,402.882,28366.289,28366.289,28585.727,13609.241,16302.104,12283.623,0.000
141,405.707,28154.289,28154.289,28130.087,13294.697,16142.257,11987.830,0.000
142,408.532,27604.289,27604.289,27809.959,13098.797,16046.456,11763.503,0.000
143,411.359,27108.664,27108.664,27505.093,12902.896,15953.194,11551.899,0.000
144,414.186,26971.008,26971.008,27214.381,12706.996,15861.470,11352.911,0.000
145,417.014,26846.070,26846.070,26937.036,12511.095,15770.411,11166.625,0.000
146,419.843,26591.882,26591.882,26672.360,12315.195,15679.288,10993.072,0.000
147,422.672,26004.726,26004.726,26419.496,12119.294,15587.464,10832.032,0.000
148,425.502,26459.508,26459.508,26177.234,11923.393,15494.331,10682.903,0.000
149,428.333,25782.944,25782.944,25943.960,11727.493,15399.265,10544.695,0.000
150,431.165,25565.507,25565.507,25717.781,11531.592,15301.619,10416.162,0.000
151,433.998,25888.413,25888.413,25496.861,11335.692,15200.770,10296.091,0.000
152,436.831,26021.976,26021.976,25279.959,11139.791,15096.190,10183.769,0.000
153,439.665,25324.632,25324.632,25067.177,10943.891,14987.535,10079.642,0.000
154,442.500,25802.350,25802.350,25503.507,11390.578,15199.948,10303.559,0.000
155,445.335,25729.257,25729.257,25952.297,11837.266,15408.045,10544.252,0.000
156,448.171,26188.257,26188.257,26424.648,12283.954,15612.293,10812.355,0.000
157,451.008,26505.381,26505.381,26939.081,12730.641,15813.379,11125.701,0.000
158,453.846,26809.007,26809.007,27524.678,13177.329,16012.128,11512.550,0.000
159,456.684,27734.413,27734.413,28225.440,13624.017,16209.425,12016.015,0.000
160,459.523,28939.757,28939.757,29106.076,14070.704,16406.169,12699.907,0.000
161,462.363,30487.225,30487.225,30259.258,14517.392,16603.254,13656.005,0.000
162,465.204,33363.100,33363.100,31813.976,14964.080,16801.608,15012.367,0.000
163,468.045,36316.100,36316.100,33944.014,15410.767,17002.275,16941.739,0.000
164,470.887,42269.694,42269.694,36874.876,15857.455,17206.516,19668.360,0.000
165,473.729,49823.819,49823.819,40886.662,16304.143,17415.932,23470.730,0.000
166,476.573,59645.225,59645.225,46309.835,16750.830,17632.574,28677.261,0.000
167,479.417,77038.881,77038.881,78381.253,42068.150,30427.915,47953.337,0.000
