ch,keV,net,fit,model,continuum_raw,Y-88,Ann-511
92,242.240,18149.984,18149.984,17905.091,12612.209,17655.814,249.277
93,245.154,17147.377,17147.377,17186.943,11885.592,16945.269,241.673
94,248.070,16201.376,16201.376,16464.618,11158.975,16230.624,233.994
95,250.986,15759.570,15759.570,15734.828,10432.359,15508.637,226.191
96,253.903,15023.339,15023.339,14996.562,9705.742,14778.286,218.276
97,256.821,14124.227,14124.227,14251.401,8979.125,14041.079,210.322
98,259.740,13483.766,13483.766,13502.997,8252.508,13300.545,202.452
99,262.661,12999.803,12999.803,12755.914,7525.891,12561.110,194.804
100,265.582,12516.844,12516.844,12323.522,7108.519,12132.794,190.727
101,268.504,11708.342,11708.342,11899.143,6691.147,11712.103,187.039
102,271.428,11565.729,11565.729,11483.232,6273.775,11299.498,183.734
103,274.352,10940.077,10940.077,11074.265,5856.403,10893.523,180.742
104,277.278,10498.734,10498.734,10669.412,5439.031,10491.468,177.944
105,280.204,10219.618,10219.618,10265.463,5021.659,10090.251,175.212
106,283.131,9853.117,9853.117,9859.640,4604.287,9687.208,172.432
107,286.060,9698.464,9698.464,9450.076,4186.915,9280.547,169.529
108,288.989,9256.813,9256.813,9304.847,4038.472,9135.633,169.215
109,291.919,9083.617,9083.617,9155.016,3890.029,8986.304,168.712
110,294.851,8986.006,8986.006,9001.146,3741.586,8833.142,168.004
111,297.783,8935.895,8935.895,8844.134,3593.143,8677.091,167.043
112,300.716,8764.390,8764.390,8685.027,3444.700,8519.297,165.730
113,303.651,8414.168,8414.168,8524.874,3296.257,8360.966,163.908
114,306.586,8330.667,8330.667,8364.587,3147.813,8203.209,161.378
115,309.522,8318.011,8318.011,8204.784,2999.370,8046.863,157.921
116,312.459,8190.203,8190.203,8045.681,2850.927,7892.337,153.344
117,315.397,7916.436,7916.436,7963.854,2779.273,7815.572,148.282
118,318.336,7894.014,7894.014,7881.978,2707.618,7740.025,141.953
119,321.276,7621.743,7621.743,7799.385,2635.963,7664.913,134.472
120,324.217,7623.513,7623.513,7715.529,2564.308,7589.444,126.085
121,327.158,7700.936,7700.936,7630.179,2492.654,7513.042,117.137
122,330.101,7521.975,7521.975,7543.520,2420.999,7435.495,108.025
123,333.045,7446.552,7446.552,7456.122,2349.344,7356.984,99.138
124,335.989,7304.206,7304.206,7368.791,2277.690,7277.990,90.801
125,338.935,7448.401,7448.401,7282.381,2206.035,7199.138,83.243
126,341.881,7371.979,7371.979,7222.973,2159.737,7146.145,76.828
127,344.828,7061.094,7061.094,7165.706,2113.439,7094.377,71.328
128,347.776,7171.751,7171.751,7110.824,2067.141,7044.140,66.684
129,350.725,6962.791,6962.791,7058.378,2020.843,6995.588,62.789
130,353.675,6954.331,6954.331,7008.300,1974.545,6948.779,59.521
131,356.626,6896.254,6896.254,6960.464,1928.246,6903.708,56.756
132,359.577,6852.834,6852.834,6914.692,1881.948,6860.305,54.387
133,362.530,7028.370,7028.370,6870.723,1835.650,6818.400,52.323
134,365.483,6734.182,6734.182,6828.163,1789.352,6777.669,50.494
135,368.437,6814.106,6814.106,6786.459,1743.054,6737.611,48.848
136,371.392,6747.375,6747.375,6760.811,1712.642,6713.313,47.499
137,374.348,6558.375,6558.375,6734.601,1682.230,6688.339,46.262
138,377.305,6888.683,6888.683,6707.173,1651.818,6662.058,45.114
139,380.263,6699.225,6699.225,6678.073,1621.407,6634.032,44.040
140,383.221,6789.454,6789.454,6647.134,1590.995,6604.107,43.028
141,386.180,6583.686,6583.686,6614.496,1560.583,6572.425,42.071
142,389.140,6747.686,6747.686,6580.546,1530.171,6539.377,41.169
143,392.101,6467.148,6467.148,6545.805,1499.759,6505.482,40.323
144,395.063,6481.572,6481.572,6510.786,1469.347,6471.248,39.538
145,398.026,6463.417,6463.417,6475.872,1438.935,6437.051,38.821
146,400.989,6390.650,6390.650,6463.162,1430.454,6424.771,38.391
147,403.953,6509.922,6509.922,6450.685,1421.973,6412.651,38.034
148,406.918,6439.188,6439.188,6438.268,1413.492,6400.523,37.745
149,409.884,6337.191,6337.191,6425.729,1405.011,6388.214,37.515
150,412.851,6338.420,6338.420,6413.028,1396.530,6375.698,37.330
151,415.818,6363.537,6363.537,6400.368,1388.050,6363.194,37.175
152,418.786,6449.998,6449.998,6388.225,1379.569,6351.191,37.034
153,421.755,6449.806,6449.806,6377.284,1371.088,6340.386,36.898
154,424.725,6414.924,6414.924,6368.291,1362.607,6331.529,36.763
155,427.695,6357.576,6357.576,6361.874,1354.126,6325.236,36.639
156,430.666,6297.576,6297.576,6358.377,1345.645,6321.825,36.552
157,433.638,6324.195,6324.195,6365.925,1345.318,6329.293,36.632
158,436.611,6616.036,6616.036,6375.982,1344.991,6339.101,36.881
159,439.585,6363.001,6363.001,6387.925,1344.665,6350.501,37.424
160,442.559,6473.424,6473.424,6401.088,1344.338,6362.625,38.463
161,445.534,6298.002,6298.002,6414.972,1344.011,6374.660,40.312
162,448.509,6344.848,6344.848,6429.435,1343.684,6385.979,43.456
163,451.486,6372.080,6372.080,6444.828,1343.357,6396.195,48.633
164,454.463,6443.580,6443.580,6462.061,1343.030,6405.134,56.927
165,457.441,6319.966,6319.966,6482.624,1342.704,6412.757,69.867
166,460.420,6569.002,6569.002,6508.569,1342.377,6419.072,89.497
167,463.399,6519.578,6519.578,6542.445,1342.050,6424.061,118.384
168,466.379,6780.039,6780.039,6632.427,1386.968,6472.449,159.978
169,469.360,6835.735,6835.735,6736.353,1431.886,6519.375,216.978
170,472.341,6791.541,6791.541,6857.086,1476.805,6564.807,292.279
171,475.324,7137.503,7137.503,6996.741,1521.723,6608.823,387.918
172,478.306,6958.196,6958.196,7156.032,1566.641,6651.658,504.374
173,481.290,7659.270,7659.270,7333.600,1611.559,6693.701,639.898
174,484.274,7315.387,7315.387,7525.482,1656.478,6735.459,790.023
175,487.259,7837.386,7837.386,7724.908,1701.396,6777.487,947.421
176,490.245,7825.962,7825.962,7922.556,1746.314,6820.296,1102.260
177,493.231,8272.236,8272.236,8107.354,1791.232,6864.277,1243.077
178,496.218,8316.847,8316.847,8267.765,1836.151,6909.648,1358.117
179,499.206,8154.544,8154.544,8393.355,1881.069,6956.437,1436.918
180,502.194,8420.504,8420.504,8358.045,1807.667,6886.879,1471.166
181,505.183,8255.849,8255.849,8276.325,1734.266,6818.194,1458.131
182,508.173,8293.772,8293.772,8148.949,1660.864,6750.117,1398.833
183,511.163,7843.505,7843.505,7981.169,1587.462,6682.438,1298.731
184,514.154,7852.045,7852.045,7781.929,1514.060,6615.061,1166.868
185,517.146,7592.698,7592.698,7562.518,1440.659,6548.027,1014.491
186,520.138,7275.663,7275.663,7334.957,1367.257,6481.503,853.454
187,523.131,7173.121,7173.121,7110.462,1293.855,6415.749,694.713
188,526.124,6770.046,6770.046,6898.219,1220.454,6351.059,547.159
189,529.118,6779.779,6779.779,6704.667,1147.052,6287.703,416.964
190,532.113,6524.009,6524.009,6533.301,1073.650,6225.865,307.436
191,535.108,6511.816,6511.816,6384.926,1000.248,6165.606,219.320
192,538.104,6310.896,6310.896,6322.566,991.198,6171.171,151.394
193,541.101,6373.628,6373.628,6279.102,982.148,6177.991,101.111
194,544.098,6218.782,6218.782,6251.018,973.098,6185.683,65.335
195,547.096,6183.741,6183.741,6234.612,964.048,6193.766,40.846
196,550.094,6311.973,6311.973,6226.423,954.998,6201.716,24.707
197,553.093,6070.358,6070.358,6223.478,945.948,6209.019,14.459
198,556.093,6095.279,6095.279,6223.421,936.898,6215.234,8.187
199,559.093,6147.050,6147.050,6224.533,927.848,6220.048,4.485
200,562.094,6282.395,6282.395,6225.693,918.798,6223.316,2.377
201,565.095,6225.165,6225.165,6226.307,909.748,6225.088,1.219
202,568.097,6119.239,6119.239,6226.217,900.698,6225.612,0.605
203,571.099,6215.241,6215.241,6225.601,891.648,6225.311,0.290
204,574.102,6204.703,6204.703,6224.878,882.598,6224.744,0.135
205,577.106,6233.280,6233.280,6232.943,881.877,6232.883,0.061
206,580.110,6189.705,6189.705,6242.092,881.157,6242.065,0.026
207,583.115,6344.935,6344.935,6252.935,880.436,6252.924,0.011
208,586.120,6336.818,6336.818,6266.010,879.715,6266.005,0.005
209,589.126,6379.934,6379.934,6281.738,878.994,6281.736,0.002
210,592.132,6342.740,6342.740,6300.401,878.273,6300.400,0.001
211,595.139,6383.049,6383.049,6322.131,877.553,6322.131,0.000
212,598.146,6456.166,6456.166,6346.917,876.832,6346.917,0.000
213,601.154,6495.667,6495.667,6374.618,876.111,6374.618,0.000
214,604.163,6392.090,6392.090,6404.984,875.390,6404.984,0.000
215,607.172,6400.514,6400.514,6437.681,874.669,6437.681,0.000
216,610.181,6472.742,6472.742,6472.312,873.949,6472.312,0.000
217,613.191,6314.590,6314.590,6508.444,873.228,6508.444,0.000
218,616.202,6506.208,6506.208,6545.620,872.507,6545.620,0.000
219,619.213,6499.015,6499.015,6547.638,836.056,6547.638,0.000
220,622.224,6502.707,6502.707,6549.740,799.605,6549.740,0.000
221,625.236,6420.554,6420.554,6551.410,763.154,6551.410,0.000
222,628.249,6687.938,6687.938,6552.082,726.704,6552.082,0.000
223,631.262,6447.978,6447.978,6551.109,690.253,6551.109,0.000
224,634.275,6583.017,6583.017,6547.727,653.802,6547.727,0.000
225,637.289,6884.170,6884.170,6541.023,617.351,6541.023,0.000
226,640.304,6342.055,6342.055,6529.896,580.900,6529.896,0.000
227,643.319,6527.863,6527.863,6513.042,544.449,6513.042,0.000
228,646.334,6831.824,6831.824,6488.946,507.999,6488.946,0.000
229,649.350,6444.286,6444.286,6455.892,471.548,6455.892,0.000
230,652.367,6577.017,6577.017,6412.009,435.097,6412.009,0.000
231,655.384,6673.247,6673.247,6355.338,398.646,6355.338,0.000
232,658.401,6387.133,6387.133,6283.928,362.195,6283.928,0.000
233,661.419,6199.401,6199.401,6208.268,338.049,6208.268,0.000
234,664.437,6152.825,6152.825,6114.515,313.902,6114.515,0.000
235,667.455,5812.094,5812.094,6001.562,289.756,6001.562,0.000
236,670.475,5952.326,5952.326,5868.875,265.610,5868.875,0.000
237,673.494,5775.673,5775.673,5716.613,241.463,5716.613,0.000
238,676.514,5441.096,5441.096,5545.697,217.317,5545.697,0.000
239,679.535,5199.903,5199.903,5357.835,193.171,5357.835,0.000
240,682.555,4986.017,4986.017,5155.470,169.024,5155.470,0.000
241,685.577,4748.173,4748.173,4941.671,144.878,4941.671,0.000
242,688.598,4552.555,4552.555,4719.970,120.732,4719.970,0.000
243,691.620,4251.478,4251.478,4494.153,96.585,4494.153,0.000
244,694.643,4201.939,4201.939,4268.038,72.439,4268.038,0.000
245,697.666,3934.019,3934.019,4045.255,48.293,4045.255,0.000
246,700.689,3855.287,3855.287,3829.049,24.146,3829.049,0.000
247,703.713,3458.481,3458.481,3622.135,0.000,3622.135,0.000
248,706.737,3519.596,3519.596,3470.438,19.694,3470.438,0.000
249,709.762,3372.866,3372.866,3331.533,39.389,3331.533,0.000
250,712.787,3244.058,3244.058,3206.184,59.083,3206.184,0.000
251,715.812,3121.519,3121.519,3094.566,78.777,3094.566,0.000
252,718.838,3109.558,3109.558,2996.358,98.471,2996.358,0.000
253,721.864,2993.559,2993.559,2910.865,118.166,2910.865,0.000
254,724.890,2877.980,2877.980,2837.134,137.860,2837.134,0.000
255,727.917,2850.020,2850.020,2774.078,157.554,2774.078,0.000
256,730.945,2872.213,2872.213,2720.579,177.249,2720.579,0.000
257,733.972,2805.636,2805.636,2675.581,196.943,2675.581,0.000
258,737.000,2743.673,2743.673,2638.155,216.637,2638.155,0.000
259,740.029,2655.058,2655.058,2607.551,236.332,2607.551,0.000
260,743.057,2644.521,2644.521,2583.228,256.026,2583.228,0.000
261,746.086,2612.366,2612.366,2564.864,275.720,2564.864,0.000
262,749.116,2501.750,2501.750,2552.350,295.414,2552.350,0.000
263,752.145,2577.866,2577.866,2535.117,304.460,2535.117,0.000
264,755.176,2468.905,2468.905,2524.046,313.505,2524.046,0.000
265,758.206,2408.828,2408.828,2519.461,322.551,2519.461,0.000
266,761.237,2474.903,2474.903,2521.712,331.596,2521.712,0.000
267,764.268,2449.905,2449.905,2531.089,340.642,2531.089,0.000
268,767.299,2423.520,2423.520,2547.740,349.687,2547.740,0.000
269,770.331,2489.906,2489.906,2571.585,358.733,2571.585,0.000
270,773.363,2496.560,2496.560,2602.238,367.778,2602.238,0.000
271,776.396,2657.406,2657.406,2638.958,376.823,2638.958,0.000
272,779.429,2547.713,2547.713,2680.624,385.869,2680.624,0.000
273,782.462,2795.674,2795.674,2725.756,394.914,2725.756,0.000
274,785.495,2640.597,2640.597,2772.580,403.960,2772.580,0.000
275,788.529,2796.137,2796.137,2819.136,413.005,2819.136,0.000
276,791.563,2881.212,2881.212,2863.442,422.051,2863.442,0.000
277,794.597,2840.868,2840.868,2903.688,431.096,2903.688,0.000
278,797.632,3075.137,3075.137,2938.463,440.142,2938.463,0.000
279,800.666,3067.484,3067.484,2988.468,470.661,2988.468,0.000
280,803.702,3116.944,3116.944,3032.345,501.179,3032.345,0.000
281,806.737,3054.099,3054.099,3071.334,531.698,3071.334,0.000
282,809.773,3130.098,3130.098,3108.037,562.217,3108.037,0.000
283,812.809,3096.983,3096.983,3146.633,592.736,3146.633,0.000
284,815.845,3126.445,3126.445,3193.087,623.255,3193.087,0.000
285,818.882,3274.445,3274.445,3255.350,653.774,3255.350,0.000
286,821.919,3498.830,3498.830,3343.540,684.293,3343.540,0.000
287,824.956,3574.870,3574.870,3470.092,714.812,3470.092,0.000
288,827.993,3798.290,3798.290,3649.849,745.331,3649.849,0.000
289,831.031,4051.868,4051.868,3900.056,775.850,3900.056,0.000
290,834.069,4271.638,4271.638,4240.180,806.369,4240.180,0.000
291,837.107,4721.214,4721.214,4691.503,836.888,4691.503,0.000
292,840.146,5651.370,5651.370,5276.412,867.407,5276.412,0.000
293,843.184,6125.947,6125.947,6017.317,897.926,6017.317,0.000
294,846.223,6933.214,6933.214,6935.180,928.445,6935.180,0.000
295,849.262,8081.407,8081.407,8047.662,958.964,8047.662,0.000
296,852.302,9523.176,9523.176,9487.649,1110.162,9487.649,0.000
297,855.341,10991.023,10991.023,11138.885,1261.361,11138.885,0.000
298,858.381,12245.678,12245.678,12995.740,1412.560,12995.740,0.000
299,861.422,14223.524,14223.524,15040.553,1563.758,15040.553,0.000
300,864.462,16390.370,16390.370,17242.262,1714.957,17242.262,0.000
301,867.502,18755.101,18755.101,19555.906,1866.156,19555.906,0.000
302,870.543,20725.023,20725.023,21923.240,2017.354,21923.240,0.000
303,873.584,23072.678,23072.678,24274.610,2168.553,24274.610,0.000
304,876.626,25338.562,25338.562,26532.088,2319.751,26532.088,0.000
305,879.667,27557.216,27557.216,28613.735,2470.950,28613.735,0.000
306,882.709,29723.175,29723.175,30438.693,2622.149,30438.693,0.000
307,885.751,30916.638,30916.638,31932.689,2773.347,31932.689,0.000
308,888.793,32205.139,32205.139,33033.423,2924.546,33033.423,0.000
309,891.835,32996.407,32996.407,33695.301,3075.744,33695.301,0.000
310,894.877,33477.216,33477.216,33893.019,3226.943,33893.019,0.000
311,897.920,33157.139,33157.139,33623.585,3378.142,33623.585,0.000
312,900.963,32833.755,32833.755,32906.578,3529.340,32906.578,0.000
313,904.006,31898.908,31898.908,31450.365,3348.311,31450.365,0.000
314,907.049,30615.753,30615.753,29645.597,3167.281,29645.597,0.000
315,910.093,28453.792,28453.792,27564.051,2986.252,27564.051,0.000
316,913.136,26391.716,26391.716,25285.582,2805.223,25285.582,0.000
317,916.180,24230.755,24230.755,22892.569,2624.193,22892.569,0.000
318,919.224,21535.522,21535.522,20464.632,2443.164,20464.632,0.000
319,922.268,18781.869,18781.869,18074.077,2262.134,18074.077,0.000
320,925.313,16592.599,16592.599,15782.399,2081.105,15782.399,0.000
321,928.357,14236.408,14236.408,13638.038,1900.075,13638.038,0.000
322,931.402,12041.062,12041.062,11675.427,1719.046,11675.427,0.000
323,934.447,10048.793,10048.793,9915.209,1538.017,9915.209,0.000
324,937.491,8667.563,8667.563,8365.442,1356.987,8365.442,0.000
325,940.537,7104.255,7104.255,7023.484,1175.958,7023.484,0.000
326,943.582,5779.254,5779.254,5878.294,994.928,5878.294,0.000
327,946.627,4708.331,4708.331,4912.853,813.899,4912.853,0.000
328,949.673,3966.023,3966.023,4106.472,632.869,4106.472,0.000
329,952.719,3428.756,3428.756,3436.828,451.840,3436.828,0.000
330,955.764,3020.448,3020.448,2881.609,270.811,2881.609,0.000
331,958.810,2564.678,2564.678,2599.114,269.150,2599.114,0.000
332,961.856,2380.563,2380.563,2390.954,267.489,2390.954,0.000
333,964.903,2297.448,2297.448,2240.605,265.829,2240.605,0.000
334,967.949,2161.601,2161.601,2134.186,264.168,2134.186,0.000
335,970.996,2010.255,2010.255,2060.390,262.508,2060.390,0.000
336,974.042,1953.948,1953.948,2010.261,260.847,2010.261,0.000
337,977.089,1952.486,1952.486,1976.893,259.186,1976.893,0.000
338,980.136,1958.179,1958.179,1955.098,257.526,1955.098,0.000
339,983.183,1946.102,1946.102,1941.076,255.865,1941.076,0.000
340,986.230,1823.718,1823.718,1932.117,254.204,1932.117,0.000
341,989.277,1882.987,1882.987,1926.336,252.544,1926.336,0.000
342,992.324,1935.911,1935.911,1922.468,250.883,1922.468,0.000
343,995.372,1959.679,1959.679,1919.688,249.223,1919.688,0.000
344,998.419,1808.027,1808.027,1917.484,247.562,1917.484,0.000
345,1001.467,1939.757,1939.757,1915.559,245.901,1915.559,0.000
346,1004.515,1904.526,1904.526,1913.756,244.241,1913.756,0.000
347,1007.563,1911.756,1911.756,1912.010,242.580,1912.010,0.000
348,1010.610,2002.987,2002.987,1910.310,240.919,1910.310,0.000
349,1013.658,1821.794,1821.794,1908.677,239.259,1908.677,0.000
350,1016.706,2021.103,2021.103,1910.702,241.156,1910.702,0.000
351,1019.755,1907.526,1907.526,1912.868,243.053,1912.868,0.000
352,1022.803,1937.142,1937.142,1915.212,244.950,1915.212,0.000
353,1025.851,1848.296,1848.296,1917.765,246.847,1917.765,0.000
354,1028.900,1993.219,1993.219,1920.552,248.744,1920.552,0.000
355,1031.948,1962.257,1962.257,1923.589,250.641,1923.589,0.000
356,1034.997,1935.795,1935.795,1926.882,252.538,1926.882,0.000
357,1038.045,1933.026,1933.026,1930.433,254.435,1930.433,0.000
358,1041.094,1932.717,1932.717,1934.235,256.332,1934.235,0.000
359,1044.143,1981.873,1981.873,1938.276,258.229,1938.276,0.000
360,1047.191,1973.218,1973.218,1942.542,260.126,1942.542,0.000
361,1050.240,1970.603,1970.603,1947.014,262.023,1947.014,0.000
362,1053.289,1896.296,1896.296,1951.671,263.920,1951.671,0.000
363,1056.338,1951.179,1951.179,1956.490,265.817,1956.490,0.000
364,1059.387,1980.795,1980.795,1961.449,267.714,1961.449,0.000
365,1062.436,1938.526,1938.526,1966.525,269.611,1966.525,0.000
366,1065.485,1981.949,1981.949,1971.694,271.508,1971.694,0.000
367,1068.534,1905.372,1905.372,1976.935,273.405,1976.935,0.000
368,1071.584,1990.641,1990.641,1982.226,275.302,1982.226,0.000
369,1074.633,2000.758,2000.758,1987.546,277.199,1987.546,0.000
370,1077.682,1932.449,1932.449,1988.889,275.108,1988.889,0.000
371,1080.731,2003.796,2003.796,1990.229,273.018,1990.229,0.000
372,1083.781,1955.295,1955.295,1991.553,270.927,1991.553,0.000
373,1086.830,2012.334,2012.334,1992.851,268.836,1992.851,0.000
374,1089.879,2004.795,2004.795,1994.120,266.745,1994.120,0.000
375,1092.929,2017.679,2017.679,1995.359,264.655,1995.359,0.000
376,1095.978,2008.835,2008.835,1996.569,262.564,1996.569,0.000
377,1099.028,1981.333,1981.333,1997.755,260.473,1997.755,0.000
378,1102.077,2027.296,2027.296,1998.923,258.382,1998.923,0.000
379,1105.126,1986.988,1986.988,2000.076,256.292,2000.076,0.000
380,1108.176,2027.989,2027.989,2001.215,254.201,2001.215,0.000
381,1111.225,2027.758,2027.758,2002.339,252.110,2002.339,0.000
382,1114.275,2093.987,2093.987,2003.436,250.020,2003.436,0.000
383,1117.324,2030.411,2030.411,2004.491,247.929,2004.491,0.000
384,1120.374,1999.066,1999.066,2005.479,245.838,2005.479,0.000
385,1123.423,1980.834,1980.834,2006.368,243.747,2006.368,0.000
386,1126.473,1946.103,1946.103,2007.120,241.657,2007.120,0.000
387,1129.522,1931.335,1931.335,2007.691,239.566,2007.691,0.000
388,1132.572,2020.373,2020.373,2008.037,237.475,2008.037,0.000
389,1135.621,2118.681,2118.681,2008.113,235.384,2008.113,0.000
390,1138.671,2036.258,2036.258,2015.578,240.993,2015.578,0.000
391,1141.720,1969.681,1969.681,2022.698,246.601,2022.698,0.000
392,1144.770,2012.642,2012.642,2029.449,252.209,2029.449,0.000
393,1147.819,2104.296,2104.296,2035.819,257.818,2035.819,0.000
394,1150.868,1954.027,1954.027,2041.807,263.426,2041.807,0.000
395,1153.918,2047.066,2047.066,2047.429,269.034,2047.429,0.000
396,1156.967,2007.144,2007.144,2052.713,274.643,2052.713,0.000
397,1160.016,2061.759,2061.759,2057.701,280.251,2057.701,0.000
398,1163.066,2102.067,2102.067,2062.444,285.859,2062.444,0.000
399,1166.115,2098.605,2098.605,2067.007,291.468,2067.007,0.000
400,1169.164,2061.605,2061.605,2071.457,297.076,2071.457,0.000
401,1172.213,2029.836,2029.836,2075.870,302.684,2075.870,0.000
