ch,keV,net,fit,model,continuum_raw,Am-241,continuum
44,116.723,182.842,182.842,331.081,331.081,0.000,331.081
45,119.710,291.609,291.609,293.657,293.657,0.000,293.657
46,122.697,362.459,362.459,256.233,256.233,0.000,256.233
47,125.684,387.710,387.710,218.810,218.810,0.000,218.810
48,128.671,343.263,343.263,181.386,181.386,0.000,181.386
49,131.658,241.445,241.445,143.962,143.962,0.000,143.962
50,134.645,202.653,202.653,123.396,123.396,0.000,123.396
51,137.632,63.181,63.181,102.830,102.830,0.000,102.830
52,140.619,38.558,38.558,82.264,82.264,0.000,82.264
53,143.607,0.000,-1.680,61.698,61.698,0.000,61.698
54,146.594,0.810,0.810,41.132,41.132,0.000,41.132
55,149.581,0.540,0.540,20.566,20.566,0.000,20.566
56,152.568,0.000,-10.982,0.000,0.000,0.000,0.000
57,155.555,11.980,11.980,0.135,0.135,0.000,0.135
58,158.542,6.383,6.383,0.270,0.270,0.000,0.270
59,161.529,3.156,3.156,0.405,0.405,0.000,0.405
60,164.516,18.842,18.842,0.540,0.540,0.000,0.540
61,167.504,0.000,-0.108,0.675,0.675,0.000,0.675
62,170.491,7.364,7.364,0.810,0.810,0.000,0.810
63,173.478,0.000,-0.976,0.946,0.946,0.000,0.946
64,176.465,9.490,9.490,0.810,0.810,0.000,0.810
65,179.452,0.000,-10.611,0.675,0.675,0.000,0.675
66,182.439,0.000,-3.467,0.540,0.540,0.000,0.540
67,185.426,0.000,-18.278,0.405,0.405,0.000,0.405
68,188.413,9.748,9.748,0.270,0.270,0.000,0.270
69,191.401,0.000,-16.592,0.135,0.135,0.000,0.135
70,194.388,5.999,5.999,0.000,0.000,0.000,0.000
71,197.375,0.000,-10.541,0.000,0.000,0.000,0.000
72,200.362,4.785,4.785,0.000,0.000,0.000,0.000
73,203.349,5.182,5.182,0.000,0.000,0.000,0.000
74,206.336,0.000,-16.629,0.000,0.000,0.000,0.000
75,209.323,5.698,5.698,0.000,0.000,0.000,0.000
76,212.310,0.000,-1.246,0.000,0.000,0.000,0.000
77,215.297,0.000,-3.246,0.000,0.000,0.000,0.000
78,218.285,0.006,0.006,0.000,0.000,0.000,0.000
79,221.272,12.478,12.478,0.000,0.000,0.000,0.000
80,224.259,6.509,6.509,0.000,0.000,0.000,0.000
81,227.246,6.125,6.125,0.000,0.000,0.000,0.000
82,230.233,0.000,-11.378,0.000,0.000,0.000,0.000
83,233.220,0.000,-2.623,0.000,0.000,0.000,0.000
84,236.207,0.000,-17.611,0.000,0.000,0.000,0.000
85,239.194,0.000,-0.359,0.000,0.000,0.000,0.000
86,242.182,0.000,-15.371,0.000,0.000,0.000,0.000
87,245.169,1.597,1.597,0.000,0.000,0.000,0.000
88,248.156,15.491,15.491,0.000,0.000,0.000,0.000
89,251.143,17.346,17.346,0.000,0.000,0.000,0.000
90,254.130,2.239,2.239,0.000,0.000,0.000,0.000
91,257.117,0.000,-16.528,0.000,0.000,0.000,0.000
92,260.104,8.378,8.378,0.000,0.000,0.000,0.000
93,263.091,3.416,3.416,0.000,0.000,0.000,0.000
94,266.079,0.000,-12.402,0.000,0.000,0.000,0.000
95,269.066,12.391,12.391,0.000,0.000,0.000,0.000
96,272.053,0.000,-18.798,0.000,0.000,0.000,0.000
97,275.040,1.561,1.561,0.000,0.000,0.000,0.000
98,278.027,0.001,0.001,0.000,0.000,0.000,0.000
99,281.014,6.397,6.397,0.000,0.000,0.000,0.000
100,284.001,0.882,0.882,0.000,0.000,0.000,0.000
101,286.988,0.000,-8.162,0.000,0.000,0.000,0.000
102,289.975,19.788,19.788,0.000,0.000,0.000,0.000
103,292.963,0.000,-3.112,0.000,0.000,0.000,0.000
104,295.950,6.876,6.876,0.000,0.000,0.000,0.000
105,298.937,4.964,4.964,0.000,0.000,0.000,0.000
106,301.924,0.000,-1.445,0.000,0.000,0.000,0.000
107,304.911,0.000,-8.162,0.000,0.000,0.000,0.000
108,307.898,0.000,-2.244,0.000,0.000,0.000,0.000
109,310.885,15.146,15.146,0.000,0.000,0.000,0.000
110,313.872,0.000,-15.269,0.440,0.440,0.000,0.440
111,316.860,2.908,2.908,0.880,0.880,0.000,0.880
112,319.847,0.000,-12.772,1.320,1.320,0.000,1.320
113,322.834,16.581,16.581,1.760,1.760,0.000,1.760
114,325.821,0.000,-1.828,2.200,2.200,0.000,2.200
115,328.808,0.002,0.002,2.640,2.640,0.000,2.640
116,331.795,0.000,-0.841,3.080,3.080,0.000,3.080
117,334.782,6.983,6.983,3.520,3.520,0.000,3.520
118,337.769,5.455,5.455,3.960,3.960,0.000,3.960
119,340.757,7.417,7.417,3.564,3.564,0.000,3.564
120,343.744,8.046,8.046,3.168,3.168,0.000,3.168
121,346.731,4.575,4.575,2.772,2.772,0.000,2.772
122,349.718,0.000,-6.576,2.376,2.376,0.000,2.376
123,352.705,6.078,6.078,1.980,1.980,0.000,1.980
124,355.692,0.612,0.612,1.584,1.584,0.000,1.584
125,358.679,7.405,7.405,1.188,1.188,0.000,1.188
126,361.666,11.877,11.877,0.792,0.792,0.000,0.792
127,364.653,0.000,-7.029,0.396,0.396,0.000,0.396
128,367.641,6.141,6.141,0.000,0.000,0.000,0.000
129,370.628,3.990,3.990,0.000,0.000,0.000,0.000
130,373.615,7.248,7.248,0.000,0.000,0.000,0.000
131,376.602,0.000,-8.815,0.000,0.000,0.000,0.000
132,379.589,0.000,-2.708,0.000,0.000,0.000,0.000
133,382.576,0.000,-8.903,0.000,0.000,0.000,0.000
134,385.563,0.000,-2.789,0.000,0.000,0.000,0.000
135,388.550,0.000,-1.034,0.000,0.000,0.000,0.000
136,391.538,11.368,11.368,0.000,0.000,0.000,0.000
137,394.525,0.000,-6.632,0.000,0.000,0.000,0.000
138,397.512,2.620,2.620,0.000,0.000,0.000,0.000
139,400.499,3.513,3.513,0.000,0.000,0.000,0.000
140,403.486,2.066,2.066,0.000,0.000,0.000,0.000
141,406.473,0.000,-1.927,0.000,0.000,0.000,0.000
142,409.460,2.073,2.073,0.000,0.000,0.000,0.000
143,412.447,0.450,0.450,0.000,0.000,0.000,0.000
144,415.435,0.000,-3.204,0.000,0.000,0.000,0.000
145,418.422,10.853,10.853,0.000,0.000,0.000,0.000
146,421.409,0.000,-10.323,0.000,0.000,0.000,0.000
147,424.396,5.532,5.532,0.000,0.000,0.000,0.000
148,427.383,0.000,-0.701,0.000,0.000,0.000,0.000
149,430.370,4.752,4.752,0.000,0.000,0.000,0.000
150,433.357,0.000,-1.694,0.119,0.119,0.000,0.119
151,436.344,0.218,0.218,0.237,0.237,0.000,0.237
152,439.331,0.000,-3.223,0.356,0.356,0.000,0.356
153,442.319,0.000,-0.562,0.475,0.475,0.000,0.475
154,445.306,0.000,-3.833,0.594,0.594,0.000,0.594
155,448.293,0.000,-1.933,0.712,0.712,0.000,0.712
156,451.280,4.067,4.067,0.831,0.831,0.000,0.831
157,454.267,12.205,12.205,0.950,0.950,0.000,0.950
158,457.254,0.809,0.809,1.068,1.068,0.000,1.068
159,460.241,2.230,2.230,1.187,1.187,0.000,1.187
160,463.228,0.576,0.576,1.306,1.306,0.000,1.306
161,466.216,9.048,9.048,1.335,1.335,0.000,1.335
162,469.203,0.000,-1.078,1.364,1.364,0.000,1.364
163,472.190,0.000,-8.071,1.394,1.394,0.000,1.394
164,475.177,14.520,14.520,1.423,1.423,0.000,1.423
165,478.164,0.000,-0.348,1.452,1.452,0.000,1.452
166,481.151,3.048,3.048,1.481,1.481,0.000,1.481
167,484.138,0.000,-3.298,1.510,1.510,0.000,1.510
168,487.125,13.262,13.262,1.540,1.540,0.000,1.540
169,490.113,1.463,1.463,1.569,1.569,0.000,1.569
170,493.100,0.000,-0.512,1.598,1.598,0.000,1.598
171,496.087,0.000,-1.543,1.627,1.627,0.000,1.627
172,499.074,12.023,12.023,1.657,1.657,0.000,1.657
173,502.061,0.000,-2.550,1.699,1.699,0.000,1.699
174,505.048,0.363,0.363,1.741,1.741,0.000,1.741
175,508.035,0.545,0.545,1.783,1.783,0.000,1.783
176,511.022,7.199,7.199,1.826,1.826,0.000,1.826
177,514.009,3.690,3.690,1.868,1.868,0.000,1.868
178,516.997,2.105,2.105,1.910,1.910,0.000,1.910
179,519.984,3.941,3.941,1.952,1.952,0.000,1.952
180,522.971,2.275,2.275,1.995,1.995,0.000,1.995
181,525.958,0.000,-1.260,2.037,2.037,0.000,2.037
182,528.945,0.000,-4.323,2.079,2.079,0.000,2.079
183,531.932,0.092,0.092,2.122,2.122,0.000,2.122
184,534.919,4.350,4.350,2.164,2.164,0.000,2.164
185,537.906,6.067,6.067,2.136,2.136,0.000,2.136
186,540.894,5.489,5.489,2.109,2.109,0.000,2.109
187,543.881,0.595,0.595,2.081,2.081,0.000,2.081
188,546.868,1.168,1.168,2.054,2.054,0.000,2.054
189,549.855,0.583,0.583,2.026,2.026,0.000,2.026
190,552.842,9.954,9.954,1.999,1.999,0.000,1.999
191,555.829,8.797,8.797,1.971,1.971,0.000,1.971
192,558.816,2.313,2.313,1.944,1.944,0.000,1.944
193,561.803,0.000,-3.090,1.916,1.916,0.000,1.916
194,564.791,7.036,7.036,1.889,1.889,0.000,1.889
195,567.778,0.000,-4.631,1.861,1.861,0.000,1.861
196,570.765,0.000,-0.624,1.834,1.834,0.000,1.834
197,573.752,8.690,8.690,1.806,1.806,0.000,1.806
198,576.739,0.000,-1.008,1.677,1.677,0.000,1.677
199,579.726,11.439,11.439,1.548,1.548,0.000,1.548
200,582.713,2.086,2.086,1.419,1.419,0.000,1.419
201,585.700,0.000,-2.285,1.290,1.290,0.000,1.290
202,588.687,0.000,-0.675,1.161,1.161,0.000,1.161
203,591.675,0.000,-0.040,1.032,1.032,0.000,1.032
204,594.662,1.338,1.338,0.903,0.903,0.000,0.903
205,597.649,0.000,-1.190,0.774,0.774,0.000,0.774
206,600.636,1.973,1.973,0.645,0.645,0.000,0.645
207,603.623,3.344,3.344,0.516,0.516,0.000,0.516
208,606.610,7.432,7.432,0.387,0.387,0.000,0.387
209,609.597,6.527,6.527,0.258,0.258,0.000,0.258
210,612.584,0.000,-3.448,0.129,0.129,0.000,0.129
211,615.572,0.000,-2.379,0.000,0.000,0.000,0.000
212,618.559,3.533,3.533,0.047,0.047,0.000,0.047
213,621.546,1.942,1.942,0.094,0.094,0.000,0.094
214,624.533,0.000,-3.712,0.141,0.141,0.000,0.141
215,627.520,0.000,-2.366,0.188,0.188,0.000,0.188
216,630.507,0.000,-5.813,0.235,0.235,0.000,0.235
217,633.494,0.000,-2.121,0.282,0.282,0.000,0.282
218,636.481,3.017,3.017,0.329,0.329,0.000,0.329
219,639.469,0.000,-0.140,0.376,0.376,0.000,0.376
220,642.456,1.609,1.609,0.423,0.423,0.000,0.423
221,645.443,2.300,2.300,0.470,0.470,0.000,0.470
222,648.430,0.000,-3.203,0.517,0.517,0.000,0.517
223,651.417,0.646,0.646,0.564,0.564,0.000,0.564
224,654.404,1.496,1.496,0.612,0.612,0.000,0.612
225,657.391,2.804,2.804,0.659,0.659,0.000,0.659
226,660.378,1.709,1.709,0.641,0.641,0.000,0.641
227,663.365,0.000,-1.630,0.623,0.623,0.000,0.623
228,666.353,1.521,1.521,0.604,0.604,0.000,0.604
229,669.340,3.898,3.898,0.586,0.586,0.000,0.586
230,672.327,2.496,2.496,0.568,0.568,0.000,0.568
231,675.314,6.867,6.867,0.550,0.550,0.000,0.550
232,678.301,0.000,-5.410,0.532,0.532,0.000,0.532
233,681.288,8.992,8.992,0.514,0.514,0.000,0.514
234,684.275,3.338,3.338,0.496,0.496,0.000,0.496
235,687.262,0.000,-1.442,0.478,0.478,0.000,0.478
236,690.250,0.000,-0.253,0.460,0.460,0.000,0.460
237,693.237,0.000,-2.152,0.442,0.442,0.000,0.442
238,696.224,4.376,4.376,0.424,0.424,0.000,0.424
239,699.211,6.219,6.219,0.406,0.406,0.000,0.406
240,702.198,1.496,1.496,0.388,0.388,0.000,0.388
241,705.185,0.439,0.439,0.368,0.368,0.000,0.368
242,708.172,0.000,-5.882,0.348,0.348,0.000,0.348
243,711.159,5.055,5.055,0.328,0.328,0.000,0.328
244,714.147,0.000,-2.385,0.308,0.308,0.000,0.308
245,717.134,6.313,6.313,0.287,0.287,0.000,0.287
246,720.121,0.000,-1.284,0.267,0.267,0.000,0.267
247,723.108,2.691,2.691,0.247,0.247,0.000,0.247
248,726.095,0.000,-0.215,0.227,0.227,0.000,0.227
249,729.082,0.000,-1.995,0.207,0.207,0.000,0.207
250,732.069,0.162,0.162,0.187,0.187,0.000,0.187
251,735.056,0.000,-0.278,0.167,0.167,0.000,0.167
252,738.043,7.754,7.754,0.146,0.146,0.000,0.146
253,741.031,0.000,-5.429,0.126,0.126,0.000,0.126
254,744.018,1.282,1.282,0.106,0.106,0.000,0.106
255,747.005,1.131,1.131,0.086,0.086,0.000,0.086
256,749.992,6.106,6.106,0.232,0.232,0.000,0.232
257,752.979,4.634,4.634,0.377,0.377,0.000,0.377
258,755.966,0.000,-3.152,0.523,0.523,0.000,0.523
259,758.953,0.000,-0.838,0.669,0.669,0.000,0.669
260,761.940,3.357,3.357,0.814,0.814,0.000,0.814
261,764.928,0.000,-1.586,0.960,0.960,0.000,0.960
262,767.915,1.911,1.911,1.105,1.105,0.000,1.105
263,770.902,7.005,7.005,1.251,1.251,0.000,1.251
264,773.889,0.854,0.854,1.397,1.397,0.000,1.397
265,776.876,0.000,-1.209,1.542,1.542,0.000,1.542
266,779.863,5.219,5.219,1.688,1.688,0.000,1.688
267,782.850,2.854,2.854,1.833,1.833,0.000,1.833
268,785.837,1.540,1.540,1.979,1.979,0.000,1.979
269,788.825,5.672,5.672,2.125,2.125,0.000,2.125
270,791.812,5.389,5.389,2.270,2.270,0.000,2.270
271,794.799,1.263,1.263,2.416,2.416,0.000,2.416
272,797.786,0.000,-0.303,2.397,2.397,0.000,2.397
273,800.773,0.666,0.666,2.378,2.378,0.000,2.378
274,803.760,4.603,4.603,2.359,2.359,0.000,2.359
275,806.747,4.861,4.861,2.340,2.340,0.000,2.340
276,809.734,0.000,-1.712,2.321,2.321,0.000,2.321
277,812.721,0.640,0.640,2.302,2.302,0.000,2.302
278,815.709,0.000,-0.139,2.282,2.282,0.000,2.282
279,818.696,4.144,4.144,2.263,2.263,0.000,2.263
280,821.683,4.886,4.886,2.244,2.244,0.000,2.244
281,824.670,5.829,5.829,2.225,2.225,0.000,2.225
282,827.657,1.011,1.011,2.206,2.206,0.000,2.206
283,830.644,9.735,9.735,2.187,2.187,0.000,2.187
284,833.631,1.112,1.112,2.168,2.168,0.000,2.168
285,836.618,0.000,-1.888,2.149,2.149,0.000,2.149
286,839.606,1.427,1.427,2.130,2.130,0.000,2.130
287,842.593,3.276,3.276,2.111,2.111,0.000,2.111
288,845.580,8.169,8.169,2.092,2.092,0.000,2.092
289,848.567,3.640,3.640,1.969,1.969,0.000,1.969
290,851.554,3.269,3.269,1.846,1.846,0.000,1.846
291,854.541,8.924,8.924,1.723,1.723,0.000,1.723
292,857.528,0.000,-3.133,1.600,1.600,0.000,1.600
293,860.515,0.000,-0.661,1.477,1.477,0.000,1.477
294,863.503,1.924,1.924,1.353,1.353,0.000,1.353
295,866.490,0.000,-4.919,1.230,1.230,0.000,1.230
296,869.477,5.892,5.892,1.107,1.107,0.000,1.107
297,872.464,1.584,1.584,0.984,0.984,0.000,0.984
298,875.451,5.119,5.119,0.861,0.861,0.000,0.861
299,878.438,1.993,1.993,0.738,0.738,0.000,0.738
300,881.425,1.867,1.867,0.615,0.615,0.000,0.615
301,884.412,7.465,7.465,0.492,0.492,0.000,0.492
302,887.399,4.584,4.584,0.369,0.369,0.000,0.369
303,890.387,0.000,-0.881,0.246,0.246,0.000,0.246
304,893.374,0.000,-3.976,0.123,0.123,0.000,0.123
305,896.361,0.741,0.741,0.000,0.000,0.000,0.000
306,899.348,0.000,-1.926,0.000,0.000,0.000,0.000
307,902.335,0.269,0.269,0.000,0.000,0.000,0.000
308,905.322,0.000,-2.322,0.000,0.000,0.000,0.000
309,908.309,5.081,5.081,0.000,0.000,0.000,0.000
310,911.296,6.741,6.741,0.000,0.000,0.000,0.000
311,914.284,3.678,3.678,0.000,0.000,0.000,0.000
312,917.271,1.181,1.181,0.000,0.000,0.000,0.000
313,920.258,0.000,-3.510,0.000,0.000,0.000,0.000
314,923.245,5.364,5.364,0.000,0.000,0.000,0.000
315,926.232,0.000,-3.605,0.000,0.000,0.000,0.000
316,929.219,0.000,-1.850,0.000,0.000,0.000,0.000
317,932.206,1.181,1.181,0.000,0.000,0.000,0.000
318,935.193,0.175,0.175,0.000,0.000,0.000,0.000
319,938.181,2.458,2.458,0.000,0.000,0.000,0.000
320,941.168,0.000,-5.762,0.000,0.000,0.000,0.000
321,944.155,0.000,-0.102,0.000,0.000,0.000,0.000
322,947.142,0.000,-1.385,0.000,0.000,0.000,0.000
323,950.129,3.213,3.213,0.000,0.000,0.000,0.000
324,953.116,0.000,-1.158,0.000,0.000,0.000,0.000
325,956.103,2.590,2.590,0.000,0.000,0.000,0.000
326,959.090,3.773,3.773,0.000,0.000,0.000,0.000
327,962.077,5.836,5.836,0.000,0.000,0.000,0.000
328,965.065,0.584,0.584,0.000,0.000,0.000,0.000
329,968.052,0.000,-0.001,0.000,0.000,0.000,0.000
330,971.039,0.000,-0.252,0.000,0.000,0.000,0.000
331,974.026,7.119,7.119,0.000,0.000,0.000,0.000
332,977.013,0.000,-3.158,0.000,0.000,0.000,0.000
333,980.000,0.000,-1.252,0.000,0.000,0.000,0.000
334,982.987,5.056,5.056,0.000,0.000,0.000,0.000
335,985.974,3.590,3.590,0.000,0.000,0.000,0.000
336,988.962,0.156,0.156,0.000,0.000,0.000,0.000
337,991.949,0.000,-5.221,0.000,0.000,0.000,0.000
338,994.936,1.345,1.345,0.000,0.000,0.000,0.000
339,997.923,4.282,4.282,0.000,0.000,0.000,0.000
340,1000.910,0.000,-1.215,0.000,0.000,0.000,0.000
341,1003.897,0.000,-2.812,0.000,0.000,0.000,0.000
342,1006.884,0.000,-0.057,0.000,0.000,0.000,0.000
343,1009.871,0.000,-5.064,0.000,0.000,0.000,0.000
344,1012.859,0.000,-0.145,0.000,0.000,0.000,0.000
345,1015.846,0.000,-2.183,0.000,0.000,0.000,0.000
346,1018.833,0.000,-0.372,0.000,0.000,0.000,0.000
347,1021.820,0.000,-1.001,0.000,0.000,0.000,0.000
348,1024.807,0.188,0.188,0.000,0.000,0.000,0.000
349,1027.794,0.031,0.031,0.000,0.000,0.000,0.000
350,1030.781,0.000,-3.900,0.000,0.000,0.000,0.000
351,1033.768,1.628,1.628,0.000,0.000,0.000,0.000
352,1036.755,0.000,-3.869,0.000,0.000,0.000,0.000
353,1039.743,3.257,3.257,0.000,0.000,0.000,0.000
354,1042.730,5.194,5.194,0.000,0.000,0.000,0.000
355,1045.717,5.226,5.226,0.000,0.000,0.000,0.000
356,1048.704,3.848,3.848,0.000,0.000,0.000,0.000
357,1051.691,0.000,-0.963,0.000,0.000,0.000,0.000
358,1054.678,4.968,4.968,0.000,0.000,0.000,0.000
359,1057.665,1.729,1.729,0.000,0.000,0.000,0.000
360,1060.652,1.377,1.377,0.000,0.000,0.000,0.000
361,1063.640,2.691,2.691,0.000,0.000,0.000,0.000
362,1066.627,0.000,-3.743,0.000,0.000,0.000,0.000
363,1069.614,0.000,-2.655,0.000,0.000,0.000,0.000
364,1072.601,0.000,-1.152,0.000,0.000,0.000,0.000
365,1075.588,0.000,-1.372,0.000,0.000,0.000,0.000
366,1078.575,0.000,-0.026,0.000,0.000,0.000,0.000
367,1081.562,0.000,-2.498,0.000,0.000,0.000,0.000
368,1084.549,0.000,-1.278,0.000,0.000,0.000,0.000
369,1087.537,0.000,-0.365,0.000,0.000,0.000,0.000
370,1090.524,0.565,0.565,0.000,0.000,0.000,0.000
371,1093.511,2.666,2.666,0.000,0.000,0.000,0.000
372,1096.498,0.000,-0.561,0.000,0.000,0.000,0.000
373,1099.485,5.289,5.289,0.000,0.000,0.000,0.000
374,1102.472,0.000,-1.152,0.000,0.000,0.000,0.000
375,1105.459,0.000,-2.064,0.000,0.000,0.000,0.000
376,1108.446,1.697,1.697,0.000,0.000,0.000,0.000
377,1111.434,0.471,0.471,0.000,0.000,0.000,0.000
378,1114.421,0.000,-0.743,0.000,0.000,0.000,0.000
379,1117.408,0.000,-1.994,0.000,0.000,0.000,0.000
380,1120.395,2.823,2.823,0.000,0.000,0.000,0.000
381,1123.382,2.635,2.635,0.000,0.000,0.000,0.000
382,1126.369,0.000,-1.812,0.000,0.000,0.000,0.000
383,1129.356,0.000,-2.649,0.000,0.000,0.000,0.000
384,1132.343,1.886,1.886,0.000,0.000,0.000,0.000
385,1135.330,0.000,-0.120,0.000,0.000,0.000,0.000
386,1138.318,2.100,2.100,0.000,0.000,0.000,0.000
387,1141.305,0.106,0.106,0.000,0.000,0.000,0.000
388,1144.292,0.000,-0.680,0.000,0.000,0.000,0.000
389,1147.279,5.572,5.572,0.000,0.000,0.000,0.000
390,1150.266,3.043,3.043,0.000,0.000,0.000,0.000
391,1153.253,0.000,-5.428,0.000,0.000,0.000,0.000
392,1156.240,0.000,-1.460,0.000,0.000,0.000,0.000
393,1159.227,0.000,-6.743,0.000,0.000,0.000,0.000
394,1162.215,0.000,-0.145,0.000,0.000,0.000,0.000
395,1165.202,2.886,2.886,0.000,0.000,0.000,0.000
396,1168.189,3.767,3.767,0.000,0.000,0.000,0.000
397,1171.176,8.452,8.452,0.000,0.000,0.000,0.000
398,1174.163,2.704,2.704,0.000,0.000,0.000,0.000
399,1177.150,2.326,2.326,0.000,0.000,0.000,0.000
400,1180.137,0.000,-0.674,0.000,0.000,0.000,0.000
401,1183.124,2.515,2.515,0.000,0.000,0.000,0.000
402,1186.112,1.578,1.578,0.000,0.000,0.000,0.000
403,1189.099,0.000,-0.699,0.000,0.000,0.000,0.000
404,1192.086,1.358,1.358,0.004,0.004,0.000,0.004
405,1195.073,0.000,-4.108,0.007,0.007,0.000,0.007
406,1198.060,1.358,1.358,0.011,0.011,0.000,0.011
407,1201.047,0.364,0.364,0.014,0.014,0.000,0.014
408,1204.034,0.892,0.892,0.018,0.018,0.000,0.018
409,1207.021,1.899,1.899,0.021,0.021,0.000,0.021
410,1210.008,0.025,0.025,0.025,0.025,0.000,0.025
411,1212.996,3.773,3.773,0.028,0.028,0.000,0.028
412,1215.983,0.000,-0.170,0.032,0.032,0.000,0.032
413,1218.970,0.000,-1.384,0.035,0.035,0.000,0.035
414,1221.957,1.238,1.238,0.039,0.039,0.000,0.039
415,1224.944,0.000,-0.950,0.042,0.042,0.000,0.042
416,1227.931,3.647,3.647,0.046,0.046,0.000,0.046
417,1230.918,0.000,-0.101,0.049,0.049,0.000,0.049
418,1233.905,3.088,3.088,0.053,0.053,0.000,0.053
419,1236.893,2.056,2.056,0.057,0.057,0.000,0.057
420,1239.880,0.000,-1.982,0.060,0.060,0.000,0.060
421,1242.867,4.521,4.521,0.064,0.064,0.000,0.064
422,1245.854,1.930,1.930,0.067,0.067,0.000,0.067
423,1248.841,0.396,0.396,0.071,0.071,0.000,0.071
424,1251.828,4.213,4.213,0.074,0.074,0.000,0.074
425,1254.815,2.213,2.213,0.078,0.078,0.000,0.078
426,1257.802,4.742,4.742,0.074,0.074,0.000,0.074
427,1260.790,0.000,-1.881,0.071,0.071,0.000,0.071
428,1263.777,0.559,0.559,0.068,0.068,0.000,0.068
429,1266.764,0.308,0.308,0.064,0.064,0.000,0.064
430,1269.751,1.842,1.842,0.061,0.061,0.000,0.061
431,1272.738,0.000,-0.818,0.057,0.057,0.000,0.057
432,1275.725,0.000,-1.755,0.054,0.054,0.000,0.054
433,1278.712,0.685,0.685,0.051,0.051,0.000,0.051
434,1281.699,1.062,1.062,0.047,0.047,0.000,0.047
435,1284.686,0.000,-3.818,0.044,0.044,0.000,0.044
436,1287.674,0.000,-3.227,0.041,0.041,0.000,0.041
437,1290.661,0.000,-0.409,0.037,0.037,0.000,0.037
438,1293.648,0.000,-1.497,0.034,0.034,0.000,0.034
439,1296.635,3.346,3.346,0.030,0.030,0.000,0.030
440,1299.622,0.000,-0.447,0.027,0.027,0.000,0.027
441,1302.609,2.779,2.779,0.024,0.024,0.000,0.024
442,1305.596,1.905,1.905,0.020,0.020,0.000,0.020
443,1308.583,0.000,-2.378,0.017,0.017,0.000,0.017
444,1311.571,2.339,2.339,0.014,0.014,0.000,0.014
445,1314.558,3.559,3.559,0.010,0.010,0.000,0.010
446,1317.545,1.251,1.251,0.007,0.007,0.000,0.007
447,1320.532,5.779,5.779,0.003,0.003,0.000,0.003
448,1323.519,3.779,3.779,0.000,0.000,0.000,0.000
449,1326.506,0.440,0.440,0.000,0.000,0.000,0.000
450,1329.493,6.440,6.440,0.000,0.000,0.000,0.000
