ch,keV,net,fit,model,continuum_raw,Cs-137,continuum
209,74.224,3199.539,3199.539,3205.251,3205.251,3205.251,0.000
210,74.599,3342.543,3342.543,3228.080,3228.080,3228.080,0.000
211,74.974,3333.726,3333.726,3250.910,3250.910,3250.910,0.000
212,75.349,3484.521,3484.521,3273.740,3273.740,3273.740,0.000
213,75.724,3444.629,3444.629,3296.569,3296.569,3296.569,0.000
214,76.099,3462.936,3462.936,3319.399,3319.399,3319.399,0.000
215,76.473,3571.451,3571.451,3342.229,3342.228,3342.229,0.000
216,76.848,3616.074,3616.074,3365.058,3365.058,3365.058,0.000
217,77.223,3481.294,3481.294,3387.888,3387.888,3387.888,0.000
218,77.598,3629.370,3629.370,3410.718,3410.717,3410.718,0.000
219,77.973,3635.141,3635.141,3433.547,3433.547,3433.547,0.000
220,78.347,3803.244,3803.244,3456.377,3456.376,3456.377,0.000
221,78.722,3640.950,3640.950,3479.207,3479.206,3479.207,0.000
222,79.097,3749.448,3749.448,3502.038,3502.036,3502.038,0.000
223,79.471,3644.837,3644.837,3524.868,3524.865,3524.868,0.000
224,79.846,3620.942,3620.942,3547.699,3547.695,3547.699,0.000
225,80.220,3703.463,3703.463,3570.531,3570.524,3570.531,0.000
226,80.595,3689.644,3689.644,3593.363,3593.354,3593.363,0.000
227,80.969,3958.721,3958.721,3616.196,3616.184,3616.196,0.000
228,81.344,3684.173,3684.173,3639.031,3639.013,3639.031,0.000
229,81.718,3749.633,3749.633,3661.868,3661.843,3661.868,0.000
230,82.092,3945.703,3945.703,3684.707,3684.672,3684.707,0.000
231,82.467,3754.307,3754.307,3707.549,3707.502,3707.549,0.000
232,82.841,3850.092,3850.092,3730.396,3730.332,3730.396,0.000
233,83.215,3955.115,3955.115,3753.249,3753.161,3753.249,0.000
234,83.590,3902.191,3902.191,3776.109,3775.991,3776.109,0.000
235,83.964,3917.303,3917.303,3798.978,3798.820,3798.978,0.000
236,84.338,3899.222,3899.222,3821.860,3821.650,3821.860,0.000
237,84.712,3764.235,3764.235,3844.756,3844.479,3844.756,0.000
238,85.086,3921.663,3921.663,3867.670,3867.309,3867.670,0.000
239,85.460,3978.508,3978.508,3890.607,3890.139,3890.607,0.000
240,85.834,3803.565,3803.565,3913.571,3912.968,3913.571,0.000
241,86.208,4155.008,4155.008,3936.568,3935.798,3936.568,0.000
242,86.582,4058.360,4058.360,3959.605,3958.627,3959.605,0.000
243,86.956,3933.124,3933.124,3982.688,3981.457,3982.688,0.000
244,87.330,3988.731,3988.731,4005.827,4004.287,4005.827,0.000
245,87.704,4004.639,4004.639,4029.028,4027.116,4029.028,0.000
246,88.078,3971.010,3971.010,4052.303,4049.946,4052.303,0.000
247,88.451,4001.585,4001.585,4075.661,4072.775,4075.661,0.000
248,88.825,4037.880,4037.880,4099.112,4095.605,4099.112,0.000
249,89.199,4149.400,4149.400,4122.667,4118.435,4122.667,0.000
250,89.572,3916.825,3916.825,4146.337,4141.264,4146.337,0.000
251,89.946,4170.152,4170.152,4170.131,4164.094,4170.131,0.000
252,90.320,4136.253,4136.253,4194.060,4186.923,4194.060,0.000
253,90.693,4108.890,4108.890,4196.943,4188.564,4196.943,0.000
254,91.067,4022.837,4022.837,4199.977,4190.206,4199.977,0.000
255,91.440,4035.003,4035.003,4203.166,4191.847,4203.166,0.000
256,91.814,4121.145,4121.145,4206.514,4193.488,4206.514,0.000
257,92.187,4124.563,4124.563,4210.022,4195.129,4210.022,0.000
258,92.561,4109.754,4109.754,4213.689,4196.770,4213.689,0.000
259,92.934,4221.976,4221.976,4217.509,4198.411,4217.509,0.000
260,93.308,4089.160,4089.160,4221.477,4200.052,4221.477,0.000
261,93.681,4042.918,4042.918,4225.581,4201.693,4225.581,0.000
262,94.054,4243.451,4243.451,4229.808,4203.334,4229.808,0.000
263,94.427,4189.312,4189.312,4234.143,4204.975,4234.143,0.000
264,94.801,4228.303,4228.303,4238.567,4206.616,4238.567,0.000
265,95.174,4189.990,4189.990,4243.059,4208.257,4243.059,0.000
266,95.547,4219.317,4219.317,4247.597,4209.898,4247.597,0.000
267,95.920,4230.066,4230.066,4252.158,4211.539,4252.158,0.000
268,96.293,4360.200,4360.200,4256.718,4213.180,4256.718,0.000
269,96.666,4109.222,4109.222,4261.253,4214.822,4261.253,0.000
270,97.039,4121.411,4121.411,4265.741,4216.463,4265.741,0.000
271,97.412,4183.730,4183.730,4270.158,4218.104,4270.158,0.000
272,97.785,4284.951,4284.951,4274.485,4219.745,4274.485,0.000
273,98.158,4090.839,4090.839,4278.703,4221.386,4278.703,0.000
274,98.531,4126.947,4126.947,4282.796,4223.027,4282.796,0.000
275,98.904,4446.739,4446.739,4286.752,4224.668,4286.752,0.000
276,99.277,4275.916,4275.916,4290.562,4226.309,4290.562,0.000
277,99.650,4359.174,4359.174,4294.217,4227.950,4294.217,0.000
278,100.022,4209.714,4209.714,4297.714,4229.591,4297.714,0.000
279,100.395,4144.652,4144.652,4301.052,4231.232,4301.052,0.000
280,100.768,4367.057,4367.057,4304.233,4232.873,4304.233,0.000
281,101.140,4255.895,4255.895,4307.262,4234.514,4307.262,0.000
282,101.513,4188.382,4188.382,4310.144,4236.155,4310.144,0.000
283,101.886,4253.096,4253.096,4312.887,4237.796,4312.887,0.000
284,102.258,4258.504,4258.504,4315.501,4239.438,4315.501,0.000
285,102.631,4231.106,4231.106,4317.997,4241.079,4317.997,0.000
286,103.003,4258.649,4258.649,4320.385,4242.720,4320.385,0.000
287,103.376,4327.561,4327.561,4322.676,4244.361,4322.676,0.000
288,103.748,4314.906,4314.906,4324.882,4246.002,4324.882,0.000
289,104.121,4176.662,4176.662,4327.014,4247.643,4327.014,0.000
290,104.493,4319.284,4319.284,4329.081,4249.284,4329.081,0.000
291,104.865,4231.906,4231.906,4331.095,4250.925,4331.095,0.000
292,105.238,4206.840,4206.840,4333.063,4252.566,4333.063,0.000
293,105.610,4306.915,4306.915,4334.994,4254.207,4334.994,0.000
294,105.982,4253.586,4253.586,4336.895,4255.848,4336.895,0.000
295,106.354,4415.107,4415.107,4338.771,4257.489,4338.771,0.000
296,106.727,4155.748,4155.748,4340.628,4259.130,4340.628,0.000
297,107.099,4336.331,4336.331,4342.471,4260.771,4342.471,0.000
298,107.471,4387.245,4387.245,4344.302,4262.412,4344.302,0.000
299,107.843,4290.060,4290.060,4346.124,4264.053,4346.124,0.000
300,108.215,4230.355,4230.355,4347.940,4265.695,4347.940,0.000
301,108.587,4312.813,4312.813,4349.750,4267.336,4349.750,0.000
302,108.959,4369.063,4369.063,4351.556,4268.977,4351.556,0.000
303,109.331,4358.508,4358.508,4353.358,4270.618,4353.358,0.000
304,109.703,4317.610,4317.610,4355.157,4272.259,4355.157,0.000
305,110.075,4322.221,4322.221,4356.951,4273.900,4356.951,0.000
306,110.447,4181.424,4181.424,4358.742,4275.541,4358.742,0.000
307,110.819,4391.841,4391.841,4360.527,4277.182,4360.527,0.000
308,111.191,4323.968,4323.968,4362.308,4278.823,4362.308,0.000
309,111.562,4246.431,4246.431,4364.083,4280.464,4364.083,0.000
310,111.934,4281.043,4281.043,4365.852,4282.105,4365.852,0.000
311,112.306,4275.018,4275.018,4367.614,4283.746,4367.614,0.000
312,112.678,4426.898,4426.898,4369.370,4285.387,4369.370,0.000
313,113.049,4255.031,4255.031,4371.118,4287.028,4371.118,0.000
314,113.421,4523.046,4523.046,4372.860,4288.669,4372.860,0.000
315,113.793,4414.648,4414.648,4374.594,4290.311,4374.594,0.000
316,114.164,4495.167,4495.167,4377.873,4293.503,4377.873,0.000
317,114.536,4443.353,4443.353,4381.145,4296.696,4381.145,0.000
318,114.907,4470.292,4470.292,4384.411,4299.889,4384.411,0.000
319,115.279,4404.617,4404.617,4387.671,4303.082,4387.671,0.000
320,115.650,4448.844,4448.844,4390.925,4306.275,4390.925,0.000
321,116.022,4422.655,4422.655,4394.175,4309.468,4394.175,0.000
322,116.393,4421.883,4421.883,4397.421,4312.661,4397.421,0.000
323,116.764,4481.094,4481.094,4400.664,4315.854,4400.664,0.000
324,117.136,4531.166,4531.166,4403.904,4319.047,4403.904,0.000
325,117.507,4397.846,4397.846,4407.142,4322.240,4407.142,0.000
326,117.878,4429.330,4429.330,4410.379,4325.433,4410.379,0.000
327,118.250,4463.062,4463.062,4413.616,4328.626,4413.616,0.000
328,118.621,4467.938,4467.938,4416.852,4331.819,4416.852,0.000
329,118.992,4458.085,4458.085,4420.089,4335.012,4420.089,0.000
330,119.363,4599.873,4599.873,4423.326,4338.205,4423.326,0.000
331,119.734,4502.437,4502.437,4426.565,4341.398,4426.565,0.000
332,120.105,4377.266,4377.266,4429.804,4344.591,4429.804,0.000
333,120.476,4358.874,4358.874,4433.045,4347.784,4433.045,0.000
334,120.847,4523.757,4523.757,4436.286,4350.977,4436.286,0.000
335,121.218,4442.741,4442.741,4439.529,4354.169,4439.529,0.000
336,121.589,4418.527,4418.527,4442.772,4357.362,4442.772,0.000
337,121.960,4501.012,4501.012,4446.016,4360.555,4446.016,0.000
338,122.331,4426.377,4426.377,4449.261,4363.748,4449.261,0.000
339,122.702,4403.654,4403.654,4452.505,4366.941,4452.505,0.000
340,123.073,4551.526,4551.526,4455.749,4370.134,4455.749,0.000
341,123.444,4584.676,4584.676,4458.992,4373.327,4458.992,0.000
