ch,keV,net,fit,model,continuum_raw,Y-88
787,2347.094,1.356,1.356,0.606,0.606,0.606
788,2350.070,0.000,-0.467,0.615,0.615,0.615
789,2353.045,0.000,-0.467,0.624,0.624,0.624
790,2356.020,1.600,1.600,0.633,0.633,0.633
791,2358.995,3.467,3.467,0.641,0.641,0.641
792,2361.969,2.467,2.467,0.650,0.650,0.650
793,2364.943,0.000,-0.533,0.659,0.659,0.659
794,2367.916,1.444,1.444,0.668,0.668,0.668
795,2370.889,1.667,1.667,0.674,0.674,0.674
796,2373.861,0.667,0.667,0.679,0.679,0.679
797,2376.833,0.000,-0.511,0.685,0.685,0.685
798,2379.804,0.489,0.489,0.691,0.691,0.691
799,2382.775,1.756,1.756,0.696,0.696,0.696
800,2385.745,1.667,1.667,0.702,0.702,0.702
801,2388.715,1.422,1.422,0.708,0.708,0.708
802,2391.684,2.444,2.444,0.713,0.713,0.713
803,2394.653,2.556,2.556,0.719,0.719,0.719
804,2397.621,2.422,2.422,0.725,0.725,0.725
805,2400.589,1.578,1.578,0.730,0.730,0.730
806,2403.557,0.000,-0.489,0.736,0.736,0.736
807,2406.523,2.356,2.356,0.742,0.742,0.742
808,2409.490,0.444,0.444,0.747,0.747,0.747
809,2412.456,2.467,2.467,0.753,0.753,0.753
810,2415.421,1.556,1.556,0.759,0.759,0.759
811,2418.386,1.578,1.578,0.764,0.764,0.764
812,2421.350,1.511,1.511,0.770,0.770,0.770
813,2424.314,0.578,0.578,0.776,0.776,0.776
814,2427.278,3.556,3.556,0.781,0.781,0.781
815,2430.241,0.000,-0.489,0.787,0.787,0.787
816,2433.203,1.511,1.511,0.793,0.793,0.793
817,2436.165,1.467,1.467,0.799,0.799,0.799
818,2439.126,0.000,-0.378,0.804,0.804,0.804
819,2442.087,2.667,2.667,0.810,0.810,0.810
820,2445.048,0.000,-0.400,0.816,0.816,0.816
821,2448.007,1.556,1.556,0.821,0.821,0.821
822,2450.967,2.400,2.400,0.827,0.827,0.827
823,2453.925,0.756,0.756,0.833,0.833,0.833
824,2456.884,0.822,0.822,0.838,0.838,0.838
825,2459.842,1.644,1.644,0.844,0.844,0.844
826,2462.799,0.467,0.467,0.828,0.828,0.828
827,2465.755,0.644,0.644,0.812,0.812,0.812
828,2468.712,0.689,0.689,0.796,0.796,0.796
829,2471.667,0.000,-0.444,0.781,0.781,0.781
830,2474.622,1.533,1.533,0.765,0.765,0.765
831,2477.577,1.622,1.622,0.749,0.749,0.749
832,2480.531,0.578,0.578,0.733,0.733,0.733
833,2483.485,0.000,-0.467,0.718,0.718,0.718
834,2486.438,0.778,0.778,0.702,0.702,0.702
835,2489.390,0.689,0.689,0.686,0.686,0.686
836,2492.342,1.667,1.667,0.670,0.670,0.670
837,2495.293,0.556,0.556,0.654,0.654,0.654
838,2498.244,3.600,3.600,0.639,0.639,0.639
839,2501.195,1.667,1.667,0.623,0.623,0.623
840,2504.144,0.000,-0.444,0.607,0.607,0.607
841,2507.094,0.711,0.711,0.591,0.591,0.591
842,2510.042,2.533,2.533,0.575,0.575,0.575
843,2512.990,0.644,0.644,0.560,0.560,0.560
844,2515.938,0.733,0.733,0.544,0.544,0.544
845,2518.885,0.000,-0.289,0.528,0.528,0.528
846,2521.831,0.000,-0.378,0.512,0.512,0.512
847,2524.777,3.511,3.511,0.496,0.496,0.496
848,2527.723,0.511,0.511,0.481,0.481,0.481
849,2530.667,2.711,2.711,0.465,0.465,0.465
850,2533.612,2.644,2.644,0.449,0.449,0.449
851,2536.555,0.533,0.533,0.433,0.433,0.433
852,2539.498,0.378,0.378,0.417,0.417,0.417
853,2542.441,0.556,0.556,0.402,0.402,0.402
854,2545.383,1.533,1.533,0.386,0.386,0.386
855,2548.324,0.000,-0.489,0.370,0.370,0.370
856,2551.265,1.289,1.289,0.354,0.354,0.354
857,2554.206,0.422,0.422,0.338,0.338,0.338
858,2557.145,0.489,0.489,0.328,0.328,0.328
859,2560.084,1.178,1.178,0.318,0.318,0.318
860,2563.023,1.533,1.533,0.308,0.308,0.308
861,2565.961,0.000,-0.444,0.297,0.297,0.297
862,2568.898,0.378,0.378,0.287,0.287,0.287
863,2571.835,1.289,1.289,0.277,0.277,0.277
864,2574.771,0.000,-0.533,0.267,0.267,0.267
865,2577.707,0.222,0.222,0.257,0.256,0.257
866,2580.642,0.222,0.222,0.247,0.246,0.247
867,2583.577,0.133,0.133,0.237,0.236,0.237
868,2586.510,0.044,0.044,0.227,0.226,0.227
869,2589.444,0.000,-0.733,0.217,0.215,0.217
870,2592.377,0.867,0.867,0.207,0.205,0.207
871,2595.309,0.000,-0.689,0.197,0.195,0.197
872,2598.240,0.022,0.022,0.187,0.185,0.187
873,2601.171,1.267,1.267,0.178,0.174,0.178
874,2604.101,0.311,0.311,0.168,0.164,0.168
875,2607.031,0.000,-0.822,0.159,0.154,0.159
876,2609.960,0.000,-0.778,0.150,0.144,0.150
877,2612.889,0.133,0.133,0.141,0.133,0.141
878,2615.817,0.000,-0.800,0.133,0.123,0.133
879,2618.744,0.000,-0.867,0.125,0.113,0.125
880,2621.671,1.111,1.111,0.118,0.103,0.118
881,2624.597,1.200,1.200,0.110,0.092,0.110
882,2627.523,0.156,0.156,0.104,0.082,0.104
883,2630.447,0.244,0.244,0.098,0.072,0.098
884,2633.372,0.156,0.156,0.093,0.062,0.093
885,2636.295,1.156,1.156,0.089,0.051,0.089
886,2639.218,2.333,2.333,0.086,0.041,0.086
887,2642.141,1.400,1.400,0.084,0.031,0.084
888,2645.063,0.556,0.556,0.083,0.021,0.083
889,2647.984,1.222,1.222,0.084,0.010,0.084
890,2650.905,0.000,-0.489,0.086,0.000,0.086
891,2653.825,0.000,-0.756,0.100,0.000,0.100
892,2656.744,0.000,-0.467,0.116,0.000,0.116
893,2659.663,2.533,2.533,0.133,0.000,0.133
894,2662.581,1.511,1.511,0.153,0.000,0.153
895,2665.498,0.511,0.511,0.174,0.000,0.174
896,2668.415,0.000,-0.533,0.198,0.000,0.198
897,2671.331,0.000,-0.489,0.224,0.000,0.224
898,2674.247,0.000,-0.289,0.252,0.000,0.252
899,2677.162,0.667,0.667,0.283,0.000,0.283
900,2680.076,5.689,5.689,0.316,0.000,0.316
901,2682.990,0.689,0.689,0.351,0.000,0.351
902,2685.903,0.000,-0.400,0.389,0.000,0.389
903,2688.815,1.756,1.756,0.428,0.000,0.428
904,2691.727,0.711,0.711,0.470,0.000,0.470
905,2694.638,1.711,1.711,0.513,0.000,0.513
906,2697.548,2.622,2.622,0.557,0.000,0.557
907,2700.458,0.000,-0.200,0.603,0.000,0.603
908,2703.367,1.667,1.667,0.650,0.000,0.650
909,2706.276,0.000,-0.333,0.697,0.000,0.697
910,2709.183,0.000,-0.311,0.745,0.000,0.745
911,2712.091,0.778,0.778,0.792,0.000,0.792
912,2714.997,0.000,-0.178,0.838,0.000,0.838
913,2717.903,3.822,3.822,0.883,0.000,0.883
914,2720.808,0.644,0.644,0.927,0.000,0.927
915,2723.713,0.711,0.711,0.968,0.000,0.968
916,2726.617,1.822,1.822,1.007,0.000,1.007
917,2729.520,2.644,2.644,1.042,0.000,1.042
918,2732.422,0.000,-0.200,1.074,0.000,1.074
919,2735.324,0.000,-0.133,1.102,0.000,1.102
920,2738.226,3.711,3.711,1.126,0.000,1.126
921,2741.126,0.000,-0.244,1.145,0.000,1.145
922,2744.026,0.689,0.689,1.160,0.000,1.160
923,2746.925,0.911,0.911,1.169,0.000,1.169
924,2749.824,0.000,-0.267,1.173,0.000,1.173
925,2752.722,0.844,0.844,1.178,0.005,1.178
926,2755.619,1.778,1.778,1.177,0.011,1.177
927,2758.515,1.667,1.667,1.171,0.016,1.171
928,2761.411,2.867,2.867,1.161,0.022,1.161
929,2764.306,0.800,0.800,1.145,0.027,1.145
930,2767.201,4.756,4.756,1.125,0.033,1.125
931,2770.095,0.733,0.733,1.101,0.038,1.101
932,2772.988,3.822,3.822,1.073,0.044,1.073
933,2775.880,0.000,-0.244,1.042,0.049,1.042
934,2778.772,2.822,2.822,1.007,0.055,1.007
935,2781.663,1.822,1.822,0.971,0.060,0.971
936,2784.553,2.844,2.844,0.932,0.065,0.932
937,2787.443,1.733,1.733,0.892,0.071,0.892
938,2790.332,2.756,2.756,0.851,0.076,0.851
939,2793.220,0.800,0.800,0.809,0.082,0.809
940,2796.108,0.800,0.800,0.767,0.087,0.767
941,2798.994,0.844,0.844,0.725,0.093,0.725
942,2801.880,0.778,0.778,0.684,0.098,0.684
943,2804.766,1.756,1.756,0.644,0.104,0.644
944,2807.651,1.756,1.756,0.605,0.109,0.605
945,2810.535,0.000,-0.133,0.568,0.115,0.568
946,2813.418,0.689,0.689,0.533,0.120,0.533
947,2816.301,0.000,-0.222,0.500,0.125,0.500
948,2819.183,1.778,1.778,0.469,0.131,0.469
949,2822.064,0.756,0.756,0.440,0.136,0.440
950,2824.944,0.800,0.800,0.413,0.142,0.413
951,2827.824,0.800,0.800,0.389,0.147,0.389
952,2830.703,0.867,0.867,0.367,0.153,0.367
953,2833.581,0.733,0.733,0.347,0.158,0.347
954,2836.459,0.800,0.800,0.330,0.164,0.330
955,2839.336,0.000,-0.222,0.314,0.169,0.314
956,2842.212,0.000,-0.267,0.301,0.175,0.301
957,2845.087,0.000,-0.200,0.290,0.180,0.290
958,2847.962,0.000,-0.200,0.280,0.186,0.280
959,2850.836,0.000,-0.111,0.272,0.191,0.272
960,2853.709,1.867,1.867,0.256,0.187,0.256
961,2856.582,0.000,-0.311,0.242,0.183,0.242
962,2859.454,0.000,-0.178,0.229,0.179,0.229
963,2862.325,0.000,-0.111,0.217,0.175,0.217
964,2865.195,0.000,-0.289,0.207,0.171,0.207
965,2868.065,0.933,0.933,0.197,0.167,0.197
966,2870.933,0.000,-0.222,0.188,0.163,0.188
