ch,keV,net,fit,model,continuum_raw,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220
657,1950.108,158.999,158.999,177.136,35.623,177.135,0.000,0.001,0.000,0.000,0.000
658,1953.103,161.192,161.192,176.977,35.222,176.977,0.000,0.001,0.000,0.000,0.000
659,1956.099,182.529,182.529,176.875,34.821,176.874,0.000,0.001,0.000,0.000,0.000
660,1959.094,174.192,174.192,176.835,34.420,176.835,0.000,0.000,0.000,0.000,0.000
661,1962.090,146.794,146.794,176.865,34.020,176.865,0.000,0.000,0.000,0.000,0.000
662,1965.085,176.927,176.927,176.970,33.619,176.970,0.000,0.000,0.000,0.000,0.000
663,1968.081,196.120,196.120,176.936,33.000,176.936,0.000,0.000,0.000,0.000,0.000
664,1971.076,175.999,175.999,176.986,32.381,176.986,0.000,0.000,0.000,0.000,0.000
665,1974.072,207.662,207.662,177.125,31.762,177.125,0.000,0.000,0.000,0.000,0.000
666,1977.067,185.782,185.782,177.355,31.143,177.354,0.000,0.000,0.000,0.000,0.000
667,1980.063,181.517,181.517,177.680,30.524,177.680,0.000,0.000,0.000,0.000,0.000
668,1983.059,165.469,165.469,178.103,29.904,178.103,0.000,0.000,0.000,0.000,0.000
669,1986.054,190.650,190.650,178.630,29.285,178.630,0.000,0.000,0.000,0.000,0.000
670,1989.050,177.059,177.059,179.266,28.666,179.266,0.000,0.000,0.000,0.000,0.000
671,1992.046,221.927,221.927,180.016,28.047,180.016,0.000,0.000,0.000,0.000,0.000
672,1995.042,203.180,203.180,180.888,27.428,180.888,0.000,0.000,0.000,0.000,0.000
673,1998.038,181.469,181.469,181.892,26.809,181.892,0.000,0.000,0.000,0.000,0.000
674,2001.034,185.397,185.397,183.039,26.190,183.039,0.000,0.000,0.000,0.000,0.000
675,2004.030,181.457,181.457,184.342,25.571,184.342,0.000,0.000,0.000,0.000,0.000
676,2007.027,180.457,180.457,185.817,24.952,185.817,0.000,0.000,0.000,0.000,0.000
677,2010.023,194.722,194.722,187.481,24.333,187.481,0.000,0.000,0.000,0.000,0.000
678,2013.019,217.252,217.252,189.352,23.714,189.352,0.000,0.000,0.000,0.000,0.000
679,2016.016,205.578,205.578,191.450,23.095,191.450,0.000,0.000,0.000,0.000,0.000
680,2019.012,180.132,180.132,193.797,22.476,193.797,0.000,0.000,0.000,0.000,0.000
681,2022.009,192.457,192.457,196.414,21.857,196.414,0.000,0.000,0.000,0.000,0.000
682,2025.005,207.722,207.722,199.321,21.238,199.321,0.000,0.000,0.000,0.000,0.000
683,2028.002,237.192,237.192,202.538,20.619,202.538,0.000,0.000,0.000,0.000,0.000
684,2030.999,217.517,217.517,206.081,20.000,206.081,0.000,0.000,0.000,0.000,0.000
685,2033.996,203.397,203.397,209.964,19.381,209.964,0.000,0.000,0.000,0.000,0.000
686,2036.993,226.059,226.059,214.197,18.762,214.197,0.000,0.000,0.000,0.000,0.000
687,2039.990,209.132,209.132,218.784,18.142,218.784,0.000,0.000,0.000,0.000,0.000
688,2042.987,244.517,244.517,223.722,17.523,223.722,0.000,0.000,0.000,0.000,0.000
689,2045.985,222.650,222.650,229.000,16.904,229.000,0.000,0.000,0.000,0.000,0.000
690,2048.982,249.132,249.132,234.603,16.285,234.603,0.000,0.000,0.000,0.000,0.000
691,2051.980,216.578,216.578,240.502,15.666,240.502,0.000,0.000,0.000,0.000,0.000
692,2054.977,237.794,237.794,246.663,15.047,246.663,0.000,0.000,0.000,0.000,0.000
693,2057.975,234.999,234.999,255.463,16.849,255.463,0.000,0.000,0.000,0.000,0.000
694,2060.973,252.722,252.722,264.426,18.651,264.426,0.000,0.000,0.000,0.000,0.000
695,2063.971,280.529,280.529,273.493,20.453,273.493,0.000,0.000,0.000,0.000,0.000
696,2066.969,290.469,290.469,282.593,22.254,282.593,0.000,0.000,0.000,0.000,0.000
697,2069.968,282.601,282.601,291.652,24.056,291.652,0.000,0.000,0.000,0.000,0.000
698,2072.966,290.999,290.999,300.589,25.858,300.589,0.000,0.000,0.000,0.000,0.000
699,2075.965,312.541,312.541,309.319,27.660,309.319,0.000,0.000,0.000,0.000,0.000
700,2078.963,299.674,299.674,317.759,29.461,317.759,0.000,0.000,0.000,0.000,0.000
701,2081.962,361.601,361.601,325.822,31.263,325.822,0.000,0.000,0.000,0.000,0.000
702,2084.961,349.348,349.348,333.426,33.065,333.426,0.000,0.000,0.000,0.000,0.000
703,2087.960,298.204,298.204,340.493,34.867,340.493,0.000,0.000,0.000,0.000,0.000
704,2090.960,341.951,341.951,346.953,36.669,346.953,0.000,0.000,0.000,0.000,0.000
705,2093.959,322.071,322.071,352.743,38.470,352.743,0.000,0.000,0.000,0.000,0.000
706,2096.959,357.336,357.336,357.810,40.272,357.810,0.000,0.000,0.000,0.000,0.000
707,2099.959,342.601,342.601,362.114,42.074,362.114,0.000,0.000,0.000,0.000,0.000
708,2102.959,345.493,345.493,365.627,43.876,365.627,0.000,0.000,0.000,0.000,0.000
709,2105.959,313.409,313.409,368.334,45.677,368.334,0.000,0.000,0.000,0.000,0.000
710,2108.959,352.409,352.409,370.236,47.479,370.236,0.000,0.000,0.000,0.000,0.000
711,2111.959,379.011,379.011,371.345,49.281,371.345,0.000,0.000,0.000,0.000,0.000
712,2114.960,348.348,348.348,371.689,51.083,371.689,0.000,0.000,0.000,0.000,0.000
713,2117.961,425.481,425.481,371.306,52.885,371.306,0.000,0.000,0.000,0.000,0.000
714,2120.962,391.674,391.674,370.248,54.686,370.248,0.000,0.000,0.000,0.000,0.000
715,2123.963,377.541,377.541,368.574,56.488,368.574,0.000,0.000,0.000,0.000,0.000
716,2126.964,395.481,395.481,366.354,58.290,366.354,0.000,0.000,0.000,0.000,0.000
717,2129.966,413.011,413.011,363.662,60.092,363.662,0.000,0.000,0.000,0.000,0.000
718,2132.968,391.674,391.674,360.578,61.893,360.578,0.000,0.000,0.000,0.000,0.000
719,2135.970,389.216,389.216,357.184,63.695,357.184,0.000,0.000,0.000,0.000,0.000
720,2138.972,371.216,371.216,353.563,65.497,353.563,0.000,0.000,0.000,0.000,0.000
721,2141.974,340.144,340.144,349.794,67.299,349.794,0.000,0.000,0.000,0.000,0.000
722,2144.977,346.818,346.818,345.956,69.101,345.956,0.000,0.000,0.000,0.000,0.000
723,2147.980,313.409,313.409,339.075,67.855,339.075,0.000,0.000,0.000,0.000,0.000
724,2150.983,336.011,336.011,332.267,66.610,332.267,0.000,0.000,0.000,0.000,0.000
725,2153.986,363.746,363.746,325.590,65.365,325.590,0.000,0.000,0.000,0.000,0.000
726,2156.989,315.697,315.697,319.099,64.120,319.099,0.000,0.000,0.000,0.000,0.000
727,2159.993,276.541,276.541,312.839,62.875,312.839,0.000,0.000,0.000,0.000,0.000
728,2162.997,292.867,292.867,306.847,61.630,306.847,0.000,0.000,0.000,0.000,0.000
729,2166.001,288.939,288.939,301.152,60.384,301.152,0.000,0.000,0.000,0.000,0.000
730,2169.005,310.734,310.734,295.774,59.139,295.774,0.000,0.000,0.000,0.000,0.000
731,2172.010,313.144,313.144,290.726,57.894,290.726,0.000,0.000,0.000,0.000,0.000
732,2175.015,288.878,288.878,286.017,56.649,286.017,0.000,0.000,0.000,0.000,0.000
733,2178.020,265.432,265.432,281.644,55.404,281.644,0.000,0.000,0.000,0.000,0.000
734,2181.025,288.686,288.686,277.603,54.158,277.603,0.000,0.000,0.000,0.000,0.000
735,2184.031,259.878,259.878,273.884,52.913,273.884,0.000,0.000,0.000,0.000,0.000
736,2187.037,269.204,269.204,270.473,51.668,270.473,0.000,0.000,0.000,0.000,0.000
737,2190.043,289.204,289.204,267.351,50.423,267.351,0.000,0.000,0.000,0.000,0.000
738,2193.049,266.999,266.999,264.499,49.178,264.499,0.000,0.000,0.000,0.000,0.000
739,2196.056,255.601,255.601,261.896,47.933,261.896,0.000,0.000,0.000,0.000,0.000
740,2199.063,251.939,251.939,259.519,46.687,259.519,0.000,0.000,0.000,0.000,0.000
741,2202.070,245.806,245.806,257.345,45.442,257.345,0.000,0.000,0.000,0.000,0.000
742,2205.078,269.071,269.071,255.352,44.197,255.352,0.000,0.000,0.000,0.000,0.000
743,2208.086,242.420,242.420,253.516,42.952,253.516,0.000,0.000,0.000,0.000,0.000
744,2211.094,219.336,219.336,251.818,41.707,251.818,0.000,0.000,0.000,0.000,0.000
745,2214.102,247.674,247.674,250.236,40.461,250.236,0.000,0.000,0.000,0.000,0.000
746,2217.111,233.469,233.469,248.753,39.216,248.753,0.000,0.000,0.000,0.000,0.000
747,2220.120,248.204,248.204,247.353,37.971,247.353,0.000,0.000,0.000,0.000,0.000
748,2223.129,238.204,238.204,246.019,36.726,246.019,0.000,0.000,0.000,0.000,0.000
749,2226.139,251.939,251.939,244.740,35.481,244.740,0.000,0.000,0.000,0.000,0.000
