ch,keV,net,fit,model,continuum_raw,Bi-207,Esc-NaI
157,446.238,9458.372,9458.372,9589.230,1339.995,9589.230,0.000
158,449.150,9301.996,9301.996,9449.506,1306.980,9449.506,0.000
159,452.062,9339.403,9339.403,9323.110,1273.966,9323.110,0.000
160,454.974,9207.746,9207.746,9208.866,1240.951,9208.866,0.000
161,457.888,8894.215,8894.215,9105.424,1207.936,9105.424,0.000
162,460.802,8859.090,8859.090,9011.347,1174.922,9011.347,0.000
163,463.717,8939.090,8939.090,8925.233,1141.907,8925.233,0.000
164,466.632,8870.684,8870.684,8845.818,1108.892,8845.818,0.000
165,469.549,8781.809,8781.809,8772.060,1075.878,8772.060,0.000
166,472.466,8579.215,8579.215,8743.775,1083.462,8743.775,0.000
167,475.383,8812.872,8812.872,8719.852,1091.045,8719.852,0.000
168,478.302,8700.434,8700.434,8700.029,1098.629,8700.029,0.000
169,481.221,8865.622,8865.622,8684.276,1106.213,8684.276,0.000
170,484.141,8664.653,8664.653,8672.777,1113.797,8672.777,0.000
171,487.061,8851.622,8851.622,8665.956,1121.381,8665.956,0.000
172,489.982,8675.184,8675.184,8664.556,1128.964,8664.556,0.000
173,492.904,9020.621,9020.621,8669.828,1136.548,8669.828,0.000
174,495.827,8816.528,8816.528,8683.880,1144.132,8683.880,0.000
175,498.750,9364.715,9364.715,8710.273,1151.716,8710.273,0.000
176,501.674,9108.371,9108.371,8754.954,1159.300,8754.954,0.000
177,504.598,9619.841,9619.841,8827.672,1166.883,8827.672,0.000
178,507.524,9480.278,9480.278,8943.989,1174.467,8943.989,0.000
179,510.449,10153.091,10153.091,10208.658,2262.693,10208.658,0.000
180,513.376,10558.434,10558.434,11577.208,3350.919,11577.208,0.000
181,516.303,11714.903,11714.903,13102.070,4439.146,13102.070,0.000
182,519.231,12774.840,12774.840,14856.515,5527.372,14856.515,0.000
183,522.159,14569.247,14569.247,16938.990,6615.598,16938.990,0.000
184,525.088,16461.497,16461.497,19476.199,7703.824,19476.199,0.000
185,528.018,19870.216,19870.216,22623.524,8792.050,22623.524,0.000
186,530.948,23977.622,23977.622,26561.157,9880.276,26561.157,0.000
187,533.879,29699.747,29699.747,31484.286,10968.502,31484.286,0.000
188,536.811,36097.310,36097.310,37586.149,12056.728,37586.149,0.000
189,539.743,45289.716,45289.716,45033.696,13144.954,45033.696,0.000
190,542.676,54564.091,54564.091,53937.085,14233.180,53937.085,0.000
191,545.609,65895.935,65895.935,64316.037,15321.406,64316.037,0.000
192,548.543,78682.435,78682.435,73885.218,14227.020,73885.218,0.000
193,551.478,91539.029,91539.029,84577.862,13132.634,84577.862,0.000
194,554.413,106086.154,106086.154,95987.901,12038.248,95987.901,0.000
195,557.348,119366.497,119366.497,107562.151,10943.862,107562.151,0.000
196,560.285,131413.497,131413.497,118632.313,9849.475,118632.313,0.000
197,563.222,141232.810,141232.810,128468.579,8755.089,128468.579,0.000
198,566.159,147982.122,147982.122,136349.698,7660.703,136349.698,0.000
199,569.097,153188.560,153188.560,141640.552,6566.317,141640.552,0.000
200,572.036,153099.216,153099.216,143865.774,5471.931,143865.774,0.000
201,574.975,149517.841,149517.841,142767.613,4377.545,142767.613,0.000
202,577.915,141434.466,141434.466,138338.289,3283.158,138338.289,0.000
203,580.855,131289.091,131289.091,130821.232,2188.772,130821.232,0.000
204,583.796,118444.466,118444.466,120680.974,1094.386,120680.974,0.000
205,586.738,103850.935,103850.935,108546.910,0.000,108546.910,0.000
206,589.680,87304.091,87304.091,96272.245,37.475,96272.245,0.000
207,592.622,72400.466,72400.466,83460.586,74.950,83460.586,0.000
208,595.565,58801.560,58801.560,70790.307,112.425,70790.307,0.000
209,598.509,46191.654,46191.654,58827.365,149.900,58827.365,0.000
210,601.453,35936.685,35936.685,47991.307,187.375,47991.307,0.000
211,604.398,27015.747,27015.747,38543.852,224.850,38543.852,0.000
212,607.343,20962.654,20962.654,30597.468,262.325,30597.468,0.000
213,610.288,16539.060,16539.060,24138.740,299.800,24138.740,0.000
214,613.235,12995.404,12995.404,19060.143,337.274,19060.143,0.000
215,616.181,10669.748,10669.748,15194.024,374.749,15194.024,0.000
216,619.129,9329.310,9329.310,12343.829,412.224,12343.829,0.000
217,622.076,8537.998,8537.998,10309.362,449.699,10309.362,0.000
218,625.025,8015.123,8015.123,8904.657,487.174,8904.657,0.000
219,627.973,7692.967,7692.967,7968.585,524.649,7968.585,0.000
220,630.923,7966.717,7966.717,7438.163,630.997,7438.163,0.000
221,633.872,7767.404,7767.404,7141.832,737.344,7141.832,0.000
222,636.823,7622.904,7622.904,7003.095,843.692,7003.095,0.000
223,639.773,8044.748,8044.748,6967.255,950.040,6967.255,0.000
224,642.724,7749.592,7749.592,6996.680,1056.387,6996.680,0.000
225,645.676,8013.904,8013.904,7066.414,1162.735,7066.414,0.000
226,648.628,8226.810,8226.810,7160.502,1269.083,7160.502,0.000
227,651.581,7958.467,7958.467,7269.105,1375.430,7269.105,0.000
228,654.534,8136.623,8136.623,7386.381,1481.778,7386.381,0.000
229,657.487,8329.998,8329.998,7508.992,1588.126,7508.992,0.000
230,660.441,7908.592,7908.592,7635.106,1694.473,7635.106,0.000
231,663.396,8423.967,8423.967,7763.739,1800.821,7763.739,0.000
232,666.351,7978.686,7978.686,7894.353,1907.169,7894.353,0.000
233,669.306,8180.092,8180.092,8026.605,2013.516,8026.605,0.000
234,672.262,8128.435,8128.435,8160.212,2119.864,8160.212,0.000
235,675.218,7720.654,7720.654,8109.675,2041.008,8109.675,0.000
236,678.175,7929.842,7929.842,8059.862,1962.152,8059.862,0.000
237,681.132,7236.936,7236.936,8010.402,1883.296,8010.402,0.000
238,684.089,7700.467,7700.467,7960.909,1804.440,7960.909,0.000
239,687.047,7771.311,7771.311,7911.004,1725.583,7911.004,0.000
240,690.006,7268.592,7268.592,7860.346,1646.727,7860.346,0.000
241,692.964,7454.529,7454.529,7808.661,1567.871,7808.661,0.000
242,695.923,7335.217,7335.217,7755.759,1489.015,7755.759,0.000
243,698.883,7470.154,7470.154,7701.547,1410.159,7701.547,0.000
244,701.843,7521.717,7521.717,7646.030,1331.303,7646.030,0.000
245,704.804,7270.404,7270.404,7589.305,1252.447,7589.305,0.000
246,707.764,7475.811,7475.811,7531.546,1173.590,7531.546,0.000
247,710.726,7587.779,7587.779,7472.983,1094.734,7472.983,0.000
248,713.687,7374.873,7374.873,7413.876,1015.878,7413.876,0.000
249,716.649,7348.092,7348.092,7354.492,937.022,7354.492,0.000
250,719.611,7602.248,7602.248,7295.076,858.166,7295.076,0.000
251,722.574,7533.811,7533.811,7345.245,888.716,7345.245,0.000
252,725.537,7731.842,7731.842,7395.748,919.266,7395.748,0.000
253,728.501,7586.655,7586.655,7446.686,949.817,7446.686,0.000
254,731.465,7580.373,7580.373,7498.113,980.367,7498.113,0.000
255,734.429,7502.217,7502.217,7550.044,1010.917,7550.044,0.000
256,737.394,7620.186,7620.186,7602.478,1041.467,7602.478,0.000
257,740.359,7772.717,7772.717,7655.425,1072.018,7655.425,0.000
258,743.324,7847.936,7847.936,7708.924,1102.568,7708.924,0.000
259,746.290,7834.248,7834.248,7763.064,1133.118,7763.064,0.000
260,749.256,7778.436,7778.436,7818.002,1163.669,7818.002,0.000
261,752.222,7806.498,7806.498,7873.955,1194.219,7873.955,0.000
262,755.189,7879.998,7879.998,7931.203,1224.769,7931.203,0.000
263,758.156,8055.092,8055.092,7990.064,1255.319,7990.064,0.000
264,761.123,7879.936,7879.936,8050.875,1285.870,8050.875,0.000
265,764.091,7907.873,7907.873,8113.952,1316.420,8113.952,0.000
266,767.059,7885.311,7885.311,8179.568,1346.970,8179.568,0.000
267,770.028,7991.936,7991.936,8160.841,1290.451,8160.841,0.000
268,772.996,8016.623,8016.623,8144.917,1233.932,8144.917,0.000
269,775.965,8015.748,8015.748,8131.734,1177.413,8131.734,0.000
270,778.935,8318.467,8318.467,8121.070,1120.894,8121.070,0.000
271,781.904,8000.342,8000.342,8112.526,1064.375,8112.526,0.000
272,784.874,8104.780,8104.780,8105.515,1007.856,8105.515,0.000
273,787.845,8394.748,8394.748,8099.246,951.337,8099.246,0.000
274,790.815,8317.686,8317.686,8092.728,894.818,8092.728,0.000
275,793.786,8331.936,8331.936,8084.755,838.299,8084.755,0.000
276,796.758,8441.373,8441.373,8073.921,781.780,8073.921,0.000
277,799.729,8187.717,8187.717,8058.614,725.261,8058.614,0.000
278,802.701,8385.936,8385.936,8037.041,668.742,8037.041,0.000
279,805.673,8230.217,8230.217,8007.248,612.223,8007.248,0.000
280,808.645,8217.967,8217.967,7967.157,555.704,7967.157,0.000
281,811.618,8370.905,8370.905,7914.614,499.185,7914.614,0.000
282,814.591,7925.092,7925.092,7847.455,442.666,7847.455,0.000
283,817.564,7887.811,7887.811,7763.578,386.147,7763.578,0.000
284,820.538,7976.186,7976.186,7696.096,364.695,7696.096,0.000
285,823.512,7625.186,7625.186,7608.233,343.242,7608.233,0.000
286,826.486,7490.499,7490.499,7498.615,321.789,7498.615,0.000
287,829.460,7241.342,7241.342,7366.296,300.337,7366.296,0.000
288,832.434,6849.248,6849.248,7210.837,278.884,7210.837,0.000
289,835.409,6855.717,6855.717,7032.372,257.432,7032.372,0.000
290,838.384,6443.342,6443.342,6831.639,235.979,6831.639,0.000
291,841.360,6123.998,6123.998,6609.997,214.526,6609.997,0.000
292,844.335,5747.936,5747.936,6369.397,193.074,6369.397,0.000
293,847.311,5555.405,5555.405,6112.327,171.621,6112.327,0.000
294,850.287,5175.998,5175.998,5841.726,150.168,5841.726,0.000
295,853.263,4947.155,4947.155,5560.871,128.716,5560.871,0.000
296,856.240,4502.967,4502.967,5273.244,107.263,5273.244,0.000
297,859.217,4469.655,4469.655,4982.392,85.811,4982.392,0.000
298,862.194,4115.186,4115.186,4691.786,64.358,4691.786,0.000
299,865.171,3816.061,3816.061,4404.689,42.905,4404.689,0.000
300,868.149,3680.936,3680.936,4124.041,21.453,4124.041,0.000
301,871.126,3487.530,3487.530,3852.377,0.000,3852.377,0.000
302,874.104,3307.655,3307.655,3625.086,11.873,3625.086,0.000
303,877.082,3059.186,3059.186,3410.415,23.746,3410.415,0.000
304,880.061,3120.092,3120.092,3209.445,35.618,3209.445,0.000
305,883.039,2956.811,2956.811,3022.792,47.491,3022.792,0.000
306,886.018,2725.155,2725.155,2850.659,59.364,2850.659,0.000
307,888.997,2624.342,2624.342,2692.896,71.237,2692.896,0.000
308,891.976,2624.749,2624.749,2549.076,83.109,2549.076,0.000
309,894.955,2370.155,2370.155,2418.559,94.982,2418.559,0.000
310,897.935,2317.811,2317.811,2300.569,106.855,2300.569,0.000
311,900.915,2272.749,2272.749,2194.245,118.728,2194.245,0.000
312,903.894,2167.249,2167.249,2098.695,130.601,2098.695,0.000
313,906.875,2203.561,2203.561,2013.032,142.473,2013.032,0.000
314,909.855,2063.436,2063.436,1936.403,154.346,1936.403,0.000
315,912.835,1943.467,1943.467,1867.998,166.219,1867.998,0.000
316,915.816,1865.217,1865.217,1807.069,178.092,1807.069,0.000
317,918.797,1783.249,1783.249,1752.922,189.965,1752.922,0.000
318,921.778,1803.248,1803.248,1704.924,201.837,1704.924,0.000
319,924.759,1705.530,1705.530,1662.497,213.710,1662.497,0.000
320,927.740,1651.311,1651.311,1625.115,225.583,1625.115,0.000
321,930.722,1637.967,1637.967,1616.524,261.678,1616.524,0.000
322,933.703,1634.686,1634.686,1612.081,297.773,1612.081,0.000
323,936.685,1672.280,1672.280,1611.419,333.869,1611.419,0.000
324,939.667,1542.905,1542.905,1614.242,369.964,1614.242,0.000
325,942.649,1532.655,1532.655,1620.331,406.059,1620.331,0.000
326,945.632,1581.842,1581.842,1629.570,442.154,1629.570,0.000
327,948.614,1535.905,1535.905,1641.974,478.250,1641.974,0.000
328,951.597,1573.655,1573.655,1657.729,514.345,1657.729,0.000
329,954.579,1558.061,1558.061,1677.247,550.440,1677.247,0.000
330,957.562,1538.811,1538.811,1701.231,586.535,1701.231,0.000
331,960.545,1687.186,1687.186,1730.769,622.631,1730.769,0.000
332,963.528,1650.905,1650.905,1767.444,658.726,1767.444,0.000
333,966.511,1655.811,1655.811,1813.467,694.821,1813.467,0.000
334,969.495,1849.124,1849.124,1871.845,730.916,1871.845,0.000
335,972.478,1964.655,1964.655,1946.559,767.012,1946.559,0.000
336,975.462,2094.217,2094.217,2042.773,803.107,2042.773,0.000
337,978.445,2190.842,2190.842,2167.043,839.202,2167.043,0.000
338,981.429,2459.405,2459.405,2327.529,875.297,2327.529,0.000
339,984.413,2763.343,2763.343,2534.169,911.392,2534.169,0.000
340,987.397,3037.843,3037.843,2918.432,1067.105,2918.432,0.000
341,990.381,3321.249,3321.249,3374.503,1222.817,3374.503,0.000
342,993.366,4023.999,4023.999,3918.061,1378.529,3918.061,0.000
343,996.350,4749.999,4749.999,4566.421,1534.241,4566.421,0.000
344,999.335,5445.905,5445.905,5338.101,1689.953,5338.101,0.000
345,1002.319,6155.874,6155.874,6252.173,1845.665,6252.173,0.000
346,1005.304,7466.686,7466.686,7327.368,2001.377,7327.368,0.000
347,1008.288,8894.061,8894.061,8580.951,2157.089,8580.951,0.000
348,1011.273,9817.249,9817.249,10027.389,2312.801,10027.389,0.000
349,1014.258,11633.092,11633.092,11676.859,2468.513,11676.859,0.000
350,1017.243,13921.155,13921.155,13533.691,2624.225,13533.691,0.000
351,1020.228,16045.686,16045.686,15594.837,2779.937,15594.837,0.000
352,1023.214,17608.186,17608.186,17848.518,2935.649,17848.518,0.000
353,1026.199,20250.311,20250.311,20273.166,3091.362,20273.166,0.000
354,1029.184,23353.249,23353.249,22836.831,3247.074,22836.831,0.000
355,1032.169,26423.280,26423.280,25497.155,3402.786,25497.155,0.000
356,1035.155,27353.905,27353.905,28202.026,3558.498,28202.026,0.000
357,1038.140,31023.093,31023.093,30890.955,3714.210,30890.955,0.000
358,1041.126,34339.030,34339.030,33497.165,3869.922,33497.165,0.000
359,1044.112,36131.780,36131.780,35950.320,4025.634,35950.320,0.000
360,1047.097,37772.436,37772.436,37832.355,3833.937,37832.355,0.000
361,1050.083,39261.749,39261.749,39423.232,3642.240,39423.232,0.000
362,1053.069,41569.311,41569.311,40662.312,3450.543,40662.312,0.000
363,1056.055,42091.405,42091.405,41499.158,3258.847,41499.158,0.000
364,1059.041,41315.905,41315.905,41896.458,3067.150,41896.458,0.000
365,1062.027,41806.686,41806.686,41832.243,2875.453,41832.243,0.000
366,1065.013,41461.030,41461.030,41301.224,2683.756,41301.224,0.000
367,1067.999,40068.561,40068.561,40315.119,2492.059,40315.119,0.000
368,1070.985,37339.780,37339.780,38901.960,2300.362,38901.960,0.000
369,1073.971,35537.686,35537.686,37104.422,2108.665,37104.422,0.000
370,1076.957,33499.624,33499.624,34977.322,1916.969,34977.322,0.000
371,1079.943,30665.718,30665.718,32584.496,1725.272,32584.496,0.000
372,1082.930,27396.499,27396.499,29995.287,1533.575,29995.287,0.000
373,1085.916,24596.343,24596.343,27280.934,1341.878,27280.934,0.000
374,1088.902,21719.905,21719.905,24511.101,1150.181,24511.101,0.000
375,1091.889,18885.999,18885.999,21750.794,958.484,21750.794,0.000
376,1094.875,16229.749,16229.749,19057.831,766.787,19057.831,0.000
377,1097.861,13678.530,13678.530,16480.995,575.091,16480.995,0.000
378,1100.848,11819.311,11819.311,14058.916,383.394,14058.916,0.000
379,1103.834,9321.061,9321.061,11819.663,191.697,11819.663,0.000
380,1106.820,7865.874,7865.874,9780.995,0.000,9780.995,0.000
381,1109.807,6285.686,6285.686,8159.598,16.757,8159.598,0.000
382,1112.793,5086.249,5086.249,6746.920,33.513,6746.920,0.000
383,1115.779,4198.405,4198.405,5535.976,50.270,5535.976,0.000
384,1118.766,3353.936,3353.936,4514.470,67.027,4514.470,0.000
385,1121.752,2725.936,2725.936,3666.360,83.783,3666.360,0.000
386,1124.739,2254.155,2254.155,2973.312,100.540,2973.312,0.000
387,1127.725,1796.155,1796.155,2415.980,117.297,2415.980,0.000
388,1130.711,1584.374,1584.374,1975.062,134.053,1975.062,0.000
389,1133.698,1372.624,1372.624,1632.110,150.810,1632.110,0.000
390,1136.684,1194.093,1194.093,1370.111,167.567,1370.111,0.000
391,1139.671,1144.624,1144.624,1173.839,184.323,1173.839,0.000
392,1142.657,1016.593,1016.593,1030.035,201.080,1030.035,0.000
393,1145.643,964.311,964.311,927.428,217.837,927.428,0.000
394,1148.629,908.905,908.905,856.654,234.593,856.654,0.000
395,1151.616,880.936,880.936,810.097,251.350,810.097,0.000
396,1154.602,880.812,880.812,781.685,268.107,781.685,0.000
397,1157.588,865.499,865.499,766.669,284.863,766.669,0.000
398,1160.574,841.749,841.749,761.406,301.620,761.406,0.000
399,1163.560,863.374,863.374,763.152,318.377,763.152,0.000
400,1166.547,794.374,794.374,769.875,335.133,769.875,0.000
