ch,keV,net,fit,model,continuum_raw,Co-60
621,1828.169,115.500,115.500,104.809,104.809,104.809
622,1831.117,104.500,104.500,104.273,104.273,104.273
623,1834.064,99.406,99.406,103.737,103.737,103.737
624,1837.011,108.094,108.094,103.200,103.200,103.200
625,1839.958,95.406,95.406,102.664,102.664,102.664
626,1842.905,111.500,111.500,102.127,102.127,102.127
627,1845.851,95.312,95.312,101.591,101.591,101.591
628,1848.797,74.687,74.687,101.054,101.054,101.054
629,1851.743,96.781,96.781,100.518,100.518,100.518
630,1854.688,101.562,101.562,99.981,99.981,99.981
631,1857.633,88.687,88.687,99.445,99.445,99.445
632,1860.578,94.031,94.031,98.908,98.908,98.908
633,1863.523,102.531,102.531,98.372,98.372,98.372
634,1866.467,99.844,99.844,98.153,98.153,98.153
635,1869.411,101.906,101.906,97.934,97.934,97.934
636,1872.354,92.750,92.750,97.715,97.715,97.715
637,1875.298,113.719,113.719,97.495,97.495,97.495
638,1878.241,101.719,101.719,97.276,97.276,97.276
639,1881.183,111.406,111.406,97.057,97.057,97.057
640,1884.126,108.844,108.844,96.838,96.838,96.838
641,1887.068,94.031,94.031,96.619,96.619,96.619
642,1890.010,103.812,103.812,96.400,96.400,96.400
643,1892.951,93.781,93.781,96.181,96.181,96.181
644,1895.893,83.062,83.062,95.962,95.962,95.962
645,1898.834,96.906,96.906,95.743,95.743,95.743
646,1901.774,121.969,121.969,95.524,95.524,95.524
647,1904.715,95.812,95.812,95.305,95.305,95.305
648,1907.655,106.125,106.125,95.086,95.086,95.086
649,1910.594,92.375,92.375,94.867,94.867,94.867
650,1913.534,99.906,99.906,94.648,94.648,94.648
651,1916.473,89.625,89.625,94.429,94.429,94.429
652,1919.412,92.781,92.781,94.210,94.210,94.210
653,1922.351,80.000,80.000,93.991,93.991,93.991
654,1925.289,110.937,110.937,93.772,93.772,93.772
655,1928.227,96.656,96.656,93.553,93.553,93.553
656,1931.164,105.562,105.562,93.334,93.334,93.334
657,1934.102,108.844,108.844,93.115,93.115,93.115
658,1937.039,95.156,95.156,92.896,92.896,92.896
659,1939.976,85.781,85.781,92.677,92.677,92.677
660,1942.912,88.719,88.719,92.458,92.458,92.458
661,1945.848,86.969,86.969,92.239,92.239,92.239
662,1948.784,76.656,76.656,92.020,92.020,92.020
663,1951.720,106.844,106.844,91.801,91.801,91.801
664,1954.655,101.031,101.031,91.754,91.754,91.754
665,1957.590,104.781,104.781,91.707,91.707,91.707
666,1960.525,81.000,81.000,91.661,91.661,91.661
667,1963.460,95.969,95.969,91.614,91.614,91.614
668,1966.394,81.219,81.219,91.567,91.567,91.567
669,1969.328,96.031,96.031,91.520,91.520,91.520
670,1972.261,91.000,91.000,91.474,91.474,91.474
671,1975.194,84.844,84.844,91.427,91.427,91.427
672,1978.127,87.656,87.656,91.380,91.380,91.380
673,1981.060,89.812,89.812,91.334,91.334,91.334
674,1983.992,93.781,93.781,91.287,91.287,91.287
675,1986.924,96.531,96.531,91.240,91.240,91.240
676,1989.856,71.969,71.969,91.194,91.194,91.194
677,1992.788,93.937,93.937,91.147,91.147,91.147
678,1995.719,76.281,76.281,91.100,91.100,91.100
679,1998.650,87.750,87.750,91.053,91.053,91.053
680,2001.581,97.500,97.500,91.007,91.007,91.007
681,2004.511,114.687,114.687,90.960,90.960,90.960
682,2007.441,96.594,96.594,90.913,90.913,90.913
683,2010.371,75.844,75.844,90.867,90.867,90.867
684,2013.300,88.719,88.719,90.820,90.820,90.820
685,2016.229,91.781,91.781,90.773,90.773,90.773
686,2019.158,104.781,104.781,90.727,90.727,90.727
687,2022.087,83.906,83.906,90.680,90.680,90.680
688,2025.015,100.844,100.844,90.633,90.633,90.633
689,2027.943,84.844,84.844,90.586,90.586,90.586
690,2030.871,81.750,81.750,90.540,90.540,90.540
691,2033.798,81.406,81.406,90.493,90.493,90.493
692,2036.726,91.875,91.875,90.446,90.446,90.446
693,2039.652,93.719,93.719,90.400,90.400,90.400
694,2042.579,91.031,91.031,90.262,90.262,90.262
695,2045.505,89.875,89.875,90.124,90.124,90.124
696,2048.431,98.875,98.875,89.986,89.986,89.986
697,2051.357,74.062,74.062,89.849,89.849,89.849
698,2054.283,102.031,102.031,89.711,89.711,89.711
699,2057.208,85.750,85.750,89.573,89.573,89.573
700,2060.133,104.656,104.656,89.435,89.435,89.435
701,2063.057,92.656,92.656,89.297,89.297,89.297
702,2065.982,77.875,77.875,89.160,89.160,89.160
703,2068.906,81.531,81.531,89.022,89.022,89.022
704,2071.829,87.094,87.094,88.884,88.884,88.884
705,2074.753,92.594,92.594,88.746,88.746,88.746
706,2077.676,110.375,110.375,88.609,88.609,88.609
707,2080.599,100.812,100.812,88.471,88.471,88.471
708,2083.522,100.875,100.875,88.333,88.333,88.333
709,2086.444,88.594,88.594,88.195,88.195,88.195
710,2089.366,92.406,92.406,88.057,88.057,88.057
711,2092.288,96.562,96.562,87.920,87.920,87.920
712,2095.210,93.844,93.844,87.782,87.782,87.782
713,2098.131,86.500,86.500,87.644,87.644,87.644
714,2101.052,72.656,72.656,87.506,87.506,87.506
715,2103.972,93.719,93.719,87.369,87.369,87.369
716,2106.893,91.531,91.531,87.231,87.231,87.231
717,2109.813,91.687,91.687,87.093,87.093,87.093
718,2112.733,93.750,93.750,86.955,86.955,86.955
719,2115.653,83.437,83.437,86.817,86.817,86.817
720,2118.572,91.812,91.812,86.680,86.680,86.680
721,2121.491,75.812,75.812,86.542,86.542,86.542
722,2124.410,85.875,85.875,86.404,86.404,86.404
723,2127.328,94.500,94.500,86.266,86.266,86.266
724,2130.247,91.062,91.062,86.128,86.128,86.128
725,2133.165,94.750,94.750,86.417,86.417,86.417
726,2136.082,88.594,88.594,86.706,86.706,86.706
727,2139.000,85.875,85.875,86.994,86.994,86.994
728,2141.917,82.469,82.469,87.283,87.283,87.283
729,2144.834,73.812,73.812,87.571,87.571,87.571
730,2147.751,81.750,81.750,87.860,87.860,87.860
731,2150.667,85.062,85.062,88.149,88.149,88.149
732,2153.583,84.906,84.906,88.437,88.437,88.437
733,2156.499,72.719,72.719,88.726,88.726,88.726
734,2159.415,89.906,89.906,89.014,89.014,89.014
735,2162.330,92.250,92.250,89.303,89.303,89.303
736,2165.245,100.812,100.812,89.591,89.591,89.591
737,2168.160,97.750,97.750,89.880,89.880,89.880
738,2171.074,98.625,98.625,90.169,90.169,90.169
739,2173.989,84.781,84.781,90.457,90.457,90.457
740,2176.903,90.812,90.812,90.746,90.746,90.746
741,2179.817,96.750,96.750,91.034,91.034,91.034
742,2182.730,101.750,101.750,91.323,91.323,91.323
743,2185.644,88.625,88.625,91.611,91.611,91.611
744,2188.557,83.062,83.062,91.900,91.900,91.900
745,2191.469,80.781,80.781,92.189,92.189,92.189
746,2194.382,89.594,89.594,92.477,92.477,92.477
747,2197.294,95.406,95.406,92.766,92.766,92.766
748,2200.206,97.031,97.031,93.054,93.054,93.054
749,2203.118,71.625,71.625,93.343,93.343,93.343
750,2206.030,80.781,80.781,93.632,93.632,93.632
751,2208.941,92.250,92.250,93.920,93.920,93.920
752,2211.852,95.000,95.000,94.209,94.209,94.209
753,2214.763,103.844,103.844,94.497,94.497,94.497
754,2217.673,93.000,93.000,94.786,94.786,94.786
755,2220.584,101.719,101.719,95.074,95.074,95.074
756,2223.494,81.094,81.094,95.363,95.363,95.363
757,2226.404,82.219,82.219,93.874,93.874,93.874
758,2229.313,95.219,95.219,92.385,92.385,92.385
759,2232.223,86.156,86.156,90.895,90.895,90.895
760,2235.132,91.937,91.937,89.406,89.406,89.406
761,2238.041,85.094,85.094,87.917,87.917,87.917
762,2240.949,85.375,85.375,86.428,86.428,86.428
763,2243.858,86.969,86.969,84.939,84.939,84.939
764,2246.766,85.875,85.875,83.450,83.450,83.450
765,2249.674,83.281,83.281,81.960,81.960,81.960
766,2252.581,88.062,88.062,80.471,80.471,80.471
767,2255.489,78.000,78.000,78.982,78.982,78.982
768,2258.396,90.062,90.062,77.493,77.493,77.493
769,2261.303,68.187,68.187,76.004,76.004,76.004
770,2264.210,83.906,83.906,74.515,74.514,74.515
771,2267.117,67.187,67.187,73.025,73.025,73.025
772,2270.023,79.969,79.969,71.536,71.536,71.536
773,2272.929,69.312,69.312,70.047,70.047,70.047
774,2275.835,78.281,78.281,68.558,68.558,68.558
775,2278.741,82.406,82.406,67.069,67.068,67.069
776,2281.646,84.531,84.531,65.580,65.579,65.580
777,2284.551,64.125,64.125,64.092,64.090,64.092
778,2287.456,87.875,87.875,62.603,62.601,62.603
779,2290.361,76.031,76.031,61.115,61.112,61.115
780,2293.266,57.344,57.344,59.627,59.623,59.627
781,2296.170,69.219,69.219,58.139,58.133,58.139
782,2299.074,67.187,67.187,56.651,56.644,56.651
783,2301.978,60.000,60.000,55.165,55.155,55.165
784,2304.882,59.406,59.406,53.679,53.666,53.679
785,2307.786,50.125,50.125,52.194,52.177,52.194
786,2310.689,67.125,67.125,50.710,50.687,50.710
787,2313.592,61.219,61.219,49.228,49.198,49.228
788,2316.495,48.250,48.250,47.748,47.709,47.748
789,2319.398,37.406,37.406,46.271,46.220,46.271
790,2322.300,38.437,38.437,44.926,44.860,44.926
791,2325.202,51.437,51.437,43.586,43.501,43.586
792,2328.105,43.219,43.219,42.251,42.142,42.251
793,2331.006,39.156,39.156,40.922,40.782,40.922
794,2333.908,38.281,38.281,39.601,39.423,39.601
795,2336.810,41.406,41.406,38.290,38.063,38.290
796,2339.711,36.187,36.187,36.990,36.704,36.990
797,2342.612,34.125,34.125,35.705,35.345,35.705
798,2345.513,24.187,24.187,34.436,33.985,34.436
799,2348.414,33.187,33.187,33.189,32.626,33.189
800,2351.314,30.437,30.437,31.966,31.266,31.966
801,2354.215,22.219,22.219,30.772,29.907,30.772
802,2357.115,15.344,15.344,29.613,28.548,29.613
803,2360.015,37.312,37.312,28.495,27.188,28.495
804,2362.914,24.375,24.375,27.425,25.829,27.425
805,2365.814,29.656,29.656,26.411,24.469,26.411
806,2368.713,26.344,26.344,25.461,23.110,25.461
807,2371.613,25.250,25.250,24.585,21.751,24.585
808,2374.512,18.312,18.312,23.795,20.391,23.795
809,2377.411,15.250,15.250,23.101,19.032,23.101
810,2380.309,28.219,28.219,22.517,17.672,22.517
811,2383.208,31.469,31.469,22.056,16.313,22.056
812,2386.106,22.406,22.406,21.732,14.953,21.732
813,2389.004,17.031,17.031,21.561,13.594,21.561
814,2391.902,29.187,29.187,21.559,12.235,21.559
815,2394.800,21.250,21.250,21.741,10.875,21.741
816,2397.698,21.344,21.344,22.125,9.516,22.125
817,2400.595,19.312,19.312,22.725,8.156,22.725
818,2403.493,22.500,22.500,23.559,6.797,23.559
819,2406.390,18.031,18.031,24.640,5.438,24.640
820,2409.287,26.375,26.375,25.984,4.078,25.984
