ch,keV,net,fit,model,continuum_raw,Zn-65,Ann-511,continuum
245,707.450,45.201,45.201,50.816,7.047,50.816,0.000,0.000
246,710.448,65.517,65.517,50.981,7.055,50.981,0.000,0.000
247,713.447,55.632,55.632,51.157,7.062,51.157,0.000,0.000
248,716.447,46.740,46.740,51.341,7.070,51.341,0.000,0.000
249,719.447,41.992,41.992,51.534,7.078,51.534,0.000,0.000
250,722.447,58.172,58.172,51.733,7.085,51.733,0.000,0.000
251,725.447,42.668,42.668,51.934,7.093,51.934,0.000,0.000
252,728.448,49.704,49.704,52.136,7.101,52.136,0.000,0.000
253,731.450,52.640,52.640,52.336,7.109,52.336,0.000,0.000
254,734.451,66.165,66.165,52.532,7.116,52.532,0.000,0.000
255,737.453,60.136,60.136,52.723,7.124,52.723,0.000,0.000
256,740.456,61.251,61.251,52.908,7.132,52.908,0.000,0.000
257,743.459,49.712,49.712,53.087,7.139,53.087,0.000,0.000
258,746.462,48.812,48.812,53.209,7.095,53.209,0.000,0.000
259,749.465,54.172,54.172,53.328,7.051,53.328,0.000,0.000
260,752.469,52.539,52.539,53.447,7.007,53.447,0.000,0.000
261,755.474,59.460,59.460,53.567,6.963,53.567,0.000,0.000
262,758.478,50.884,50.884,53.692,6.919,53.692,0.000,0.000
263,761.483,54.992,54.992,53.824,6.875,53.824,0.000,0.000
264,764.488,50.963,50.963,53.965,6.831,53.965,0.000,0.000
265,767.494,50.891,50.891,54.116,6.787,54.116,0.000,0.000
266,770.500,49.093,49.093,54.278,6.743,54.278,0.000,0.000
267,773.506,55.963,55.963,54.451,6.699,54.451,0.000,0.000
268,776.513,53.604,53.604,54.633,6.655,54.633,0.000,0.000
269,779.520,48.899,48.899,54.823,6.611,54.823,0.000,0.000
270,782.527,63.575,63.575,55.019,6.567,55.019,0.000,0.000
271,785.535,39.431,39.431,55.218,6.523,55.218,0.000,0.000
272,788.543,60.784,60.784,55.416,6.479,55.416,0.000,0.000
273,791.551,51.748,51.748,55.613,6.435,55.613,0.000,0.000
274,794.559,74.676,74.676,55.991,6.576,55.991,0.000,0.000
275,797.568,59.115,59.115,56.364,6.717,56.364,0.000,0.000
276,800.577,69.316,69.316,56.733,6.858,56.733,0.000,0.000
277,803.587,52.863,52.863,57.097,6.999,57.097,0.000,0.000
