ch,keV,net,fit,model,continuum_raw,Lu-176,Xray-Lu,continuum
54,11.869,13.898,13.898,11.296,11.296,10.746,0.550,0.000
55,12.254,22.767,22.767,11.979,11.979,11.396,0.583,0.000
56,12.640,27.419,27.419,12.757,12.757,12.137,0.621,0.000
57,13.025,23.110,23.110,13.640,13.640,12.976,0.664,0.000
58,13.410,35.745,35.745,14.634,14.634,13.922,0.712,0.000
59,13.795,22.599,22.599,15.746,15.746,14.980,0.766,0.000
60,14.180,22.876,22.876,16.981,16.981,16.155,0.826,0.000
61,14.565,22.566,22.566,18.342,18.342,17.449,0.892,0.000
62,14.950,26.811,26.811,19.826,19.826,18.861,0.965,0.000
63,15.335,25.006,25.006,21.429,21.429,20.386,1.043,0.000
64,15.720,25.691,25.691,23.143,23.143,22.017,1.126,0.000
65,16.105,36.887,36.887,24.951,24.951,23.737,1.214,0.000
66,16.490,31.365,31.365,26.830,26.830,25.525,1.306,0.000
67,16.875,39.294,39.294,28.754,28.754,27.355,1.399,0.000
68,17.260,28.903,28.903,30.690,30.689,29.196,1.493,0.000
69,17.645,37.984,37.984,32.599,32.599,31.013,1.586,0.000
70,18.030,43.017,43.017,34.442,34.442,32.766,1.676,0.000
71,18.415,26.327,26.327,36.175,36.175,34.415,1.760,0.000
72,18.800,36.262,36.262,37.757,37.756,35.919,1.837,0.000
73,19.185,47.262,47.262,39.146,39.145,37.241,1.905,0.000
74,19.570,36.821,36.821,40.307,40.306,38.345,1.962,0.000
75,19.955,34.050,34.050,41.210,41.208,39.204,2.006,0.000
76,20.340,41.751,41.751,41.833,41.830,39.796,2.037,0.000
77,20.725,38.115,38.115,42.161,42.157,40.108,2.053,0.000
78,21.110,40.050,40.050,42.190,42.184,40.135,2.055,0.000
79,21.496,33.555,33.555,41.926,41.918,39.883,2.043,0.000
80,21.881,25.001,25.001,41.384,41.372,39.366,2.018,0.000
81,22.266,47.050,47.050,40.587,40.569,38.606,1.981,0.000
82,22.651,47.213,47.213,39.565,39.539,37.631,1.934,0.000
83,23.036,30.278,30.278,38.354,38.319,36.476,1.878,0.000
84,23.421,31.463,31.463,36.995,36.945,35.179,1.816,0.000
85,23.806,31.724,31.724,35.528,35.461,33.778,1.750,0.000
86,24.191,22.892,22.892,33.997,33.905,32.315,1.682,0.000
87,24.576,23.691,23.691,32.440,32.318,30.826,1.614,0.000
88,24.961,25.593,25.593,30.895,30.732,29.346,1.548,0.000
89,25.346,27.283,27.283,29.393,29.180,27.906,1.487,0.000
90,25.731,28.925,28.925,27.960,27.683,26.529,1.431,0.000
91,26.116,16.479,16.479,26.616,26.261,25.235,1.381,0.000
92,26.501,26.860,26.860,25.375,24.924,24.036,1.339,0.000
93,26.886,40.974,40.974,24.244,23.676,22.940,1.304,0.000
94,27.271,27.202,27.202,23.225,22.518,21.948,1.276,0.000
95,27.656,29.772,29.772,22.315,21.442,21.058,1.256,0.000
96,28.041,27.381,27.381,21.507,20.442,20.264,1.242,0.000
97,28.426,20.696,20.696,20.792,19.503,19.558,1.234,0.000
98,28.811,24.349,24.349,20.159,18.615,18.928,1.231,0.000
99,29.196,22.550,22.550,19.595,17.764,18.365,1.230,0.000
100,29.581,26.811,26.811,19.090,16.937,17.859,1.232,0.000
101,29.966,35.088,35.088,18.633,16.125,17.399,1.234,0.000
102,30.352,11.387,11.387,18.215,15.320,16.979,1.236,0.000
103,30.737,21.104,21.104,17.829,14.515,16.592,1.236,0.000
104,31.122,17.055,17.055,17.468,13.709,16.234,1.234,0.000
105,31.507,27.218,27.218,17.130,12.901,15.901,1.229,0.000
106,31.892,22.990,22.990,16.813,12.093,15.592,1.221,0.000
107,32.277,16.843,16.843,16.516,11.291,15.307,1.209,0.000
108,32.662,11.430,11.430,16.241,10.499,15.047,1.194,0.000
109,33.047,17.088,17.088,15.988,9.725,14.812,1.176,0.000
110,33.432,24.468,24.468,15.761,8.976,14.604,1.156,0.000
111,33.817,19.485,19.485,15.560,8.258,14.424,1.135,0.000
112,34.202,20.729,20.729,15.388,7.578,14.274,1.114,0.000
113,34.587,13.093,13.093,15.247,6.943,14.153,1.094,0.000
114,34.972,21.843,21.843,15.139,6.355,14.063,1.076,0.000
115,35.357,28.680,28.680,15.065,5.818,14.002,1.062,0.000
116,35.742,18.186,18.186,15.027,5.334,13.972,1.054,0.000
117,36.127,30.354,30.354,15.026,4.904,13.973,1.054,0.000
118,36.512,18.387,18.387,15.064,4.525,14.003,1.061,0.000
119,36.897,14.898,14.898,15.142,4.197,14.062,1.079,0.000
120,37.282,21.762,21.762,15.262,3.917,14.153,1.109,0.000
121,37.667,15.713,15.713,15.427,3.681,14.275,1.152,0.000
122,38.052,17.387,17.387,15.640,3.485,14.429,1.210,0.000
123,38.437,14.028,14.028,15.905,3.325,14.619,1.286,0.000
124,38.822,24.044,24.044,16.227,3.197,14.847,1.380,0.000
125,39.208,13.832,13.832,16.612,3.096,15.117,1.495,0.000
126,39.593,13.311,13.311,17.067,3.020,15.434,1.633,0.000
127,39.978,24.294,24.294,17.535,2.898,15.740,1.794,0.000
128,40.363,17.686,17.686,18.090,2.793,16.105,1.985,0.000
129,40.748,11.539,11.539,18.742,2.702,16.534,2.208,0.000
130,41.133,18.669,18.669,19.503,2.622,17.036,2.467,0.000
131,41.518,17.490,17.490,20.386,2.551,17.619,2.766,0.000
132,41.903,20.854,20.854,21.402,2.487,18.292,3.111,0.000
133,42.288,25.034,25.034,22.567,2.428,19.063,3.504,0.000
134,42.673,35.148,35.148,23.893,2.374,19.941,3.952,0.000
135,43.058,18.920,18.920,25.395,2.322,20.937,4.458,0.000
136,43.443,10.219,10.219,27.088,2.273,22.059,5.029,0.000
137,43.828,10.382,10.382,28.983,2.226,23.315,5.668,0.000
138,44.213,28.746,28.746,31.092,2.181,24.713,6.379,0.000
139,44.598,30.436,30.436,33.426,2.136,26.260,7.166,0.000
140,44.983,33.708,33.708,35.992,2.092,27.961,8.032,0.000
141,45.368,20.072,20.072,38.794,2.048,29.818,8.976,0.000
142,45.753,36.664,36.664,41.832,2.005,31.832,10.001,0.000
143,46.138,38.159,38.159,45.104,1.962,34.001,11.103,0.000
144,46.523,42.028,42.028,48.599,1.919,36.320,12.279,0.000
145,46.908,54.159,54.159,52.305,1.876,38.782,13.523,0.000
146,47.293,55.045,55.045,56.201,1.833,41.374,14.827,0.000
147,47.678,71.083,71.083,60.264,1.790,44.081,16.183,0.000
148,48.064,72.148,72.148,64.461,1.748,46.884,17.577,0.000
149,48.449,59.572,59.572,68.755,1.705,49.760,18.995,0.000
150,48.834,69.230,69.230,73.106,1.662,52.685,20.421,0.000
151,49.219,81.610,81.610,77.467,1.620,55.628,21.839,0.000
152,49.604,110.311,110.311,81.787,1.577,58.558,23.229,0.000
153,49.989,68.578,68.578,86.014,1.535,61.442,24.572,0.000
154,50.374,83.366,83.366,90.094,1.492,64.245,25.848,0.000
155,50.759,108.398,108.398,93.971,1.449,66.932,27.039,0.000
156,51.144,107.186,107.186,97.594,1.407,69.467,28.127,0.000
157,51.529,101.681,101.681,100.910,1.364,71.816,29.094,0.000
158,51.914,110.746,110.746,103.873,1.321,73.948,29.926,0.000
159,52.299,120.387,120.387,106.443,1.279,75.832,30.611,0.000
160,52.684,116.550,116.550,108.584,1.236,77.443,31.141,0.000
161,53.069,126.947,126.947,110.269,1.194,78.760,31.509,0.000
162,53.454,111.572,111.572,111.480,1.151,79.767,31.713,0.000
163,53.839,116.116,116.116,112.207,1.108,80.452,31.755,0.000
164,54.224,130.523,130.523,112.448,1.066,80.809,31.639,0.000
165,54.609,130.578,130.578,112.213,1.023,80.839,31.374,0.000
166,54.994,113.447,113.447,111.517,0.980,80.547,30.970,0.000
167,55.379,117.600,117.600,110.385,0.938,79.946,30.440,0.000
168,55.764,88.665,88.665,108.850,0.895,79.050,29.799,0.000
169,56.149,116.768,116.768,106.947,0.853,77.881,29.065,0.000
170,56.534,106.746,106.746,104.718,0.810,76.463,28.255,0.000
171,56.920,106.486,106.486,102.209,0.767,74.823,27.386,0.000
172,57.305,108.029,108.029,99.465,0.725,72.990,26.475,0.000
173,57.690,100.573,100.573,96.533,0.682,70.995,25.538,0.000
174,58.075,109.795,109.795,93.458,0.639,68.868,24.590,0.000
175,58.460,69.806,69.806,90.282,0.597,66.640,23.643,0.000
176,58.845,85.334,85.334,87.046,0.554,64.339,22.707,0.000
177,59.230,88.198,88.198,83.783,0.512,61.993,21.790,0.000
178,59.615,78.203,78.203,80.525,0.469,59.626,20.899,0.000
179,60.000,95.725,95.725,77.298,0.426,57.261,20.037,0.000
180,60.385,80.926,80.926,74.121,0.384,54.915,19.206,0.000
181,60.770,77.926,77.926,71.009,0.341,52.605,18.404,0.000
182,61.155,63.214,63.214,67.974,0.298,50.344,17.630,0.000
183,61.540,66.736,66.736,65.022,0.256,48.140,16.882,0.000
184,61.925,60.600,60.600,62.155,0.213,46.000,16.155,0.000
185,62.310,56.062,56.062,59.375,0.171,43.929,15.446,0.000
186,62.695,60.198,60.198,56.678,0.128,41.928,14.750,0.000
187,63.080,47.443,47.443,54.061,0.085,39.998,14.063,0.000
188,63.465,44.807,44.807,51.520,0.043,38.138,13.382,0.000
189,63.850,35.204,35.204,49.050,0.000,36.346,12.704,0.000
190,64.235,36.356,36.356,46.726,0.036,34.698,12.028,0.000
191,64.620,40.486,40.486,44.466,0.072,33.114,11.352,0.000
192,65.005,46.388,46.388,42.267,0.109,31.590,10.677,0.000
193,65.390,39.340,39.340,40.129,0.145,30.124,10.004,0.000
194,65.776,32.812,32.812,38.051,0.181,28.716,9.335,0.000
195,66.161,25.073,25.073,36.035,0.217,27.362,8.672,0.000
196,66.546,28.193,28.193,34.082,0.254,26.064,8.018,0.000
197,66.931,32.133,32.133,32.197,0.290,24.820,7.377,0.000
198,67.316,47.595,47.595,30.383,0.326,23.631,6.753,0.000
199,67.701,17.361,17.361,28.645,0.362,22.497,6.148,0.000
200,68.086,31.302,31.302,26.987,0.399,21.420,5.567,0.000
201,68.471,24.264,24.264,25.413,0.435,20.401,5.012,0.000
202,68.856,14.454,14.454,23.927,0.471,19.440,4.487,0.000
203,69.241,24.970,24.970,22.532,0.507,18.539,3.993,0.000
204,69.626,21.584,21.584,21.231,0.544,17.699,3.532,0.000
205,70.011,30.829,30.829,20.026,0.580,16.920,3.106,0.000
206,70.396,13.014,13.014,18.917,0.616,16.203,2.714,0.000
207,70.781,6.688,6.688,17.904,0.652,15.547,2.357,0.000
208,71.166,19.753,19.753,16.987,0.689,14.952,2.034,0.000
209,71.551,12.014,12.014,16.162,0.725,14.417,1.745,0.000
210,71.936,17.498,17.498,15.427,0.761,13.940,1.487,0.000
211,72.321,9.791,9.791,14.779,0.797,13.520,1.259,0.000
212,72.706,0.000,-0.915,14.214,0.834,13.155,1.060,0.000
213,73.091,22.661,22.661,13.728,0.870,12.841,0.886,0.000
214,73.476,16.737,16.737,13.314,0.906,12.578,0.736,0.000
215,73.861,16.367,16.367,12.970,0.942,12.363,0.608,0.000
216,74.246,24.786,24.786,12.690,0.979,12.192,0.498,0.000
217,74.632,0.000,-2.480,12.469,1.015,12.063,0.406,0.000
218,75.017,8.607,8.607,12.302,1.051,11.974,0.329,0.000
219,75.402,20.308,20.308,12.186,1.087,11.922,0.264,0.000
220,75.787,13.155,13.155,12.115,1.123,11.904,0.211,0.000
221,76.172,4.770,4.770,12.087,1.160,11.919,0.168,0.000
222,76.557,18.444,18.444,12.097,1.196,11.964,0.132,0.000
223,76.942,6.949,6.949,12.142,1.232,12.038,0.104,0.000
224,77.327,8.324,8.324,12.219,1.268,12.139,0.081,0.000
225,77.712,8.590,8.590,12.327,1.305,12.264,0.062,0.000
226,78.097,0.721,0.721,12.461,1.341,12.413,0.048,0.000
227,78.482,14.308,14.308,12.621,1.377,12.585,0.037,0.000
228,78.867,26.118,26.118,12.804,1.413,12.776,0.028,0.000
229,79.252,8.275,8.275,13.008,1.450,12.987,0.021,0.000
230,79.637,3.770,3.770,13.232,1.486,13.216,0.016,0.000
231,80.022,22.677,22.677,13.473,1.522,13.461,0.012,0.000
232,80.407,16.020,16.020,13.729,1.558,13.720,0.009,0.000
233,80.792,27.444,27.444,13.999,1.595,13.992,0.006,0.000
234,81.177,18.003,18.003,14.280,1.631,14.276,0.005,0.000
235,81.562,18.786,18.786,14.571,1.667,14.568,0.003,0.000
236,81.947,9.802,9.802,14.868,1.703,14.866,0.002,0.000
237,82.332,23.965,23.965,15.170,1.740,15.169,0.002,0.000
238,82.717,14.134,14.134,15.474,1.776,15.473,0.001,0.000
239,83.102,27.906,27.906,15.777,1.812,15.776,0.001,0.000
240,83.488,10.623,10.623,16.076,1.848,16.075,0.001,0.000
241,83.873,26.079,26.079,16.367,1.885,16.367,0.000,0.000
242,84.258,5.541,5.541,16.649,1.921,16.649,0.000,0.000
243,84.643,11.976,11.976,16.918,1.957,16.918,0.000,0.000
244,85.028,20.118,20.118,17.171,1.993,17.171,0.000,0.000
245,85.413,21.444,21.444,17.404,2.029,17.404,0.000,0.000
246,85.798,26.737,26.737,17.616,2.066,17.616,0.000,0.000
247,86.183,20.444,20.444,17.803,2.102,17.803,0.000,0.000
248,86.568,4.465,4.465,17.964,2.138,17.964,0.000,0.000
249,86.953,24.112,24.112,18.095,2.174,18.095,0.000,0.000
250,87.338,23.193,23.193,18.196,2.211,18.196,0.000,0.000
251,87.723,20.134,20.134,18.265,2.247,18.265,0.000,0.000
252,88.108,25.014,25.014,18.300,2.283,18.300,0.000,0.000
253,88.493,32.346,32.346,18.300,2.317,18.300,0.000,0.000
254,88.878,17.215,17.215,18.267,2.351,18.267,0.000,0.000
255,89.263,28.552,28.552,18.200,2.384,18.200,0.000,0.000
256,89.648,25.438,25.438,18.100,2.418,18.100,0.000,0.000
257,90.033,27.976,27.976,17.970,2.452,17.970,0.000,0.000
258,90.418,20.775,20.775,17.811,2.486,17.811,0.000,0.000
259,90.803,15.688,15.688,17.624,2.519,17.624,0.000,0.000
260,91.188,17.014,17.014,17.412,2.553,17.412,0.000,0.000
261,91.573,24.226,24.226,17.178,2.587,17.178,0.000,0.000
262,91.958,12.851,12.851,16.925,2.620,16.925,0.000,0.000
263,92.344,8.922,8.922,16.656,2.654,16.656,0.000,0.000
264,92.729,25.688,25.688,16.373,2.688,16.373,0.000,0.000
265,93.114,17.009,17.009,16.081,2.722,16.081,0.000,0.000
266,93.499,25.819,25.819,15.782,2.755,15.782,0.000,0.000
267,93.884,6.819,6.819,15.480,2.789,15.480,0.000,0.000
268,94.269,14.623,14.623,15.177,2.823,15.177,0.000,0.000
269,94.654,20.275,20.275,14.878,2.857,14.878,0.000,0.000
270,95.039,9.411,9.411,14.583,2.890,14.583,0.000,0.000
271,95.424,12.177,12.177,14.296,2.924,14.296,0.000,0.000
272,95.809,28.943,28.943,14.020,2.958,14.020,0.000,0.000
273,96.194,19.933,19.933,13.755,2.992,13.755,0.000,0.000
274,96.579,20.232,20.232,13.504,3.025,13.504,0.000,0.000
275,96.964,2.998,2.998,13.268,3.059,13.268,0.000,0.000
276,97.349,8.895,8.895,13.048,3.093,13.048,0.000,0.000
277,97.734,11.454,11.454,12.845,3.126,12.845,0.000,0.000
278,98.119,11.079,11.079,12.659,3.160,12.659,0.000,0.000
279,98.504,16.764,16.764,12.491,3.194,12.491,0.000,0.000
280,98.889,11.145,11.145,12.341,3.228,12.341,0.000,0.000
281,99.274,17.791,17.791,12.209,3.261,12.209,0.000,0.000
282,99.659,8.329,8.329,12.094,3.295,12.094,0.000,0.000
283,100.044,16.965,16.965,11.995,3.329,11.995,0.000,0.000
284,100.429,0.000,-0.138,11.913,3.363,11.913,0.000,0.000
285,100.814,10.155,10.155,11.847,3.396,11.847,0.000,0.000
286,101.200,8.253,8.253,11.795,3.430,11.795,0.000,0.000
287,101.585,7.389,7.389,11.758,3.464,11.758,0.000,0.000
288,101.970,13.846,13.846,11.733,3.498,11.733,0.000,0.000
289,102.355,18.025,18.025,11.721,3.531,11.721,0.000,0.000
290,102.740,11.922,11.922,11.721,3.565,11.721,0.000,0.000
291,103.125,0.000,-0.127,11.731,3.599,11.731,0.000,0.000
292,103.510,21.074,21.074,11.752,3.632,11.752,0.000,0.000
293,103.895,13.644,13.644,11.781,3.666,11.781,0.000,0.000
294,104.280,19.498,19.498,11.819,3.700,11.819,0.000,0.000
295,104.665,10.133,10.133,11.865,3.734,11.865,0.000,0.000
296,105.050,12.856,12.856,11.919,3.767,11.919,0.000,0.000
297,105.435,10.123,10.123,11.979,3.801,11.979,0.000,0.000
298,105.820,13.655,13.655,12.045,3.835,12.045,0.000,0.000
299,106.205,11.525,11.525,12.117,3.869,12.117,0.000,0.000
300,106.590,0.000,-1.372,12.194,3.902,12.194,0.000,0.000
301,106.975,14.449,14.449,12.276,3.936,12.276,0.000,0.000
302,107.360,15.297,15.297,12.363,3.970,12.363,0.000,0.000
303,107.745,14.753,14.753,12.455,4.004,12.455,0.000,0.000
304,108.130,24.351,24.351,12.550,4.037,12.550,0.000,0.000
305,108.515,9.655,9.655,12.649,4.071,12.649,0.000,0.000
306,108.900,9.677,9.677,12.752,4.105,12.752,0.000,0.000
307,109.285,3.987,3.987,12.857,4.138,12.857,0.000,0.000
308,109.670,20.796,20.796,12.966,4.172,12.966,0.000,0.000
309,110.056,26.460,26.460,13.078,4.206,13.078,0.000,0.000
310,110.441,7.873,7.873,13.192,4.240,13.192,0.000,0.000
311,110.826,16.867,16.867,13.309,4.273,13.309,0.000,0.000
312,111.211,6.291,6.291,13.428,4.307,13.428,0.000,0.000
313,111.596,18.133,18.133,13.548,4.341,13.548,0.000,0.000
314,111.981,16.737,16.737,13.671,4.375,13.671,0.000,0.000
315,112.366,17.177,17.177,13.795,4.408,13.795,0.000,0.000
316,112.751,18.046,18.046,13.905,4.427,13.905,0.000,0.000
317,113.136,22.411,22.411,14.016,4.445,14.016,0.000,0.000
318,113.521,17.845,17.845,14.128,4.463,14.128,0.000,0.000
319,113.906,16.356,16.356,14.241,4.482,14.241,0.000,0.000
320,114.291,16.650,16.650,14.355,4.500,14.355,0.000,0.000
321,114.676,14.177,14.177,14.469,4.518,14.469,0.000,0.000
322,115.061,9.068,9.068,14.583,4.537,14.583,0.000,0.000
323,115.446,8.715,8.715,14.697,4.555,14.697,0.000,0.000
324,115.831,13.161,13.161,14.811,4.573,14.811,0.000,0.000
325,116.216,22.253,22.253,14.924,4.592,14.924,0.000,0.000
326,116.601,12.503,12.503,15.037,4.610,15.037,0.000,0.000
327,116.986,13.155,13.155,15.150,4.628,15.150,0.000,0.000
328,117.371,20.454,20.454,15.262,4.647,15.262,0.000,0.000
329,117.756,10.780,10.780,15.372,4.665,15.372,0.000,0.000
330,118.141,11.090,11.090,15.483,4.684,15.483,0.000,0.000
331,118.526,14.155,14.155,15.592,4.702,15.592,0.000,0.000
332,118.912,23.057,23.057,15.700,4.720,15.700,0.000,0.000
333,119.297,25.073,25.073,15.807,4.739,15.807,0.000,0.000
334,119.682,14.823,14.823,15.913,4.757,15.913,0.000,0.000
335,120.067,15.546,15.546,16.017,4.775,16.017,0.000,0.000
336,120.452,13.400,13.400,16.121,4.794,16.121,0.000,0.000
337,120.837,28.025,28.025,16.223,4.812,16.223,0.000,0.000
338,121.222,10.660,10.660,16.324,4.830,16.324,0.000,0.000
339,121.607,27.791,27.791,16.425,4.849,16.425,0.000,0.000
340,121.992,22.003,22.003,16.524,4.867,16.524,0.000,0.000
341,122.377,17.644,17.644,16.622,4.885,16.622,0.000,0.000
342,122.762,15.383,15.383,16.719,4.904,16.719,0.000,0.000
343,123.147,18.606,18.606,16.815,4.922,16.815,0.000,0.000
344,123.532,18.329,18.329,16.911,4.940,16.911,0.000,0.000
345,123.917,11.264,11.264,17.005,4.959,17.005,0.000,0.000
346,124.302,18.948,18.948,17.099,4.977,17.099,0.000,0.000
347,124.687,6.492,6.492,17.193,4.995,17.193,0.000,0.000
348,125.072,15.677,15.677,17.286,5.014,17.286,0.000,0.000
349,125.457,21.514,21.514,17.378,5.032,17.378,0.000,0.000
350,125.842,14.101,14.101,17.471,5.050,17.471,0.000,0.000
351,126.227,36.796,36.796,17.563,5.069,17.563,0.000,0.000
352,126.612,13.508,13.508,17.655,5.087,17.655,0.000,0.000
353,126.997,35.916,35.916,17.746,5.106,17.746,0.000,0.000
354,127.382,16.111,16.111,17.838,5.124,17.838,0.000,0.000
355,127.768,4.606,4.606,17.931,5.142,17.931,0.000,0.000
356,128.153,12.720,12.720,18.023,5.161,18.023,0.000,0.000
357,128.538,22.541,22.541,18.115,5.179,18.115,0.000,0.000
358,128.923,16.622,16.622,18.209,5.197,18.209,0.000,0.000
359,129.308,20.008,20.008,18.302,5.216,18.302,0.000,0.000
360,129.693,29.948,29.948,18.396,5.234,18.396,0.000,0.000
361,130.078,23.687,23.687,18.491,5.252,18.491,0.000,0.000
362,130.463,31.535,31.535,18.586,5.271,18.586,0.000,0.000
363,130.848,11.204,11.204,18.682,5.289,18.682,0.000,0.000
364,131.233,27.182,27.182,18.779,5.307,18.779,0.000,0.000
365,131.618,15.926,15.926,18.877,5.326,18.877,0.000,0.000
366,132.003,25.323,25.323,18.976,5.344,18.976,0.000,0.000
367,132.388,14.997,14.997,19.076,5.362,19.076,0.000,0.000
368,132.773,29.649,29.649,19.176,5.381,19.176,0.000,0.000
369,133.158,13.285,13.285,19.278,5.399,19.278,0.000,0.000
370,133.543,22.611,22.611,19.381,5.417,19.381,0.000,0.000
371,133.928,25.383,25.383,19.485,5.436,19.485,0.000,0.000
372,134.313,14.198,14.198,19.589,5.454,19.589,0.000,0.000
373,134.698,14.579,14.579,19.695,5.472,19.695,0.000,0.000
374,135.083,16.812,16.812,19.802,5.491,19.802,0.000,0.000
375,135.468,5.345,5.345,19.910,5.509,19.910,0.000,0.000
376,135.853,20.220,20.220,20.019,5.527,20.019,0.000,0.000
377,136.238,20.546,20.546,20.129,5.546,20.129,0.000,0.000
378,136.624,24.377,24.377,20.239,5.564,20.239,0.000,0.000
379,137.009,22.280,22.280,20.321,5.553,20.321,0.000,0.000
380,137.394,17.241,17.241,20.404,5.542,20.404,0.000,0.000
381,137.779,17.606,17.606,20.488,5.531,20.488,0.000,0.000
382,138.164,15.921,15.921,20.572,5.521,20.572,0.000,0.000
383,138.549,24.508,24.508,20.657,5.510,20.657,0.000,0.000
384,138.934,19.443,19.443,20.742,5.499,20.742,0.000,0.000
385,139.319,28.758,28.758,20.827,5.488,20.827,0.000,0.000
386,139.704,12.725,12.725,20.912,5.477,20.912,0.000,0.000
387,140.089,14.231,14.231,20.998,5.466,20.998,0.000,0.000
388,140.474,25.693,25.693,21.083,5.455,21.083,0.000,0.000
389,140.859,22.426,22.426,21.168,5.444,21.168,0.000,0.000
390,141.244,20.443,20.443,21.253,5.433,21.253,0.000,0.000
391,141.629,21.029,21.029,21.337,5.422,21.337,0.000,0.000
392,142.014,23.850,23.850,21.420,5.411,21.420,0.000,0.000
393,142.399,25.410,25.410,21.503,5.401,21.503,0.000,0.000
394,142.784,24.443,24.443,21.584,5.390,21.584,0.000,0.000
395,143.169,24.497,24.497,21.665,5.379,21.665,0.000,0.000
396,143.554,16.720,16.720,21.745,5.368,21.745,0.000,0.000
397,143.939,22.068,22.068,21.823,5.357,21.823,0.000,0.000
398,144.324,26.747,26.747,21.900,5.346,21.900,0.000,0.000
399,144.709,27.959,27.959,21.975,5.335,21.975,0.000,0.000
400,145.094,28.144,28.144,22.049,5.324,22.049,0.000,0.000
401,145.480,16.991,16.991,22.121,5.313,22.121,0.000,0.000
402,145.865,12.388,12.388,22.192,5.302,22.192,0.000,0.000
403,146.250,38.187,38.187,22.260,5.291,22.260,0.000,0.000
404,146.635,36.415,36.415,22.328,5.280,22.328,0.000,0.000
405,147.020,16.959,16.959,22.393,5.270,22.393,0.000,0.000
406,147.405,33.486,33.486,22.457,5.259,22.457,0.000,0.000
407,147.790,29.366,29.366,22.519,5.248,22.519,0.000,0.000
