ch,keV,net,fit,model,continuum_raw,Eu-152,continuum
255,735.149,28095.085,28095.085,27911.518,5591.622,27911.518,0.000
256,738.142,29081.329,29081.329,29140.213,5567.816,29140.213,0.000
257,741.136,30796.243,30796.243,30661.316,5544.010,30661.316,0.000
258,744.130,32326.434,32326.434,32622.113,5661.440,32622.113,0.000
259,747.124,34342.158,34342.158,34873.307,5778.870,34873.307,0.000
260,750.119,36981.908,36981.908,37389.310,5896.300,37389.310,0.000
261,753.114,38792.737,38792.737,40124.483,6013.730,40124.483,0.000
262,756.109,42720.579,42720.579,43012.045,6131.160,43012.045,0.000
263,759.105,45652.796,45652.796,45964.906,6248.590,45964.906,0.000
264,762.101,47579.750,47579.750,48878.714,6366.020,48878.714,0.000
265,765.097,51938.605,51938.605,51637.141,6483.450,51637.141,0.000
266,768.094,53765.987,53765.987,54119.132,6600.880,54119.132,0.000
267,771.091,56500.750,56500.750,56207.539,6718.310,56207.539,0.000
268,774.088,58407.026,58407.026,57798.274,6835.740,57798.274,0.000
269,777.086,60202.632,60202.632,58809.006,6953.170,58809.006,0.000
270,780.084,59909.980,59909.980,59186.388,7070.600,59186.388,0.000
271,783.082,60520.691,60520.691,58910.928,7188.030,58910.928,0.000
272,786.081,58197.388,58197.388,57998.899,7305.460,57998.899,0.000
273,789.080,58154.316,58154.316,56501.066,7422.890,56501.066,0.000
274,792.079,54437.171,54437.171,54129.971,7171.916,54129.971,0.000
275,795.079,51588.066,51588.066,51358.356,6920.942,51358.356,0.000
276,798.079,49916.447,49916.447,48305.507,6669.967,48305.507,0.000
277,801.079,44938.559,44938.559,45096.545,6418.993,45096.545,0.000
278,804.079,42076.066,42076.066,41853.661,6168.019,41853.661,0.000
279,807.080,37602.717,37602.717,38688.529,5917.044,38688.529,0.000
280,810.081,35290.822,35290.822,35696.546,5666.070,35696.546,0.000
281,813.082,31776.993,31776.993,32953.199,5415.096,32953.199,0.000
282,816.084,30192.112,30192.112,30512.586,5164.122,30512.586,0.000
283,819.086,27153.776,27153.776,28407.823,4913.147,28407.823,0.000
284,822.088,25820.645,25820.645,26652.915,4662.173,26652.915,0.000
285,825.091,24465.645,24465.645,25245.555,4411.199,25245.555,0.000
286,828.093,23399.368,23399.368,24170.325,4160.224,24170.325,0.000
287,831.096,23186.322,23186.322,23401.859,3909.250,23401.859,0.000
288,834.100,22598.474,22598.474,22907.646,3658.276,22907.646,0.000
289,837.103,22854.559,22854.559,22650.307,3407.301,22650.307,0.000
290,840.107,22938.007,22938.007,22589.323,3156.327,22589.323,0.000
291,843.111,23019.210,23019.210,22889.060,3112.115,22889.060,0.000
292,846.115,23522.382,23522.382,23299.430,3067.904,23299.430,0.000
293,849.120,24763.467,24763.467,23776.999,3023.692,23776.999,0.000
294,852.124,24543.210,24543.210,24279.063,2979.480,24279.063,0.000
295,855.129,24648.572,24648.572,24764.631,2935.268,24764.631,0.000
296,858.135,25802.138,25802.138,25195.577,2891.056,25195.577,0.000
297,861.140,26280.730,26280.730,25537.937,2846.845,25537.937,0.000
298,864.146,25558.960,25558.960,25763.266,2802.633,25763.266,0.000
299,867.152,25885.671,25885.671,25849.912,2758.421,25849.912,0.000
300,870.158,26091.382,26091.382,25784.064,2714.209,25784.064,0.000
301,873.164,25793.757,25793.757,25560.444,2669.997,25560.444,0.000
302,876.171,25203.730,25203.730,25182.536,2625.786,25182.536,0.000
303,879.178,24865.960,24865.960,24662.315,2581.574,24662.315,0.000
304,882.185,23870.743,23870.743,24019.483,2537.362,24019.483,0.000
305,885.192,23094.092,23094.092,23280.293,2493.150,23280.293,0.000
306,888.200,22460.257,22460.257,22476.070,2448.938,22476.070,0.000
307,891.207,21514.007,21514.007,21641.582,2404.727,21641.582,0.000
308,894.215,20997.947,20997.947,20813.404,2360.515,20813.404,0.000
309,897.223,20295.572,20295.572,20235.624,2523.533,20235.624,0.000
310,900.231,19736.092,19736.092,19736.851,2686.551,19736.851,0.000
311,903.240,19339.947,19339.947,19350.846,2849.569,19350.846,0.000
312,906.249,18686.105,18686.105,19108.477,3012.586,19108.477,0.000
313,909.257,18986.513,18986.513,19037.100,3175.604,19037.100,0.000
314,912.266,19361.224,19361.224,19160.034,3338.622,19160.034,0.000
315,915.276,19546.296,19546.296,19496.057,3501.640,19496.057,0.000
316,918.285,19874.033,19874.033,20058.827,3664.658,20058.827,0.000
317,921.295,20894.105,20894.105,20856.178,3827.676,20856.178,0.000
318,924.304,21711.789,21711.789,21889.286,3990.694,21889.286,0.000
319,927.314,22637.441,22637.441,23151.757,4153.712,23151.757,0.000
320,930.324,24783.934,24783.934,24628.732,4316.730,24628.732,0.000
321,933.334,26203.454,26203.454,26296.156,4479.748,26296.156,0.000
322,936.345,27938.803,27938.803,28120.389,4642.766,28120.389,0.000
323,939.355,29755.178,29755.178,30058.308,4805.783,30058.308,0.000
324,942.366,31670.625,31670.625,32058.067,4968.801,32058.067,0.000
325,945.377,33488.046,33488.046,34060.572,5131.819,34060.572,0.000
326,948.388,35576.164,35576.164,36001.707,5294.837,36001.707,0.000
327,951.399,37279.309,37279.309,37525.915,5168.553,37525.915,0.000
328,954.410,39350.730,39350.730,38857.479,5042.269,38857.479,0.000
329,957.422,40565.987,40565.987,39936.242,4915.985,39936.242,0.000
330,960.433,41149.408,41149.408,40710.495,4789.701,40710.495,0.000
331,963.445,40794.960,40794.960,41140.184,4663.417,41140.184,0.000
332,966.457,42062.625,42062.625,41199.462,4537.132,41199.462,0.000
333,969.469,42692.408,42692.408,40878.314,4410.848,40878.314,0.000
334,972.481,41956.816,41956.816,40183.112,4284.564,40183.112,0.000
335,975.493,39575.046,39575.046,39136.028,4158.280,39136.028,0.000
336,978.506,38106.349,38106.349,37773.374,4031.996,37773.374,0.000
337,981.518,37817.480,37817.480,36143.028,3905.712,36143.028,0.000
338,984.531,35797.783,35797.783,34301.200,3779.428,34301.200,0.000
339,987.544,33465.638,33465.638,32308.844,3653.144,32308.844,0.000
340,990.556,29168.796,29168.796,30228.044,3526.860,30228.044,0.000
341,993.569,28796.421,28796.421,28118.685,3400.575,28118.685,0.000
342,996.582,26563.158,26563.158,26035.663,3274.291,26035.663,0.000
343,999.595,24357.842,24357.842,24026.814,3148.007,24026.814,0.000
344,1002.609,20883.257,20883.257,22131.668,3021.723,22131.668,0.000
345,1005.622,20362.868,20362.868,20381.018,2895.439,20381.018,0.000
346,1008.635,19168.434,19168.434,18968.539,2940.457,18968.539,0.000
347,1011.649,17938.987,17938.987,17737.804,2985.476,17737.804,0.000
348,1014.663,16644.421,16644.421,16697.537,3030.495,16697.537,0.000
349,1017.676,14800.059,14800.059,15851.886,3075.513,15851.886,0.000
350,1020.690,15091.520,15091.520,15202.038,3120.532,15202.038,0.000
351,1023.704,14874.434,14874.434,14747.702,3165.550,14747.702,0.000
352,1026.718,14354.592,14354.592,14488.322,3210.569,14488.322,0.000
353,1029.732,13696.882,13696.882,14423.943,3255.587,14423.943,0.000
354,1032.746,14344.737,14344.737,14555.671,3300.606,14555.671,0.000
355,1035.760,14591.809,14591.809,14885.728,3345.624,14885.728,0.000
356,1038.774,15611.941,15611.941,15417.124,3390.643,15417.124,0.000
357,1041.789,16012.375,16012.375,16153.012,3435.662,16153.012,0.000
358,1044.803,16837.914,16837.914,17095.799,3480.680,17095.799,0.000
359,1047.818,17818.967,17818.967,18246.098,3525.699,18246.098,0.000
360,1050.832,19538.855,19538.855,19601.627,3570.717,19601.627,0.000
361,1053.847,21179.579,21179.579,21156.147,3615.736,21156.147,0.000
362,1056.861,22446.882,22446.882,22898.529,3660.754,22898.529,0.000
363,1059.876,24507.783,24507.783,24812.034,3705.773,24812.034,0.000
364,1062.891,26804.941,26804.941,26873.878,3750.791,26873.878,0.000
365,1065.905,28756.434,28756.434,29055.121,3795.810,29055.121,0.000
366,1068.920,31293.230,31293.230,31291.176,3811.090,31291.176,0.000
367,1071.935,33713.145,33713.145,33571.648,3826.370,33571.648,0.000
368,1074.950,36409.651,36409.651,35852.068,3841.650,35852.068,0.000
369,1077.965,38347.750,38347.750,38084.899,3856.929,38084.899,0.000
370,1080.980,40882.289,40882.289,40221.037,3872.209,40221.037,0.000
371,1083.995,43017.822,43017.822,42211.481,3887.489,42211.481,0.000
372,1087.010,44423.000,44423.000,44009.076,3902.769,44009.076,0.000
373,1090.025,46964.954,46964.954,45570.240,3918.049,45570.240,0.000
374,1093.040,47644.941,47644.941,46856.585,3933.329,46856.585,0.000
375,1096.055,49128.842,49128.842,47836.352,3948.608,47836.352,0.000
376,1099.070,49530.895,49530.895,48485.577,3963.888,48485.577,0.000
377,1102.085,49670.072,49670.072,48788.956,3979.168,48788.956,0.000
378,1105.100,50156.882,50156.882,48740.343,3994.448,48740.343,0.000
379,1108.116,49619.303,49619.303,48342.888,4009.728,48342.888,0.000
380,1111.131,48759.184,48759.184,47608.805,4025.008,47608.805,0.000
381,1114.146,47974.750,47974.750,46558.780,4040.288,46558.780,0.000
382,1117.161,46521.421,46521.421,45221.065,4055.567,45221.065,0.000
383,1120.176,44683.099,44683.099,43630.305,4070.847,43630.305,0.000
384,1123.192,42324.329,42324.329,41826.138,4086.127,41826.138,0.000
385,1126.207,40462.013,40462.013,39851.667,4101.407,39851.667,0.000
386,1129.222,37723.520,37723.520,37751.848,4116.687,37751.848,0.000
387,1132.237,35047.835,35047.835,35397.578,3957.657,35397.578,0.000
388,1135.252,33103.026,33103.026,33007.098,3798.627,33007.098,0.000
389,1138.267,30566.605,30566.605,30621.684,3639.597,30621.684,0.000
390,1141.283,28203.691,28203.691,28278.785,3480.567,28278.785,0.000
