spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
G1S16_Co60_P5,G1S16,known,Co-60,single,100.000,293.19,3.0995,3.1883E+004,798512.8,2.1356E+001,4.3564E+001,,,0,100.000
G1S16_Cs137_P5,G1S16,known,Cs-137,single,99.893,391.01,2.8735,6.3928E+004,2177953.7,1.7808E+001,3.6468E+001,,,0,100.000
G1S16_Cs137_P5,G1S16,known,pile-up,nuisance,0.107,6.18,2.8735,2.2865E+000,0.0,,,,,0,0.000
G1S16_Eu152_P5,G1S16,known,Eu-152,single,98.506,191.97,3.7908,2.3206E+004,3787190.5,6.2524E+001,1.2597E+002,,,0,98.282
G1S16_Eu152_P5,G1S16,known,Esc-NaI,nuisance,1.491,8.68,3.7908,1.1412E+005,66211.8,,,,,0,1.718
G1S16_Mn54_P5,G1S16,known,Mn-54,single,99.933,248.79,1.6923,2.4713E+004,207921.7,1.2096E+001,2.5065E+001,,,0,100.000
G1S16_Na22_P5,G1S16,known,Na-22,single,27.445,117.75,3.7059,5.5701E+004,305746.0,1.3975E+002,2.8793E+002,,,0,14.756
G1S16_Na22_P5,G1S16,known,Ann-511,nuisance,72.549,188.65,3.7059,1.2783E+005,1766207.2,,,,,0,85.244
G1S16_Th228_P5,G1S16,known,Th-228,single,1.030,119.16,2.1134,1.8958E+003,3320.8,8.0614E+000,1.6365E+001,,,0,1.356
G1S16_Th228_P5,G1S16,known,Ra-224,single,2.835,119.16,2.1134,1.8958E+003,7630.2,,,,,0,3.116
G1S16_Th228_P5,G1S16,known,Rn-220,single,0.054,119.16,2.1134,1.8958E+003,83.0,,,,,0,0.034
G1S16_Th228_P5,G1S16,known,Po-216,single,0.001,119.16,2.1134,1.8958E+003,1.1,,,,,0,0.000
G1S16_Th228_P5,G1S16,known,Pb-212,single,50.528,119.16,2.1134,1.8958E+003,149180.6,,,,,0,60.923
G1S16_Th228_P5,G1S16,known,Bi-212,single,7.854,119.16,2.1134,1.8958E+003,20387.5,,,,,0,8.326
G1S16_Th228_P5,G1S16,known,Tl-208,single,37.697,119.16,2.1134,1.8958E+003,64264.6,,,,,0,26.245
G1S16_Y88_P5,G1S16,known,Y-88,single,98.395,94.92,1.1571,5.5876E+002,14160.1,2.4322E+000,5.0216E+000,,,0,97.273
G1S16_Y88_P5,G1S16,known,Ann-511,nuisance,1.605,5.95,1.1571,1.4382E+001,397.0,,,,,0,2.727
