состояние,чего_нет,спектр,группа,часть,истина,каналов,живое_с,отсчётов,ПШПВ_662_%,фон,калибровка,геометрия,тип_источника,сосуд,проба,ρ_пробы,кристалл,матрица,узел_кривой,исходник
✅,,G1S16_Am241_P25,G1S16,known,241AM,1024,600.0,116115,6.64,фон открытый_15.xml,ref-cal(G1S16_Eu152_P25),G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Am-241 42.13_Точечная-25см_25cm.xml
✅,,G1S16_Ba133_P25,G1S16,known,133BA,1024,1800.0,444959,6.64,фон открытый_15.xml,poly2,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Ba-133 #6649_Точечная-25см_25cm.xml
✅,,G1S16_Cd109_P25,G1S16,known,109CD,1024,1800.0,81970,6.64,фон открытый_15.xml,stored,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Cd-109 #6649_Точечная-25см_25cm.xml
✅,,G1S16_Ce139_P25,G1S16,known,139CE,1024,1800.0,83721,6.64,фон открытый_15.xml,stored,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Ce-139_591_Точечная-25см_25cm.xml
✅,,G1S16_Co60_P25,G1S16,known,60CO,1024,1800.0,495775,6.64,фон открытый_15.xml,affine/grp,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Co-60 #6649_Точечная-25см_25cm.xml
✅,,G1S16_Cs137_P25,G1S16,known,137CS,1024,1800.0,518437,6.64,фон открытый_15.xml,poly2,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Cs-137 #6649_Точечная-25см_25cm.xml
✅,,G1S16_Eu152_P25,G1S16,known,152EU,1024,3600.0,995657,6.64,фон открытый_15.xml,affine,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Eu-152 #6649_Точечная-25см_25cm.xml
✅,,G1S16_Mn54_P25,G1S16,known,54MN,1024,1800.0,250040,6.64,фон открытый_15.xml,affine,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Mn-54_587_Точечная-25см_25cm.xml
✅,,G1S16_Na22_P25,G1S16,known,22NA,1024,1800.2,1511444,6.64,фон открытый_15.xml,poly1/grp,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Na-22_585_Точечная-25см_25cm.xml
✅,,G1S16_Th228_P25,G1S16,known,Th-228,1024,3600.0,191626,6.64,фон открытый_15.xml,affine/robust/grp,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Th-228 #6649_Точечная-25см_25cm.xml
