spectrum,det,part,geometry,why
G1S16_Th232_Petri,G1S16,known,G1S_petri60_oisn10_100_p16,"Петри-60, набивка ОИСН-10 1 г/см³, вплотную"
G1S16_Am241_P25,G1S16,known,G1S_point25,"точечный источник, 25 см от торца"
G1S16_Ba133_P25,G1S16,known,G1S_point25,"точечный источник, 25 см от торца"
G1S16_Cd109_P25,G1S16,known,G1S_point25,"точечный источник, 25 см от торца"
G1S16_Ce139_P25,G1S16,known,G1S_point25,"точечный источник, 25 см от торца"
G1S16_Co60_P25,G1S16,known,G1S_point25,"точечный источник, 25 см от торца"
G1S16_Cs137_P25,G1S16,known,G1S_point25,"точечный источник, 25 см от торца"
G1S16_Eu152_P25,G1S16,known,G1S_point25,"точечный источник, 25 см от торца"
G1S16_Mn54_P25,G1S16,known,G1S_point25,"точечный источник, 25 см от торца"
G1S16_Na22_P25,G1S16,known,G1S_point25,"точечный источник, 25 см от торца"
G1S16_Th228_P25,G1S16,known,G1S_point25,"точечный источник, 25 см от торца"
G1S16_Y88_P25,G1S16,known,G1S_point25,"точечный источник, 25 см от торца"
G1S16_Am241_P5,G1S16,known,G1S_point5,"точечный источник, 5 см от торца"
G1S16_Ba133_P5,G1S16,known,G1S_point5,"точечный источник, 5 см от торца"
G1S16_Cd109_P5,G1S16,known,G1S_point5,"точечный источник, 5 см от торца"
G1S16_Ce139_P5,G1S16,known,G1S_point5,"точечный источник, 5 см от торца"
G1S16_Co57_P5,G1S16,known,G1S_point5,"точечный источник, 5 см от торца"
G1S16_Co60_P5,G1S16,known,G1S_point5,"точечный источник, 5 см от торца"
G1S16_Cs137_P5,G1S16,known,G1S_point5,"точечный источник, 5 см от торца"
G1S16_Eu152_P5,G1S16,known,G1S_point5,"точечный источник, 5 см от торца"
G1S16_Mn54_P5,G1S16,known,G1S_point5,"точечный источник, 5 см от торца"
G1S16_Na22_P5,G1S16,known,G1S_point5,"точечный источник, 5 см от торца"
G1S16_Th228_P5,G1S16,known,G1S_point5,"точечный источник, 5 см от торца"
G1S16_Y88_P5,G1S16,known,G1S_point5,"точечный источник, 5 см от торца"
G1S24_Cs137_Denta120,G1S24,known,G1S_denta120_oisn06_057_p24,"Дента-120мл, набивка ОИСН-06 0.567 г/см³, вплотную"
G1S24_Cs137_Denta120_2,G1S24,known,G1S_denta120_oisn16_166_p24,"Дента-120мл, набивка ОИСН-16 1.658 г/см³, вплотную"
G1S24_K40_Denta120,G1S24,known,G1S_denta120_oisn06_066_p24,"Дента-120мл, набивка ОИСН-06 0.658 г/см³, вплотную"
G1S24_K40_Denta120_2,G1S24,known,G1S_denta120_oisn16_155_p24,"Дента-120мл, набивка ОИСН-16 1.55 г/см³, вплотную"
G1S24_Ra226_Denta120,G1S24,known,G1S_denta120_oisn06_062_p24,"Дента-120мл, набивка ОИСН-06 0.617 г/см³, вплотную"
G1S24_Ra226_Denta120_2,G1S24,known,G1S_denta120_oisn16_167_p24,"Дента-120мл, набивка ОИСН-16 1.667 г/см³, вплотную"
G1S24_Th232_Denta120,G1S24,known,G1S_denta120_oisn06_064_p24,"Дента-120мл, набивка ОИСН-06 0.64 г/см³, вплотную"
G1S24_Th232_Denta120_2,G1S24,known,G1S_denta120_oisn16_160_p24,"Дента-120мл, набивка ОИСН-16 1.6 г/см³, вплотную"
G1S24_Cs137_Mar,G1S24,known,G1S_mar1l_oisn06_057_p24,"Маринелли, набивка ОИСН-06 0.57 г/см³, вплотную"
G1S24_Cs137_Mar_2,G1S24,known,G1S_mar1l_oisn16_166_p24,"Маринелли, набивка ОИСН-16 1.66 г/см³, вплотную"
G1S24_K40_Mar,G1S24,known,G1S_mar1l_oisn06_066_p24,"Маринелли, набивка ОИСН-06 0.66 г/см³, вплотную"
G1S24_K40_Mar_2,G1S24,known,G1S_mar1l_oisn16_155_p24,"Маринелли, набивка ОИСН-16 1.55 г/см³, вплотную"
G1S24_Ra226_Mar,G1S24,known,G1S_mar1l_oisn06_062_p24,"Маринелли, набивка ОИСН-06 0.62 г/см³, вплотную"
G1S24_Ra226_Mar_2,G1S24,known,G1S_mar1l_oisn16_167_p24,"Маринелли, набивка ОИСН-16 1.67 г/см³, вплотную"
G1S24_Th232_Mar,G1S24,known,G1S_mar1l_oisn06_064_p24,"Маринелли, набивка ОИСН-06 0.64 г/см³, вплотную"
G1S24_Th232_Mar_2,G1S24,known,G1S_mar1l_oisn16_160_p24,"Маринелли, набивка ОИСН-16 1.6 г/см³, вплотную"
G1S24_Cs137_Petri,G1S24,known,G1S_petri60_oisn06_057_p24,"Петри-60, набивка ОИСН-06 0.567 г/см³, вплотную"
G1S24_Cs137_Petri_2,G1S24,known,G1S_petri60_oisn16_167_p24,"Петри-60, набивка ОИСН-16 1.667 г/см³, вплотную"
G1S24_K40_Petri,G1S24,known,G1S_petri60_oisn06_067_p24,"Петри-60, набивка ОИСН-06 0.667 г/см³, вплотную"
G1S24_K40_Petri_2,G1S24,known,G1S_petri60_oisn16_155_p24,"Петри-60, набивка ОИСН-16 1.55 г/см³, вплотную"
G1S24_Ra226_Petri,G1S24,known,G1S_petri60_oisn06_062_p24,"Петри-60, набивка ОИСН-06 0.617 г/см³, вплотную"
G1S24_Ra226_Petri_2,G1S24,known,G1S_petri60_oisn16_167_p24,"Петри-60, набивка ОИСН-16 1.667 г/см³, вплотную"
G1S24_Th232_Petri,G1S24,known,G1S_petri60_oisn06_064_p24,"Петри-60, набивка ОИСН-06 0.64 г/см³, вплотную"
G1S24_Th232_Petri_2,G1S24,known,G1S_petri60_oisn16_160_p24,"Петри-60, набивка ОИСН-16 1.6 г/см³, вплотную"
G1S24_Cs137_P25,G1S24,known,G1S_point25,"точечный источник, 25 см от торца"
G1S24_Na22_P25,G1S24,known,G1S_point25,"точечный источник, 25 см от торца"
G1S24_Th228_P25,G1S24,known,G1S_point25,"точечный источник, 25 см от торца"
G1S24_Y88_P25,G1S24,known,G1S_point25,"точечный источник, 25 см от торца"
G1S24_Am241_P5,G1S24,known,G1S_point5,"точечный источник, 5 см от торца"
G1S24_Ba133_P5,G1S24,known,G1S_point5,"точечный источник, 5 см от торца"
G1S24_Bi207_P5,G1S24,known,G1S_point5,"точечный источник, 5 см от торца"
G1S24_Cd109_P5,G1S24,known,G1S_point5,"точечный источник, 5 см от торца"
G1S24_Co60_P5,G1S24,known,G1S_point5,"точечный источник, 5 см от торца"
G1S24_Cs137_P5,G1S24,known,G1S_point5,"точечный источник, 5 см от торца"
G1S24_Eu152_P5,G1S24,known,G1S_point5,"точечный источник, 5 см от торца"
G1S24_Na22_P5,G1S24,known,G1S_point5,"точечный источник, 5 см от торца"
G1S24_Th228_P5,G1S24,known,G1S_point5,"точечный источник, 5 см от торца"
G1S24_Y88_P5,G1S24,known,G1S_point5,"точечный источник, 5 см от торца"
G1S24_Zn65_P5,G1S24,known,G1S_point5,"точечный источник, 5 см от торца"
