key,det,part,min_range_keV,curve_floor_keV,adc_floor_keV,fit_lo_ch,fit_lo_keV,line_floor_keV,lines_below,audited_lines,chi2ndf,model_residual_pct,data_total,data_below,model_below,continuum_below,images_below,area_lines_below
G1S16_Y88_P5,G1S16,known,30.00,20.00,1.24,0,-13.08,20.00,2,0,1.3290,9.74,50508.2,644.2,534.8,534.8,0.0,0.0
G1S24_Cs137_P25,G1S24,known,30.00,20.00,11.40,0,-2.38,20.00,2,0,4.1387,16.43,965016.9,13209.3,14124.5,265.1,13859.4,0.0
G1S24_Na22_P25,G1S24,known,30.00,20.00,5.23,0,-8.46,20.00,2,0,6.2105,6.13,4807167.8,51990.7,48406.6,48406.6,0.0,0.0
G1S24_Th228_P25,G1S24,known,30.00,20.00,10.33,0,-3.44,20.00,2,0,4.2058,7.40,1592342.3,11272.6,10558.0,6861.4,3696.6,0.0
G1S24_Y88_P25,G1S24,known,30.00,20.00,11.17,0,-2.60,20.00,2,0,2.0653,5.37,513855.6,1593.3,1383.3,1383.3,0.0,0.0
G1S24_Am241_P5,G1S24,known,30.00,20.00,0.22,0,-14.71,20.00,3,1,6.7709,27.77,3407676.8,377302.1,465148.6,35332.3,429816.3,89486.9
G1S24_Ba133_P5,G1S24,known,30.00,20.00,7.47,0,-6.40,20.00,3,1,17.2090,26.73,8693353.3,2121574.3,2286520.0,18422.8,2268097.3,0.0
G1S24_Bi207_P5,G1S24,known,30.00,20.00,15.05,0,1.35,20.00,2,0,20.2147,11.98,14994588.8,26980.3,37595.8,37579.8,16.0,0.0
G1S24_Cd109_P5,G1S24,known,30.00,20.00,7.38,0,-6.70,20.00,6,4,2.3679,52.59,60818.6,35435.9,34241.5,33.6,34207.9,34182.9
G1S24_Co60_P5,G1S24,known,30.00,20.00,16.82,0,3.09,20.00,2,0,11.3635,14.00,5316379.5,3584.4,3925.6,3925.6,0.0,0.0
G1S24_Cs137_P5,G1S24,known,30.00,20.00,10.75,0,-2.95,20.00,2,0,12.4812,18.85,5407373.6,160744.9,175183.8,0.0,175183.8,0.0
G1S24_Eu152_P5,G1S24,known,30.00,20.00,8.83,0,-5.00,20.00,2,0,28.9057,16.97,44221021.0,364320.3,335036.0,137981.4,197054.6,0.0
G1S24_Na22_P5,G1S24,known,30.00,20.00,30.71,0,17.36,20.00,2,0,33.8324,15.62,28074105.9,0.0,1.9,1.9,0.0,0.0
G1S24_Th228_P5,G1S24,known,30.00,20.00,1.26,0,-15.62,20.00,2,0,20.4291,9.32,36688161.6,826281.6,793221.9,424416.4,368805.5,0.0
G1S24_Y88_P5,G1S24,known,30.00,20.00,1.75,0,-20.65,20.00,2,0,7.9800,8.67,3995085.9,59100.1,60057.2,60057.2,0.0,0.0
G1S24_Zn65_P5,G1S24,known,30.00,20.00,8.89,0,-4.99,20.00,2,0,1.1343,8.62,30394.7,153.9,128.3,128.3,0.0,0.0
