спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
G1S24_K40_Mar_2              known        1.3318     1.3175   -1.074  <число строк 1→2>, anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_K40_Petri              known        1.2996     1.2992   -0.031  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_K40_Petri_2            known        1.0515     1.0508   -0.067  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Na22_P25               known        6.1789     6.1750   -0.063  anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Na22_P5                known       36.4271    36.3994   -0.076  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Ra226_Denta120         known        1.5174     1.5183   +0.059  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Ra226_Denta120_2       known        3.4270     3.4192   -0.228  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S24_Ra226_Mar              known        2.4645     2.4657   +0.049  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S24_Ra226_Mar_2            known        5.0217     5.0133   -0.167  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S24_Ra226_Petri            known        1.5113     1.5114   +0.007  anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s
G1S24_Ra226_Petri_2          known        2.9769     2.9734   -0.118  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S24_Rn222Coal_Mar_20m      known        1.0377     1.0382   +0.048  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S24_Rn222Coal_Mar_2h       known        1.2236     1.2242   +0.049  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S24_Rn222Coal_Mar_3h       known        1.1873     1.1880   +0.059  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Rn222Coal_Mar_eq01     known        1.4930     1.4945   +0.100  <число строк 19→20>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity
G1S24_Th228_P25              known        4.2046     4.2079   +0.078  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S24_Th228_P5               known       21.4198    21.3838   -0.168  anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Th232_Denta120         known        1.1399     1.1387   -0.105  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th232_Denta120_2       known        2.0676     2.0693   +0.082  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th232_Mar              known        2.6609     2.6599   -0.038  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S24_Th232_Mar_2            known        6.2342     6.3022   +1.091  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th232_Petri            known        1.9925     1.9878   -0.236  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th232_Petri_2          known        4.6158     4.6545   +0.838  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S24_Y88_P25                known        2.0506     2.0726   +1.073  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Y88_P5                 known        8.2105     8.2360   +0.311  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Zn65_P5                known        1.0655     1.0668   +0.122  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
RC103_Cs137_0cm              known        2.3753     2.3720   -0.139  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
RC103_Cs137_50mm             known        0.9813     0.9805   -0.082  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
RC103_K40                    known        1.7791     1.7808   +0.096  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
RC103_Lu176                  known        1.0522     1.0215   -2.918  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s; Lu-176 93.08→93.02; Xray-Lu 6.87→6.94

known: разобранных 92, Σχ²/ndf 475.6416 -> 475.8787 (+0.0498 %)
сдвинулось 92, побитово 0
побитово: 
