ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
1206,407.093,226.325,264.834,80.839,150.546,96.157,0.287,17.706,0.000,0.000,0.135,0.000,0.000,0.000
1207,407.441,267.510,264.703,80.698,150.797,95.785,0.284,17.699,0.000,0.000,0.134,0.000,0.000,0.000
1208,407.788,223.067,264.548,80.558,151.023,95.414,0.281,17.693,0.000,0.000,0.134,0.000,0.000,0.000
1209,408.135,258.214,264.370,80.417,151.225,95.044,0.277,17.686,0.000,0.000,0.134,0.000,0.000,0.000
1210,408.482,199.511,264.168,80.277,151.402,94.675,0.275,17.680,0.000,0.000,0.133,0.000,0.000,0.000
1211,408.829,238.806,263.942,80.136,151.553,94.308,0.272,17.673,0.000,0.000,0.133,0.000,0.000,0.000
1212,409.176,230.547,263.693,79.996,151.679,93.942,0.269,17.667,0.000,0.000,0.133,0.000,0.000,0.000
1213,409.523,228.066,263.420,79.855,151.780,93.577,0.267,17.661,0.000,0.000,0.132,0.000,0.000,0.000
1214,409.870,200.954,263.125,79.715,151.854,93.215,0.265,17.656,0.000,0.000,0.132,0.000,0.000,0.000
1215,410.217,244.807,262.806,79.574,151.903,92.855,0.262,17.650,0.000,0.000,0.132,0.000,0.000,0.000
1216,410.564,259.548,262.465,79.434,151.926,92.498,0.261,17.645,0.000,0.000,0.131,0.000,0.000,0.000
1217,410.911,237.844,262.102,79.293,151.924,92.145,0.259,17.641,0.000,0.000,0.131,0.000,0.000,0.000
1218,411.258,205.916,261.718,79.153,151.896,91.794,0.257,17.637,0.000,0.000,0.131,0.000,0.000,0.000
1219,411.605,222.620,261.313,79.012,151.842,91.448,0.256,17.634,0.000,0.000,0.130,0.000,0.000,0.000
1220,411.952,240.066,260.887,78.872,151.764,91.105,0.254,17.631,0.000,0.000,0.130,0.000,0.000,0.000
1221,412.299,244.064,260.438,78.731,151.659,90.765,0.253,17.628,0.000,0.000,0.130,0.000,0.000,0.000
1222,412.646,259.251,259.964,78.591,151.526,90.427,0.252,17.626,0.000,0.000,0.129,0.000,0.000,0.000
