spectrum,arm,what,name,A,B,changed
radon1,eq,member,Ac-228,"7.794 Бк z=10.1 доля=2.69%","7.754 Бк z=10.1 доля=2.68%",*
radon1,eq,member,Th-228,"7.794 Бк z=10.1 доля=0.0696%","7.754 Бк z=10.1 доля=0.0692%",*
radon1,eq,member,Ra-224,"7.794 Бк z=10.1 доля=0.166%","7.754 Бк z=10.1 доля=0.165%",*
radon1,eq,member,Rn-220,"7.794 Бк z=10.1 доля=0.0022%","7.754 Бк z=10.1 доля=0.00219%",*
radon1,eq,member,Po-216,"7.794 Бк z=10.1 доля=3.59e-05%","7.754 Бк z=10.1 доля=3.58e-05%",*
radon1,eq,member,Pb-212,"7.794 Бк z=10.1 доля=3.11%","7.754 Бк z=10.1 доля=3.1%",*
radon1,eq,member,Bi-212,"7.794 Бк z=10.1 доля=0.324%","7.754 Бк z=10.1 доля=0.322%",*
radon1,eq,member,Tl-208,"7.794 Бк z=10.1 доля=1.9%","7.754 Бк z=10.1 доля=1.89%",*
radon1,nomx,chi2/ndf,,1.143,1.143,
radon1,nomx,gates,,"","рентген кристалла снят 0, вылет кристалла снят 0",
radon1,nomx,layer,Pb-214,41.214,41.214,
radon1,nomx,layer,Bi-214,26.511,26.511,
radon1,nomx,layer,Pb-212,7.446,7.446,
radon1,nomx,layer,Tl-208,3.428,3.428,
radon1,nomx,layer,Ra-226,1.539,1.539,
radon1,nomx,layer,Ra-224,0.393,0.393,
radon1,nomx,layer,Backscatter,11.256,11.256,
radon1,nomx,layer,Esc-CsI,8.189,8.189,
radon1,nomx,layer,continuum,0.024,0.024,
radon1,nomx,member,Ra-226,"66.79 Бк z=6.58 доля=1.54%","66.79 Бк z=6.58 доля=1.54%",
radon1,nomx,member,Pb-214,"141.2 Бк z=71.1 доля=41.2%","141.2 Бк z=71.1 доля=41.2%",
radon1,nomx,member,Bi-214,"141 Бк z=57.8 доля=26.5%","141 Бк z=57.8 доля=26.5%",
radon1,nomx,member,Pb-212,"19.76 Бк z=21.9 доля=7.45%","19.76 Бк z=21.9 доля=7.45%",
