ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
6138,2066.717,18.482,19.481,0.000,0.000,19.481,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6139,2067.093,21.075,19.547,0.000,0.000,19.547,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6140,2067.469,19.778,19.612,0.000,0.000,19.612,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6141,2067.844,21.630,19.678,0.000,0.000,19.678,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6142,2068.220,16.630,19.744,0.000,0.000,19.744,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6143,2068.597,28.926,19.809,0.000,0.000,19.809,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6144,2068.973,25.223,19.875,0.000,0.000,19.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6145,2069.349,23.630,19.940,0.000,0.000,19.940,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6146,2069.725,19.334,20.005,0.000,0.000,20.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6147,2070.101,16.186,20.070,0.000,0.000,20.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6148,2070.478,16.668,20.135,0.000,0.000,20.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6149,2070.854,28.778,20.199,0.000,0.000,20.199,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6150,2071.231,20.260,20.263,0.000,0.000,20.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6151,2071.607,16.186,20.328,0.000,0.000,20.328,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6152,2071.984,12.742,20.392,0.000,0.000,20.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6153,2072.360,21.186,20.455,0.000,0.000,20.455,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6154,2072.737,20.482,20.519,0.000,0.000,20.519,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6155,2073.114,21.630,20.582,0.000,0.000,20.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6156,2073.491,18.482,20.645,0.000,0.000,20.645,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6157,2073.867,23.668,20.708,0.000,0.000,20.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6158,2074.244,15.445,20.770,0.000,0.000,20.770,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6159,2074.621,19.297,20.832,0.000,0.000,20.832,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6160,2074.998,18.334,20.894,0.000,0.000,20.894,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6161,2075.376,17.778,20.955,0.000,0.000,20.955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6162,2075.753,19.778,21.016,0.000,0.000,21.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6163,2076.130,21.852,21.077,0.000,0.000,21.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6164,2076.507,15.038,21.137,0.000,0.000,21.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6165,2076.885,19.445,21.196,0.000,0.000,21.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6166,2077.262,21.260,21.255,0.000,0.000,21.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6167,2077.639,19.630,21.314,0.000,0.000,21.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6168,2078.017,10.926,21.373,0.000,0.000,21.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6169,2078.395,12.408,21.430,0.000,0.000,21.430,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6170,2078.772,11.556,21.488,0.000,0.000,21.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6171,2079.150,21.890,21.545,0.000,0.000,21.545,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6172,2079.528,19.260,21.601,0.000,0.000,21.601,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6173,2079.906,24.334,21.657,0.000,0.000,21.657,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6174,2080.283,21.408,21.713,0.000,0.000,21.713,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6175,2080.661,20.482,21.768,0.000,0.000,21.768,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6176,2081.039,27.926,21.822,0.000,0.000,21.822,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6177,2081.417,18.704,21.876,0.000,0.000,21.876,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6178,2081.796,33.668,21.929,0.000,0.000,21.929,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6179,2082.174,27.852,21.982,0.000,0.000,21.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6180,2082.552,20.556,22.034,0.000,0.000,22.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6181,2082.930,19.778,22.086,0.000,0.000,22.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6182,2083.309,24.186,22.137,0.000,0.000,22.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6183,2083.687,13.482,22.188,0.000,0.000,22.188,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6184,2084.066,11.778,22.238,0.000,0.000,22.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6185,2084.444,28.778,22.287,0.000,0.000,22.287,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6186,2084.823,13.334,22.336,0.000,0.000,22.336,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6187,2085.201,19.852,22.385,0.000,0.000,22.385,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6188,2085.580,19.260,22.432,0.000,0.000,22.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
