родитель;дочерний;BR;пар;медиана;min;max
Ga74;Ge74;1;328;0.9117;0.0087;45.6853
Ga76;Ge76;1;248;0.5163;0.1441;1.0794
Ga78;Ge78;1;104;0.6822;0.2825;0.7817
Ga79;Ge79m;0.049334018747843;13;0.2438;0.0590;0.2457
Ga79;Ge79;0.950665981252157;227;0.2400;0.0054;0.2546
Ga80;Ge80;1;271;0.6038;0.3531;0.7900
Ga81;Ge81m;0.465795808874916;71;0.1376;0.0416;0.6940
Ga81;Ge81;0.534204191125085;94;0.3682;0.0192;3.2950
Ga81;Ge80;0.119;1;3.4536;3.4536;3.4536
Ga82;Ge82;1;3;1.0002;1.0002;1.0002
Ge64;Ga64;1;3;0.9626;0.9626;0.9626
Ge65;Ga65;1;39;0.3300;0.0207;0.3487
Ge66;Ga66;1;196;0.1838;0.0158;8.8722
Ge67;Ga67;1;9;0.0490;0.0488;0.0789
Ge69;Ga69;1;13;0.3603;0.1297;0.3613
Ge71m;Ge71;1;1;0.4793;0.4793;0.4793
Ge75;As75;1;2;0.1140;0.1140;0.1140
Ge77;As77m;0.244953190109771;39;0.5382;0.2637;2.7466
Ge77;As77;0.755046809890229;248;0.3098;0.0044;0.7233
Ge79;As79;1;14;0.2138;0.0457;0.2147
Ge79m;As79m;0.303937117748951;1;0.4911;0.4911;0.4911
Ge79m;As79;0.656062882251049;14;0.7061;0.2189;0.7210
Ge80;As80;1;5;0.2700;0.2700;0.2719
Ge81;As81;1;208;0.5043;0.0084;5.4062
Ge81m;As81;1;61;0.6940;0.2981;5.5585
Ge83;As83;1;56;1.0045;0.9735;1.0306
As67;Ge67;1;48;0.9999;0.9778;1.0736
As68;Ge68;1;32;0.7753;0.5247;1.1062
As69;Ge69m;0.0809240372339859;7;0.4112;0.4093;0.4242
As69;Ge69;0.901023875398795;2;0.0829;0.0829;0.0829
As70;Ge70;1;208;0.6729;0.0484;0.9170
As71;Ge71m;0.039615402394626;3;0.0891;0.0793;0.3021
As71;Ge71;0.960384597605374;21;0.0790;0.0063;0.1203
As72;Ge72;1;30;0.8104;0.5371;0.8483
As74;Ge74;0.66;1;0.9012;0.9012;0.9012
As75m;As75;1;1;1.0029;1.0029;1.0029
As76;Se76;1;37;0.4378;0.1700;0.5938
As78;Se78;1;118;0.4725;0.1534;0.6988
As79;Se79m;0.9715819655091;1;0.0149;0.0149;0.0149
As80;Se80;1;2;0.4205;0.4205;0.4205
As81;Se81;0.957800039095057;8;0.2004;0.0401;10.9817
As82m;Se82;1;10;1.7222;0.6482;3.1345
As84;Se84;1;59;0.8749;0.7051;0.8911
Se68;As68;1;6;0.0360;0.0358;0.0369
Se69;As69;1;76;0.6202;0.3577;4.5700
Se70;As70;1;60;0.2093;0.0470;0.9316
Se71;As71;1;47;0.4749;0.1549;1.7930
Se73;As73;1;10;0.9608;0.3802;1.0019
Se73m;As73;0.274;14;0.0858;0.0850;0.1144
Se75;As75;0.934679737913486;5;0.5892;0.3488;0.5913
Se81;Br81;1;1;0.0069;0.0069;0.0069
Se83;Br83;1;373;0.5103;0.0630;1.4975
Se83m;Br83;1;30;0.1750;0.0219;0.1787
Se85;Br85;1;45;0.0461;0.0019;0.0492
Se86;Br86;1;42;0.4312;0.1801;0.8123
Se87;Br87;1;8;0.2300;0.0529;0.2300
Se88;Br88;0.9933;11;0.1850;0.0355;0.1923
Br70m;Se70;1;3;1.0050;1.0000;1.0050
Br71;Se71;1;5;0.0800;0.0775;0.0832
Br72;Se72;1;53;0.5295;0.2133;0.7545
Br73;Se73m;1;27;0.3692;0.1362;0.3835
Br74;Se74;1;127;0.6059;0.3050;0.9924
Br74m;Se74;1;244;0.8609;0.0251;118.2831
Br75;Se75;1;96;0.8595;0.0837;33.8821
Br76;Se76;1;310;0.5933;0.0331;31.3872
Br76m;Br76;0.997;1;0.9947;0.9947;0.9947
Br76m;Se76;0.0055;1;1.0020;1.0020;1.0020
Br77;Se77m;0.0219634341019219;4;0.2274;0.2274;0.2274
Br77;Se77;0.978036565898078;36;0.2302;0.0437;0.2424
Br78m;Br78;1;1;0.7653;0.7653;0.7653
Br80m;Br80;1;1;1.0000;1.0000;1.0000
Br82;Kr82;1;55;0.8294;0.5983;1.7507
Br84;Kr84;1;53;0.4079;0.0770;0.4302
Br84m;Kr84;1;1;1.0007;1.0007;1.0007
Br85;Kr85m;0.99853970075237;3;0.0163;0.0163;0.0163
Br86;Kr86;1;12;0.6397;0.3169;0.7582
Br87;Kr87;1;271;1.0002;0.4164;1.0672
Br88;Kr88;0.9342;209;0.6598;0.3133;0.6606
Br88m;Br88;1;1;1.0396;1.0396;1.0396
Br89;Kr89;1;96;0.0640;0.0041;0.0648
Br89;Kr88;0.138;2;1.1511;1.1511;1.1511
Br90;Kr90;1;49;0.0380;0.0014;0.0398
Br92;Kr92;1;29;0.4704;0.2211;0.4719
Br92;Kr91;0.331;2;0.2168;0.2168;0.2168
Br93;Kr93;1;16;0.1916;0.0360;0.1944
Kr72;Br72;0.933149306356819;1;0.2187;0.2187;0.2187
Kr73;Br73;1;72;0.2446;0.0606;0.2574
Kr73m;Kr73;1;8;0.2350;0.0479;0.2487
Kr74;Br74;1;86;0.2812;0.0028;0.7877
Kr75;Br75;1;31;0.6484;0.3069;9041.0458
Kr76;Br76m;0.00846129397314493;1;0.4822;0.4822;0.4822
Kr76;Br76;0.991538706026855;121;0.3424;0.0019;17.4081
Kr77;Br77m;0.0925745592994821;2;0.6923;0.5364;0.8482
Kr77;Br77;0.907425440700518;11;0.8037;0.6510;0.8376
Kr79;Br79;1;19;0.1270;0.0162;0.1272
Kr85m;Rb85;0.786;1;0.0954;0.0954;0.0954
Kr87;Rb87;1;14;0.4960;0.2460;0.5042
Kr88;Rb88;1;121;0.3462;0.0246;2.5258
Kr89;Rb89;1;723;0.1999;0.0020;0.3526
Kr90;Rb90m;0.130844363341186;22;0.0386;0.0099;0.2561
Kr90;Rb90;0.869155636658814;50;0.0390;0.0014;0.0392
