родитель;дочерний;BR;пар;медиана;min;max
Rh98m;Ru98;0.11;5;0.4698;0.2925;0.8020
Rh99;Ru99;1;25;0.3798;0.1450;0.3812
Rh99m;Ru99;1;16;0.1111;0.0123;1.3524
Rh100;Ru100;1;270;0.7057;0.1228;1.9187
Rh100m2;Ru100;0.017;1;0.9942;0.9942;0.9942
Rh100m3;Rh100;0.983;2;0.0796;0.0796;0.0796
Rh101;Ru101;1;2;0.7300;0.7300;0.7300
Rh101m;Ru101;0.936;8;0.8610;0.6528;0.8855
Rh102;Ru102;0.78;22;1.3064;1.1535;1.8549
Rh102m;Ru102;1;27;1.0062;0.2158;1.0351
Rh104m;Rh104;0.9987;1;0.4834;0.4834;0.4834
Rh106;Pd106;1;5;0.0205;0.0202;0.0206
Rh106m;Pd106;1;70;0.7351;0.3757;1.2218
Rh107;Pd107;1;17;1.0005;0.6012;1.0193
Rh108;Pd108;1;2;0.4339;0.4339;0.4339
Rh108m;Pd108;1;14;0.8149;0.5648;0.9106
Rh109;Pd109;1;30;0.5204;0.2436;0.7108
Rh110;Pd110;1;43;0.8914;0.5577;3.7492
Rh110m;Pd110;1;6;0.5400;0.2893;0.5532
Rh111;Pd111;1;62;1.0333;0.0404;1.4385
Rh112;Pd112;1;1;0.0926;0.0926;0.0926
Rh112m;Pd112;1;20;0.0183;0.0017;0.1579
Rh113;Pd113;1;54;0.2772;0.0217;0.3054
Rh114;Pd114;1;3;0.5600;0.5600;0.5600
Rh114m;Pd114;1;48;0.0080;0.0052;0.0951
Rh116;Pd116;1;7;0.8199;0.6833;0.8424
Rh116m;Pd116;1;255;0.7778;0.0252;1.0757
Pd95m;Rh95;0.89;29;0.9874;0.9716;0.9980
Pd96;Rh96m;1;14;0.6517;0.4041;0.8242
Pd97;Rh97m;0.0214603397079565;1;0.3310;0.3310;0.3310
Pd97;Rh97;0.978539660292044;39;0.5461;0.1187;0.7444
Pd98;Rh98;1;14;0.5792;0.3411;0.5861
Pd99;Rh99m;0.966926962771722;152;0.5332;0.1981;4.7871
Pd99;Rh99;0.0330730372282781;6;5.5185;0.4683;54.6205
Pd100;Rh100;1;8;0.5112;0.2795;0.5440
Pd101;Rh101m;0.99539499670982;26;0.1903;0.0354;0.1932
Pd111;Ag111m;0.993343525698662;3;0.0087;0.0087;0.0087
Pd111;Ag111;0.00665647430133806;1;0.0091;0.0091;0.0091
Pd111m;Ag111m;0.198604861365388;10;0.0202;0.0202;0.0224
Pd111m;Ag111;0.071395138634612;13;0.0230;0.0204;0.0326
Pd113;Ag113m;0.961501301226696;11;0.9959;0.2464;1.0801
Pd113;Ag113;0.0384986987733039;8;1.1331;0.9325;1.3379
Pd114;Ag114;1;2;2.0276;2.0266;2.0285
Pd116;Ag116;1;4;0.0768;0.0767;0.0770
Pd117m;Pd117;1;5;0.9860;0.4841;2.5673
Pd118;Ag118m;0.198611169321023;22;0.3747;0.0833;0.5947
Pd118;Ag118;0.801388830678977;53;0.4345;0.1590;0.6897
Ag94m;Pd94;1;57;1.0151;0.9980;9.1545
Ag96;Pd96;1;6;0.9343;0.9155;0.9889
Ag97;Pd97;1;1768;1.0006;0.0106;53.4883
Ag98;Pd98;1;1248;1.0026;0.0037;1.0326
Ag99;Pd99;1;111;0.6498;0.1497;0.7760
Ag99m;Ag99;1;1;1.0178;1.0178;1.0178
Ag100;Pd100;1;51;0.9762;0.0652;1.6337
Ag100m;Pd100;1;10;0.8617;0.7416;0.8623
Ag101;Pd101;1;137;0.5260;0.0623;108.1342
Ag102;Pd102;1;12;1.4557;0.2660;3.4711
Ag102m;Pd102;1;10;1.3359;1.3329;1.8036
Ag103;Pd103;1;68;0.0847;0.0042;0.1986
Ag104;Pd104;1;138;0.8965;0.2574;2.0562
Ag104m;Pd104;1;38;0.9000;0.8100;0.9025
Ag105;Pd105;1;40;0.3890;0.0431;0.5284
Ag106;Pd106;1;5;0.0250;0.0239;0.0255
Ag106m;Pd106;1;120;0.0872;0.0012;0.0886
Ag108;Pd108;0.0285;1;0.1766;0.1766;0.1766
Ag108m;Pd108;0.913;3;0.9910;0.9910;1.0000
Ag110m;Cd110;0.9856;48;0.9453;0.7493;1.2618
Ag111;Cd111;1;1;0.0668;0.0668;0.0668
Ag112;Cd112;1;48;0.4312;0.1666;0.4543
Ag113;Cd113;0.984583354308668;4;0.0989;0.0103;0.0994
Ag113m;Cd113;0.36;31;0.2728;0.0385;2.7126
Ag114;Cd114;1;28;0.2050;0.0309;0.4003
Ag115;Cd115m;0.0483751113631322;14;0.1257;0.0028;3.4917
Ag115;Cd115;0.951624888636868;56;0.1781;0.0051;0.1822
Ag116;Cd116;1;71;0.4836;0.1109;2.8113
Ag116m;Cd116;0.93;4;0.9997;0.9997;1.3162
Ag117;Cd117m;0.164462942535761;19;0.0776;0.0179;0.0778
Ag117;Cd117;0.835537057464239;60;0.2598;0.0245;0.4773
Ag117m;Cd117m;0.320041167834505;10;0.2828;0.0979;1.3580
Ag117m;Cd117;0.679958832165495;85;0.5659;0.0748;0.8015
Ag118;Cd118;1;42;0.8112;0.5734;0.8186
Ag118m;Cd118;0.59;120;19.4006;4.2562;448.5524
Ag119;Cd119m;0.291491015630234;55;0.1210;0.0140;0.1251
Ag119;Cd119;0.708508984369766;106;0.1345;0.0132;0.1882
Ag120;Cd120;1;2;1.0064;1.0064;1.0064
Ag120m;Cd120;1;5;1.0064;1.0027;1.0064
Ag121;Cd121m;0.102152223375923;31;0.3095;0.0348;0.3287
Ag121;Cd121;0.897847776624077;108;0.3203;0.0902;3163.4296
Ag122;Cd122;0.998;4;0.9633;0.9249;0.9644
Ag123;Cd123;0.810288597649124;17;0.9224;0.4600;1.3811
Ag124;Cd124;1;2;1.0021;1.0021;1.0021
Ag126;Cd126;1;7;1.0032;1.0018;1.0032
Cd98;Ag98;1;33;0.6041;0.3472;0.7839
Cd100;Ag100m;0.939286458323069;107;0.4453;0.2224;0.6948
Cd100;Ag100;0.0607135416769312;29;0.3271;0.1347;7.3973
Cd101;Ag101m;0.13960160123839;22;0.3439;0.0344;1.7991
Cd101;Ag101;0.86039839876161;124;0.3920;0.0485;0.4994
Cd102;Ag102m;0.957292912969217;21;0.5825;0.0403;0.9708
Cd102;Ag102;0.042707087030783;18;0.4616;0.0136;12.5909
Cd103;Ag103m;0.18741270324571;45;0.0996;0.0095;0.1197
Cd103;Ag103;0.812587296754291;155;0.1100;0.0128;0.1453
Cd104;Ag104m;1;5;0.4593;0.2240;0.4756
Cd105;Ag105m;0.856246954882429;25;0.0043;0.0043;0.0054
Cd105;Ag105;0.143753045117572;26;0.0072;0.0072;0.0299
Cd109m2;Cd109;1;1;0.9999;0.9999;0.9999
Cd111m;Cd111;1;1;0.9398;0.9398;0.9398
Cd115;In115m2;0.999999300672446;2;0.0100;0.0100;0.0100
Cd115m;In115;0.999898368294065;1;0.0020;0.0020;0.0020
Cd117;In117m;0.916094713161297;180;0.2772;0.0207;0.2877
Cd117;In117;0.0839052868387025;25;0.2784;0.0774;2.2855
Cd117m;In117m;0.0146851539833875;7;0.1723;0.0451;0.1972
Cd117m;In117;0.985314846016613;56;0.2636;0.0624;0.2666
Cd119;In119m;0.905177366663028;84;0.3623;0.0355;0.3751
Cd119;In119;0.0948226333369726;11;0.3790;0.1402;2.9074
Cd119m;In119;0.99868718249315;96;0.2101;0.0165;1.4768
Cd121;In121m;0.675121043632725;69;0.4765;0.0590;0.4871
Cd121;In121;0.324878956367274;16;0.4774;0.0495;1.2138
Cd121m;In121;1;124;0.2000;0.0290;0.2038
Cd123;In123m;0.697079010795331;41;0.9782;0.1760;0.9925
Cd123;In123;0.302920989204669;10;1.0153;0.9920;2.8236
Cd123m;In123m;0.00475308469623511;3;1.0199;0.9873;1.0413
Cd123m;In123;0.995246915303765;79;1.0092;0.8016;1.1811
Cd125;In125m;0.561114018063344;21;0.8682;0.1499;0.8908
Cd125;In125;0.438885981936656;1;0.9647;0.9647;0.9647
Cd125m;In125;1;60;0.9400;0.5588;1.1939
Cd126;In126;1;5;0.7900;0.6268;0.7934
Cd128;In128;0.550712883121318;4;0.7600;0.5776;0.7600
In102;Cd102;1;11;1.0021;1.0021;1.0136
In103;Cd103;1;273;0.2997;0.0056;63.2740
In104;Cd104;1;119;1.0031;0.7273;3.3638
In105;Cd105;1;283;0.1713;0.0033;1.2094
In106;Cd106;1;64;0.9940;0.5889;1.9057
In106m;Cd106;1;21;0.9180;0.3776;121.2865
In107;Cd107;1;217;0.4717;0.1037;0.4796
In108;Cd108;1;192;1.8834;1.1498;6.9304
In108m;Cd108;1;5;0.7667;0.5825;0.7669
In109;Cd109m;0.0405664351423159;2;0.7690;0.7690;0.7690
In109;Cd109;0.959433564857684;15;0.7347;0.3019;0.7628
In109m2;In109;1;1;1.1910;1.1910;1.1910
In110;Cd110;1;112;0.9691;0.5934;1.6953
In110m;Cd110;1;29;0.9841;0.8876;2.7170
In111;Cd111;0.999950002499875;1;1.0008;1.0008;1.0008
In114m;Cd114;0.0325;1;3.5000;3.5000;3.5000
In116;Sn116;0.99977;1;0.0130;0.0130;0.0130
In116m;Sn116;1;33;0.7979;0.6738;0.9984
In117;Sn117;0.996565975203146;1;0.9990;0.9990;0.9990
In118;Sn118;1;2;0.0500;0.0500;0.0500
In118m;Sn118;1;82;0.9580;0.7073;23.9802
In119;Sn119;0.926206185368237;1;0.8697;0.8697;0.8697
In120m;Sn120;1;3;1.0009;1.0009;1.0012
In120m2;Sn120;1;102;0.9709;0.6440;1.1126
In121;Sn121m;0.121355010244441;1;0.9333;0.9333;0.9333
In121;Sn121;0.878644989755559;2;1.0117;1.0117;1.0117
In121m;Sn121;0.988;2;0.0051;0.0051;0.0051
In122;Sn122;1;12;0.2903;0.2903;0.2903
In122m;Sn122;1;120;0.9662;0.7178;1.3599
In122m2;Sn122;1;43;1.0000;0.9948;1.0320
In123;Sn123m;0.968220757848529;3;1.0800;1.0800;1.0800
In123;Sn123;0.0317792421514712;4;0.9780;0.9778;0.9780
In124;Sn124;1;42;1.0000;0.9806;1.3780
In124m;Sn124;1;90;0.9967;0.9223;1.1501
In125;Sn125m;0.83116339192555;1;0.9320;0.9320;0.9320
In125;Sn125;0.16883660807445;3;0.9335;0.9308;0.9335
In126;Sn126;1;47;1.0010;0.9970;1.0043
In126m;Sn126;1;174;1.0003;0.9767;1.0394
In127;Sn127m;0.613730401286739;20;0.4885;0.2182;0.4968
In127;Sn127;0.386269598713261;5;0.4964;0.2772;0.5713
In128;Sn128;1;63;1.0009;0.9964;1.0028
In128m;Sn128m;0.862069407637796;18;0.5478;0.1849;0.7432
In128m;Sn128;0.137930592362204;47;0.4933;0.4142;6.1043
In129;Sn129m;0.106238142316417;4;0.3538;0.2679;0.4398
In129;Sn129;0.893761857683584;6;0.4462;0.1751;0.4462
In129m;Sn129;0.997;1;1.5651;1.5651;1.5651
In130;Sn130m;0.252598169566608;8;0.7090;0.2156;0.7919
In130;Sn130;0.747401830433392;31;0.6587;0.1674;0.7785
In130m;Sn130m;1;3;0.8400;0.7086;0.8436
In130m2;Sn130m;0.172823101747883;7;0.8587;0.7432;0.8670
In130m2;Sn130;0.827176898252117;42;0.8557;0.5496;0.9233
In131;Sn131;1;1;1.2270;1.2270;1.2270
In131m2;Sn131m;0.99;6;1.0157;0.9990;1.2440
In132;Sn132m;0.223961290534195;4;0.4769;0.1552;0.4840
In132;Sn132;0.776038709465805;221;0.2515;0.0655;0.7115
Sn104;In104m;0.926967516931728;10;0.3150;0.2837;0.5104
Sn104;In104;0.0730324830682715;42;0.5587;0.1072;21.8637
Sn105;In105m;0.222497003196053;13;0.0305;0.0304;0.0364
Sn105;In105;0.777502996803947;63;0.0299;0.0125;0.0354
Sn106;In106m;1;21;0.0915;0.0163;0.3220
Sn108;In108m;1;16;0.6219;0.2485;0.7949
Sn109;In109m;0.293675441557968;39;0.2927;0.0315;0.4038
Sn109;In109;0.706324558442032;89;0.3045;0.0321;0.7267
Sn111;In111;0.998478145203011;6;0.0265;0.0265;0.0265
Sn115m;Sn115;1;1;28.0900;28.0900;28.0900
Sn117m;Sn117;1;1;0.8631;0.8631;0.8631
Sn125;Sb125;1;15;0.0971;0.0094;0.0984
Sn125m;Sb125;1;3;0.9718;0.9718;0.9718
Sn126;Sb126m2;0.66932806571283;4;0.3655;0.1360;0.3713
Sn126;Sb126m;0.33067193428717;1;0.3690;0.3690;0.3690
Sn127;Sb127;1;541;0.1518;0.0019;0.4243
Sn128;Sb128m;1;18;0.4586;0.2027;0.5900
Sn128m;Sn128;1;3;1.0009;1.0009;1.0020
Sn129;Sb129;1;43;0.8757;0.6797;0.8866
Sn129m;Sb129m2;0.0998301053346925;7;0.9244;0.0804;2.1577
Sn129m;Sb129;0.947306999789912;42;0.3691;0.0196;55.3189
Sn130;Sb130m;1;62;0.6697;0.3245;0.6832
Sn130m;Sb130m;0.133544794964292;16;0.0550;0.0126;1.1210
Sn130m;Sb130;0.866455205035708;194;0.0526;0.0021;0.2310
Sn131;Sb131;1;315;1.0010;0.0434;1.1969
Sn131m;Sb131;1;315;1.0010;0.0434;1.1969
Sn132;Sb132;1;29;0.4862;0.2282;0.4926
Sn135;Sb135;1;5;0.2394;0.2394;0.2394
Sb108;Sn108;1;20;1.0009;0.9982;1.0621
Sb109;Sn109;1;7;0.2503;0.0624;0.2529
Sb110;Sn110;1;14;0.9166;0.9109;0.9220
Sb111;Sn111;1;28;1.2000;1.1882;1.4846
Sb112;Sn112;1;14;0.0961;0.0092;0.1413
Sb113;Sn113m;0.195562814965049;1;0.8176;0.8176;0.8176
Sb113;Sn113;0.804437185034951;6;0.8127;0.8059;0.8127
Sb114;Sn114;1;63;0.9877;0.6835;5685.6088
Sb115;Sn115;1;10;0.0982;0.0097;0.1070
Sb115m;Sb115;1;1;0.9200;0.9200;0.9200
Sb115m2;Sb115m;1;2;0.7554;0.6736;0.8372
Sb116;Sn116;1;10;0.8486;0.7196;0.8558
Sb116m;Sn116;1;40;1.0140;0.9342;3.6270
Sb117;Sn117;1;2;0.8581;0.8581;0.8581
Sb117m;Sb117;1;50;0.0824;0.0023;2.1120
Sb118m;Sn118;1;8;0.9994;0.9981;1.0007
Sb120;Sn120;1;1;0.0169;0.0169;0.0169
Sb120m2;Sn120;1;3;1.0012;1.0002;1.0022
Sb122;Te122;0.9759;1;0.7242;0.7242;0.7242
Sb124;Te124;1;55;0.9866;0.0429;23.3456
Sb124m;Te124;0.25;5;1.0049;1.0041;1.0049
Sb125;Te125m;0.230758708770131;5;0.2879;0.0844;0.2895
Sb125;Te125;0.769241291229869;14;0.3023;0.0904;0.3038
Sb126;Te126;1;48;0.9959;0.9878;10.5049
Sb126m;Te126;0.86;11;0.9924;0.9886;0.9962
Sb127;Te127m;0.134160675015336;2;0.4807;0.4807;0.4807
Sb127;Te127;0.865839324984664;7;0.3550;0.1309;0.5149
Sb128;Te128;1;215;1.0028;0.0030;1.9801
Sb128m;Te128;0.964;28;1.0028;1.0000;1.0064
Sb129;Te129m;0.207087967823196;1;0.4404;0.4404;0.4404
Sb129;Te129;0.792912032176804;14;0.4302;0.1260;86.8539
Sb129m;Sb129;0.15;1;1.0010;1.0010;1.0010
Sb130;Te130;1;176;1.0025;0.4157;1.5508
Sb130m;Te130;1;41;1.0022;0.9889;4.8457
Sb131;Te131;0.937858508604207;39;0.4619;0.0334;11.3374
Sb132;Te132;1;14;0.9900;0.9736;0.9934
Sb133;Te133m;0.173057714755327;3;0.0431;0.0430;0.0432
Sb133;Te133;0.826942285244673;27;0.0431;0.0012;0.1305
Sb133m2;Sb133;1;1;1.1422;1.1422;1.1422
Sb134;Te134;1;2;1.0000;1.0000;1.0000
Sb134m;Te134m;0.97191637630662;1;0.5135;0.5135;0.5135
Sb134m;Te134;0.0280836236933798;1;0.4710;0.4710;0.4710
Sb135;Te135;1;14;0.0711;0.0711;0.0716
Sb135;Te134;0.147148683429024;1;0.3083;0.3083;0.3083
Sb136;Te136;1;15;0.1809;0.0326;0.1809
Te109;Sb109;0.961;6;0.2755;0.0518;2.3486
Te112;Sb112;1;3;1.7308;1.0224;3.9840
Te113;Sb113;1;8;0.2200;0.0485;0.2316
Te114;Sb114;1;143;0.0839;0.0072;0.4439
Te115;Sb115;0.97410038095983;48;0.2922;0.0312;0.3375
Te115m;Sb115;1;30;3.0280;2.9686;26.3145
Te116;Sb116;1;25;1.0614;0.7791;1.2632
Te117;Sb117;1;9;0.6470;0.4174;0.6487
Te119;Sb119;1;11;0.8410;0.7089;0.8443
Te119m;Sb119;1;76;0.6607;0.2742;2.5145
Te121;Sb121;1;3;0.0804;0.0802;0.0805
Te121m;Sb121;0.114;1;0.6867;0.6867;0.6867
Te125m;Te125;1;1;1.0053;1.0053;1.0053
Te127;I127;1;1;0.0098;0.0098;0.0098
Te129;I129;1;8;0.0776;0.0767;0.0779
Te129m;I129;0.37;3;0.1303;0.0169;0.1304
Te131;I131;1;38;0.0690;0.0036;0.0692
Te131m;I131;0.741;185;0.0505;0.0012;0.0540
Te132;I132;1;4;0.8800;0.7744;0.8800
Te132m2;Te132;0.869337979094077;6;1.0015;1.0000;1.0034
Te133;I133;1;185;0.0626;0.0012;0.8123
Te133m;I133m2;0.0906649901085991;25;0.0675;0.0268;0.0874
Te133m;I133;0.724793713671845;453;0.0678;0.0012;1.2757
Te134;I134;1;78;0.2941;0.0312;0.2974
Te134m;Te134;1;3;1.0009;1.0000;1.0009
Te135;I135;1;24;0.2792;0.0188;0.2875
Te135m;Te135;1;1;0.9599;0.9599;0.9599
Te136;I136;1;6;0.1791;0.0343;0.1825
I114;Te114;1;14;0.4692;0.2193;0.4695
I114m;Te114;0.91;28;1.0032;1.0026;1.0085
I116;Te116;1;7;0.0858;0.0073;0.0861
I117;Te117;1;9;0.7500;0.5974;0.7500
I119;Te119m;0.00934904404010386;1;0.8761;0.8761;0.8761
I119;Te119;0.990650955959896;75;0.8480;0.4773;1.4381
I120;Te120;1;90;0.4937;0.0335;0.7662
I120m;Te120;1;14;1.0050;0.0487;3.6528
I121;Te121;0.998096386779222;24;0.8421;0.7072;0.8485
I122;Te122;1;7;0.1800;0.0322;0.1851
I123;Te123;0.999955997359842;3;0.8308;0.8308;0.8308
I124;Te124;1;53;0.6321;0.3792;0.6539
I126;Xe126;0.473;1;0.7520;0.7520;0.7520
I126;Te126;0.527;1;0.6264;0.6264;0.6264
I128;Xe128;0.931;1;0.1355;0.1355;0.1355
I130;Xe130;1;66;0.9832;0.8458;0.9993
I130m;Xe130;0.16;2;0.9873;0.9873;0.9873
I131;Xe131m;0.0108211717913673;1;0.8806;0.8806;0.8806
I131;Xe131;0.989178828208633;2;0.8143;0.8143;0.8143
I132;Xe132;1;308;0.9769;0.0056;15.9020
I132m;Xe132;0.14;13;1.0000;1.0000;1.0053
I133;Xe133;0.971236586496824;20;0.0877;0.0077;0.0885
I134;Xe134;1;175;0.9206;0.0495;1.0011
I134m;I134;0.977;1;0.8100;0.8100;0.8100
I135;Xe135m;0.165557952140631;8;0.2867;0.0813;1.6316
I135;Xe135;0.834442047859369;61;0.2875;0.0242;0.2899
I136m;Xe136;1;57;0.0960;0.0010;0.1258
I137;Xe137;1;174;1.0011;0.0125;1.9010
I138;Xe138;1;111;0.0523;0.0012;0.0965
I139;Xe139;1;22;0.0811;0.0293;0.0914
I139;Xe138;0.1;2;0.8046;0.8046;0.8046
I140;Xe140;1;8;1.0139;0.9920;1.0184
Xe117;I117;1;26;0.0101;0.0099;0.0200
Xe120;I120;1;308;0.0867;0.0018;0.4139
Xe121;I121;1;349;0.1254;0.0092;0.1595
Xe122;I122;1;18;0.0780;0.0061;0.0789
Xe123;I123;1;54;0.4823;0.2357;0.4909
Xe125;I125;1;25;0.5369;0.1585;4.7688
Xe127;I127;1;4;0.6792;0.4622;0.6825
Xe127m;Xe127;1;1;0.6871;0.6871;0.6871
Xe129m;Xe129;1;1;0.9790;0.9790;0.9790
Xe132m;Xe132;1;10;1.0000;1.0000;1.0008
Xe133;Cs133;1;1;0.9938;0.9938;0.9938
Xe134m;Xe134;1;3;1.0024;1.0022;1.0024
Xe135;Cs135;1;2;0.8982;0.8982;0.8982
Xe137;Cs137;1;10;0.0310;0.0309;0.0311
Xe138;Cs138;1;57;0.0315;0.0310;0.0319
Xe139;Cs139;1;294;0.0560;0.0013;0.1387
Xe140;Cs140;1;282;0.1991;0.0148;0.6979
Xe141;Cs141;1;210;0.1369;0.0077;14.3590
Xe142;Cs142;1;476;1.0046;0.1718;673.9864
Cs116m;Xe116;1;29;0.0941;0.0053;0.0957
Cs117;Xe117;1;33;0.0150;0.0033;0.0151
Cs118;Xe118;1;99;1.0000;0.0996;4.3930
Cs118m;Xe118;1;99;1.0000;0.0996;4.3930
Cs120;Xe120;1;640;0.9987;0.4296;13.6750
Cs120m;Xe120;1;640;0.9987;0.4296;13.6750
Cs121;Xe121;1;31;0.0330;0.0326;0.0381
Cs121m;Xe121;0.83;65;0.0315;0.0304;0.1324
Cs122;Xe122;1;45;0.4739;0.1501;0.7221
Cs122m;Xe122;1;90;0.8757;0.0271;3.8694
Cs122m2;Cs122;1;1;2.0800;2.0800;2.0800
Cs123;Xe123;1;44;0.0225;0.0078;0.6181
Cs123m;Cs123;1;2;0.0330;0.0313;0.0347
Cs124;Xe124;1;36;0.4700;0.0665;0.4788
Cs124m;Cs124;1;15;264.5667;14.9742;245927.8512
Cs125;Xe125;1;1;0.0323;0.0323;0.0323
Cs126;Xe126;1;37;0.4070;0.1249;0.4876
Cs127;Xe127;1;32;0.6240;0.3104;0.6548
Cs127m;Cs127;1;4;0.9852;0.9800;0.9923
Cs128;Xe128;1;16;0.2661;0.0721;0.2712
Cs129;Xe129;1;12;0.0306;0.0300;0.0308
Cs130;Xe130;0.984;7;0.0393;0.0019;0.0563
Cs130m;Cs130;0.9984;2;0.0510;0.0510;0.0510
Cs132;Ba132;0.0187;1;52.1500;52.1500;52.1500
Cs132;Xe132;0.9813;6;0.9945;0.8645;1.0033
Cs134;Ba134;0.999997;12;1.0000;0.9999;1.0000
Cs136;Ba136m;0.111506714480176;1;0.5337;0.5337;0.5337
Cs136;Ba136;0.888493285519824;38;0.8979;0.5841;1.2710
Cs138;Ba138;1;79;0.0763;0.0030;0.1579
Cs138m;Ba138;0.19;11;1.0009;0.9983;1.0103
Cs139;Ba139;1;10;0.0071;0.0071;0.0071
Cs140;Ba140;1;125;0.0534;0.0012;0.0806
Cs141;Ba141;1;106;0.0079;0.0078;0.0080
Cs142;Ba142;1;46;0.2720;0.0456;0.2751
Cs143;Ba143;1;107;0.1260;0.0156;0.1282
Cs144;Ba144;1;65;1.0004;0.9867;1.0068
Cs145;Ba145;1;229;0.1977;0.0167;0.2395
Cs146;Ba146;1;19;0.9987;0.7514;1.1801
Cs147;Ba147;1;105;3.4012;0.0535;8.7144
Cs148;Ba148;1;8;1.5629;1.0555;1.5629
Ba120;Cs120;1;5;0.4700;0.4700;0.4700
Ba124;Cs124;0.999712378351598;456;0.1207;0.0030;8.4839
Ba125;Cs125;1;1;1.4529;1.4529;1.4529
Ba126;Cs126;1;98;0.4066;0.0606;0.4198
Ba127;Cs127;1;21;0.1237;0.0171;0.1371
Ba129m;Cs129;1;539;0.9984;0.0531;51.0961
Ba130m;Ba130;1;10;0.9500;0.8671;1.8251
Ba131;Cs131;1;43;0.4821;0.1232;0.4846
Ba133;Cs133;1;15;0.9994;0.9887;1.0439
Ba133m;Ba133;0.9999;1;0.1760;0.1760;0.1760
Ba136m;Ba136;1;3;1.0028;1.0016;1.0028
Ba140;La140;1;10;0.2379;0.0581;0.2437
Ba141;La141;1;130;0.0461;0.0020;0.0617
Ba142;La142;1;67;0.0206;0.0193;0.1041
Ba143;La143;1;128;0.0249;0.0239;0.0254
Ba144;La144;1;156;0.0275;0.0231;0.1890
Ba145;La145;1;40;0.1678;0.0049;0.3409
Ba146;La146;1;313;0.0147;0.0029;0.0254
Ba147;La147;1;86;0.0153;0.0079;0.0613
Ba148;La148;1;188;0.2904;0.0246;0.2983
La123;Ba123;1;77;1.0009;0.3773;1.3703
La124;Ba124;1;65;0.9999;0.5245;1.2832
La124m;Ba124;1;65;0.9999;0.5245;1.2832
La126;Ba126;1;537;1.0001;0.0496;1.5255
La126m;Ba126;1;537;1.0001;0.0496;1.5255
La128;Ba128;1;260;0.7834;0.0612;1.5099
La129;Ba129m;0.0744775941514015;8;0.1741;0.0078;0.8923
La129;Ba129;0.925522405848599;100;0.2434;0.0199;0.4187
La130;Ba130;1;290;0.6577;0.0237;2.7166
La131;Ba131;1;77;0.2499;0.0494;0.2556
La131m;La131;1;4;1.5207;0.8078;2.6606
La132;Ba132;1;769;0.1560;0.0016;15226.1302
La132m;Ba132;0.24;123;0.8578;0.3629;1.3188
La133;Ba133;1;10;0.0160;0.0160;0.0160
La134;Ba134;1;8;0.0504;0.0025;0.0515
La136;Ba136;1;2;0.0231;0.0231;0.0231
La136m;La136;1;1;0.0795;0.0795;0.0795
La140;Ce140;0.99545152587491;23;0.9537;0.4537;0.9568
La142;Ce142;1;71;0.4740;0.0185;0.5864
La143;Ce143;1;22;0.0100;0.0099;0.0102
La144;Ce144;1;372;0.8909;0.1527;19.7898
La145;Ce145;1;45;0.0383;0.0325;0.3204
La146;Ce146;1;224;0.0637;0.0016;0.3248
La146m;Ce146;1;306;0.0750;0.0013;40.0441
La147;Ce147;1;71;0.1748;0.0042;0.2783
La148;Ce148;1;78;0.0554;0.0023;0.0566
La149;Ce149;1;100;0.1331;0.0129;0.3103
Ce130;La130;1;326;0.1433;0.0148;0.3868
Ce132;La132;1;139;0.7654;0.4555;0.7904
Ce132m;Ce132;1;18;0.8172;0.3103;1.1258
Ce133;La133;1;1;0.0445;0.0445;0.0445
Ce133m;La133;1;389;0.0392;0.0015;0.0577
Ce135;La135;1;201;0.4157;0.0776;0.4267
Ce136m;Ce136;1;9;1.0083;1.0018;1.0083
Ce137m;La137;0.0079;2;0.0575;0.0570;0.0580
Ce138m;Ce138;1;1;1.0000;1.0000;1.0000
Ce143;Pr143;1;12;0.4218;0.1367;0.4296
Ce144;Pr144m;0.0143;1;0.1031;0.1031;0.1031
Ce145;Pr145;1;138;0.3700;0.0075;7.3526
Ce146;Pr146;1;30;0.4357;0.1752;1.0062
Ce147;Pr147;1;19;0.1070;0.0086;0.1535
Ce148;Pr148m;0.117184181152606;4;0.0172;0.0166;0.0172
Ce148;Pr148;1;35;0.0151;0.0086;0.0190
Ce149;Pr149;1;1;3.5967;3.5967;3.5967
Pr126;Ce126;1;7;0.7522;0.7045;0.9651
Pr127;Ce127;1;2;0.2484;0.2475;0.2492
Pr128;Ce128;1;18;0.9995;0.9995;1.0083
Pr130;Ce130;1;51;1.0248;0.9809;1.0991
Pr130m;Ce130;1;51;1.0248;0.9809;1.0991
Pr131m;Pr131;0.964;1;0.9981;0.9981;0.9981
Pr134;Ce134;1;49;1.8135;1.1925;2.8593
Pr134m;Ce134;1;82;7.2738;2.1761;66.2571
Pr136;Ce136;1;56;0.5246;0.1946;0.5331
Pr137;Ce137;1;23;0.2205;0.0453;0.2337
Pr138;Ce138;1;3;0.0241;0.0241;0.0241
Pr138m;Ce138;0.0602385325144646;7;1.0034;1.0010;1.2433
Pr140;Ce140;1;1;0.0049;0.0049;0.0049
Pr144;Nd144;1;1;0.0013;0.0013;0.0013
Pr146;Nd146;1;44;0.0481;0.0016;0.0861
Pr147;Nd147;1;83;0.0867;0.0375;0.3667
Pr148;Nd148;1;77;0.5787;0.0983;0.9267
Pr148m;Nd148;1;7;0.4999;0.2500;0.5000
Pr149;Nd149;1;84;0.9882;0.1721;6.4034
Pr150;Nd150;1;50;0.3186;0.0826;0.3474
Pr151;Nd151;1;124;0.0570;0.0053;0.2867
