nucid;E_A;E_B;P;from_seq;z;a
208TL;211.400;277.358;0.00568858826843;5;82;208
208TL;211.400;510.770;0.874435159026;5;82;208
208TL;211.400;583.191;0.95333838472;5;82;208
208TL;211.400;860.564;0.0111980084024;5;82;208
208TL;211.400;1093.900;0.0153026152829;5;82;208
208TL;211.400;2614.533;0.99730038949;5;82;208
208TL;233.360;277.358;0.281377301498;4;82;208
208TL;233.360;583.191;0.422652258993;4;82;208
208TL;233.360;860.564;0.553892325784;4;82;208
208TL;233.360;2614.533;0.997368213999;4;82;208
208TL;252.610;233.360;0.0118923181627;7;82;208
208TL;252.610;277.358;0.00568858826843;7;82;208
208TL;252.610;510.770;0.874435159026;7;82;208
208TL;252.610;583.191;0.95333838472;7;82;208
208TL;252.610;860.564;0.0111980084024;7;82;208
208TL;252.610;1093.900;0.0153026152829;7;82;208
208TL;252.610;2614.533;0.99730038949;7;82;208
208TL;277.358;583.191;0.97983281348;3;82;208
208TL;277.358;2614.533;0.99745567065;3;82;208
208TL;510.770;583.191;0.97983281348;4;82;208
208TL;510.770;2614.533;0.99745567065;4;82;208
208TL;583.191;2614.533;0.997536085868;2;82;208
208TL;722.040;583.191;0.97983281348;5;82;208
208TL;722.040;2614.533;0.99745567065;5;82;208
208TL;763.130;583.191;0.97983281348;7;82;208
208TL;763.130;2614.533;0.99745567065;7;82;208
208TL;860.564;2614.533;0.997536085868;3;82;208
208TL;927.600;583.191;0.97983281348;12;82;208
208TL;927.600;2614.533;0.99745567065;12;82;208
208TL;982.700;583.191;0.97983281348;14;82;208
208TL;982.700;2614.533;0.99745567065;14;82;208
208TL;1093.900;2614.533;0.997536085868;4;82;208
228AC;99.510;57.770;0.00504945133846;60;90;228
228AC;99.510;129.060;0.037990720271;60;90;228
228AC;99.510;209.250;0.0120687509197;60;90;228
228AC;99.510;270.250;0.0118682260255;60;90;228
228AC;99.510;278.950;0.00370864398309;60;90;228
228AC;99.510;328.000;0.0104796435805;60;90;228
228AC;99.510;338.320;0.0352887453792;60;90;228
228AC;99.510;340.960;0.0444924553996;60;90;228
228AC;99.510;409.460;0.220945488746;60;90;228
228AC;99.510;463.000;0.505596084087;60;90;228
228AC;99.510;572.140;0.0212539526042;60;90;228
228AC;99.510;772.290;0.00214728883113;60;90;228
228AC;99.510;782.140;0.00878388988945;60;90;228
228AC;99.510;835.710;0.0587068702208;60;90;228
228AC;99.510;840.380;0.0013313190753;60;90;228
228AC;99.510;904.200;0.038748931159;60;90;228
228AC;99.510;911.200;0.342885080325;60;90;228
228AC;99.510;964.770;0.177362145682;60;90;228
228AC;99.510;968.970;0.204446672427;60;90;228
228AC;99.510;1033.250;0.0104234624818;60;90;228
228AC;129.060;57.770;0.00649350649351;2;90;228
228AC;145.850;57.770;0.00649350649351;30;90;228
228AC;145.850;129.060;0.0525820896041;30;90;228
228AC;145.850;835.710;0.245749462358;30;90;228
228AC;145.850;964.770;0.742445505614;30;90;228
228AC;153.980;57.770;0.00405578665766;26;90;228
