spectrum,kind,channels,first_ch,first_keV,thr_ch,thr_keV,how,pair_floor_keV,winner
G1S16_Ce139_P5,фон,1024,5,8.338,5,8.338,"подъём 8.34→22.59 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 8.34",8.338,равны (ниже пусто — не применяется)
G1S16_Co57_P5,проба,1024,5,6.878,5,6.878,"подъём 6.88→21.14 кэВ (от подошвы к уровню 40) шире рампы (5 кэВ) — порог по первому каналу 6.88",6.878,равны (ниже пусто — не применяется)
G1S16_Co57_P5,фон,1024,5,6.878,5,6.878,"подъём 6.88→21.14 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 6.88",6.878,равны (ниже пусто — не применяется)
G1S16_Co60_P25,проба,1024,5,15.032,5,15.032,"подъём 20.67→29.14 кэВ (от подошвы к уровню 980) шире рампы (5 кэВ) — порог по первому каналу 15.03",15.032,равны (ниже пусто — не применяется)
G1S16_Co60_P25,фон,1024,5,15.032,5,15.032,"подъём 17.85→29.14 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 15.03",15.032,равны (ниже пусто — не применяется)
G1S16_Co60_P5,проба,1024,5,1.237,5,1.237,"подъём 6.96→15.55 кэВ (от подошвы к уровню 5111) шире рампы (5 кэВ) — порог по первому каналу 1.24",1.237,равны (ниже пусто — не применяется)
G1S16_Co60_P5,фон,1024,5,1.237,5,1.237,"подъём 1.24→15.55 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 1.24",1.237,равны (ниже пусто — не применяется)
G1S16_Cs137_Mar,проба,1024,5,3.732,5,3.732,"подъём 9.60→21.35 кэВ (от подошвы к уровню 1455) шире рампы (5 кэВ) — порог по первому каналу 3.73",3.732,равны (ниже пусто — не применяется)
G1S16_Cs137_Mar,фон,1024,5,3.732,5,3.732,"подъём 3.73→18.41 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 3.73",3.732,равны (ниже пусто — не применяется)
G1S16_Cs137_Mar_2,проба,1024,8,2.641,8,2.641,"подъём 2.64→8.65 кэВ (от подошвы к уровню 1482) шире рампы (5 кэВ) — порог по первому каналу 2.64",2.641,равны
