spectrum,kind,channels,first_ch,first_keV,thr_ch,thr_keV,how,pair_floor_keV,winner
G1S24_Cs137_Petri,проба,1024,5,6.059,5,6.059,"подъём 14.64→23.23 кэВ (от подошвы к уровню 542) шире рампы (5 кэВ) — порог по первому каналу 6.06",6.059,равны (ниже пусто — не применяется)
G1S24_Cs137_Petri,фон,1024,5,6.059,5,6.059,"подъём 8.92→23.23 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 6.06",6.059,равны (ниже пусто — не применяется)
G1S24_Cs137_Petri_2,проба,1024,5,1.803,5,1.803,"подъём 7.56→19.09 кэВ (от подошвы к уровню 636) шире рампы (5 кэВ) — порог по первому каналу 1.80",1.803,равны (ниже пусто — не применяется)
G1S24_Cs137_Petri_2,фон,1024,5,1.803,5,1.803,"подъём 4.68→19.09 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 1.80",1.803,равны (ниже пусто — не применяется)
G1S24_Eu152_P5,проба,1024,5,8.830,5,8.830,"уровень не устоялся в 20 кэВ от 8.83 кэВ (растущий континуум) — порог по первому каналу",8.830,равны (ниже пусто — не применяется)
G1S24_Eu152_P5,фон,1024,5,8.830,5,8.830,"подъём 11.60→25.48 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 8.83",8.830,равны (ниже пусто — не применяется)
G1S24_K40_Denta120,проба,1024,5,3.249,5,3.249,"подъём 9.13→20.90 кэВ (от подошвы к уровню 1768) шире рампы (5 кэВ) — порог по первому каналу 3.25",3.249,равны (ниже пусто — не применяется)
G1S24_K40_Denta120,фон,1024,5,3.249,5,3.249,"подъём 6.19→20.90 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 3.25",3.249,равны (ниже пусто — не применяется)
G1S24_K40_Denta120_2,проба,1024,5,6.460,5,6.460,"подъём 12.34→24.10 кэВ (от подошвы к уровню 1695) шире рампы (5 кэВ) — порог по первому каналу 6.46",6.460,равны (ниже пусто — не применяется)
G1S24_K40_Denta120_2,фон,1024,5,6.460,5,6.460,"подъём 9.40→24.10 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 6.46",6.460,равны (ниже пусто — не применяется)
G1S24_K40_Mar,проба,1024,5,5.750,5,5.750,"подъём 11.38→22.64 кэВ (от подошвы к уровню 743) шире рампы (5 кэВ) — порог по первому каналу 5.75",5.750,равны (ниже пусто — не применяется)
G1S24_K40_Mar,фон,1024,5,5.750,5,5.750,"подъём 8.56→22.64 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 5.75",5.750,равны (ниже пусто — не применяется)
G1S24_K40_Mar_2,проба,1024,5,5.774,5,5.774,"подъём 14.25→22.74 кэВ (от подошвы к уровню 610) шире рампы (5 кэВ) — порог по первому каналу 5.77",5.774,равны (ниже пусто — не применяется)
G1S24_K40_Mar_2,фон,1024,5,5.774,5,5.774,"подъём 8.60→22.74 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 5.77",5.774,равны (ниже пусто — не применяется)
G1S24_K40_Petri,проба,1024,5,0.541,5,0.541,"подъём 3.51→18.34 кэВ (от подошвы к уровню 1662) шире рампы (5 кэВ) — порог по первому каналу 0.54",0.541,равны (ниже пусто — не применяется)
G1S24_K40_Petri,фон,1024,5,0.541,5,0.541,"подъём 3.51→18.34 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 0.54",0.541,равны (ниже пусто — не применяется)
G1S24_K40_Petri_2,проба,1024,6,2.030,6,2.030,"подъём 2.03→16.44 кэВ (от подошвы к уровню 300) шире рампы (5 кэВ) — порог по первому каналу 2.03",2.030,равны
G1S24_K40_Petri_2,фон,1024,6,2.030,6,2.030,"подъём 2.03→16.44 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 2.03",2.030,равны
G1S24_Na22_P25,проба,1024,5,5.233,5,5.233,"подъём 13.47→21.73 кэВ (от подошвы к уровню 11567) шире рампы (5 кэВ) — порог по первому каналу 5.23",5.233,равны (ниже пусто — не применяется)
G1S24_Na22_P25,фон,1024,5,5.233,5,5.233,"подъём 10.72→24.48 кэВ (от подошвы к уровню 7422) шире рампы (5 кэВ) — порог по первому каналу 5.23",5.233,равны (ниже пусто — не применяется)
G1S24_Na22_P5,проба,1024,5,30.713,5,30.713,"подъём 38.74→46.79 кэВ (от подошвы к уровню 70803) шире рампы (5 кэВ) — порог по первому каналу 30.71",30.713,равны (ниже пусто — не применяется)
G1S24_Na22_P5,фон,1024,5,30.713,5,30.713,"подъём 33.39→46.79 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 30.71",30.713,равны (ниже пусто — не применяется)
G1S24_Ra226_Denta120,проба,1024,5,5.952,5,5.952,"подъём 14.47→23.00 кэВ (от подошвы к уровню 717) шире рампы (5 кэВ) — порог по первому каналу 5.95",5.952,равны (ниже пусто — не применяется)
G1S24_Ra226_Denta120,фон,1024,5,5.952,5,5.952,"подъём 8.79→23.00 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 5.95",5.952,равны (ниже пусто — не применяется)
G1S24_Ra226_Denta120_2,проба,1024,5,5.429,5,5.429,"подъём 11.11→22.50 кэВ (от подошвы к уровню 2163) шире рампы (5 кэВ) — порог по первому каналу 5.43",5.429,равны (ниже пусто — не применяется)
G1S24_Ra226_Denta120_2,фон,1024,5,5.429,5,5.429,"подъём 8.27→22.50 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 5.43",5.429,равны (ниже пусто — не применяется)
G1S24_Ra226_Mar,проба,1024,5,9.270,5,9.270,"подъём 17.71→28.97 кэВ (от подошвы к уровню 4176) шире рампы (5 кэВ) — порог по первому каналу 9.27",9.270,равны (ниже пусто — не применяется)
G1S24_Ra226_Mar,фон,1024,5,9.270,5,9.270,"подъём 12.08→26.16 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 9.27",9.270,равны (ниже пусто — не применяется)
G1S24_Ra226_Mar_2,проба,1024,5,9.347,5,9.347,"подъём 17.79→29.06 кэВ (от подошвы к уровню 8491) шире рампы (5 кэВ) — порог по первому каналу 9.35",9.347,равны (ниже пусто — не применяется)
G1S24_Ra226_Mar_2,фон,1024,5,9.347,5,9.347,"подъём 12.16→26.24 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 9.35",9.347,равны (ниже пусто — не применяется)
G1S24_Ra226_Petri,проба,1024,5,2.274,5,2.274,"уровень не устоялся в 20 кэВ от 2.27 кэВ (растущий континуум) — порог по первому каналу",2.274,равны (ниже пусто — не применяется)
G1S24_Ra226_Petri,фон,1024,5,2.274,5,2.274,"подъём 5.14→19.48 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 2.27",2.274,равны (ниже пусто — не применяется)
G1S24_Ra226_Petri_2,проба,1024,5,5.121,5,5.121,"подъём 13.68→25.09 кэВ (от подошвы к уровню 2222) шире рампы (5 кэВ) — порог по первому каналу 5.12",5.121,равны (ниже пусто — не применяется)
G1S24_Ra226_Petri_2,фон,1024,5,5.121,5,5.121,"подъём 7.97→22.24 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 5.12",5.121,равны (ниже пусто — не применяется)
G1S24_Th228_P25,проба,1024,5,10.333,5,10.333,"уровень не устоялся в 20 кэВ от 10.33 кэВ (растущий континуум) — порог по первому каналу",10.333,равны (ниже пусто — не применяется)
G1S24_Th228_P25,фон,1024,5,10.333,5,10.333,"подъём 15.85→29.69 кэВ (от подошвы к уровню 7422) шире рампы (5 кэВ) — порог по первому каналу 10.33",10.333,равны (ниже пусто — не применяется)
G1S24_Th228_P5,проба,1024,6,1.257,6,1.257,"уровень не устоялся в 20 кэВ от 1.26 кэВ (растущий континуум) — порог по первому каналу",1.257,равны
G1S24_Th228_P5,фон,1024,6,1.257,6,1.257,"подъём 1.26→15.36 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 1.26",1.257,равны
G1S24_Th232_Denta120,проба,1024,5,1.196,5,1.196,"уровень не устоялся в 20 кэВ от 1.20 кэВ (растущий континуум) — порог по первому каналу",1.196,равны (ниже пусто — не применяется)
G1S24_Th232_Denta120,фон,1024,5,1.196,5,1.196,"подъём 4.08→18.49 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 1.20",1.196,равны (ниже пусто — не применяется)
G1S24_Th232_Denta120_2,проба,1024,5,1.194,5,1.194,"уровень не устоялся в 20 кэВ от 1.19 кэВ (растущий континуум) — порог по первому каналу",1.194,равны (ниже пусто — не применяется)
G1S24_Th232_Denta120_2,фон,1024,5,1.194,5,1.194,"подъём 4.07→18.46 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 1.19",1.194,равны (ниже пусто — не применяется)
G1S24_Th232_Mar,проба,1024,5,0.545,5,0.545,"уровень не устоялся в 20 кэВ от 0.55 кэВ (растущий континуум) — порог по первому каналу",0.545,равны (ниже пусто — не применяется)
G1S24_Th232_Mar,фон,1024,5,0.545,5,0.545,"подъём 3.50→18.27 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 0.55",0.545,равны (ниже пусто — не применяется)
G1S24_Th232_Mar_2,проба,1024,5,9.090,5,9.090,"подъём 17.53→28.80 кэВ (от подошвы к уровню 21376) шире рампы (5 кэВ) — порог по первому каналу 9.09",9.090,равны (ниже пусто — не применяется)
G1S24_Th232_Mar_2,фон,1024,5,9.090,5,9.090,"подъём 11.90→25.98 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 9.09",9.090,равны (ниже пусто — не применяется)
G1S24_Th232_Petri,проба,1024,6,2.030,6,2.030,"подъём 4.91→16.45 кэВ (от подошвы к уровню 3234) шире рампы (5 кэВ) — порог по первому каналу 2.03",2.030,равны
G1S24_Th232_Petri,фон,1024,6,2.030,6,2.030,"подъём 2.03→16.45 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 2.03",2.030,равны
G1S24_Th232_Petri_2,проба,1024,6,2.028,6,2.028,"подъём 7.79→19.31 кэВ (от подошвы к уровню 13839) шире рампы (5 кэВ) — порог по первому каналу 2.03",2.028,равны
G1S24_Th232_Petri_2,фон,1024,6,2.028,6,2.028,"подъём 2.03→16.43 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 2.03",2.028,равны
G1S24_Y88_P25,проба,1024,5,11.175,5,11.175,"подъём 19.46→27.76 кэВ (от подошвы к уровню 1251) шире рампы (5 кэВ) — порог по первому каналу 11.17",11.175,равны (ниже пусто — не применяется)
G1S24_Y88_P25,фон,1024,5,11.175,5,11.175,"подъём 16.70→30.53 кэВ (от подошвы к уровню 7422) шире рампы (5 кэВ) — порог по первому каналу 11.17",11.175,равны (ниже пусто — не применяется)
G1S24_Y88_P5,проба,1024,8,1.747,8,1.747,"подъём 1.75→12.98 кэВ (от подошвы к уровню 7220) шире рампы (5 кэВ) — порог по первому каналу 1.75",1.747,равны
G1S24_Y88_P5,фон,1024,8,1.747,8,1.747,"подъём 1.75→10.17 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 1.75",1.747,равны
G1S24_Zn65_P5,проба,1024,5,8.889,5,8.889,"подъём 11.67→22.80 кэВ (от подошвы к уровню 94) шире рампы (5 кэВ) — порог по первому каналу 8.89",8.889,равны (ниже пусто — не применяется)
G1S24_Zn65_P5,фон,1024,5,8.889,5,8.889,"подъём 11.67→25.59 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 8.89",8.889,равны (ниже пусто — не применяется)
GS4000_Lu176,проба,4000,10,4.214,10,4.214,"жёсткий рез 4.21 кэВ (канал 10 уже на уровне 1310)",5.509,ФОН
GS4000_Lu176,фон,4000,10,5.509,10,5.509,"подъём от 5.51 кэВ кончается падением (пик на пороге) — порог по первому каналу",5.509,ФОН
GS4000_Ra226,проба,4000,10,4.662,10,4.662,"жёсткий рез 4.66 кэВ (канал 10 уже на уровне 2619)",5.509,ФОН
GS4000_Ra226,фон,4000,10,5.509,10,5.509,"подъём от 5.51 кэВ кончается падением (пик на пороге) — порог по первому каналу",5.509,ФОН
GS4000_Th232,проба,4000,13,0.551,13,0.551,"жёсткий рез 0.55 кэВ (канал 13 уже на уровне 1006)",5.509,ФОН
GS4000_Th232,фон,4000,10,5.509,10,5.509,"подъём от 5.51 кэВ кончается падением (пик на пороге) — порог по первому каналу",5.509,ФОН
GS4000_U,проба,4000,10,1.684,10,1.684,"жёсткий рез 1.68 кэВ (канал 10 уже на уровне 1248)",1.684,равны (ниже пусто — не применяется)
GS4000_U,фон,4000,10,1.684,10,1.684,"жёсткий рез 1.68 кэВ (канал 10 уже на уровне 267)",1.684,равны (ниже пусто — не применяется)
HPGeGEM_K40,проба,8192,18,4.729,18,4.729,"подъём от 4.73 кэВ кончается падением (пик на пороге) — порог по первому каналу",4.729,проба
HPGeGEM_K40,фон,8192,13,2.529,13,2.529,"подъём от 2.53 кэВ кончается падением (пик на пороге) — порог по первому каналу",4.729,проба
HPGeGEM_Ra226,проба,8192,51,16.686,52,17.047,"рампа 16.69→17.05 кэВ (каналы 51→52; подошва 17.05, середина в канале 52 при уровне 508, хвост 0)",17.047,проба
HPGeGEM_Ra226,фон,8192,13,2.529,13,2.529,"подъём от 2.53 кэВ кончается падением (пик на пороге) — порог по первому каналу",17.047,проба
HPGeGEM_Th232,проба,8192,50,16.603,51,16.964,"рампа 16.60→16.96 кэВ (каналы 50→51; подошва 16.96, середина в канале 51 при уровне 744, хвост 0)",16.964,проба
HPGeGEM_Th232,фон,8192,13,2.529,13,2.529,"подъём от 2.53 кэВ кончается падением (пик на пороге) — порог по первому каналу",16.964,проба
HPGeGMX_Background,проба,8192,1,0.067,1,0.067,"жёсткий рез 0.07 кэВ (канал 1 уже на уровне 10)",0.067,фона нет
HPGeGMX_Eu152,проба,8192,41,14.133,41,14.133,"подъём от 14.13 кэВ кончается падением (пик на пороге) — порог по первому каналу",14.133,проба
HPGeGMX_Eu152,фон,8192,0,0.054,0,0.054,"жёсткий рез 0.05 кэВ (канал 0 уже на уровне 10)",14.133,проба
HPGeGMX_Th228,проба,8192,38,13.008,38,13.008,"подъём от 13.01 кэВ кончается падением (пик на пороге) — порог по первому каналу",13.008,проба
HPGeGMX_Th228,фон,8192,0,0.054,0,0.054,"жёсткий рез 0.05 кэВ (канал 0 уже на уровне 10)",13.008,проба
HPGeGMX_Th232,проба,8192,45,15.290,45,15.290,"подъём от 15.29 кэВ кончается падением (пик на пороге) — порог по первому каналу",15.290,проба
HPGeGMX_Th232,фон,8192,0,0.054,0,0.054,"жёсткий рез 0.05 кэВ (канал 0 уже на уровне 10)",15.290,проба
HPGE_Uranium,проба,16384,20,3.404,20,3.404,"жёсткий рез 3.40 кэВ (канал 20 уже на уровне 1612)",3.404,фона нет (ниже пусто — не применяется)
LaBrBril_Eu152,проба,1024,5,14.499,5,14.499,"уровень не устоялся в 20 кэВ от 14.50 кэВ (растущий континуум) — порог по первому каналу",14.499,равны (ниже пусто — не применяется)
LaBrBril_Eu152,фон,1024,5,14.499,5,14.499,"уровень не устоялся в 20 кэВ от 14.50 кэВ (растущий континуум) — порог по первому каналу",14.499,равны (ниже пусто — не применяется)
LaBrBril_Th228,проба,1024,5,13.266,5,13.266,"уровень не устоялся в 20 кэВ от 13.27 кэВ (растущий континуум) — порог по первому каналу",13.266,равны (ниже пусто — не применяется)
LaBrBril_Th228,фон,1024,5,13.266,5,13.266,"уровень не устоялся в 20 кэВ от 13.27 кэВ (растущий континуум) — порог по первому каналу",13.266,равны (ниже пусто — не применяется)
OBS_UGlass,проба,1024,11,0.046,11,0.046,"жёсткий рез 0.05 кэВ (канал 11 уже на уровне 481)",32.611,ФОН
OBS_UGlass,фон,1024,17,32.611,17,32.611,"подъём 32.61→44.77 кэВ (от подошвы к уровню 8644) шире рампы (5 кэВ) — порог по первому каналу 32.61",32.611,ФОН
RC101_I131,проба,1024,8,10.917,8,10.917,"подъём 15.87→23.32 кэВ (от подошвы к уровню 32693) шире рампы (5 кэВ) — порог по первому каналу 10.92",10.917,проба
RC101_I131,фон,1024,8,7.330,8,7.330,"подъём 10.17→24.37 кэВ (от подошвы к уровню 4142) шире рампы (5 кэВ) — порог по первому каналу 7.33",10.917,проба
RC103_Charoite,проба,1024,10,1.358,10,1.358,"жёсткий рез 1.36 кэВ (канал 10 уже на уровне 724)",1.358,равны
RC103_Charoite,фон,1024,10,1.358,10,1.358,"жёсткий рез 1.36 кэВ (канал 10 уже на уровне 353)",1.358,равны
RC103_Cs137_0cm,проба,1024,0,2.201,0,2.201,"подъём от 2.20 кэВ кончается падением (пик на пороге) — порог по первому каналу",2.201,проба
RC103_Cs137_0cm,фон,1024,5,1.983,5,1.983,"подъём 1.98→7.41 кэВ (от подошвы к уровню 8083) шире рампы (5 кэВ) — порог по первому каналу 1.98",2.201,проба
RC103_K40,проба,1024,7,0.209,7,0.209,"жёсткий рез 0.21 кэВ (канал 7 уже на уровне 14157)",0.209,равны
RC103_K40,фон,1024,7,0.209,7,0.209,"жёсткий рез 0.21 кэВ (канал 7 уже на уровне 3720)",0.209,равны
RC103_K40Village,проба,1024,3,0.375,3,0.375,"подъём 0.37→10.39 кэВ (от подошвы к уровню 11886) шире рампы (5 кэВ) — порог по первому каналу 0.37",0.375,равны
RC103_K40Village,фон,1024,3,0.375,3,0.375,"подъём 0.37→10.39 кэВ (от подошвы к уровню 3720) шире рампы (5 кэВ) — порог по первому каналу 0.37",0.375,равны
RC103_Lu176,проба,1024,1,0.787,1,0.787,"подъём 10.32→17.47 кэВ (от подошвы к уровню 556) шире рампы (5 кэВ) — порог по первому каналу 0.79",0.787,равны
RC103_Lu176,фон,1024,1,0.787,1,0.787,"жёсткий рез 0.79 кэВ (канал 1 уже на уровне 758)",0.787,равны
RC103_Th232Village,проба,1024,7,1.930,7,1.930,"жёсткий рез 1.93 кэВ (канал 7 уже на уровне 4646)",1.930,равны
RC103_Th232Village,фон,1024,7,1.930,7,1.930,"жёсткий рез 1.93 кэВ (канал 7 уже на уровне 3720)",1.930,равны
RC103_Th232WT20,проба,1024,2,1.673,2,1.673,"подъём 9.07→18.95 кэВ (от подошвы к уровню 87748) шире рампы (5 кэВ) — порог по первому каналу 1.67",1.983,ФОН
RC103_Th232WT20,фон,1024,5,1.983,5,1.983,"подъём 1.98→7.41 кэВ (от подошвы к уровню 8083) шире рампы (5 кэВ) — порог по первому каналу 1.98",1.983,ФОН
