scene,E_keV,material,rho,eps,err_pct,eps_air,err_air_pct,F_mc,Cs_mc,Cs_mc_err_pct,Cs_deb_total,Cs_deb_nocoh,Cs_formula,d_mc_deb_total_pct,d_mc_formula_pct,mu_rho_total,mu_rho_nocoh
J,911.2,SiO2,0.02,5.058876E-002,0.169,5.065276E-002,0.169,0.99874,1.00127,0.239,1.00139,1.00139,1.00134,-0.013,-0.008,0.066566,0.066431
J,911.2,SiO2,0.4,4.892177E-002,0.171,5.065276E-002,0.169,0.96583,1.03538,0.240,1.02811,1.02805,1.02723,0.708,0.793,0.066566,0.066431
J,911.2,SiO2,0.8,4.746322E-002,0.172,5.065276E-002,0.169,0.93703,1.06720,0.241,1.05671,1.05660,1.05521,0.992,1.136,0.066566,0.066431
J,911.2,SiO2,1.2,4.601834E-002,0.173,5.065276E-002,0.169,0.90851,1.10071,0.242,1.08582,1.08564,1.08395,1.371,1.546,0.066566,0.066431
J,911.2,SiO2,1.6,4.460797E-002,0.175,5.065276E-002,0.169,0.88066,1.13551,0.243,1.11542,1.11517,1.11347,1.801,1.979,0.066566,0.066431
J,911.2,SiO2,2,4.314507E-002,0.177,5.065276E-002,0.169,0.85178,1.17401,0.245,1.14551,1.14520,1.14380,2.488,2.642,0.066566,0.066431
J,911.2,SiO2,2.4,4.187228E-002,0.178,5.065276E-002,0.169,0.82665,1.20970,0.246,1.17609,1.17572,1.17495,2.857,2.958,0.066566,0.066431
J,911.2,SiO2,2.8,4.069602E-002,0.180,5.065276E-002,0.169,0.80343,1.24466,0.247,1.20716,1.20672,1.20695,3.106,3.125,0.066566,0.066431
J,1460.8,H2O,1,3.148411E-002,0.215,3.383140E-002,0.211,0.93062,1.07455,0.301,1.06223,1.06220,,1.160,,0.058335,0.058309
J,1460.8,SiO2,0.02,3.389509E-002,0.211,3.383140E-002,0.211,1.00188,0.99812,0.298,1.00110,1.00110,1.00107,-0.298,-0.295,0.052552,0.052500
J,1460.8,SiO2,0.4,3.314670E-002,0.212,3.383140E-002,0.211,0.97976,1.02066,0.299,1.02215,1.02213,1.02171,-0.146,-0.104,0.052552,0.052500
J,1460.8,SiO2,0.8,3.226929E-002,0.213,3.383140E-002,0.211,0.95383,1.04841,0.300,1.04461,1.04456,1.04390,0.364,0.432,0.052552,0.052500
J,1460.8,SiO2,1.2,3.130406E-002,0.215,3.383140E-002,0.211,0.92530,1.08074,0.301,1.06738,1.06731,1.06657,1.251,1.328,0.052552,0.052500
J,1460.8,SiO2,1.6,3.064541E-002,0.216,3.383140E-002,0.211,0.90583,1.10396,0.302,1.09046,1.09037,1.08973,1.238,1.306,0.052552,0.052500
J,1460.8,SiO2,2,2.998927E-002,0.217,3.383140E-002,0.211,0.88643,1.12812,0.303,1.11385,1.11373,1.11339,1.281,1.322,0.052552,0.052500
J,1460.8,SiO2,2.4,2.920471E-002,0.219,3.383140E-002,0.211,0.86324,1.15842,0.304,1.13754,1.13740,1.13757,1.835,1.833,0.052552,0.052500
J,1460.8,SiO2,2.8,2.851993E-002,0.221,3.383140E-002,0.211,0.84300,1.18624,0.305,1.16155,1.16138,1.16227,2.126,2.062,0.052552,0.052500
J,2614.5,H2O,1,1.868293E-002,0.285,1.964101E-002,0.281,0.95122,1.05128,0.400,1.04537,1.04536,,0.566,,0.042747,0.042739
J,2614.5,SiO2,0.02,1.966005E-002,0.281,1.964101E-002,0.281,1.00097,0.99903,0.398,1.00082,1.00082,1.00080,-0.178,-0.177,0.038983,0.038967
J,2614.5,SiO2,0.4,1.930150E-002,0.282,1.964101E-002,0.281,0.98271,1.01759,0.399,1.01640,1.01639,1.01610,0.117,0.147,0.038983,0.038967
J,2614.5,SiO2,0.8,1.887175E-002,0.284,1.964101E-002,0.281,0.96083,1.04076,0.400,1.03297,1.03296,1.03245,0.754,0.805,0.038983,0.038967
J,2614.5,SiO2,1.2,1.862085E-002,0.285,1.964101E-002,0.281,0.94806,1.05479,0.401,1.04971,1.04969,1.04907,0.483,0.545,0.038983,0.038967
J,2614.5,SiO2,1.6,1.822896E-002,0.287,1.964101E-002,0.281,0.92811,1.07746,0.402,1.06663,1.06660,1.06596,1.016,1.079,0.038983,0.038967
J,2614.5,SiO2,2,1.789877E-002,0.288,1.964101E-002,0.281,0.91130,1.09734,0.403,1.08371,1.08368,1.08312,1.257,1.313,0.038983,0.038967
J,2614.5,SiO2,2.4,1.758603E-002,0.289,1.964101E-002,0.281,0.89537,1.11685,0.404,1.10096,1.10092,1.10055,1.443,1.481,0.038983,0.038967
J,2614.5,SiO2,2.8,1.724671E-002,0.291,1.964101E-002,0.281,0.87810,1.13883,0.405,1.11839,1.11834,1.11827,1.828,1.839,0.038983,0.038967
C05,238.6,H2O,1,1.298465E-001,0.096,1.470387E-001,0.093,0.88308,1.13240,0.134,1.11937,1.11844,,1.164,,0.128694,0.127715
C05,238.6,SiO2,0.02,1.467092E-001,0.093,1.470387E-001,0.093,0.99776,1.00225,0.131,1.00210,1.00207,,0.014,,0.117328,0.115394
C05,238.6,SiO2,0.4,1.405419E-001,0.094,1.470387E-001,0.093,0.95582,1.04623,0.132,1.04260,1.04189,,0.348,,0.117328,0.115394
C05,238.6,SiO2,0.8,1.344357E-001,0.095,1.470387E-001,0.093,0.91429,1.09375,0.133,1.08627,1.08481,,0.688,,0.117328,0.115394
C05,238.6,SiO2,1.2,1.284360E-001,0.097,1.470387E-001,0.093,0.87348,1.14484,0.134,1.13101,1.12877,,1.223,,0.117328,0.115394
C05,238.6,SiO2,1.6,1.229856E-001,0.098,1.470387E-001,0.093,0.83642,1.19558,0.135,1.17681,1.17376,,1.594,,0.117328,0.115394
C05,238.6,SiO2,2,1.179933E-001,0.099,1.470387E-001,0.093,0.80246,1.24616,0.136,1.22367,1.21977,,1.838,,0.117328,0.115394
C05,238.6,SiO2,2.4,1.132259E-001,0.101,1.470387E-001,0.093,0.77004,1.29863,0.137,1.27156,1.26678,,2.129,,0.117328,0.115394
C05,238.6,SiO2,2.8,1.085740E-001,0.102,1.470387E-001,0.093,0.73840,1.35427,0.138,1.32048,1.31478,,2.559,,0.117328,0.115394
C05,338.3,H2O,1,1.065666E-001,0.109,1.195428E-001,0.106,0.89145,1.12177,0.152,1.10462,1.10416,,1.552,,0.113248,0.112759
C05,338.3,SiO2,0.02,1.192320E-001,0.106,1.195428E-001,0.106,0.99740,1.00261,0.150,1.00184,1.00182,,0.077,,0.102503,0.101532
C05,338.3,SiO2,0.4,1.147121E-001,0.107,1.195428E-001,0.106,0.95959,1.04211,0.151,1.03715,1.03680,,0.478,,0.102503,0.101532
C05,338.3,SiO2,0.8,1.099166E-001,0.108,1.195428E-001,0.106,0.91947,1.08758,0.152,1.07513,1.07440,,1.158,,0.102503,0.101532
C05,338.3,SiO2,1.2,1.056500E-001,0.110,1.195428E-001,0.106,0.88378,1.13150,0.153,1.11393,1.11281,,1.577,,0.102503,0.101532
C05,338.3,SiO2,1.6,1.015753E-001,0.111,1.195428E-001,0.106,0.84970,1.17689,0.153,1.15353,1.15202,,2.025,,0.102503,0.101532
C05,338.3,SiO2,2,9.775579E-002,0.112,1.195428E-001,0.106,0.81775,1.22287,0.154,1.19395,1.19201,,2.423,,0.102503,0.101532
C05,338.3,SiO2,2.4,9.412141E-002,0.114,1.195428E-001,0.106,0.78734,1.27009,0.155,1.23516,1.23279,,2.828,,0.102503,0.101532
C05,338.3,SiO2,2.8,9.068101E-002,0.115,1.195428E-001,0.106,0.75857,1.31828,0.157,1.27716,1.27435,,3.219,,0.102503,0.101532
C05,583.2,H2O,1,6.929572E-002,0.142,7.628015E-002,0.139,0.90844,1.10079,0.198,1.08326,1.08310,,1.619,,0.090663,0.090498
C05,583.2,SiO2,0.02,7.620125E-002,0.139,7.628015E-002,0.139,0.99897,1.00104,0.196,1.00147,1.00146,,-0.043,,0.081736,0.081407
C05,583.2,SiO2,0.4,7.349540E-002,0.140,7.628015E-002,0.139,0.96349,1.03789,0.197,1.02956,1.02944,,0.809,,0.081736,0.081407
C05,583.2,SiO2,0.8,7.110095E-002,0.141,7.628015E-002,0.139,0.93210,1.07284,0.198,1.05964,1.05940,,1.246,,0.081736,0.081407
C05,583.2,SiO2,1.2,6.877262E-002,0.142,7.628015E-002,0.139,0.90158,1.10916,0.198,1.09025,1.08988,,1.735,,0.081736,0.081407
C05,583.2,SiO2,1.6,6.641942E-002,0.143,7.628015E-002,0.139,0.87073,1.14846,0.199,1.12137,1.12087,,2.416,,0.081736,0.081407
C05,583.2,SiO2,2,6.443406E-002,0.145,7.628015E-002,0.139,0.84470,1.18385,0.200,1.15301,1.15237,,2.674,,0.081736,0.081407
C05,583.2,SiO2,2.4,6.237096E-002,0.146,7.628015E-002,0.139,0.81766,1.22301,0.201,1.18517,1.18438,,3.193,,0.081736,0.081407
C05,583.2,SiO2,2.8,6.046567E-002,0.147,7.628015E-002,0.139,0.79268,1.26154,0.202,1.21783,1.21690,,3.590,,0.081736,0.081407
C05,911.2,H2O,1,4.777865E-002,0.175,5.165227E-002,0.172,0.92501,1.08107,0.246,1.06759,1.06752,,1.263,,0.073926,0.073858
C05,911.2,SiO2,0.02,5.153363E-002,0.172,5.165227E-002,0.172,0.99770,1.00230,0.244,1.00119,1.00119,,0.111,,0.066566,0.066431
C05,911.2,SiO2,0.4,5.023106E-002,0.174,5.165227E-002,0.172,0.97249,1.02829,0.245,1.02403,1.02399,,0.416,,0.066566,0.066431
C05,911.2,SiO2,0.8,4.877200E-002,0.175,5.165227E-002,0.172,0.94424,1.05906,0.245,1.04842,1.04832,,1.015,,0.066566,0.066431
C05,911.2,SiO2,1.2,4.747583E-002,0.176,5.165227E-002,0.172,0.91914,1.08797,0.246,1.07314,1.07299,,1.382,,0.066566,0.066431
C05,911.2,SiO2,1.6,4.625283E-002,0.177,5.165227E-002,0.172,0.89547,1.11674,0.247,1.09822,1.09801,,1.686,,0.066566,0.066431
C05,911.2,SiO2,2,4.506675E-002,0.178,5.165227E-002,0.172,0.87250,1.14613,0.248,1.12363,1.12337,,2.002,,0.066566,0.066431
C05,911.2,SiO2,2.4,4.387295E-002,0.179,5.165227E-002,0.172,0.84939,1.17731,0.249,1.14939,1.14908,,2.429,,0.066566,0.066431
C05,911.2,SiO2,2.8,4.263014E-002,0.181,5.165227E-002,0.172,0.82533,1.21164,0.250,1.17549,1.17512,,3.075,,0.066566,0.066431
C05,1460.8,H2O,1,3.251711E-002,0.217,3.461252E-002,0.214,0.93946,1.06444,0.305,1.05311,1.05309,,1.076,,0.058335,0.058309
C05,1460.8,SiO2,0.02,3.466622E-002,0.214,3.461252E-002,0.214,1.00155,0.99845,0.303,1.00094,1.00094,,-0.249,,0.052552,0.052500
C05,1460.8,SiO2,0.4,3.383592E-002,0.215,3.461252E-002,0.214,0.97756,1.02295,0.304,1.01895,1.01893,,0.393,,0.052552,0.052500
C05,1460.8,SiO2,0.8,3.294934E-002,0.217,3.461252E-002,0.214,0.95195,1.05048,0.305,1.03811,1.03807,,1.191,,0.052552,0.052500
C05,1460.8,SiO2,1.2,3.236272E-002,0.218,3.461252E-002,0.214,0.93500,1.06952,0.305,1.05749,1.05743,,1.138,,0.052552,0.052500
C05,1460.8,SiO2,1.6,3.171343E-002,0.218,3.461252E-002,0.214,0.91624,1.09142,0.306,1.07708,1.07700,,1.331,,0.052552,0.052500
C05,1460.8,SiO2,2,3.085501E-002,0.220,3.461252E-002,0.214,0.89144,1.12178,0.307,1.09689,1.09679,,2.269,,0.052552,0.052500
C05,1460.8,SiO2,2.4,3.029095E-002,0.221,3.461252E-002,0.214,0.87514,1.14267,0.308,1.11691,1.11679,,2.306,,0.052552,0.052500
C05,1460.8,SiO2,2.8,2.965599E-002,0.222,3.461252E-002,0.214,0.85680,1.16713,0.309,1.13715,1.13701,,2.637,,0.052552,0.052500
C05,2614.5,H2O,1,1.907336E-002,0.289,2.009467E-002,0.285,0.94918,1.05355,0.406,1.03875,1.03875,,1.424,,0.042747,0.042739
C05,2614.5,SiO2,0.02,1.998476E-002,0.286,2.009467E-002,0.285,0.99453,1.00550,0.404,1.00070,1.00070,,0.480,,0.038983,0.038967
C05,2614.5,SiO2,0.4,1.965073E-002,0.287,2.009467E-002,0.285,0.97791,1.02259,0.405,1.01403,1.01403,,0.844,,0.038983,0.038967
C05,2614.5,SiO2,0.8,1.932484E-002,0.289,2.009467E-002,0.285,0.96169,1.03984,0.406,1.02819,1.02817,,1.133,,0.038983,0.038967
C05,2614.5,SiO2,1.2,1.899080E-002,0.290,2.009467E-002,0.285,0.94507,1.05813,0.406,1.04246,1.04244,,1.503,,0.038983,0.038967
C05,2614.5,SiO2,1.6,1.881259E-002,0.290,2.009467E-002,0.285,0.93620,1.06815,0.407,1.05685,1.05682,,1.069,,0.038983,0.038967
C05,2614.5,SiO2,2,1.849949E-002,0.291,2.009467E-002,0.285,0.92062,1.08623,0.407,1.07136,1.07133,,1.388,,0.038983,0.038967
C05,2614.5,SiO2,2.4,1.811685E-002,0.293,2.009467E-002,0.285,0.90158,1.10917,0.409,1.08598,1.08595,,2.135,,0.038983,0.038967
C05,2614.5,SiO2,2.8,1.776807E-002,0.294,2.009467E-002,0.285,0.88422,1.13094,0.410,1.10073,1.10069,,2.745,,0.038983,0.038967
C1,238.6,H2O,1,1.051845E-001,0.095,1.251091E-001,0.089,0.84074,1.18942,0.130,1.17998,1.17854,,0.800,,0.128694,0.127715
C1,238.6,SiO2,0.02,1.245679E-001,0.089,1.251091E-001,0.089,0.99567,1.00434,0.126,1.00312,1.00306,,0.123,,0.117328,0.115394
C1,238.6,SiO2,0.4,1.173053E-001,0.091,1.251091E-001,0.089,0.93762,1.06653,0.127,1.06348,1.06242,,0.286,,0.117328,0.115394
C1,238.6,SiO2,0.8,1.099962E-001,0.093,1.251091E-001,0.089,0.87920,1.13739,0.129,1.12944,1.12723,,0.704,,0.117328,0.115394
C1,238.6,SiO2,1.2,1.037782E-001,0.096,1.251091E-001,0.089,0.82950,1.20554,0.131,1.19785,1.19441,,0.642,,0.117328,0.115394
C1,238.6,SiO2,1.6,9.778920E-002,0.099,1.251091E-001,0.089,0.78163,1.27938,0.133,1.26869,1.26394,,0.842,,0.117328,0.115394
C1,238.6,SiO2,2,9.219442E-002,0.102,1.251091E-001,0.089,0.73691,1.35701,0.135,1.34191,1.33579,,1.126,,0.117328,0.115394
C1,238.6,SiO2,2.4,8.705991E-002,0.105,1.251091E-001,0.089,0.69587,1.43705,0.137,1.41748,1.40990,,1.381,,0.117328,0.115394
C1,238.6,SiO2,2.8,8.233333E-002,0.108,1.251091E-001,0.089,0.65809,1.51954,0.139,1.49534,1.48624,,1.619,,0.117328,0.115394
C1,338.3,H2O,1,8.703812E-002,0.108,1.016738E-001,0.101,0.85605,1.16815,0.148,1.15740,1.15669,,0.929,,0.113248,0.112759
C1,338.3,SiO2,0.02,1.015189E-001,0.101,1.016738E-001,0.101,0.99848,1.00153,0.143,1.00272,1.00270,,-0.119,,0.102503,0.101532
C1,338.3,SiO2,0.4,9.601324E-002,0.103,1.016738E-001,0.101,0.94433,1.05896,0.145,1.05532,1.05479,,0.344,,0.102503,0.101532
C1,338.3,SiO2,0.8,9.068095E-002,0.106,1.016738E-001,0.101,0.89188,1.12123,0.147,1.11254,1.11144,,0.781,,0.102503,0.101532
C1,338.3,SiO2,1.2,8.574834E-002,0.108,1.016738E-001,0.101,0.84337,1.18572,0.148,1.17163,1.16993,,1.203,,0.102503,0.101532
C1,338.3,SiO2,1.6,8.118070E-002,0.111,1.016738E-001,0.101,0.79844,1.25244,0.150,1.23259,1.23024,,1.611,,0.102503,0.101532
C1,338.3,SiO2,2,7.693201E-002,0.114,1.016738E-001,0.101,0.75665,1.32161,0.152,1.29538,1.29236,,2.025,,0.102503,0.101532
C1,338.3,SiO2,2.4,7.309662E-002,0.116,1.016738E-001,0.101,0.71893,1.39095,0.154,1.35998,1.35626,,2.278,,0.102503,0.101532
C1,338.3,SiO2,2.8,6.944971E-002,0.119,1.016738E-001,0.101,0.68306,1.46399,0.157,1.42636,1.42190,,2.639,,0.102503,0.101532
C1,583.2,H2O,1,5.710434E-002,0.139,6.497067E-002,0.133,0.87892,1.13775,0.192,1.12487,1.12463,,1.146,,0.090663,0.090498
C1,583.2,SiO2,0.02,6.480930E-002,0.133,6.497067E-002,0.133,0.99752,1.00249,0.188,1.00217,1.00216,,0.032,,0.081736,0.081407
C1,583.2,SiO2,0.4,6.191842E-002,0.135,6.497067E-002,0.133,0.95302,1.04929,0.189,1.04396,1.04378,,0.511,,0.081736,0.081407
C1,583.2,SiO2,0.8,5.913689E-002,0.137,6.497067E-002,0.133,0.91021,1.09865,0.191,1.08913,1.08876,,0.874,,0.081736,0.081407
C1,583.2,SiO2,1.2,5.639489E-002,0.140,6.497067E-002,0.133,0.86801,1.15207,0.193,1.13549,1.13493,,1.460,,0.081736,0.081407
C1,583.2,SiO2,1.6,5.374120E-002,0.142,6.497067E-002,0.133,0.82716,1.20895,0.195,1.18305,1.18227,,2.190,,0.081736,0.081407
C1,583.2,SiO2,2,5.151334E-002,0.145,6.497067E-002,0.133,0.79287,1.26124,0.196,1.23178,1.23079,,2.392,,0.081736,0.081407
C1,583.2,SiO2,2.4,4.931473E-002,0.147,6.497067E-002,0.133,0.75903,1.31747,0.198,1.28168,1.28047,,2.792,,0.081736,0.081407
C1,583.2,SiO2,2.8,4.721791E-002,0.150,6.497067E-002,0.133,0.72676,1.37598,0.200,1.33274,1.33129,,3.244,,0.081736,0.081407
C1,911.2,H2O,1,3.956710E-002,0.172,4.409244E-002,0.165,0.89737,1.11437,0.238,1.10112,1.10102,,1.203,,0.073926,0.073858
C1,911.2,SiO2,0.02,4.400098E-002,0.165,4.409244E-002,0.165,0.99793,1.00208,0.234,1.00177,1.00176,,0.031,,0.066566,0.066431
C1,911.2,SiO2,0.4,4.244979E-002,0.167,4.409244E-002,0.165,0.96275,1.03870,0.235,1.03571,1.03564,,0.288,,0.066566,0.066431
C1,911.2,SiO2,0.8,4.080863E-002,0.170,4.409244E-002,0.165,0.92552,1.08047,0.237,1.07222,1.07207,,0.769,,0.066566,0.066431
C1,911.2,SiO2,1.2,3.924402E-002,0.172,4.409244E-002,0.165,0.89004,1.12355,0.239,1.10953,1.10930,,1.263,,0.066566,0.066431
C1,911.2,SiO2,1.6,3.778654E-002,0.174,4.409244E-002,0.165,0.85698,1.16688,0.240,1.14763,1.14732,,1.678,,0.066566,0.066431
C1,911.2,SiO2,2,3.632900E-002,0.177,4.409244E-002,0.165,0.82393,1.21370,0.242,1.18652,1.18612,,2.291,,0.066566,0.066431
C1,911.2,SiO2,2.4,3.499385E-002,0.180,4.409244E-002,0.165,0.79365,1.26001,0.244,1.22619,1.22570,,2.758,,0.066566,0.066431
C1,911.2,SiO2,2.8,3.375082E-002,0.182,4.409244E-002,0.165,0.76546,1.30641,0.246,1.26663,1.26605,,3.141,,0.066566,0.066431
C1,1460.8,H2O,1,2.716480E-002,0.211,2.964529E-002,0.205,0.91633,1.09131,0.295,1.07928,1.07925,,1.115,,0.058335,0.058309
C1,1460.8,SiO2,0.02,2.957936E-002,0.206,2.964529E-002,0.205,0.99778,1.00223,0.291,1.00139,1.00139,,0.083,,0.052552,0.052500
C1,1460.8,SiO2,0.4,2.870237E-002,0.208,2.964529E-002,0.205,0.96819,1.03285,0.292,1.02813,1.02810,,0.459,,0.052552,0.052500
C1,1460.8,SiO2,0.8,2.772885E-002,0.210,2.964529E-002,0.205,0.93535,1.06911,0.294,1.05675,1.05670,,1.170,,0.052552,0.052500
C1,1460.8,SiO2,1.2,2.699041E-002,0.212,2.964529E-002,0.205,0.91045,1.09836,0.295,1.08588,1.08579,,1.150,,0.052552,0.052500
C1,1460.8,SiO2,1.6,2.619263E-002,0.214,2.964529E-002,0.205,0.88353,1.13182,0.297,1.11550,1.11538,,1.463,,0.052552,0.052500
C1,1460.8,SiO2,2,2.533217E-002,0.217,2.964529E-002,0.205,0.85451,1.17026,0.299,1.14561,1.14546,,2.152,,0.052552,0.052500
C1,1460.8,SiO2,2.4,2.461322E-002,0.219,2.964529E-002,0.205,0.83026,1.20445,0.300,1.17621,1.17602,,2.401,,0.052552,0.052500
C1,1460.8,SiO2,2.8,2.389201E-002,0.221,2.964529E-002,0.205,0.80593,1.24080,0.302,1.20730,1.20708,,2.775,,0.052552,0.052500
C1,2614.5,H2O,1,1.606364E-002,0.280,1.723816E-002,0.274,0.93187,1.07312,0.392,1.05772,1.05771,,1.455,,0.042747,0.042739
C1,2614.5,SiO2,0.02,1.718401E-002,0.274,1.723816E-002,0.274,0.99686,1.00315,0.387,1.00103,1.00103,,0.211,,0.038983,0.038967
C1,2614.5,SiO2,0.4,1.668436E-002,0.277,1.723816E-002,0.274,0.96787,1.03319,0.389,1.02082,1.02081,,1.212,,0.038983,0.038967
C1,2614.5,SiO2,0.8,1.635186E-002,0.278,1.723816E-002,0.274,0.94859,1.05420,0.391,1.04191,1.04189,,1.180,,0.038983,0.038967
C1,2614.5,SiO2,1.2,1.600627E-002,0.281,1.723816E-002,0.274,0.92854,1.07696,0.392,1.06327,1.06325,,1.287,,0.038983,0.038967
C1,2614.5,SiO2,1.6,1.556984E-002,0.283,1.723816E-002,0.274,0.90322,1.10715,0.394,1.08491,1.08488,,2.050,,0.038983,0.038967
C1,2614.5,SiO2,2,1.525564E-002,0.285,1.723816E-002,0.274,0.88499,1.12995,0.396,1.10682,1.10678,,2.090,,0.038983,0.038967
C1,2614.5,SiO2,2.4,1.488269E-002,0.288,1.723816E-002,0.274,0.86336,1.15827,0.397,1.12901,1.12895,,2.592,,0.038983,0.038967
C1,2614.5,SiO2,2.8,1.454170E-002,0.290,1.723816E-002,0.274,0.84358,1.18543,0.399,1.15146,1.15140,,2.950,,0.038983,0.038967
