ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220
40,6.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,7.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,7.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,7.725,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,8.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,8.390,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,8.723,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,9.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,9.388,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,9.721,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,10.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,10.386,0.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,10.719,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,11.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,11.385,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,11.717,4.889,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,12.050,12.853,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,12.383,23.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,12.716,50.412,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,13.049,84.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,13.382,132.234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,13.715,160.759,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,14.048,207.691,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,14.381,240.807,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,14.714,297.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,15.047,288.630,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,15.380,317.745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67,15.713,363.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68,16.046,315.749,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,16.379,384.897,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,16.712,329.122,315.344,315.344,130.586,95.706,67.753,14.637,5.921,0.564,0.158
71,17.045,363.898,324.787,324.787,134.496,98.572,69.782,15.075,6.098,0.581,0.162
72,17.378,378.716,334.230,334.230,138.407,101.438,71.811,15.513,6.275,0.598,0.167
73,17.711,372.714,343.674,343.674,142.317,104.304,73.840,15.951,6.453,0.615,0.172
74,18.044,376.682,353.117,353.117,146.228,107.171,75.869,16.390,6.630,0.632,0.177
75,18.378,360.754,362.560,362.560,150.138,110.037,77.898,16.828,6.807,0.649,0.181
76,18.711,394.052,372.004,372.004,154.049,112.903,79.927,17.266,6.985,0.666,0.186
77,19.044,395.830,381.447,381.447,157.959,115.769,81.956,17.705,7.162,0.683,0.191
78,19.377,387.831,390.890,390.890,161.870,118.635,83.985,18.143,7.339,0.699,0.195
79,19.710,402.016,400.334,400.334,165.780,121.501,86.014,18.581,7.517,0.716,0.200
80,20.044,378.093,409.777,409.777,169.691,124.367,88.043,19.020,7.694,0.733,0.205
81,20.377,376.460,419.220,419.220,173.601,127.233,90.072,19.458,7.871,0.750,0.210
82,20.710,374.761,428.664,428.664,177.512,130.099,92.101,19.896,8.049,0.767,0.214
83,21.043,405.317,438.107,438.107,181.422,132.965,94.129,20.335,8.226,0.784,0.219
84,21.377,406.136,447.550,447.550,185.333,135.831,96.158,20.773,8.403,0.801,0.224
85,21.710,360.432,456.993,456.993,189.243,138.697,98.187,21.211,8.580,0.818,0.229
86,22.044,414.732,466.437,466.437,193.154,141.563,100.216,21.650,8.758,0.835,0.233
87,22.377,409.253,475.880,475.880,197.064,144.429,102.245,22.088,8.935,0.852,0.238
88,22.710,429.401,485.323,485.323,200.975,147.295,104.274,22.526,9.112,0.868,0.243
89,23.044,433.553,494.767,494.767,204.885,150.161,106.303,22.964,9.290,0.885,0.247
90,23.377,408.403,504.210,504.210,208.796,153.027,108.332,23.403,9.467,0.902,0.252
91,23.711,490.184,513.653,513.653,212.706,155.893,110.361,23.841,9.644,0.919,0.257
92,24.044,433.816,523.097,523.097,216.617,158.759,112.390,24.279,9.822,0.936,0.262
93,24.377,455.223,532.540,532.540,220.528,161.625,114.419,24.718,9.999,0.953,0.266
94,24.711,534.964,541.983,541.983,224.438,164.491,116.448,25.156,10.176,0.970,0.271
95,25.044,524.113,551.426,551.426,228.349,167.357,118.477,25.594,10.354,0.987,0.276
96,25.378,555.780,560.870,560.870,232.259,170.223,120.506,26.033,10.531,1.004,0.280
97,25.712,605.222,570.313,570.313,236.170,173.089,122.535,26.471,10.708,1.021,0.285
98,26.045,592.334,579.756,579.756,240.080,175.955,124.564,26.909,10.885,1.037,0.290
99,26.379,638.259,589.200,589.200,243.991,178.821,126.593,27.348,11.063,1.054,0.295
100,26.712,583.187,598.643,598.643,247.901,181.687,128.621,27.786,11.240,1.071,0.299
101,27.046,725.704,608.086,608.086,251.812,184.553,130.650,28.224,11.417,1.088,0.304
102,27.380,727.591,617.530,617.530,255.722,187.419,132.679,28.662,11.595,1.105,0.309
103,27.713,721.219,626.973,626.973,259.633,190.285,134.708,29.101,11.772,1.122,0.314
104,28.047,780.442,636.416,636.416,263.543,193.151,136.737,29.539,11.949,1.139,0.318
105,28.381,729.442,645.860,645.860,267.454,196.017,138.766,29.977,12.127,1.156,0.323
106,28.714,828.959,655.303,655.303,271.364,198.883,140.795,30.416,12.304,1.173,0.328
107,29.048,808.257,664.746,664.746,275.275,201.749,142.824,30.854,12.481,1.190,0.332
108,29.382,771.439,674.189,674.189,279.185,204.616,144.853,31.292,12.659,1.206,0.337
109,29.715,808.996,683.633,683.633,283.096,207.482,146.882,31.731,12.836,1.223,0.342
110,30.049,815.809,693.076,693.076,287.006,210.348,148.911,32.169,13.013,1.240,0.347
111,30.383,811.810,702.519,702.519,290.917,213.214,150.940,32.607,13.190,1.257,0.351
112,30.717,853.698,711.963,711.963,294.827,216.080,152.969,33.046,13.368,1.274,0.356
113,31.051,849.737,721.406,721.406,298.738,218.946,154.998,33.484,13.545,1.291,0.361
114,31.384,847.663,730.849,730.849,302.648,221.812,157.027,33.922,13.722,1.308,0.365
115,31.718,839.886,740.293,740.293,306.559,224.678,159.056,34.360,13.900,1.325,0.370
116,32.052,800.513,749.736,749.736,310.470,227.544,161.085,34.799,14.077,1.342,0.375
117,32.386,867.737,759.179,759.179,314.380,230.410,163.114,35.237,14.254,1.359,0.380
118,32.720,777.624,768.623,768.623,318.291,233.276,165.142,35.675,14.432,1.375,0.384
119,33.054,811.661,778.066,778.066,322.201,236.142,167.171,36.114,14.609,1.392,0.389
120,33.388,802.552,787.509,787.509,326.112,239.008,169.200,36.552,14.786,1.409,0.394
121,33.722,839.033,796.952,796.952,330.022,241.874,171.229,36.990,14.963,1.426,0.399
122,34.056,762.069,806.396,806.396,333.933,244.740,173.258,37.429,15.141,1.443,0.403
123,34.390,783.293,815.839,815.839,337.843,247.606,175.287,37.867,15.318,1.460,0.408
124,34.724,847.735,825.282,825.282,341.754,250.472,177.316,38.305,15.495,1.477,0.413
125,35.058,739.550,834.726,834.726,345.664,253.338,179.345,38.744,15.673,1.494,0.417
126,35.392,743.735,844.169,844.169,349.575,256.204,181.374,39.182,15.850,1.511,0.422
127,35.726,753.773,842.062,842.062,348.702,255.565,180.921,39.084,15.810,1.507,0.421
128,36.060,759.995,839.955,839.955,347.830,254.925,180.469,38.986,15.771,1.503,0.420
129,36.394,733.442,837.848,837.848,346.957,254.286,180.016,38.888,15.731,1.499,0.419
130,36.728,742.480,835.740,835.740,346.084,253.646,179.563,38.791,15.692,1.496,0.418
131,37.062,789.666,833.633,833.633,345.212,253.007,179.110,38.693,15.652,1.492,0.417
132,37.396,764.591,831.526,831.526,344.339,252.367,178.658,38.595,15.613,1.488,0.416
133,37.730,753.666,829.419,829.419,343.467,251.727,178.205,38.497,15.573,1.484,0.415
134,38.064,752.595,827.312,827.312,342.594,251.088,177.752,38.399,15.534,1.480,0.414
135,38.399,718.222,825.205,825.205,341.722,250.448,177.299,38.302,15.494,1.477,0.413
136,38.733,763.149,823.098,823.098,340.849,249.809,176.847,38.204,15.454,1.473,0.412
137,39.067,759.708,820.991,820.991,339.976,249.169,176.394,38.106,15.415,1.469,0.411
138,39.401,719.117,818.883,818.883,339.104,248.530,175.941,38.008,15.375,1.465,0.409
139,39.736,808.226,816.776,816.776,338.231,247.890,175.489,37.910,15.336,1.462,0.408
140,40.070,773.747,814.669,814.669,337.359,247.251,175.036,37.813,15.296,1.458,0.407
141,40.404,810.562,812.562,812.562,336.486,246.611,174.583,37.715,15.257,1.454,0.406
142,40.738,722.193,810.455,810.455,335.614,245.972,174.130,37.617,15.217,1.450,0.405
143,41.073,718.861,808.348,808.348,334.741,245.332,173.678,37.519,15.177,1.447,0.404
144,41.407,841.936,806.241,806.241,333.868,244.693,173.225,37.421,15.138,1.443,0.403
145,41.741,808.159,804.134,804.134,332.996,244.053,172.772,37.324,15.098,1.439,0.402
146,42.076,759.197,802.026,802.026,332.123,243.414,172.319,37.226,15.059,1.435,0.401
147,42.410,791.678,799.919,799.919,331.251,242.774,171.867,37.128,15.019,1.431,0.400
148,42.745,828.312,797.812,797.812,330.378,242.135,171.414,37.030,14.980,1.428,0.399
149,43.079,817.608,795.705,795.705,329.506,241.495,170.961,36.932,14.940,1.424,0.398
150,43.413,854.573,793.598,793.598,328.633,240.856,170.509,36.835,14.901,1.420,0.397
151,43.748,856.724,791.491,791.491,327.760,240.216,170.056,36.737,14.861,1.416,0.396
152,44.082,893.689,789.384,789.384,326.888,239.577,169.603,36.639,14.821,1.413,0.395
153,44.417,879.428,787.276,787.276,326.015,238.937,169.150,36.541,14.782,1.409,0.394
154,44.751,874.244,785.169,785.169,325.143,238.298,168.698,36.443,14.742,1.405,0.393
155,45.086,927.208,783.062,783.062,324.270,237.658,168.245,36.346,14.703,1.401,0.392
156,45.420,859.656,780.955,780.955,323.398,237.019,167.792,36.248,14.663,1.397,0.391
157,45.755,798.472,778.848,778.848,322.525,236.379,167.339,36.150,14.624,1.394,0.389
158,46.089,870.955,776.741,776.741,321.652,235.740,166.887,36.052,14.584,1.390,0.388
159,46.424,836.326,774.634,774.634,320.780,235.100,166.434,35.954,14.544,1.386,0.387
160,46.759,770.441,772.527,772.527,319.907,234.461,165.981,35.857,14.505,1.382,0.386
161,47.093,804.665,770.419,770.419,319.035,233.821,165.529,35.759,14.465,1.379,0.385
162,47.428,748.297,768.312,768.312,318.162,233.182,165.076,35.661,14.426,1.375,0.384
163,47.763,764.740,766.205,766.205,317.290,232.542,164.623,35.563,14.386,1.371,0.383
164,48.097,771.336,764.098,764.098,316.417,231.903,164.170,35.465,14.347,1.367,0.382
165,48.432,711.412,761.991,761.991,315.544,231.263,163.718,35.368,14.307,1.364,0.381
166,48.767,789.080,759.884,759.884,314.672,230.624,163.265,35.270,14.267,1.360,0.380
167,49.101,709.564,757.777,757.777,313.799,229.984,162.812,35.172,14.228,1.356,0.379
168,49.436,766.009,755.670,755.670,312.927,229.345,162.359,35.074,14.188,1.352,0.378
169,49.771,709.825,753.562,753.562,312.054,228.705,161.907,34.976,14.149,1.348,0.377
170,50.106,668.827,751.455,751.455,311.182,228.066,161.454,34.879,14.109,1.345,0.376
171,50.440,701.683,749.348,749.348,310.309,227.426,161.001,34.781,14.070,1.341,0.375
172,50.775,717.722,747.241,747.241,309.436,226.787,160.549,34.683,14.030,1.337,0.374
173,51.110,726.982,745.134,745.134,308.564,226.147,160.096,34.585,13.991,1.333,0.373
174,51.445,722.429,743.027,743.027,307.691,225.508,159.643,34.487,13.951,1.330,0.372
175,51.780,752.801,740.920,740.920,306.819,224.868,159.190,34.390,13.911,1.326,0.370
176,52.114,765.509,738.812,738.812,305.946,224.229,158.738,34.292,13.872,1.322,0.369
177,52.449,747.583,736.705,736.705,305.073,223.589,158.285,34.194,13.832,1.318,0.368
178,52.784,754.809,734.598,734.598,304.201,222.949,157.832,34.096,13.793,1.315,0.367
179,53.119,742.701,732.491,732.491,303.328,222.310,157.379,33.998,13.753,1.311,0.366
180,53.454,922.664,730.384,730.384,302.456,221.670,156.927,33.901,13.714,1.307,0.365
181,53.789,873.481,728.277,728.277,301.583,221.031,156.474,33.803,13.674,1.303,0.364
182,54.124,859.855,726.170,726.170,300.711,220.391,156.021,33.705,13.634,1.299,0.363
183,54.459,850.008,724.063,724.063,299.838,219.752,155.569,33.607,13.595,1.296,0.362
184,54.794,823.674,721.955,721.955,298.965,219.112,155.116,33.509,13.555,1.292,0.361
185,55.129,917.234,719.848,719.848,298.093,218.473,154.663,33.412,13.516,1.288,0.360
186,55.464,919.494,717.741,717.741,297.220,217.833,154.210,33.314,13.476,1.284,0.359
187,55.799,964.055,715.634,715.634,296.348,217.194,153.758,33.216,13.437,1.281,0.358
188,56.134,940.946,713.527,713.527,295.475,216.554,153.305,33.118,13.397,1.277,0.357
189,56.469,939.909,711.420,711.420,294.603,215.915,152.852,33.020,13.358,1.273,0.356
190,56.804,940.986,757.135,757.135,313.534,229.789,162.674,35.142,14.216,1.355,0.379
191,57.139,939.731,802.850,802.850,332.465,243.664,172.497,37.264,15.074,1.437,0.401
192,57.475,991.991,848.566,848.566,351.396,257.538,182.319,39.386,15.933,1.518,0.424
193,57.810,1039.879,894.281,894.281,370.326,271.413,192.141,41.508,16.791,1.600,0.447
194,58.145,1082.180,939.997,939.997,389.257,285.288,201.963,43.630,17.649,1.682,0.470
195,58.480,1111.884,985.712,985.712,408.188,299.162,211.785,45.751,18.508,1.764,0.493
196,58.815,1065.295,1031.427,1031.427,427.119,313.037,221.607,47.873,19.366,1.846,0.516
197,59.150,1067.522,1077.143,1077.143,446.050,326.911,231.430,49.995,20.224,1.928,0.539
198,59.486,1132.524,1122.858,1122.858,464.981,340.786,241.252,52.117,21.083,2.009,0.561
199,59.821,1104.120,1168.573,1168.573,483.912,354.660,251.074,54.239,21.941,2.091,0.584
200,60.156,1191.230,1214.289,1214.289,502.843,368.535,260.896,56.361,22.799,2.173,0.607
201,60.491,1151.307,1260.004,1260.004,521.774,382.409,270.718,58.483,23.658,2.255,0.630
202,60.827,1087.385,1305.719,1305.719,540.705,396.284,280.540,60.605,24.516,2.337,0.653
203,61.162,1213.644,1351.435,1351.435,559.636,410.158,290.363,62.726,25.374,2.418,0.676
204,61.497,1155.425,1397.150,1397.150,578.567,424.033,300.185,64.848,26.233,2.500,0.699
205,61.833,1230.988,1442.865,1442.865,597.498,437.908,310.007,66.970,27.091,2.582,0.721
206,62.168,1298.095,1488.581,1488.581,616.429,451.782,319.829,69.092,27.949,2.664,0.744
207,62.503,1273.954,1534.296,1534.296,635.360,465.657,329.651,71.214,28.808,2.746,0.767
208,62.839,1295.544,1580.011,1580.011,654.291,479.531,339.474,73.336,29.666,2.827,0.790
209,63.174,1262.288,1625.727,1625.727,673.222,493.406,349.296,75.458,30.524,2.909,0.813
210,63.510,1277.438,1671.442,1671.442,692.153,507.280,359.118,77.579,31.383,2.991,0.836
211,63.845,1329.255,1717.158,1717.158,711.084,521.155,368.940,79.701,32.241,3.073,0.859
212,64.181,1304.069,1762.873,1762.873,730.015,535.029,378.762,81.823,33.100,3.155,0.881
213,64.516,1308.334,1808.588,1808.588,748.946,548.904,388.584,83.945,33.958,3.236,0.904
214,64.852,1359.189,1854.304,1854.304,767.877,562.778,398.407,86.067,34.816,3.318,0.927
215,65.187,1438.334,1900.019,1900.019,786.808,576.653,408.229,88.189,35.675,3.400,0.950
216,65.523,1391.340,1945.734,1945.734,805.739,590.528,418.051,90.311,36.533,3.482,0.973
217,65.858,1539.453,1991.450,1991.450,824.670,604.402,427.873,92.432,37.391,3.564,0.996
218,66.194,1623.600,2037.165,2037.165,843.601,618.277,437.695,94.554,38.250,3.645,1.019
219,66.529,1533.270,2082.880,2082.880,862.532,632.151,447.517,96.676,39.108,3.727,1.042
220,66.865,1583.868,2128.596,2128.596,881.463,646.026,457.340,98.798,39.966,3.809,1.064
221,67.200,1592.456,2174.311,2174.311,900.393,659.900,467.162,100.920,40.825,3.891,1.087
222,67.536,1559.170,2220.026,2220.026,919.324,673.775,476.984,103.042,41.683,3.973,1.110
223,67.872,1653.057,2265.742,2265.742,938.255,687.649,486.806,105.164,42.541,4.054,1.133
224,68.207,1709.128,2311.457,2311.457,957.186,701.524,496.628,107.285,43.400,4.136,1.156
225,68.543,1844.984,2357.173,2357.173,976.117,715.398,506.451,109.407,44.258,4.218,1.179
226,68.879,1925.911,2402.888,2402.888,995.048,729.273,516.273,111.529,45.116,4.300,1.202
227,69.214,1894.253,2448.603,2448.603,1013.979,743.148,526.095,113.651,45.975,4.382,1.224
228,69.550,2047.622,2494.319,2494.319,1032.910,757.022,535.917,115.773,46.833,4.464,1.247
229,69.886,2095.439,2540.034,2540.034,1051.841,770.897,545.739,117.895,47.691,4.545,1.270
230,70.222,2206.847,2585.749,2585.749,1070.772,784.771,555.561,120.017,48.550,4.627,1.293
231,70.557,2296.328,2631.465,2631.465,1089.703,798.646,565.384,122.139,49.408,4.709,1.316
232,70.893,2475.549,2677.180,2677.180,1108.634,812.520,575.206,124.260,50.266,4.791,1.339
233,71.229,2545.594,2722.895,2722.895,1127.565,826.395,585.028,126.382,51.125,4.873,1.362
234,71.565,2795.368,2768.611,2768.611,1146.496,840.269,594.850,128.504,51.983,4.954,1.384
235,71.901,2886.039,2814.326,2814.326,1165.427,854.144,604.672,130.626,52.841,5.036,1.407
236,72.236,2994.519,2860.041,2860.041,1184.358,868.018,614.494,132.748,53.700,5.118,1.430
237,72.572,3169.522,2905.757,2905.757,1203.289,881.893,624.317,134.870,54.558,5.200,1.453
238,72.908,3193.008,2951.472,2951.472,1222.220,895.767,634.139,136.992,55.417,5.282,1.476
239,73.244,3613.229,2997.187,2997.187,1241.151,909.642,643.961,139.113,56.275,5.363,1.499
240,73.580,3723.936,3042.903,3042.903,1260.082,923.517,653.783,141.235,57.133,5.445,1.522
241,73.916,3853.081,3088.618,3088.618,1279.013,937.391,663.605,143.357,57.992,5.527,1.544
242,74.252,4084.640,3134.334,3134.334,1297.944,951.266,673.428,145.479,58.850,5.609,1.567
243,74.588,4096.862,3180.049,3180.049,1316.875,965.140,683.250,147.601,59.708,5.691,1.590
244,74.924,4274.308,3225.764,3225.764,1335.806,979.015,693.072,149.723,60.567,5.772,1.613
245,75.260,4356.197,3271.480,3271.480,1354.737,992.889,702.894,151.845,61.425,5.854,1.636
246,75.596,4532.568,3317.195,3317.195,1373.668,1006.764,712.716,153.966,62.283,5.936,1.659
247,75.932,4575.123,3362.910,3362.910,1392.599,1020.638,722.538,156.088,63.142,6.018,1.682
248,76.268,4643.497,3408.626,3408.626,1411.530,1034.513,732.361,158.210,64.000,6.100,1.704
249,76.604,4592.313,3454.341,3454.341,1430.461,1048.387,742.183,160.332,64.858,6.181,1.727
250,76.940,4565.608,3500.056,3500.056,1449.391,1062.262,752.005,162.454,65.717,6.263,1.750
251,77.276,4574.349,3545.772,3545.772,1468.322,1076.137,761.827,164.576,66.575,6.345,1.773
252,77.612,4674.832,3591.487,3591.487,1487.253,1090.011,771.649,166.698,67.433,6.427,1.796
253,77.948,4469.348,3554.334,3554.334,1471.868,1078.735,763.667,164.973,66.736,6.360,1.777
254,78.285,4346.018,3517.181,3517.181,1456.483,1067.459,755.684,163.249,66.038,6.294,1.759
255,78.621,4253.240,3480.028,3480.028,1441.098,1056.184,747.702,161.524,65.341,6.227,1.740
256,78.957,4214.132,3442.875,3442.875,1425.713,1044.908,739.719,159.800,64.643,6.161,1.722
257,79.293,4061.651,3405.722,3405.722,1410.327,1033.632,731.737,158.075,63.945,6.094,1.703
258,79.629,3900.798,3368.570,3368.570,1394.942,1022.356,723.754,156.351,63.248,6.028,1.684
259,79.965,3726.579,3331.417,3331.417,1379.557,1011.080,715.772,154.627,62.550,5.961,1.666
260,80.302,3631.134,3294.264,3294.264,1364.172,999.804,707.789,152.902,61.853,5.895,1.647
261,80.638,3383.497,3257.111,3257.111,1348.786,988.528,699.807,151.178,61.155,5.829,1.629
262,80.974,3185.203,3219.958,3219.958,1333.401,977.253,691.824,149.453,60.458,5.762,1.610
263,81.311,3096.685,3182.805,3182.805,1318.016,965.977,683.842,147.729,59.760,5.696,1.592
264,81.647,2820.208,3145.652,3145.652,1302.631,954.701,675.859,146.004,59.062,5.629,1.573
265,81.983,2814.021,3108.499,3108.499,1287.246,943.425,667.877,144.280,58.365,5.563,1.554
266,82.319,2758.096,3071.346,3071.346,1271.860,932.149,659.894,142.555,57.667,5.496,1.536
267,82.656,2539.281,3034.193,3034.193,1256.475,920.873,651.912,140.831,56.970,5.430,1.517
268,82.992,2489.467,2997.040,2997.040,1241.090,909.597,643.929,139.107,56.272,5.363,1.499
269,83.329,2387.203,2959.888,2959.888,1225.705,898.322,635.947,137.382,55.575,5.297,1.480
270,83.665,2485.837,2922.735,2922.735,1210.320,887.046,627.964,135.658,54.877,5.230,1.461
271,84.001,2216.063,2885.582,2885.582,1194.934,875.770,619.982,133.933,54.179,5.164,1.443
272,84.338,2390.801,2848.429,2848.429,1179.549,864.494,611.999,132.209,53.482,5.097,1.424
273,84.674,2323.802,2811.276,2811.276,1164.164,853.218,604.017,130.484,52.784,5.031,1.406
274,85.011,2264.507,2774.123,2774.123,1148.779,841.942,596.034,128.760,52.087,4.964,1.387
275,85.347,2320.914,2736.970,2736.970,1133.394,830.666,588.052,127.036,51.389,4.898,1.369
276,85.684,2343.206,2699.817,2699.817,1118.008,819.391,580.069,125.311,50.691,4.831,1.350
277,86.020,2413.062,2662.664,2662.664,1102.623,808.115,572.087,123.587,49.994,4.765,1.331
278,86.357,2351.287,2625.511,2625.511,1087.238,796.839,564.104,121.862,49.296,4.698,1.313
279,86.693,2468.099,2588.358,2588.358,1071.853,785.563,556.122,120.138,48.599,4.632,1.294
280,87.030,2419.135,2551.206,2551.206,1056.467,774.287,548.139,118.413,47.901,4.565,1.276
281,87.366,2473.284,2514.053,2514.053,1041.082,763.011,540.157,116.689,47.204,4.499,1.257
282,87.703,2544.358,2476.900,2476.900,1025.697,751.735,532.175,114.964,46.506,4.432,1.239
283,88.040,2530.062,2439.747,2439.747,1010.312,740.460,524.192,113.240,45.808,4.366,1.220
284,88.376,2617.987,2402.594,2402.594,994.927,729.184,516.210,111.516,45.111,4.299,1.201
285,88.713,2604.918,2365.441,2365.441,979.541,717.908,508.227,109.791,44.413,4.233,1.183
286,89.050,2595.174,2328.288,2328.288,964.156,706.632,500.245,108.067,43.716,4.166,1.164
287,89.386,2453.508,2291.135,2291.135,948.771,695.356,492.262,106.342,43.018,4.100,1.146
288,89.723,2555.396,2253.982,2253.982,933.386,684.080,484.280,104.618,42.321,4.033,1.127
289,90.060,2558.358,2216.829,2216.829,918.001,672.804,476.297,102.893,41.623,3.967,1.108
290,90.396,2636.647,2179.676,2179.676,902.615,661.529,468.315,101.169,40.925,3.900,1.090
291,90.733,2570.321,2142.524,2142.524,887.230,650.253,460.332,99.444,40.228,3.834,1.071
292,91.070,2471.021,2105.371,2105.371,871.845,638.977,452.350,97.720,39.530,3.767,1.053
