ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
6015,2020.925,19.926,14.853,0.100,0.000,14.853,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6016,2021.294,33.964,14.883,0.098,0.000,14.883,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6017,2021.663,17.519,14.913,0.096,0.000,14.913,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6018,2022.032,26.778,14.944,0.094,0.000,14.944,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6019,2022.401,26.594,14.975,0.092,0.000,14.975,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6020,2022.770,24.926,15.006,0.090,0.000,15.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6021,2023.139,41.852,15.037,0.087,0.000,15.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6022,2023.508,22.630,15.069,0.085,0.000,15.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6023,2023.878,25.149,15.101,0.083,0.000,15.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6024,2024.247,27.964,15.134,0.081,0.000,15.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6025,2024.616,25.519,15.167,0.079,0.000,15.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6026,2024.986,30.778,15.200,0.077,0.000,15.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6027,2025.355,24.704,15.234,0.075,0.000,15.234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6028,2025.725,13.260,15.268,0.073,0.000,15.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6029,2026.095,19.038,15.302,0.070,0.000,15.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6030,2026.464,17.445,15.337,0.068,0.000,15.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6031,2026.834,39.704,15.372,0.066,0.000,15.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6032,2027.204,26.223,15.408,0.064,0.000,15.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6033,2027.574,32.186,15.444,0.062,0.000,15.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6034,2027.944,30.112,15.480,0.060,0.000,15.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6035,2028.313,27.890,15.517,0.058,0.000,15.517,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6036,2028.683,26.630,15.554,0.055,0.000,15.554,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6037,2029.054,29.260,15.591,0.053,0.000,15.591,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6038,2029.424,25.186,15.629,0.051,0.000,15.629,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6039,2029.794,27.038,15.667,0.049,0.000,15.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6040,2030.164,31.778,15.705,0.047,0.000,15.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6041,2030.534,23.964,15.743,0.045,0.000,15.743,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6042,2030.905,26.964,15.782,0.043,0.000,15.782,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6043,2031.275,26.704,15.822,0.041,0.000,15.822,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6044,2031.645,29.964,15.861,0.038,0.000,15.861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6045,2032.016,21.964,15.901,0.036,0.000,15.901,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6046,2032.387,32.186,15.942,0.034,0.000,15.942,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6047,2032.757,25.778,15.982,0.032,0.000,15.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6048,2033.128,24.186,16.024,0.030,0.000,16.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6049,2033.498,21.112,16.065,0.028,0.000,16.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6050,2033.869,33.482,16.107,0.026,0.000,16.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6051,2034.240,28.556,16.149,0.023,0.000,16.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6052,2034.611,16.890,16.192,0.021,0.000,16.192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6053,2034.982,21.852,16.235,0.019,0.000,16.235,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6054,2035.353,22.408,16.278,0.017,0.000,16.278,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6055,2035.724,25.223,16.322,0.015,0.000,16.322,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6056,2036.095,24.260,16.366,0.013,0.000,16.366,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6057,2036.466,32.297,16.411,0.011,0.000,16.411,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6058,2036.837,22.260,16.456,0.009,0.000,16.456,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
