spectrum,det,n,tag_pipeline,tag_choose,null_worst_kev,null_worst_fwhm,null_worst_cause,shift_weakest_fwhm,shift_weakest_cause,pipe_null_worst_kev,pipe_null_worst_fwhm,pipe_shift_weakest_fwhm,trace
G1S24_Th228_P25,G1S24,9,affine,affine,0.0,0.0,neutral,1.1896,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.163); gain=ok(0.141,paid); affine=ok(0.117,paid)"
G1S24_Y88_P25,G1S24,6,affine,affine,0.0,0.0,neutral,1.3211,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.181); gain=ok(0.144,paid); affine=ok(0.103,paid)"
G1S24_Am241_P5,G1S24,1,stored,stored,139.6845,1.5048,gate:drift>5%,0.0,frozen,,,,gain=drift>5%; affine=count; poly1=count; poly2=count; stored=ok(0.303)
G1S24_Ba133_P5,G1S24,4,gain,gain,0.0,0.0,neutral,0.2664,reacted,,,,"poly1=extrap_below; stored=ok(0.161); gain=ok(0.123,paid); affine=ok(0.112,paid); poly2=ok(0.117,paid)"
G1S24_Bi207_P5,G1S24,5,affine,affine,0.0,0.0,neutral,2.8776,reacted,,,,"poly2=extrap_below; stored=ok(0.243); gain=ok(0.226,paid); affine=ok(0.058,paid); poly1=ok(0.143,paid)"
G1S24_Cd109_P5,G1S24,2,gain,gain,20.5373,0.489,unlock,1.3687,reacted,,,,"affine=count; poly1=count; poly2=count; stored=ok(0.472); gain=ok(0.076,paid)"
G1S24_Co60_P5,G1S24,7,affine,affine,0.0,0.0,neutral,3.534,reacted,,,,"stored=ok(0.202); gain=ok(0.200,paid); affine=ok(0.100,paid); poly1=ok(0.118,paid); poly2=ok(0.104,paid)"
G1S24_Cs137_P5,G1S24,3,affine,affine,101.159,1.223,unlock,1.2733,reacted,,,,"poly2=count; poly1=extrap_below; stored=ok(0.060); gain=ok(0.068,paid); affine=ok(0.014,paid)"
G1S24_Eu152_P5,G1S24,7,affine,gain,0.0,0.0,neutral,0.1631,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.122); gain=ok(0.085,paid); affine=ok(0.078,paid)"
G1S24_Na22_P5,G1S24,5,affine,affine,0.0,0.0,neutral,3.468,reacted,,,,"poly1=extrap_below; stored=ok(0.452); gain=ok(0.417,paid); affine=ok(0.172,paid); poly2=ok(0.235,paid)"
G1S24_Th228_P5,G1S24,8,affine,affine,0.0,0.0,neutral,1.617,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.144); gain=ok(0.142,paid); affine=ok(0.129,paid)"
G1S24_Y88_P5,G1S24,5,affine,affine,0.0,0.0,neutral,2.2135,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.263); gain=ok(0.262,paid); affine=ok(0.168,paid)"
G1S24_Zn65_P5,G1S24,2,gain,gain,3.8996,0.4213,unlock,1.1726,reacted,,,,"affine=count; poly1=count; poly2=count; stored=ok(0.079); gain=ok(0.018,paid)"
