spectrum,det,n,level,arm,place,e_star,ch_star,tag_before,tag_after,d_max_kev,d_max_fwhm,ch_max,d_at_star_kev,cause
ASN16_Charoite_v2,ASN16,12,choose,null,mid,698.91,1826.92,affine,affine,0.0,0.0,5424,0.0,neutral
ASN16_Charoite_v2,ASN16,12,choose,shift,mid,698.91,2025.09,affine,stored,26.5705,1.9739,8191,-1.1721,reacted
ASN16_Th232_Am241,ASN16,14,choose,null,low,29.77,96.68,stored,stored,0.0,0.0,0,0.0,neutral
ASN16_Th232_Am241,ASN16,14,choose,shift,low,29.77,135.6,stored,affine,2.5421,0.8795,0,-2.4683,reacted
ASN16_Th232_Am241,ASN16,14,choose,null,mid,394.58,1081.04,stored,stored,0.0,0.0,0,0.0,neutral
ASN16_Th232_Am241,ASN16,14,choose,shift,mid,394.58,1217.0,stored,stored,0.0,0.0,0,0.0,frozen
ASN16_Am241,ASN16,6,choose,null,low,29.77,101.22,affine,affine,0.0,0.0,5332,-0.0,neutral
ASN16_Am241,ASN16,6,choose,shift,low,29.77,142.56,affine,affine,2.084,0.6445,8191,-1.9373,reacted
ASN16_Am241,ASN16,6,choose,null,mid,394.55,1078.94,affine,affine,0.0,0.0,5381,-0.0,neutral
ASN16_Am241,ASN16,6,choose,shift,mid,394.55,1224.3,affine,stored,12.5136,0.448,8191,-0.5421,reacted
ASN16_Cs137,ASN16,6,choose,null,low,93.11,278.7,affine,affine,0.0,0.0,5514,-0.0,neutral
ASN16_Cs137,ASN16,6,choose,shift,low,93.11,358.85,affine,affine,9.3973,2.2067,8191,-7.2397,reacted
ASN16_Cs137,ASN16,6,choose,null,mid,697.75,1815.23,affine,affine,0.0,0.0,2728,0.0,neutral
ASN16_Cs137,ASN16,6,choose,shift,mid,697.75,2026.15,affine,stored,46.2105,2.0558,8191,-5.1853,reacted
ASN16_BrazilNuts,ASN16,11,choose,null,low,23.94,74.43,stored,stored,0.0,0.0,0,0.0,neutral
ASN16_BrazilNuts,ASN16,11,choose,shift,low,23.94,120.78,stored,stored,0.0,0.0,0,0.0,frozen
ASN16_BrazilNuts,ASN16,11,choose,null,mid,353.84,920.58,stored,stored,0.0,0.0,0,0.0,neutral
ASN16_BrazilNuts,ASN16,11,choose,shift,mid,353.84,1090.26,stored,stored,0.0,0.0,0,0.0,frozen
RC103_Th232WT20,RC103,9,choose,null,low,30.16,11.72,gain,gain,0.0,0.0,0,0.0,neutral
RC103_Th232WT20,RC103,9,choose,shift,low,30.16,20.85,gain,stored,65.5059,0.5998,1023,-1.1824,reacted
RC103_Th232WT20,RC103,9,choose,null,mid,397.1,158.67,gain,gain,0.0,0.0,0,0.0,neutral
RC103_Th232WT20,RC103,9,choose,shift,mid,397.1,190.26,gain,stored,65.5059,0.5998,1023,-10.7827,reacted
AS80_Th232Medal,AS80x80,13,choose,null,low,119.19,351.79,gain,gain,0.0,0.0,5328,-0.0,neutral
AS80_Th232Medal,AS80x80,13,choose,shift,low,119.19,440.03,gain,gain,7.8916,0.0971,8191,-0.4202,reacted
AS80_Th232Medal,AS80x80,13,choose,null,mid,789.45,2168.35,gain,gain,0.0,0.0,0,0.0,neutral
AS80_Th232Medal,AS80x80,13,choose,shift,mid,789.45,2394.67,gain,gain,19.3413,0.2381,8191,-5.9206,reacted
AS80_Onyx,AS80x80,7,choose,null,low,173.62,509.26,stored,stored,0.0,0.0,0,0.0,neutral
AS80_Onyx,AS80x80,7,choose,shift,low,173.62,673.88,stored,affine,15.7813,3.1015,0,-13.9125,reacted
AS80_Onyx,AS80x80,7,choose,null,mid,952.81,2658.79,stored,stored,0.0,0.0,0,0.0,neutral
AS80_Onyx,AS80x80,7,choose,shift,mid,952.81,3027.99,stored,stored,0.0,0.0,0,0.0,frozen
AS80_K40,AS80x80,11,choose,null,low,119.63,335.96,affine,affine,0.0,0.0,7388,0.0,neutral
AS80_K40,AS80x80,11,choose,shift,low,119.63,447.71,affine,stored,8.9793,2.1919,0,-8.0928,reacted
AS80_K40,AS80x80,11,choose,null,mid,790.9,2214.0,affine,affine,0.0,0.0,7069,0.0,neutral
AS80_K40,AS80x80,11,choose,shift,mid,790.9,2492.3,affine,stored,8.9793,2.1919,0,-4.0668,reacted
AS80_Th232WT20,AS80x80,13,choose,null,low,30.17,104.29,gain,gain,0.0,0.0,0,0.0,neutral
AS80_Th232WT20,AS80x80,13,choose,shift,low,30.17,149.05,gain,stored,12.4021,0.1469,8191,-0.1854,reacted
AS80_Th232WT20,AS80x80,13,choose,null,mid,397.19,1090.06,gain,gain,0.0,0.0,5395,-0.0,neutral
AS80_Th232WT20,AS80x80,13,choose,shift,mid,397.19,1250.79,gain,stored,12.4021,0.1469,8191,-1.8135,reacted
RC103_K40,RC103,1,choose,null,low,729.81,289.88,gain,gain,0.0,0.0,769,0.0,neutral
RC103_K40,RC103,1,choose,shift,low,729.81,363.68,gain,stored,4.2946,0.023,1023,1.4235,reacted
RC103_K40,RC103,1,choose,null,mid,2189.44,792.22,gain,gain,0.0,0.0,642,0.0,neutral
RC103_K40,RC103,1,choose,shift,mid,2189.44,903.09,gain,stored,4.2946,0.023,1023,3.8578,reacted
