spectrum,det,part,matrix_applied,component,energy_kev,lines,intensity_pct,expected,measured,sigma,z,ratio,purity,decision,obligatory
G1S16_Ba133_P25,G1S16,known,1,Ba-133,53.16,1,2.1407,9885.9,10189.8,143.3,2.12,1.0307,1.000,139.3,1
G1S16_Ba133_P25,G1S16,known,1,Ba-133,80.89,2,35.5981,55367.0,62473.6,287.6,24.71,1.1284,1.000,181.9,1
G1S16_Ba133_P25,G1S16,known,1,Ba-133,160.61,1,0.6379,6706.0,7916.0,188.5,6.42,1.1804,1.000,232.4,1
G1S16_Ba133_P25,G1S16,known,1,Ba-133,276.40,1,7.1606,24098.0,23432.4,194.5,-3.42,0.9724,1.000,162.9,1
G1S16_Ba133_P25,G1S16,known,1,Ba-133,302.85,1,18.3358,30618.7,31315.5,205.3,3.39,1.0228,1.000,135.9,1
G1S16_Ba133_P25,G1S16,known,1,Ba-133,359.52,2,70.9914,70996.5,72108.2,282.2,3.94,1.0157,1.000,107.2,1
G1S16_Cd109_P25,G1S16,known,1,Cd-109,22.63,4,102.3044,12692.5,11844.9,116.2,-7.29,0.9332,1.000,47.4,1
G1S16_Cd109_P25,G1S16,known,1,Cd-109,88.03,1,3.6440,1479.6,2909.3,141.0,10.14,1.9662,1.000,154.0,1
G1S16_Ce139_P25,G1S16,known,1,Ce-139,34.23,4,79.2296,6146.6,5718.0,93.9,-4.56,0.9303,1.000,68.1,1
G1S16_Ce139_P25,G1S16,known,1,Ce-139,165.86,1,79.9000,8734.0,8891.7,156.7,1.01,1.0181,1.000,148.6,1
G1S16_Co60_P25,G1S16,known,1,Co-60,1173.23,1,99.8500,56350.1,56583.5,241.5,0.97,1.0041,1.000,48.5,1
G1S16_Co60_P25,G1S16,known,1,Co-60,1332.49,1,99.9826,46171.6,47054.7,219.5,4.02,1.0191,1.000,39.4,1
G1S16_Cs137_P25,G1S16,known,1,Cs-137,32.94,4,7.0080,26374.6,26778.3,173.4,2.33,1.0153,1.000,76.0,1
G1S16_Cs137_P25,G1S16,known,1,Cs-137,661.66,1,85.1000,151776.2,153094.7,394.9,3.34,1.0087,1.000,63.4,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,41.10,5,73.9696,168726.1,161416.4,429.3,-17.03,0.9567,1.000,227.0,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,121.78,1,28.5300,105335.6,106418.5,410.2,2.64,1.0103,1.000,347.8,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,244.70,1,7.5500,33350.9,35521.0,278.5,7.79,1.0651,1.000,292.3,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,295.94,1,0.4400,19470.1,18332.7,223.8,-5.08,0.9416,1.000,254.4,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,345.01,2,27.4490,75507.5,79362.0,326.9,11.79,1.0510,1.000,237.1,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,411.12,1,2.2370,18634.4,18319.6,193.1,-1.63,0.9831,1.000,200.0,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,443.96,1,2.8270,18384.0,18456.9,186.3,0.39,1.0040,1.000,183.4,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,488.68,1,0.4140,13465.5,13764.4,167.7,1.78,1.0222,1.000,168.4,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,574.67,2,0.9490,13376.1,12741.4,157.1,-4.04,0.9525,1.000,148.2,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,685.09,2,1.3290,13263.0,14085.2,148.1,5.55,1.0620,1.000,122.2,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,779.66,2,13.2470,26512.4,26584.6,184.9,0.39,1.0027,1.000,120.1,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,867.38,1,4.2300,15258.1,14368.2,144.7,-6.15,0.9417,1.000,110.0,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,964.60,3,15.5880,20230.8,20549.1,160.7,1.98,1.0157,1.000,95.3,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,1100.16,3,25.5140,26796.1,27385.1,178.6,3.30,1.0220,1.000,84.1,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,1212.95,1,1.4150,5215.9,4893.6,90.5,-3.56,0.9382,1.000,70.0,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,1299.14,1,1.6330,3449.8,3609.6,78.4,2.04,1.0463,1.000,62.5,1
G1S16_Eu152_P25,G1S16,known,1,Eu-152,1409.17,2,21.3670,14672.9,14948.3,139.8,1.97,1.0188,1.000,82.4,1
G1S16_Mn54_P25,G1S16,known,1,Mn-54,834.85,1,99.9760,54511.2,54919.5,239.3,1.71,1.0075,1.000,59.4,1
G1S16_Na22_P25,G1S16,known,1,Na-22,1274.54,1,99.9400,85716.1,86665.0,297.0,3.20,1.0111,1.000,49.7,1
G1S16_Th228_P25,G1S16,known,1,Th-228,39.86,1,1.0600,1318.3,848.8,93.9,-5.00,0.6439,0.000,110.4,0
G1S16_Th228_P25,G1S16,known,1,Th-228,76.61,12,30.8097,10770.1,11395.5,209.5,2.99,1.0581,0.030,213.4,1
G1S16_Th228_P25,G1S16,known,1,Th-228,88.03,6,7.7296,7365.4,7636.4,203.2,1.33,1.0368,0.042,216.4,1
G1S16_Th228_P25,G1S16,known,1,Th-228,115.18,1,0.5964,947.7,545.8,186.6,-2.15,0.5759,0.026,220.9,0
G1S16_Th228_P25,G1S16,known,1,Th-228,131.61,1,0.1271,924.6,830.7,195.9,-0.48,0.8985,0.043,233.2,0
G1S16_Th228_P25,G1S16,known,1,Th-228,166.41,1,0.1009,971.9,1247.8,182.2,1.51,1.2838,0.032,215.9,0
