spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal,light_shift_kev
G1S16_Co60_P5,G1S16,known,Co-60,1332.492,1331.384,1331.940,0.556,1.342,0.9728,562.42,430,474,1,,-5.821
G1S16_Cs137_P5,G1S16,known,Cs-137,32.193,25.146,25.179,0.033,0.124,0.6887,401.35,11,15,1,,2.462
G1S16_Cs137_P5,G1S16,known,Cs-137,661.657,658.621,658.618,-0.003,0.845,0.9887,1295.17,215,243,1,,0.000
G1S16_Eu152_P5,G1S16,known,Eu-152,40.117,36.915,36.915,0.001,0.146,0.6811,780.96,13,19,1,,2.871
G1S16_Eu152_P5,G1S16,known,Eu-152,121.782,120.392,123.903,3.511,0.287,0.7360,675.41,40,50,0,outlier,3.333
G1S16_Eu152_P5,G1S16,known,Eu-152,244.697,243.092,244.967,1.876,0.446,0.4217,278.68,79,95,0,share,2.705
G1S16_Eu152_P5,G1S16,known,Eu-152,344.279,343.957,346.277,2.320,0.557,0.7763,550.25,113,131,0,outlier,2.207
G1S16_Eu152_P5,G1S16,known,Eu-152,411.117,412.549,413.765,1.217,0.707,0.1819,60.10,135,157,0,share,1.880
G1S16_Eu152_P5,G1S16,known,Eu-152,443.961,444.234,445.184,0.950,0.700,0.2158,76.98,144,166,0,share,1.702
G1S16_Eu152_P5,G1S16,known,Eu-152,563.986,575.264,574.766,-0.498,1.370,0.0805,20.02,187,213,0,share,0.865
G1S16_Eu152_P5,G1S16,known,Eu-152,688.670,685.878,689.009,3.131,1.165,0.0959,34.01,222,252,0,share,-0.185
G1S16_Eu152_P5,G1S16,known,Eu-152,778.905,779.704,779.977,0.273,0.955,0.4829,198.60,252,284,0,share,-0.855
G1S16_Eu152_P5,G1S16,known,Eu-152,867.380,870.316,868.425,-1.890,1.175,0.2255,50.22,282,316,0,share,-1.580
G1S16_Eu152_P5,G1S16,known,Eu-152,964.057,966.279,965.710,-0.569,1.099,0.5612,200.01,312,348,1,,-2.442
G1S16_Eu152_P5,G1S16,known,Eu-152,1112.076,1102.483,1102.320,-0.163,1.192,0.7021,288.69,355,395,1,,-3.752
G1S16_Eu152_P5,G1S16,known,Eu-152,1212.948,1214.883,1219.366,4.484,2.179,0.1447,24.98,391,433,0,share,-4.676
G1S16_Eu152_P5,G1S16,known,Eu-152,1299.142,1303.369,1293.961,-9.408,1.841,0.2467,35.75,420,464,0,share,-5.496
G1S16_Eu152_P5,G1S16,known,Eu-152,1408.013,1411.470,1412.433,0.963,1.398,0.8710,250.69,454,500,1,,-6.428
G1S16_Mn54_P5,G1S16,known,Mn-54,834.848,837.598,837.606,0.007,0.968,0.9885,444.63,272,302,1,,-1.306
G1S16_Na22_P5,G1S16,known,Ann-511,511.000,511.448,512.173,0.725,0.738,0.9495,1280.62,165,191,1,,1.268
G1S16_Na22_P5,G1S16,known,Na-22,1274.537,1254.305,1253.448,-0.858,1.302,0.9525,517.00,411,455,1,,-5.258
G1S16_Th228_P5,G1S16,known,Th-228,39.857,33.523,,,,0.0997,-1.01,14,20,0,z,0.000
G1S16_Th228_P5,G1S16,known,Th-228,77.108,70.608,70.929,0.322,0.222,0.6645,193.35,26,34,1,,3.819
G1S16_Th228_P5,G1S16,known,Th-228,115.183,110.570,124.654,14.084,1.297,0.0666,12.30,38,48,0,share,3.425
G1S16_Th228_P5,G1S16,known,Th-228,166.410,160.717,,,,0.0094,-15.02,54,66,0,z,0.000
G1S16_Th228_P5,G1S16,known,Th-228,238.632,234.472,237.901,3.429,0.436,0.8493,246.85,78,92,0,outlier,2.719
G1S16_Th228_P5,G1S16,known,Th-228,300.087,295.874,298.284,2.410,0.660,0.3051,34.78,97,113,0,share,2.484
G1S16_Th228_P5,G1S16,known,Th-228,452.980,451.427,456.440,5.013,58.937,0.0668,0.35,147,169,0,z,1.649
G1S16_Th228_P5,G1S16,known,Th-228,510.770,510.262,512.816,2.554,0.764,0.5707,61.08,166,190,1,,1.270
G1S16_Th228_P5,G1S16,known,Th-228,583.187,585.111,585.490,0.379,0.782,0.8650,128.21,190,216,1,,0.707
G1S16_Th228_P5,G1S16,known,Th-228,727.330,730.808,729.747,-1.061,1.012,0.6155,45.92,237,267,1,,-0.463
G1S16_Th228_P5,G1S16,known,Th-228,860.557,864.423,863.741,-0.682,1.281,0.5266,31.87,280,314,1,,-1.522
G1S16_Th228_P5,G1S16,known,Th-228,1078.620,1084.555,1085.673,1.118,5.917,0.1255,5.68,351,389,0,share,-3.454
G1S16_Th228_P5,G1S16,known,Th-228,1512.700,1523.555,1550.354,26.799,5.601,0.0409,8.58,493,541,0,share,-7.271
G1S16_Th228_P5,G1S16,known,Th-228,1620.500,1632.695,1581.579,-51.116,11.341,0.1304,5.28,528,578,0,share,-8.165
G1S16_Th228_P5,G1S16,known,Th-228,1806.000,1820.328,1579.362,-240.966,1476.829,0.0092,0.11,587,641,0,z,-9.759
G1S16_Th228_P5,G1S16,known,Th-228,2614.511,2637.514,2616.817,-20.697,2.139,0.9374,69.23,852,920,0,outlier,-17.385
G1S16_Y88_P5,G1S16,known,Ann-511,511.000,508.566,508.456,-0.110,2.815,0.1565,7.53,167,191,0,share,1.268
G1S16_Y88_P5,G1S16,known,Y-88,898.042,897.408,896.759,-0.648,1.069,0.8966,82.78,291,325,1,,-1.846
G1S16_Y88_P5,G1S16,known,Y-88,1836.063,1842.085,1842.950,0.864,1.725,0.9746,62.89,592,646,1,,-10.024
