True coincidence factor calculation results.

Decay branch(es):
 Eu-152   EC  Sm-152 (13.5077 y) - 72.08%
Eu-152   B-  Gd-152 (13.5077 y) - 27.92%

Date: 15/09/2026
Time: 18:21:18

Calculation settings:
cp.xrays = true
cp.annihilation = true
cp.angular = true
cp.angle_optimize = false
cp.calc_full_eff = false
cp.calc_spectrum = false
cp.calc_coincidence = true
cp.calc_scattered = true
cp.calc_effc = false
cp.calc_electron_ttb = true
cp.threads_number = 1

DetectorType = SCINTILLATOR
DS_CrystalDiameter = 6.3 cm
DS_CrystalHeight = 6.3 cm
DS_CrystalFrontReflectorThickness = 0.13 cm
DS_CrystalSideReflectorThickness = 0.1 cm
DS_CrystalFrontCladdingThickness = 0.18 cm
DS_CrystalSideCladdingThickness = 0.2 cm
DS_DetectorFrontPackagingThickness = 0 cm
DS_DetectorSidePackagingThickness = 0 cm
DS_DetectorFrontCapThickness = 0 cm
DS_DetectorSideCapThickness = 0 cm
DS_DetectorMountingThickness = 0.2 cm

DS_nCrystalElements = 2
DS_ZCrystal[0] = 11
DS_ZCrystal[1] = 53
DS_FractionTypeCrystal = MASS
DS_FractionsCrystal[0] = 0.153373
DS_FractionsCrystal[1] = 0.846627
DS_RoCrystal = 3.667
DS_nCrystalCladdingElements = 1
DS_ZCrystalCladding[0] = 13
DS_FractionTypeCrystalCladding = MASS
DS_FractionsCrystalCladding[0] = 1
DS_RoCrystalCladding = 2.7
DS_nCrystalReflectorElements = 2
DS_ZCrystalReflector[0] = 6
DS_ZCrystalReflector[1] = 9
DS_FractionTypeReflector = MASS
DS_FractionsCrystalReflector[0] = 0.240183
DS_FractionsCrystalReflector[1] = 0.759817
DS_RoCrystalReflector = 2.25
DS_nDetectorCapElements = 1
DS_ZDetectorCap[0] = 13
DS_FractionTypeDetectorCap = MASS
DS_FractionsDetectorCap[0] = 1
DS_RoDetectorCap = 2.7
DS_nDetectorPackagingElements = 1
DS_ZDetectorPackaging[0] = 13
DS_FractionTypeDetectorPackaging = MASS
DS_FractionsDetectorPackaging[0] = 1
DS_RoDetectorPackaging = 2.7

SourceType = POINT
pdistance = 5 cm
prho = 0 cm


Number of simulated decays: 20000000

Results:
-----------------------------------------------------------------------------------
##	E, MeV	I	dI(%)	CF	dCF(%)	Eff	dEff(%)	Areas	AreasCoi
-----------------------------------------------------------------------------------
66	0.387900	2.9250e-05	9.0909	0.95238	46.44	1.709e-02	31.62	10.00	10.50
67	0.391190	1.4093e-05	3.0426	0.88889	83.47	1.419e-02	66.14	4.00	4.50
68	0.397750	3.7226e-06	15.7189	1.00000	96.89	4.701e-02	68.51	3.50	3.50
69	0.401290	6.3817e-06	6.6775	3.00000	244.95	1.175e-02	100.00	1.50	0.50
70	0.411116	2.2371e-02	0.3090	1.09652	1.30	2.790e-02	0.89	12485.00	11386.00
71	0.416020	1.0875e-03	1.7531	1.15251	6.01	2.745e-02	4.10	597.00	518.00
72	0.423450	2.9781e-05	7.1529	2.07143	52.59	2.434e-02	26.93	14.50	7.00
73	0.440860	6.2489e-05	6.8085	1.12766	28.76	2.120e-02	19.70	26.50	23.50
74	0.443961	2.8266e-02	0.4729	1.07911	1.20	2.541e-02	0.83	14363.00	13310.00
75	0.444010	2.9781e-03	3.5915	1.20668	3.77	2.607e-02	2.54	1553.00	1287.00
76	0.464280	4.5204e-06	41.1782	0.87500	77.26	3.871e-02	58.90	3.50	4.00
77	0.476420	1.7018e-05	18.7538	0.00000	0.00	0.000e+00	0.00	0.00	8.00
78	0.482330	2.4729e-04	3.2481	1.03902	13.94	2.153e-02	9.72	106.50	102.50
79	0.482400	2.3400e-05	4.5455	2.50000	53.37	2.671e-02	29.12	12.50	5.00
80	0.488679	4.1428e-03	0.7457	1.13280	3.33	2.322e-02	2.28	1923.50	1698.00
81	0.493540	3.0313e-04	4.4024	1.07117	11.76	2.482e-02	8.17	150.50	140.50
82	0.493780	9.7589e-05	4.3597	1.72414	23.85	2.562e-02	14.35	50.00	29.00
83	0.496400	5.8766e-05	4.0724	0.57627	33.04	1.446e-02	27.28	17.00	29.50
84	0.496560	5.8499e-05	36.3656	1.21154	26.64	2.692e-02	18.03	31.50	26.00
85	0.503467	1.5237e-03	1.2216	1.01710	5.69	2.049e-02	4.01	624.50	614.00
86	0.511000	5.1198e-04	3.0000	1.12804	9.16	2.495e-02	6.27	255.50	226.50
87	0.514780	4.2544e-06	18.7538	1.50000	125.83	3.526e-02	57.74	3.00	2.00
88	0.520240	5.3448e-04	2.9851	1.07193	9.51	2.161e-02	6.60	231.00	215.50
89	0.523130	1.5289e-04	4.1911	1.30081	17.09	2.616e-02	11.28	80.00	61.50
90	0.526880	1.1966e-04	6.6667	0.94737	21.39	1.880e-02	15.40	45.00	47.50
91	0.527100	1.8613e-06	0.3795	0.00000	0.00	0.000e+00	0.00	0.00	3.50
92	0.534250	4.0950e-04	2.5974	1.02727	11.00	2.070e-02	7.73	169.50	165.00
93	0.535440	1.7284e-05	7.7017	0.71429	63.47	1.446e-02	50.99	5.00	7.00
94	0.538290	4.3342e-05	6.7591	0.61194	28.48	2.365e-02	22.49	20.50	33.50
95	0.556480	1.7709e-04	3.4742	1.40517	17.34	2.301e-02	11.13	81.50	58.00
96	0.557800	2.9250e-05	11.8182	0.44000	54.86	9.402e-03	45.45	5.50	12.50
97	0.561260	1.4093e-05	16.9854	0.07692	227.41	1.774e-03	223.61	0.50	6.50
98	0.562980	2.0209e-04	9.2183	1.00500	14.26	2.487e-02	10.09	100.50	100.00
99	0.563100	3.0048e-06	7.0796	0.30000	112.25	2.496e-02	100.00	1.50	5.00
100	0.563986	4.9352e-03	0.9419	1.12910	3.27	2.025e-02	2.24	1998.50	1770.00
101	0.566438	1.3109e-03	2.4635	1.06282	6.28	2.001e-02	4.37	524.50	493.50
102	0.571830	4.4406e-05	3.6128	1.30000	36.50	2.196e-02	23.08	19.50	15.00
103	0.586265	4.5471e-03	0.7602	1.04637	3.46	1.886e-02	2.42	1715.00	1639.00
104	0.588600	2.3931e-05	44.4461	1.26316	44.37	2.507e-02	28.87	12.00	9.50
105	0.589830	1.3029e-05	6.1342	2.25000	106.50	1.727e-02	50.92	4.50	2.00
106	0.608060	2.6590e-06	30.0024	0.00000	0.00	0.000e+00	0.00	0.00	1.00
107	0.609230	1.2232e-05	13.0490	0.56522	53.56	2.657e-02	41.42	6.50	11.50
108	0.616050	9.1737e-05	5.8095	1.02941	24.60	1.908e-02	17.26	35.00	34.00
109	0.644390	6.5944e-05	7.2680	0.89655	27.01	1.971e-02	19.61	26.00	29.00
110	0.656489	1.4412e-03	1.5240	1.20422	6.38	1.882e-02	4.30	542.50	450.50
111	0.664770	9.9182e-05	5.1080	1.19565	28.93	1.386e-02	19.33	27.50	23.00
112	0.671155	2.4463e-04	17.3954	1.09655	16.39	1.625e-02	11.37	79.50	72.50
113	0.674640	1.6911e-03	1.9246	1.24587	6.11	1.783e-02	4.07	603.00	484.00
114	0.675000	2.1273e-04	3.7500	0.90968	16.54	1.657e-02	11.97	70.50	77.50
115	0.678623	4.7252e-03	0.6753	1.12293	3.69	1.653e-02	2.53	1562.00	1391.00
116	0.683250	4.7331e-05	5.6308	1.81818	39.63	2.113e-02	23.18	20.00	11.00
117	0.686600	2.0262e-04	3.3027	1.36090	16.39	2.233e-02	10.64	90.50	66.50
118	0.688670	8.5647e-03	0.7014	1.06082	2.74	1.604e-02	1.91	2747.00	2589.50
119	0.703010	3.8557e-05	7.5862	1.10000	46.72	1.426e-02	32.14	11.00	10.00
120	0.703550	2.6591e-05	10.0000	2.80000	52.10	2.632e-02	26.73	14.00	5.00
121	0.707160	1.4226e-05	3.9435	1.25000	101.00	8.787e-03	72.11	2.50	2.00
122	0.712830	9.5462e-04	2.5070	1.05660	8.18	1.613e-02	5.70	308.00	291.50
123	0.719346	2.4995e-03	3.2140	1.20174	5.16	1.656e-02	3.48	828.00	689.00
124	0.719360	9.4927e-04	3.3827	1.13163	8.31	1.630e-02	5.69	309.50	273.50
125	0.728040	1.1115e-04	3.3707	0.56522	22.16	1.462e-02	17.74	32.50	57.50
126	0.734140	9.0407e-06	14.7108	0.00000	0.00	0.000e+00	0.00	0.00	28.00
127	0.735430	4.4140e-05	4.2339	0.65854	35.88	1.529e-02	27.96	13.50	20.50
128	0.756160	4.4406e-05	9.5884	1.27273	43.26	1.576e-02	26.73	14.00	11.00
129	0.764880	1.8933e-03	2.2472	1.05346	6.00	1.509e-02	4.19	571.50	542.50
130	0.766380	6.9135e-06	11.5447	1.20000	104.56	2.170e-02	57.74	3.00	2.50
131	0.768960	8.1898e-04	5.2086	0.93800	9.10	1.432e-02	6.54	234.50	250.00
132	0.778904	1.2929e-01	0.4525	1.04375	0.74	1.457e-02	0.52	37667.50	36088.50
133	0.794780	2.6325e-04	6.0606	1.07092	16.65	1.434e-02	11.57	75.50	70.50
134	0.802000	4.1215e-06	11.6191	0.75000	136.93	1.820e-02	100.00	1.50	2.00
135	0.805710	1.5183e-04	3.8715	0.84375	21.44	1.334e-02	15.86	40.50	48.00
136	0.810451	3.1722e-03	0.9201	0.98152	4.69	1.423e-02	3.33	903.00	920.00
137	0.813210	4.3076e-05	9.8838	1.81818	59.68	1.161e-02	31.62	10.00	5.50
138	0.839360	1.7709e-04	2.8780	1.34884	20.12	1.638e-02	13.13	58.00	43.00
139	0.841574	1.6752e-03	1.7868	1.20267	7.00	1.346e-02	4.72	451.00	375.00
140	0.850100	7.7114e-06	10.3448	0.16949	48.45	3.242e-02	44.72	5.00	29.50
141	0.855210	1.9677e-05	6.7674	0.33333	112.22	3.812e-03	100.00	1.50	4.50
142	0.867380	4.2279e-02	0.6815	1.16137	1.40	1.303e-02	0.95	11015.00	9484.50
