ch,keV,net,fit,model,continuum_raw,Eu-152,Cs-137,Am-241,Ti-44
106,293.951,1070.200,1070.200,984.004,638.785,576.337,407.667,0.000,0.000
107,296.929,978.733,978.733,968.054,627.305,566.550,401.504,0.000,0.000
108,299.907,947.133,947.133,951.035,615.824,555.687,395.348,0.000,0.000
109,302.885,1032.933,1032.933,933.958,604.343,544.714,389.244,0.000,0.000
110,305.863,954.267,954.267,918.143,592.862,534.930,383.213,0.000,0.000
111,308.842,931.200,931.200,905.340,581.382,528.087,377.253,0.000,0.000
112,311.820,986.800,986.800,897.992,569.901,526.633,371.359,0.000,0.000
113,314.799,945.067,945.067,899.509,558.420,533.976,365.533,0.000,0.000
114,317.778,1089.200,1089.200,914.298,546.940,554.499,359.798,0.000,0.000
115,320.757,1140.733,1140.733,947.239,535.459,593.033,354.206,0.000,0.000
116,323.736,1204.867,1204.867,1002.416,523.978,653.585,348.831,0.000,0.000
117,326.715,1361.467,1361.467,1081.185,512.497,737.423,343.762,0.000,0.000
118,329.695,1415.200,1415.200,1180.124,501.017,841.037,339.087,0.000,0.000
119,332.675,1551.133,1551.133,1289.755,489.536,954.880,334.876,0.000,0.000
120,335.655,1568.667,1568.667,1394.980,478.055,1063.824,331.155,0.000,0.000
121,338.635,1703.333,1703.333,1477.702,466.574,1149.802,327.901,0.000,0.000
122,341.615,1709.933,1709.933,1529.318,463.226,1200.834,328.484,0.000,0.000
123,344.595,1708.333,1708.333,1531.008,459.878,1201.612,329.396,0.000,0.000
124,347.576,1620.800,1620.800,1481.378,456.530,1150.920,330.457,0.000,0.000
125,350.557,1397.067,1397.067,1388.754,453.182,1057.290,331.463,0.000,0.000
126,353.537,1255.000,1255.000,1268.615,449.833,936.393,332.222,0.000,0.000
127,356.519,1177.200,1177.200,1139.097,446.485,806.506,332.591,0.000,0.000
128,359.500,1044.800,1044.800,1016.339,443.137,683.841,332.498,0.000,0.000
129,362.481,812.333,812.333,911.292,439.789,579.345,331.947,0.000,0.000
130,365.463,782.800,782.800,828.723,436.441,497.726,330.997,0.000,0.000
131,368.445,697.200,697.200,768.175,433.092,438.438,329.737,0.000,0.000
132,371.426,664.200,664.200,725.987,429.744,397.726,328.261,0.000,0.000
133,374.409,636.067,636.067,697.390,426.396,370.745,326.645,0.000,0.000
134,377.391,624.467,624.467,678.018,423.048,353.074,324.944,0.000,0.000
135,380.373,595.800,595.800,664.636,419.700,341.446,323.190,0.000,0.000
136,383.356,578.600,578.600,655.226,416.351,333.828,321.398,0.000,0.000
137,386.339,558.200,558.200,648.706,413.003,329.129,319.576,0.000,0.000
138,389.322,594.267,594.267,644.551,409.655,326.818,317.733,0.000,0.000
139,392.305,593.133,593.133,642.456,406.307,326.577,315.879,0.000,0.000
140,395.288,568.867,568.867,642.099,402.959,328.066,314.033,0.000,0.000
141,398.271,623.800,623.800,643.018,399.610,330.808,312.210,0.000,0.000
142,401.255,556.200,556.200,644.587,396.262,334.159,310.428,0.000,0.000
143,404.239,607.200,607.200,646.071,392.914,337.378,308.693,0.000,0.000
144,407.223,596.533,596.533,646.752,389.566,339.745,307.007,0.000,0.000
145,410.207,557.333,557.333,646.080,386.217,340.718,305.363,0.000,0.000
146,413.191,559.867,559.867,643.817,382.869,340.066,303.751,0.000,0.000
147,416.176,565.933,565.933,640.102,379.521,337.935,302.168,0.000,0.000
148,419.160,545.200,545.200,635.426,376.173,334.814,300.612,0.000,0.000
149,422.145,556.333,556.333,630.492,372.825,331.401,299.091,0.000,0.000
150,425.130,559.867,559.867,626.015,369.476,328.398,297.617,0.000,0.000
151,428.115,604.133,604.133,622.499,366.128,326.304,296.195,0.000,0.000
152,431.100,551.800,551.800,620.085,362.780,325.263,294.822,0.000,0.000
153,434.086,590.067,590.067,618.491,359.432,325.019,293.472,0.000,0.000
154,437.071,590.467,590.467,617.085,356.084,324.989,292.096,0.000,0.000
155,440.057,588.333,588.333,615.042,352.735,324.428,290.614,0.000,0.000
156,443.043,593.667,593.667,611.556,349.387,322.635,288.921,0.000,0.000
157,446.029,537.067,537.067,606.033,346.039,319.143,286.890,0.000,0.000
158,449.016,586.600,586.600,597.621,342.100,313.506,284.115,0.000,0.000
159,452.002,560.800,560.800,587.015,338.161,306.280,280.735,0.000,0.000
160,454.989,540.867,540.867,574.617,334.222,297.981,276.637,0.000,0.000
161,457.976,499.333,499.333,561.016,330.283,289.272,271.744,0.000,0.000
162,460.963,576.467,576.467,546.842,326.344,280.808,266.034,0.000,0.000
163,463.950,563.067,563.067,532.656,322.405,273.115,259.541,0.000,0.000
164,466.937,548.533,548.533,518.880,318.466,266.514,252.366,0.000,0.000
165,469.925,611.000,611.000,505.775,314.527,261.106,244.668,0.000,0.000
166,472.912,685.533,685.533,493.456,310.588,256.806,236.649,0.000,0.000
167,475.900,791.800,791.800,481.933,306.649,253.400,228.533,0.000,0.000
168,478.888,929.200,929.200,471.153,302.710,250.612,220.541,0.000,0.000
169,481.876,1148.533,1148.533,461.029,298.771,248.162,212.868,0.000,0.000
170,484.865,1456.533,1456.533,451.471,294.832,245.807,205.664,0.000,0.000
171,487.853,1681.333,1681.333,442.397,290.893,243.372,199.025,0.000,0.000
172,490.842,1895.733,1895.733,433.742,286.954,240.753,192.989,0.000,0.000
173,493.831,2389.800,2389.800,425.461,283.015,237.915,187.546,0.000,0.000
174,496.820,2773.867,2773.867,417.526,279.076,234.878,182.648,0.000,0.000
175,499.809,3124.467,3124.467,409.928,275.137,231.701,178.227,0.000,0.000
176,502.798,3319.667,3319.667,402.663,271.198,228.458,174.206,0.000,0.000
177,505.788,3778.867,3778.867,395.732,267.259,225.223,170.509,0.000,0.000
178,508.777,3858.200,3858.200,389.132,263.320,222.060,167.073,0.000,0.000
179,511.767,3822.933,3822.933,382.856,259.381,219.012,163.844,0.000,0.000
180,514.757,3515.067,3515.067,376.889,255.442,216.106,160.783,0.000,0.000
181,517.747,3410.133,3410.133,371.210,251.503,213.350,157.860,0.000,0.000
182,520.738,3305.333,3305.333,365.797,247.564,210.744,155.053,0.000,0.000
183,523.728,2930.067,2930.067,360.629,243.625,208.282,152.347,0.000,0.000
184,526.719,2377.000,2377.000,355.689,239.686,205.959,149.730,0.000,0.000
185,529.710,2004.200,2004.200,350.967,235.747,203.771,147.196,0.000,0.000
186,532.701,1526.667,1526.667,346.459,231.808,201.719,144.740,0.000,0.000
187,535.692,1309.867,1309.867,342.168,227.869,199.807,142.361,0.000,0.000
188,538.683,1010.733,1010.733,338.094,223.930,198.035,140.060,0.000,0.000
189,541.675,740.467,740.467,334.235,219.991,196.399,137.835,0.000,0.000
190,544.667,540.667,540.667,330.575,216.052,194.887,135.688,0.000,0.000
191,547.659,460.000,460.000,327.086,212.113,193.470,133.616,0.000,0.000
192,550.651,365.467,365.467,323.720,208.174,192.106,131.614,0.000,0.000
193,553.643,311.000,311.000,320.414,204.235,190.740,129.674,0.000,0.000
194,556.635,308.600,308.600,317.092,200.296,189.308,127.784,0.000,0.000
195,559.628,290.133,290.133,313.675,196.357,187.743,125.932,0.000,0.000
196,562.621,265.200,265.200,310.086,192.418,185.985,124.101,0.000,0.000
197,565.613,272.667,272.667,306.263,188.479,183.988,122.275,0.000,0.000
198,568.606,292.000,292.000,302.161,184.540,181.721,120.439,0.000,0.000
199,571.600,246.000,246.000,297.755,180.601,179.175,118.579,0.000,0.000
200,574.593,255.933,255.933,293.042,176.662,176.358,116.684,0.000,0.000
201,577.587,266.733,266.733,291.675,176.360,175.227,116.448,0.000,0.000
202,580.580,237.400,237.400,290.052,176.057,173.877,116.176,0.000,0.000
203,583.574,255.067,255.067,288.223,175.755,172.346,115.877,0.000,0.000
204,586.568,293.667,293.667,286.252,175.453,170.679,115.573,0.000,0.000
205,589.563,242.200,242.200,284.225,175.150,168.923,115.302,0.000,0.000
206,592.557,268.667,268.667,282.250,174.848,167.124,115.126,0.000,0.000
207,595.552,242.867,242.867,280.469,174.545,165.331,115.138,0.000,0.000
208,598.546,241.000,241.000,279.073,174.243,163.587,115.486,0.000,0.000
209,601.541,253.200,253.200,278.321,173.941,161.933,116.389,0.000,0.000
210,604.536,283.200,283.200,278.574,173.638,160.404,118.171,0.000,0.000
211,607.532,253.067,253.067,280.331,173.336,159.025,121.306,0.000,0.000
212,610.527,303.267,303.267,284.276,173.034,157.815,126.462,0.000,0.000
213,613.523,269.533,269.533,291.325,172.731,156.782,134.544,0.000,0.000
214,616.518,277.400,277.400,302.656,172.429,155.929,146.728,0.000,0.000
215,619.514,318.067,318.067,319.713,172.127,155.255,164.458,0.000,0.000
216,622.510,346.267,346.267,344.158,171.824,154.761,189.397,0.000,0.000
217,625.507,384.733,384.733,377.756,171.522,154.449,223.308,0.000,0.000
218,628.503,434.333,434.333,422.177,171.219,154.329,267.849,0.000,0.000
219,631.500,540.000,540.000,478.720,170.917,154.419,324.301,0.000,0.000
220,634.497,617.000,617.000,547.981,170.615,154.750,393.231,0.000,0.000
221,637.493,653.133,653.133,629.512,170.312,155.362,474.150,0.000,0.000
222,640.491,775.600,775.600,721.532,170.010,156.308,565.225,0.000,0.000
223,643.488,859.800,859.800,820.767,169.708,157.648,663.118,0.000,0.000
224,646.485,892.133,892.133,922.482,169.405,159.450,763.031,0.000,0.000
225,649.483,975.800,975.800,1020.760,169.103,161.781,858.980,0.000,0.000
226,652.481,1106.000,1106.000,1109.014,168.801,164.699,944.315,0.000,0.000
227,655.479,1165.600,1165.600,1180.684,168.498,168.250,1012.434,0.000,0.000
228,658.477,1313.267,1313.267,1230.029,168.196,172.454,1057.574,0.000,0.000
229,661.475,1202.400,1202.400,1252.871,167.893,177.294,1075.576,0.000,0.000
230,664.474,1305.133,1305.133,1247.168,167.591,182.710,1064.458,0.000,0.000
231,667.472,1182.667,1182.667,1213.298,167.289,188.590,1024.708,0.000,0.000
232,670.471,1113.067,1113.067,1154.006,166.986,194.771,959.235,0.000,0.000
233,673.470,1094.533,1094.533,1074.018,166.684,201.045,872.973,0.000,0.000
234,676.469,980.933,980.933,979.406,166.382,207.173,772.233,0.000,0.000
235,679.468,891.200,891.200,876.814,166.079,212.906,663.908,0.000,0.000
236,682.468,806.133,806.133,772.687,165.777,218.019,554.668,0.000,0.000
237,685.468,677.467,677.467,672.623,165.475,222.334,450.290,0.000,0.000
238,688.467,549.133,549.133,580.934,165.172,225.741,355.193,0.000,0.000
239,691.467,480.533,480.533,500.441,164.870,228.210,272.231,0.000,0.000
240,694.467,399.200,399.200,432.512,164.568,229.787,202.725,0.000,0.000
241,697.468,374.733,374.733,377.259,164.265,230.578,146.680,0.000,0.000
242,700.468,325.267,325.267,333.846,163.963,230.729,103.117,0.000,0.000
243,703.469,293.333,293.333,300.838,163.660,230.403,70.435,0.000,0.000
244,706.470,280.267,280.267,276.507,163.358,229.761,46.746,0.000,0.000
245,709.471,265.333,265.333,259.095,163.056,228.951,30.144,0.000,0.000
246,712.472,242.600,242.600,246.991,162.753,228.104,18.887,0.000,0.000
247,715.473,215.000,215.000,238.825,162.451,227.327,11.498,0.000,0.000
248,718.475,227.333,227.333,233.515,162.149,226.715,6.801,0.000,0.000
249,721.476,201.733,201.733,230.261,161.846,226.353,3.909,0.000,0.000
250,724.478,216.667,216.667,228.510,161.544,226.327,2.182,0.000,0.000
251,727.480,216.133,216.133,227.483,160.810,226.299,1.184,0.000,0.000
252,730.482,217.933,217.933,227.426,160.075,226.802,0.624,0.000,0.000
253,733.485,224.267,224.267,228.273,159.341,227.954,0.320,0.000,0.000
254,736.487,211.400,211.400,230.034,158.607,229.875,0.159,0.000,0.000
255,739.490,222.333,222.333,232.765,157.872,232.688,0.077,0.000,0.000
256,742.493,225.600,225.600,236.530,157.138,236.494,0.036,0.000,0.000
257,745.496,257.600,257.600,241.376,156.404,241.360,0.016,0.000,0.000
258,748.499,239.133,239.133,247.301,155.669,247.293,0.007,0.000,0.000
259,751.502,259.000,259.000,254.227,154.935,254.224,0.003,0.000,0.000
260,754.506,253.600,253.600,261.988,154.201,261.987,0.001,0.000,0.000
261,757.510,271.533,271.533,270.313,153.466,270.312,0.001,0.000,0.000
262,760.513,293.867,293.867,278.832,152.732,278.832,0.000,0.000,0.000
263,763.517,350.333,350.333,287.094,151.998,287.094,0.000,0.000,0.000
264,766.522,265.000,265.000,294.597,151.264,294.597,0.000,0.000,0.000
265,769.526,298.667,298.667,300.829,150.529,300.829,0.000,0.000,0.000
266,772.531,319.800,319.800,305.319,149.795,305.319,0.000,0.000,0.000
267,775.535,305.200,305.200,307.688,149.061,307.688,0.000,0.000,0.000
268,778.540,321.267,321.267,307.687,148.326,307.687,0.000,0.000,0.000
269,781.545,300.200,300.200,305.230,147.592,305.230,0.000,0.000,0.000
270,784.550,304.667,304.667,300.403,146.858,300.403,0.000,0.000,0.000
271,787.556,299.267,299.267,293.457,146.123,293.457,0.000,0.000,0.000
272,790.561,313.467,313.467,284.778,145.389,284.778,0.000,0.000,0.000
273,793.567,309.600,309.600,274.843,144.655,274.843,0.000,0.000,0.000
274,796.573,285.533,285.533,264.175,143.920,264.175,0.000,0.000,0.000
275,799.579,272.933,272.933,253.292,143.186,253.292,0.000,0.000,0.000
276,802.585,275.200,275.200,242.659,142.452,242.659,0.000,0.000,0.000
277,805.592,243.600,243.600,232.663,141.718,232.663,0.000,0.000,0.000
278,808.598,228.533,228.533,223.591,140.983,223.591,0.000,0.000,0.000
279,811.605,201.400,201.400,215.627,140.249,215.627,0.000,0.000,0.000
280,814.612,220.800,220.800,208.859,139.515,208.859,0.000,0.000,0.000
281,817.619,238.733,238.733,203.300,138.780,203.300,0.000,0.000,0.000
282,820.626,167.000,167.000,198.902,138.046,198.902,0.000,0.000,0.000
283,823.634,187.467,187.467,195.581,137.312,195.581,0.000,0.000,0.000
284,826.641,222.067,222.067,193.231,136.577,193.231,0.000,0.000,0.000
285,829.649,184.200,184.200,191.743,135.843,191.743,0.000,0.000,0.000
286,832.657,189.333,189.333,191.004,135.109,191.004,0.000,0.000,0.000
287,835.665,185.933,185.933,190.907,134.374,190.907,0.000,0.000,0.000
288,838.673,205.867,205.867,191.343,133.640,191.343,0.000,0.000,0.000
289,841.681,210.267,210.267,192.203,132.906,192.203,0.000,0.000,0.000
290,844.690,229.667,229.667,193.374,132.171,193.374,0.000,0.000,0.000
291,847.699,228.400,228.400,194.732,131.437,194.732,0.000,0.000,0.000
292,850.708,196.000,196.000,196.145,130.703,196.145,0.000,0.000,0.000
293,853.717,243.000,243.000,197.477,129.969,197.477,0.000,0.000,0.000
294,856.726,198.600,198.600,198.590,129.234,198.590,0.000,0.000,0.000
295,859.736,195.333,195.333,199.352,128.500,199.352,0.000,0.000,0.000
296,862.745,214.800,214.800,199.649,127.766,199.649,0.000,0.000,0.000
297,865.755,199.600,199.600,199.392,127.031,199.392,0.000,0.000,0.000
298,868.765,215.333,215.333,198.523,126.297,198.523,0.000,0.000,0.000
299,871.775,193.867,193.867,197.023,125.563,197.023,0.000,0.000,0.000
300,874.785,217.467,217.467,194.911,124.828,194.911,0.000,0.000,0.000
301,877.796,199.600,199.600,192.247,124.094,192.247,0.000,0.000,0.000
302,880.806,211.667,211.667,189.120,123.360,189.120,0.000,0.000,0.000
303,883.817,180.400,180.400,185.644,122.625,185.644,0.000,0.000,0.000
304,886.828,211.667,211.667,181.951,121.891,181.951,0.000,0.000,0.000
305,889.839,224.400,224.400,178.176,121.157,178.176,0.000,0.000,0.000
306,892.850,189.533,189.533,174.454,120.422,174.454,0.000,0.000,0.000
307,895.862,199.000,199.000,170.908,119.688,170.908,0.000,0.000,0.000
308,898.874,183.067,183.067,167.650,118.954,167.650,0.000,0.000,0.000
309,901.885,186.667,186.667,164.747,118.190,164.747,0.000,0.000,0.000
310,904.897,197.533,197.533,162.310,117.426,162.310,0.000,0.000,0.000
311,907.909,159.133,159.133,160.410,116.662,160.410,0.000,0.000,0.000
312,910.922,162.067,162.067,159.112,115.898,159.112,0.000,0.000,0.000
313,913.934,174.800,174.800,158.471,115.134,158.471,0.000,0.000,0.000
314,916.947,180.600,180.600,158.539,114.370,158.539,0.000,0.000,0.000
315,919.960,157.533,157.533,159.363,113.606,159.363,0.000,0.000,0.000
316,922.973,167.133,167.133,160.979,112.842,160.979,0.000,0.000,0.000
317,925.986,176.400,176.400,163.407,112.078,163.407,0.000,0.000,0.000
318,928.999,177.733,177.733,166.646,111.314,166.646,0.000,0.000,0.000
319,932.013,187.200,187.200,170.659,110.551,170.659,0.000,0.000,0.000
320,935.026,206.933,206.933,175.371,109.787,175.371,0.000,0.000,0.000
321,938.040,188.400,188.400,180.659,109.023,180.659,0.000,0.000,0.000
322,941.054,192.000,192.000,186.352,108.259,186.352,0.000,0.000,0.000
323,944.068,201.467,201.467,192.231,107.495,192.231,0.000,0.000,0.000
324,947.082,215.733,215.733,198.039,106.731,198.039,0.000,0.000,0.000
325,950.097,195.933,195.933,203.492,105.967,203.492,0.000,0.000,0.000
326,953.112,210.267,210.267,208.298,105.203,208.298,0.000,0.000,0.000
327,956.126,211.000,211.000,212.178,104.439,212.178,0.000,0.000,0.000
328,959.141,208.533,208.533,214.889,103.675,214.889,0.000,0.000,0.000
329,962.157,205.067,205.067,216.241,102.911,216.241,0.000,0.000,0.000
330,965.172,215.467,215.467,216.117,102.147,216.117,0.000,0.000,0.000
331,968.187,201.000,201.000,214.480,101.383,214.480,0.000,0.000,0.000
332,971.203,193.200,193.200,211.378,100.619,211.378,0.000,0.000,0.000
333,974.219,210.200,210.200,206.940,99.855,206.940,0.000,0.000,0.000
334,977.235,198.333,198.333,201.360,99.091,201.360,0.000,0.000,0.000
335,980.251,186.067,186.067,194.883,98.327,194.883,0.000,0.000,0.000
336,983.268,167.533,167.533,187.781,97.564,187.781,0.000,0.000,0.000
337,986.284,135.200,135.200,180.334,96.800,180.334,0.000,0.000,0.000
338,989.301,123.467,123.467,172.807,96.036,172.807,0.000,0.000,0.000
339,992.318,122.867,122.867,165.432,95.272,165.432,0.000,0.000,0.000
340,995.335,120.133,120.133,158.399,94.508,158.399,0.000,0.000,0.000
341,998.352,120.800,120.800,151.850,93.744,151.850,0.000,0.000,0.000
342,1001.369,111.267,111.267,145.875,92.980,145.875,0.000,0.000,0.000
343,1004.387,123.933,123.933,140.520,92.216,140.520,0.000,0.000,0.000
344,1007.404,112.733,112.733,135.792,91.452,135.792,0.000,0.000,0.000
345,1010.422,112.333,112.333,131.673,90.688,131.673,0.000,0.000,0.000
346,1013.440,78.533,78.533,128.127,89.924,128.127,0.000,0.000,0.000
347,1016.459,88.000,88.000,125.113,89.160,125.113,0.000,0.000,0.000
348,1019.477,67.333,67.333,122.592,88.396,122.592,0.000,0.000,0.000
349,1022.495,88.533,88.533,120.535,87.632,120.535,0.000,0.000,0.000
